id,pr_number,user,created_at,body,codebert_sentiment_label,codebert_confidence
1797336629,634,Protonull,2024-10-11T19:12:19Z,`setmin_y` ?,0,0.9925009608268738
1797337666,634,drekamor,2024-10-11T19:13:32Z,what's wrong?,0,0.8057692050933838
1797338030,634,Protonull,2024-10-11T19:14:02Z,"if this class will only be used by the buildlimits hack, it could be made an inner-class of the hack. that's just a personal preference though.",0,0.9874725341796875
1797338822,634,drekamor,2024-10-11T19:15:01Z,soundtech ok'ed this so :man_shrugging:,1,0.7626638412475586
1797340312,634,Protonull,2024-10-11T19:16:55Z,just seems like an odd naming convention to have both camel and snake case. it's typical for getters in java to use camel casing (eg: `setminy`) or otherwise to have the field public if you want to retain the name.,0,0.9206969738006592
1797343662,634,drekamor,2024-10-11T19:20:43Z,"oh, i used `y_min` in the config so it just got carried over to the var names. now that i look at it, it does feel a bit weird",-1,0.9597912430763245
1797344436,634,Protonull,2024-10-11T19:21:45Z,okay :+1:,1,0.8877530097961426
1797406899,634,awoo-civ,2024-10-11T20:42:10Z,"yeah `setminy` is correct, you never wanna make exceptions to name casing.",0,0.9334185123443604
1797408353,634,awoo-civ,2024-10-11T20:44:13Z,nit: remove this empty line,0,0.9783557653427124
1797409963,634,awoo-civ,2024-10-11T20:46:29Z,nit: remove this empty line,0,0.9783557653427124
1797410325,634,awoo-civ,2024-10-11T20:47:01Z,nit: remove this empty line,0,0.9783557653427124
1797410848,634,awoo-civ,2024-10-11T20:47:46Z,move the declaration of `player` to right above this line or just use `e.getplayer()` directly.,0,0.992229163646698
1797414896,634,awoo-civ,2024-10-11T20:53:44Z,`type` should ideally be an enum instead of a string.,0,0.9925898313522339
1797418542,634,awoo-civ,2024-10-11T20:58:48Z,"public static buildlimit deserialize( map args) { int miny = 0; int maxy = 0; string type = ""altitude""; type = (string)args.get(""type""); if (type.equals(""altitude"")) { if (args.containskey(""min_y"")) { miny = (integer)args.get(""min_y""); } if (args.containskey(""max_y"")) { maxy = (integer)args.get(""max_y""); } } string world = ""world""; world = (string)args.get(""world""); return new buildlimit(world, type, miny, maxy); }",0,0.9911994338035583
1798527270,634,okx-code,2024-10-13T19:43:54Z,there doesn't seem to be a `type` other than altitude. is this necessary?,0,0.984197199344635
1798529063,634,okx-code,2024-10-13T19:47:05Z,hack configs already store if they are enabled (shouldenable). the handling here is not really necessary.,0,0.9929903745651245
1798529984,634,okx-code,2024-10-13T19:48:33Z,"you don't need to log if a hack is enabled or disabled, that's done already.",0,0.9885208606719971
1798530257,634,okx-code,2024-10-13T19:48:58Z,why linkedhashmap here? is insertion order important?,0,0.9873758554458618
1798530665,634,okx-code,2024-10-13T19:49:41Z,are the setters necessary?,0,0.9939672946929932
1798530877,634,okx-code,2024-10-13T19:50:00Z,unnecessary,0,0.9073663949966431
1798530899,634,okx-code,2024-10-13T19:50:02Z,unnecessary,0,0.9073663949966431
1798531248,634,okx-code,2024-10-13T19:50:41Z,"`component.text(string, textcolor)` could be used to make this more succint, but you don't have to do it that way",0,0.988585889339447
1798531899,634,Protonull,2024-10-13T19:51:47Z,"instead of try-catching an assignment, you could use an iterator to check that each element is an instance of `buildlimit`, which then lets you print nice warnings for each offending entry.",0,0.9887682795524597
1798533014,634,Protonull,2024-10-13T19:53:45Z,this one actually is necessary: it's only basichack that registers itself as a listener upon `onenable`,0,0.9919175505638123
1798533714,634,okx-code,2024-10-13T19:54:56Z,goddamnit i hate hacks,-1,0.9937449097633362
