id,pr_number,user,submitted_at,state,body,codebert_sentiment_label,codebert_confidence
35279792,2929,onurkaraman,2017-04-28T06:12:43Z,COMMENTED,did a quick pass through the controller changes and left some minor comments.,0,0.9789472818374634
40852251,2929,becketqin,2017-05-30T06:03:13Z,COMMENTED,thanks for the patch. it looks the patch is a little outdated. i took a quick glance at part of the patch and fee it would probably be easier to review after rebasing on trunk. could you do that?,1,0.9561977386474609
43331378,2929,becketqin,2017-06-12T03:26:38Z,COMMENTED,thanks for the patch. i made the first pass on the main code and left some comments. i haven't reviewed the tests yet. will do that later.,1,0.9392105937004089
46061417,2929,becketqin,2017-06-23T21:16:16Z,COMMENTED,"thanks for updating the patch. made another path and left some comments. there are some other files that are not included in the patch but may need some changes as well. 1. in `groupmetadatamanager.cleanupgroupmetadata()`, it seems we are not handling the storageexception from line 724. 2. if a disk exception occurs in a delayed write to the socket during a fetchrequest, it seems we are not handling that. not sure what is the best way to solve that though. what i did was just find all the callers for the disk related method in `filerecords`, e.g. `readinto()`, `read()`, `append()`, `flush()`. (note that `filerecords.read()` do not actually read disk, but the follow up actions typically will read the disks). i haven't look at other files we have on the disk yet. but i think the log file is probably the most important one.",0,0.7135009765625
46132455,2929,becketqin,2017-06-27T23:34:56Z,COMMENTED,"thanks for the patch. just made another path and left some comments. i am wondering if we want to add a few more unit test for the log dir failure case. 1. when log dir fails, there are correct error code in the response. 2. the producer is able to send messages with retries when a log dir failure occurs. the system test is good, but maybe less handy to run. so some basic unit tests would help.",1,0.9676083326339722
46999634,2929,junrao,2017-06-30T19:40:06Z,COMMENTED,: thanks for the patch. made a pass of non-testing files. the overall flow is pretty clear and well organized. left some comments below.,1,0.9743435382843018
48219128,2929,junrao,2017-07-06T01:52:22Z,COMMENTED,a few more comments.,0,0.959341287612915
48933406,2929,junrao,2017-07-13T16:57:14Z,COMMENTED,: thanks for the updated patch. made another pass of the non-testing files and left some comments.,1,0.8005508184432983
50391353,2929,junrao,2017-07-18T05:13:01Z,COMMENTED,: thanks for the new patch. a few more comments.,1,0.9111230373382568
51041045,2929,junrao,2017-07-20T16:15:34Z,COMMENTED,: thanks for the latest patch. it looks pretty good now. just some more minor comments.,1,0.9932445883750916
51521889,2929,junrao,2017-07-21T16:59:01Z,COMMENTED,: thanks for working on this patch diligently. lgtm. just a few minor comments. i will let becket make another pass. he can merge the patch if he is satisfied.,1,0.988184928894043
51548681,2929,becketqin,2017-07-22T05:09:32Z,COMMENTED,thanks for the patch. lgtm. i gave a final pass and left some minor comments. thanks a lot for the detailed review!,1,0.9902369379997253
51629344,2929,becketqin,2017-07-22T19:38:39Z,COMMENTED,"thanks for the patch. merged to trunk. i left a minor comment, we can address that in the follow up cleaning patch.",1,0.9636626243591309
445850773,9001,kowshik,2020-07-09T23:50:39Z,COMMENTED,first pass,0,0.9444324970245361
447492344,9001,abbccdda,2020-07-20T05:58:23Z,COMMENTED,"thanks for the awesome pr! i have done the first pass on non-testing part, will take another look at testing part later this week.",1,0.995669960975647
452086862,9001,kowshik,2020-07-21T10:08:59Z,COMMENTED,"thanks for the great review! i have addressed the comments in d0b6984bc0dca873e30964adb5e4cfe1262a39b9, and have provided my responses to your comments. please have a look.",1,0.9949970245361328
452959442,9001,abbccdda,2020-07-23T18:51:42Z,COMMENTED,thanks for the update. got a couple of more comments.,1,0.8973552584648132
455261235,9001,kowshik,2020-07-28T09:27:16Z,COMMENTED,"thanks for the review! i have addressed your comments in ee1a40b6e8264e0f0cc9f68c0c82b330fa0d724a, please have a look.",1,0.9888185858726501
456880892,9001,abbccdda,2020-07-30T03:59:34Z,COMMENTED,made another pass. would be good to have jun take a look as well.,0,0.9127130508422852
463650370,9001,junrao,2020-08-10T16:34:04Z,COMMENTED,: thanks for the pr. made a pass of non-testing files. a few comments below.,1,0.9803227186203003
497716516,9001,junrao,2020-09-29T01:41:01Z,COMMENTED,: thanks for the updated pr. made another pass of non-testing files. a few more comments below.,1,0.9745368957519531
498702686,9001,abbccdda,2020-09-29T17:37:07Z,COMMENTED,"just looked through the change for firstactiveversion, which makes sense. the only question i have is that if i'm doing a bold release by removing the deprecated code completely, such that previously i have version range [1, 6] and now the code only supports [4, 6] for a pair [min, max], would my deployment be successful automatically?",0,0.9683170318603516
499803222,9001,junrao,2020-10-01T00:16:31Z,COMMENTED,: thanks for the updated pr. a few followup comments below.,1,0.8905922770500183
501427255,9001,junrao,2020-10-02T20:27:19Z,COMMENTED,: thanks for the updated pr. a few more comments below.,1,0.9159396886825562
501428667,9001,junrao,2020-10-02T20:31:49Z,COMMENTED,"a couple of more comments. also, there are compilation errors for java 8. [error] /users/jun/intellij/kafka/core/src/main/scala/kafka/server/finalizedfeaturecache.scala:148: invalid literal number [error] /users/jun/intellij/kafka/core/src/main/scala/kafka/server/finalizedfeaturecache.scala:157: invalid literal number two errors found",0,0.9937984347343445
502245667,9001,junrao,2020-10-05T18:10:02Z,COMMENTED,: thanks for the updated pr. just a few more comments below.,1,0.9395200610160828
503126954,9001,junrao,2020-10-06T16:02:59Z,APPROVED,: thanks for the latest pr. lgtm. is the test failure in jdk 15 related to this pr?,1,0.9260504841804504
503435680,9001,abbccdda,2020-10-06T23:51:06Z,APPROVED,"lgtm, thanks for the great work!",1,0.9957544803619385
22856648,2476,becketqin,2017-02-21T02:41:41Z,COMMENTED,"thanks for the patch. left some comments. it looks the patch again has conflicts with trunk. to avoid frequent rebase, let's finish a few iteration of reviews before we rebase.",1,0.9611882567405701
23909758,2476,becketqin,2017-02-27T06:11:04Z,COMMENTED,sorry for the delayed reply. i made another pass and left some comments.,-1,0.9923458099365234
24464527,2476,ijuma,2017-03-01T13:26:08Z,COMMENTED,"thanks for the pr. i looked briefly and i left a few comments. in addition, i'm wondering about the naming of the method. is there a reason why we call it `purge` instead of `delete`? we use the latter in many other contexts. also, i noticed that the api is called `purge` where the command and method have `data` in the name. finally, the user-facing api has the `before` suffix. is the idea that we will eventually have other `purge` (or `delete`) methods? i should have raised these questions in the kip, so sorry about that. still, if we decide to change anything, better to do it before we merge the code.",1,0.9437531232833862
25687702,2476,junrao,2017-03-08T03:09:58Z,COMMENTED,: thanks for the patch. left some comments below.,1,0.8313326835632324
27451087,2476,becketqin,2017-03-17T02:18:45Z,COMMENTED,"thanks for the patch. i made another pass and left some comments. also, can we add a unit test for starting offset checkpoint?",1,0.9258119463920593
27761750,2476,junrao,2017-03-20T05:34:20Z,COMMENTED,: thanks for the patch. made another pass and the following are some comments.,1,0.8073219060897827
28569809,2476,junrao,2017-03-23T16:28:33Z,COMMENTED,: thanks for the updated patch. a few more quick comments below.,1,0.8914076089859009
29019860,2476,junrao,2017-03-24T22:10:54Z,COMMENTED,": thanks for the patch. looks good to me other than the following few more comments. sorry, but you have to rebase now.",1,0.9899436235427856
29100514,2476,junrao,2017-03-27T20:15:05Z,COMMENTED,": thanks for rebasing. made another pass. there are a few more minor comments. another thing that i was thinking is how logstartoffset is maintained with respect to log cleaning. during log cleaner, we could remove all messages in the first segment. however, there doesn't seem to be logic for advancing logstartoffset in log.replacesegments(), which the log cleaner calls.",1,0.8452393412590027
29350240,2476,becketqin,2017-03-28T05:02:46Z,COMMENTED,thanks for the patch. lgtm except a very rare corner case.,1,0.9785853624343872
24642608,2614,junrao,2017-03-06T19:09:27Z,COMMENTED,: thanks for the patch. looks good overall. made a pass of non-test files and added some comments.,1,0.9918931722640991
26262668,2614,ijuma,2017-03-10T13:04:27Z,COMMENTED,i left a few comments. i didn't review the message format changes themselves since you are about to do a bunch of renames and a trunk merge (i assume). probably best to review after that.,0,0.9519007205963135
26888981,2614,junrao,2017-03-15T05:00:11Z,COMMENTED,: thanks for the patch. a few more comments.,1,0.8908551931381226
27402407,2614,junrao,2017-03-16T18:24:10Z,COMMENTED,: just a few quick comments.,0,0.8054257035255432
27376662,2614,ijuma,2017-03-16T22:38:50Z,COMMENTED,"looking pretty good. i have left a few comments (still going through the more complex parts). one question: what's our plan regarding system tests? `upgrade_test.py` and `message_format_change_test.py` need to be updated to take into account that there are 3 message format versions now, for example.",1,0.8640368580818176
27499023,2614,junrao,2017-03-17T04:27:17Z,COMMENTED,: thanks for the patch. a few more comments.,1,0.8908551931381226
27834344,2614,ijuma,2017-03-20T14:51:29Z,COMMENTED,a few more comments. note that i'm ok with addressing the less important ones in subsequent prs if that's easier.,0,0.9445123672485352
27997048,2614,ijuma,2017-03-21T14:56:45Z,COMMENTED,next batch of comments. i think i'm close to the end now.,0,0.9342780709266663
28276005,2614,apurvam,2017-03-22T00:58:01Z,COMMENTED,"i compiled the perf numbers for this patch, results available here: [a link] there is no observable regression on produce or consume at varying message sizes, with different workloads, on different machines. we do see significant on disk savings at smaller message sizes. given the nature of the tests, i think the margin of error in throughput results is 10%. results which show a difference of more than 10% should be treated with a grain of salt: they generally don't reproduce across runs. we see consistent producer side performance improvements at small sizes, correlated with lower produce request size. we see general consume side improvements, but there is no pattern and we can't really explain the behavior. also there is variation across runs. so i think we should make no claims about any improvements on the consume side.",0,0.9759013652801514
28288520,2614,ijuma,2017-03-22T03:51:08Z,COMMENTED,"a few comments on `logvalidator`. important question: is it right that we don't call `batch.ensurevalid()`? oh, i see, we do it in `log.analyzeandvalidaterecords`. seems like that method should be in `logvalidator` too. a future clean-up. edit: i deleted most comments as i either figured out the answer or included it in my minor pr.",0,0.94940185546875
28365653,2614,ijuma,2017-03-22T15:28:47Z,APPROVED,"i finally have gone through the whole diff. :) lgtm to merge if the system tests pass. i have made a few notes of follow-up changes (most are not time sensitive although a couple are) and will file jiras in the next few days. while going through the changes, i put together some minor improvements and some additional tests: [a link] we can merge it to this pr or to trunk subsequently depending on your preference.",1,0.9948739409446716
28298772,2614,junrao,2017-03-22T17:07:13Z,COMMENTED,: thanks for the patch. lgtm. just a few minor comments.,1,0.9659988284111023
28761442,2614,ijuma,2017-03-23T20:20:26Z,COMMENTED,"thanks, fix looks good. some minor comments.",1,0.9926955699920654
28991991,2614,ijuma,2017-03-24T19:29:44Z,APPROVED,"thanks for running the system tests. latest updates lgtm too. will merge to trunk shortly. this is an impressive pr, well done. :) also, kudos to jun for his detailed review. i took notes of follow-up work and will file a few jiras in the next few days. , please update the kip page to include the updates that we did during the pr review.",1,0.9957510232925415
63472595,3874,junrao,2017-09-20T00:21:15Z,COMMENTED,: thanks for the patch. made a pass of all non-testing files. looks good overall. a few comments below.,1,0.9936261177062988
