id,pr_number,user,created_at,body,codebert_sentiment_label,codebert_confidence
1385885426,5439,knqyf263,2023-11-08T02:32:57Z,"a single package can have multiple identifiers, like cpe and purl. it should be able to accommodate all of them. one idea is make `pkgidentifier` an array, but it is a bit bothering to access purl because it needs to iterate the array every time. what if simply adding identifiers as the field? [code block]",0,0.9705812931060791
1385887019,5439,knqyf263,2023-11-08T02:35:50Z,we used to need it in order to store bom-ref. i'm afraid that removing this field affects scanning somewhere. but we may no longer need it since we dropped some capabilities. i'll take a look.,-1,0.9061983823776245
1386479013,5439,juan131,2023-11-08T11:33:23Z,"all right, i'll adopt this approach.",0,0.9716019034385681
1395469096,5439,juan131,2023-11-16T10:16:55Z,i marked it as deprecated at [a link] instead of removing it,0,0.9894466400146484
1396638425,5439,DmitriyLewen,2023-11-17T03:06:11Z,why is there extra `1%3a` in this line?,0,0.9918789863586426
1396641131,5439,DmitriyLewen,2023-11-17T03:12:15Z,looks like purl should contain [a link]: [a link],0,0.9909062385559082
1396660395,5439,DmitriyLewen,2023-11-17T03:26:09Z,"do we need this change? we can just add `purl.newpackageidentifier(filetype, newpkg)`: [code block]",0,0.994415283203125
1396669181,5439,DmitriyLewen,2023-11-17T03:41:26Z,do we need to use pointer?,0,0.9916531443595886
1396670327,5439,DmitriyLewen,2023-11-17T03:44:08Z,if i understand correctly - we will remove `pkgref` later. but why we remove it here?,0,0.991786539554596
1396673891,5439,DmitriyLewen,2023-11-17T03:53:00Z,if we can't build purl for package - we use uuid - [a link] in this case we will skip this uuid. perhaps we need to add uuid as in `pkgidentifier`?,0,0.9954047203063965
1396682801,5439,DmitriyLewen,2023-11-17T04:07:26Z,previous numbers should not be changed - [a link] [code block],0,0.9925480484962463
1396698237,5439,DmitriyLewen,2023-11-17T04:40:39Z,i played with your changes and found that you run `purl.newpackageidentifier` for each detected line. we need to call this function after package detection is complete.,0,0.9802859425544739
1396842552,5439,juan131,2023-11-17T08:11:20Z,that's a good question... it might be related with some weird encoding done at the function below: - [a link],1,0.7619044184684753
1396846978,5439,juan131,2023-11-17T08:16:22Z,"we can include the distro & arch information by providing a valid metadata in the line below (by ensuring this function receives it as an argument): - [a link] but i wasn't able to find the way to have that info when the function is invoked, e.g.: - [a link]",0,0.9943055510520935
1396849043,5439,juan131,2023-11-17T08:18:42Z,please note `purl.newpackageidentifier` receives the package as second parameter,0,0.9937679767608643
1396852919,5439,juan131,2023-11-17T08:22:46Z,"no. to be honest, i don't have a strong opinion about this. in terms of performance it depends on the size of the structs, these two reads can add more light on this topic: - [a link] - [a link] i usually prefer pointers because it's easier to determine if something is set or not: it's easier to do `foo != nil` than `foo != customtype{}`",0,0.890661895275116
1396854118,5439,juan131,2023-11-17T08:24:01Z,"good catch, reverting it",1,0.97432941198349
1396858663,5439,juan131,2023-11-17T08:28:38Z,"i don't think uuids are valid to identify known vulnerabilities, at least i mainly find references to use purl, cpe or swid: - [a link] - [a link]",0,0.982543408870697
1396866884,5439,juan131,2023-11-17T08:37:06Z,"done, see [a link]",0,0.9243940711021423
1396867051,5439,juan131,2023-11-17T08:37:16Z,"done, see [a link]",0,0.9243940711021423
1396874436,5439,juan131,2023-11-17T08:44:16Z,do you mean after `parseapkinfo` is invoked? or even after that?,0,0.9941856861114502
