id,pr_number,user,created_at,body,codebert_sentiment_label,codebert_confidence
778318916,331,DjLegolas,2022-01-04T19:00:48Z,doesn't this needs to be a x64 version of gtk?,0,0.9914517998695374
778322855,331,cas--,2022-01-04T19:07:49Z,there is only two lines difference between these nsi files so there should only be one nsi script that be be called with optional argument for 32-bit build (64-bit default?),0,0.9936123490333557
778324478,331,cas--,2022-01-04T19:10:37Z,there should be no reason to skip isort on this file,0,0.9577593207359314
778484845,331,doadin,2022-01-05T01:08:24Z,yes the x64 build had not completed yet so i didn't have a url. its done now and i just woke up so i'm going to update.,0,0.9698476195335388
778485045,331,doadin,2022-01-05T01:09:02Z,"i am not really familiar with nsis, i will look into that.",0,0.622641384601593
778485180,331,doadin,2022-01-05T01:09:32Z,"was just a copy paste from the bbfreeze file, sorry.",-1,0.9896577000617981
780330445,331,cas--,2022-01-07T15:17:56Z,is this a typo? also this does not match the x86 step,0,0.9713077545166016
780330548,331,cas--,2022-01-07T15:18:05Z,"can we use [a link] to deduplicate the build-windows steps. so perhaps set a `gvsbuild` for download link, `arch` key set to `x86` or `x64` and `wheel_arch` to `win32` or `amd64` etc...",0,0.995547890663147
780331793,331,cas--,2022-01-07T15:20:07Z,i know this was just renamed but can we point to the correct dependencies reference in docs,0,0.98879075050354
780333095,331,cas--,2022-01-07T15:22:09Z,could we convert this to a 'markdown' document so rename extension to `.md`?,0,0.9956302642822266
780334242,331,cas--,2022-01-07T15:23:50Z,can we install latest specific version to avoid surprises,0,0.9744873046875
780780944,331,cas--,2022-01-09T13:20:43Z,this seems very fragile having github actions specific lines in the spec file. also this is added for x86 arch which probably not what we want? what is causing pyinstaller not to include them? could this issue not always be the case any x64 build not just github actions? is there a way of specifying it via argument or perhaps without full path? e.g. `libcrypto-1_1-x64.dll`,0,0.6768018007278442
780781008,331,cas--,2022-01-09T13:21:29Z,is this being used? remove if not i was just thinking that the actual wheel platform is `win_amd64` and a better name would have been `py_platform` since it's platform tag generated by python.,0,0.9917346239089966
780782061,331,cas--,2022-01-09T13:30:43Z,can simplify to using run command `working-dir`keyword: [a link],0,0.9924634695053101
780782728,331,cas--,2022-01-09T13:36:15Z,can we rename `delugensis.py` to something more meaningful such as `setup_nsis.py`,0,0.9940482378005981
780782891,331,cas--,2022-01-09T13:37:51Z,i dont' think we need to complicate this by setting envs for matrix options,0,0.934134304523468
780783452,331,cas--,2022-01-09T13:42:55Z,what is the current status of the redistributables? will the user always have them installed?,0,0.992540180683136
780803224,331,cas--,2022-01-09T16:30:55Z,"easier to maintain if move `gvsbuild` as an env to install deps section, use python and arch to populate filename.",0,0.9944660067558289
780803492,331,cas--,2022-01-09T16:32:43Z,can we simplify by moving this as a matrix list: [code block],0,0.9901387691497803
780803767,331,cas--,2022-01-09T16:35:10Z,can you replace this env with `${{ matrix.libtorrent }}`,0,0.9948298335075378
780804078,331,cas--,2022-01-09T16:37:48Z,set-location line can be removed then,0,0.9932916164398193
784068053,331,DjLegolas,2022-01-13T15:29:30Z,needs to be dropped,0,0.9723897576332092
784119911,331,CirnoT,2022-01-13T16:24:50Z,this is not used anywhere. [code block],0,0.9880405068397522
784120423,331,CirnoT,2022-01-13T16:25:25Z,only used by `get_version` which itself is unused. [code block],0,0.9948554039001465
784122974,331,CirnoT,2022-01-13T16:28:16Z,any specific reason why rest of file uses `pip` while this line uses `python -m pip`? note that `pip` might reference different binary than module loaded by `python -m`.,0,0.9933931231498718
784123334,331,CirnoT,2022-01-13T16:28:40Z,any reason this is done separately from `libtorrent`?,0,0.9929938912391663
784124566,331,CirnoT,2022-01-13T16:30:00Z,"while i have nothing against it by itself, this is introducing dependency on binary release that is outside of deluge control. we should patch it ourselves or keep patched repository under `deluge-torrent` organization.",0,0.9778347611427307
784126100,331,CirnoT,2022-01-13T16:31:46Z,"have you checked if this is necessary on gh instance? a quick run from 64-bit windows shows that there are no `libssl-1_1.dll` files produced when running with 64-bit python, only `x64` variants. perhaps gh `x64` arch uses 32-bit python?",0,0.9944603443145752
784127980,331,CirnoT,2022-01-13T16:33:50Z,"this section looks good however it could be cleaner if we put the executable generation in a loop, so that any changes need to be done only once, not 6 times.",0,0.8206096291542053
789674273,338,cas--,2022-01-21T13:52:14Z,this should not be encoded,0,0.963590681552887
789674855,338,cas--,2022-01-21T13:52:58Z,please import at top of module,0,0.9924557209014893
789688659,338,cas--,2022-01-21T14:10:56Z,this should not be logging anything,0,0.836494505405426
791145666,338,DjLegolas,2022-01-24T20:58:19Z,why changed to `%-string`? `f-string` is much better,0,0.9932762384414673
791167272,338,DjLegolas,2022-01-24T21:32:08Z,"the `log.warning` call seem redundant as in the `except exception` below we print the same line, but with the exception info.",0,0.9914833903312683
