id,pr_number,user,created_at,body,codebert_sentiment_label,codebert_confidence
1688082107,737,jeremypw,2023-08-22T12:23:02Z,probably needs splitting into two prs.,0,0.9857797622680664
1690353247,737,jeremypw,2023-08-23T17:24:38Z,now only fixes the linked issue. a separate pr dealing with option handling will be prepared later.,0,0.991636335849762
1694750109,737,Marukesu,2023-08-27T20:08:24Z,"the idea with the rewrite is that working directory isn't a ""real"" option, so it shouldn't cause different behaviour by itself. the behaviour of opening a new tab when invoked in a directory without a tab already open is also intentional. the rationale is that any command line invocation is done with the intention of open a tab or window, so it act as a ""weakened"" (it won't create a tab, if one in the current directory already exists) version of `-t`. if we are going to change the behaviour here, i would prefer that it's to drop the weakened `-t` for assuming a real one.",0,0.9900717735290527
1695498851,737,jeremypw,2023-08-28T11:06:25Z,not sure what this means. the `-w` and `-t` options do differ in that the former requires a following uri and the latter does not (it just adds a new default tab).,0,0.915900468826294
1695515878,737,jeremypw,2023-08-28T11:19:37Z,"again, i do not understand this. the change (and the whole pr) is about not opening *two* tabs when the user would expect only one. the change from `master` being discussed here is about when terminal is invoked without *any* options so the user is not requesting a new tab. usually it is because the user has forgotten terminal is already running so it should behave as if the user had just clicked on the dock icon again - i.e. it should just focus the existing window.",0,0.810631275177002
1695526752,737,jeremypw,2023-08-28T11:27:31Z,"there is a case for reconsidering whether we need both `-w` and `-t` options or whether they should do the same or different things, bearing in mind we do not want to break existing scripts if we can help it. but i am not sure this pr is the place - i am just trying to make sure terminal continues to follow the information that the `-h` option gives while fixing the issue of unexpected extra tabs.",0,0.8413780331611633
1695542782,737,jeremypw,2023-08-28T11:38:58Z,"elementary terminal is currently different from other terminals in that it has a ""follow-last-tab"" setting (unexposed) that is by default `false` so that additional tabs are by default opened at the user's home directory *not* the current directory. this complicates matters considerably. might be worth discussing whether that setting should continue to be supported or whether we should just emulate other major terminals. but that is for another pr.",0,0.9453588724136353
1695556255,737,jeremypw,2023-08-28T11:49:08Z,"this would make commandline invocation different from invocation from the dock or app menu which both just focus an existing primary window, so i disagree. interestingly `gnome-terminal` *always* opens a new window when a primary window exists even when invoked with no options. `xterm` does the same. following that would probably simplify things but would need design team sign off.",0,0.9598981142044067
1695939112,737,jeremypw,2023-08-28T15:54:12Z,i'm going to have to ask you to look at that race issue in the testing of adding tabs i am afraid. i tried a few things but i do not fully understand the code :disappointed: even getting the `n_tabs` directly from `notebook` does not work. the `callback` is running before `mainwindow` even starts to add the tab. looks like `iterate_context` is not blocking for long enough for mainwindow to complete everything needed to add a tab. update: wait a minute i think i have been misinterpreting the logs - there are two calls to `option ()` within each test and i have been mistaking the output from one as belonging to the other. i think the problem is due to an unexpected tab being added in the test environment due to an attempt to restore tabs,-1,0.9643686413764954
1695944298,737,jeremypw,2023-08-28T15:57:34Z,not sure why we're getting the expected tab count in the `--execute` test but not the `new-tab` option test though :shrug:,-1,0.9120627045631409
