id,pr_number,user,created_at,body,codebert_sentiment_label,codebert_confidence
360716380,98,clefebvre,2018-01-26T08:33:25Z,"hi , this is really interesting for us, meson looks really cool. could you do the following in this pr: - rebase the pr (it will result in having .circleci in your branch and trigger a ci build so we can check it builds everywhere). - add the ""files"" directory as is... right now you're listing the one file by naming it, our projects use ""files"" dirs which have to be installed as is. you can use install_dir in meson if i'm not mistaken. - modify the debian/ packaging, disconnect it from autoconf and connect it to meson. we build (and so does ci) with dpkg-buildpackage, for the build to use meson, we need dpkg-buildpackage to call the appropriate meson and ninja commands.",1,0.9931342601776123
360730793,98,Salamandar,2018-01-26T09:36:13Z,hi ! i'm working on it. i did not touch cinnamon-desktop in a while and i've had a lot of experience with meson since then... so a bit of refactoring is needed. i'll push when all done.,1,0.9076274633407593
360760542,98,Salamandar,2018-01-26T11:25:20Z,"at the time, install_dir would remove all the target directory content. it no longer does that so yes, i can use it. edit : that's highly prefix-dependent. the default prefix is `/usr/local`, so the files directory does not correspond. i'll install each subdir of usr independently.",0,0.9742200970649719
360773478,98,Salamandar,2018-01-26T12:34:19Z,"do you mean to completely forget about autotools ? i was keeping the ac/am files for now, but if that's your plan, i'll just remove all autotools files from the repo.",0,0.9747148156166077
360792207,98,Salamandar,2018-01-26T14:01:48Z,"the debian buildsystem now uses meson, but that installs gir files into `/usr/lib/x86_64-linux-gnu` instead of just `/usr/lib`. i'll investigate this further.",0,0.9902205467224121
360798350,98,Salamandar,2018-01-26T14:26:28Z,"okay, i give up trying to install the correct meson version (>=0.40) in the ci env.",0,0.8513176441192627
363729438,98,leigh123linux,2018-02-07T10:42:51Z,the meson pr has no option for --with-pnp-ids-path and installs a useless file to /usr/share/libcinnamon-desktop/pnp.ids the --with-pnp-ids-path option is used to specify the path to pnp.ids [code block] as the internal file is garbage it should be possible to set it to use hwdata package [code block] linuxmint uses the same path (/usr/share/hwdata/pnp.ids). [a link],0,0.9936211705207825
363740823,98,Salamandar,2018-02-07T11:28:54Z,"yeah, there was a todo left... actually i did not have any idea about what's that file, so i just left it as is waiting for your feedback. that worked ;)",1,0.9926965832710266
363907561,98,mtwebster,2018-02-07T20:55:58Z,squash please? then i'll merge,0,0.9677127003669739
363914290,98,Salamandar,2018-02-07T21:20:03Z,"yeah, will do tomorrow !",0,0.7459704279899597
364080542,98,Salamandar,2018-02-08T11:13:45Z,"i squashed the meson files modifs, but kept separate the debian build system modifs and the deletion of autotools. tell me if you prefer to have this squashed as well !",0,0.8732636570930481
2507486577,248,hsbasu,2024-11-29T10:10:02Z,please look into this.,0,0.9649794697761536
2507488094,248,clefebvre,2024-11-29T10:10:53Z,can you give me the error msg?,0,0.9888371229171753
2507495021,248,hsbasu,2024-11-29T10:14:37Z,gimme two minutes.,0,0.9789465665817261
2507503101,248,hsbasu,2024-11-29T10:18:52Z,"check this [a link]. it is not opening from my end right now. for more details: check lp recipes [a link], [a link] as i am also building cinnamon for upcoming ubuntu releases. even though mint targets 24.04 lts, these might be a good perspective to look for build errors.",0,0.9811264872550964
2507506539,248,hsbasu,2024-11-29T10:20:37Z,last few lines from the log: [code block],0,0.9912509918212891
2507506938,248,leigh123linux,2024-11-29T10:20:50Z,i needed to do it for fedora. [a link],0,0.7301902174949646
2507522657,248,clefebvre,2024-11-29T10:29:25Z,"ok, it was introduced by michael's revamp on gnome-rr. we do need it in build-depend. please remove the version though.",0,0.9929879307746887
2507525130,248,hsbasu,2024-11-29T10:30:49Z,okay.,0,0.9151892066001892
2507528709,248,hsbasu,2024-11-29T10:32:46Z,done.,0,0.9640594124794006
2507529366,248,clefebvre,2024-11-29T10:33:09Z,thanks,0,0.5400217771530151
2567653973,250,kovacsIVgabor,2025-01-02T11:47:35Z,so what should i do ? what would be the right way to achieve this? should i open a feature request? thanks,1,0.6151726245880127
2568000629,250,JosephMcc,2025-01-02T16:00:16Z,"i don't speak for clem, but if you read the link that he posted, this really does fall under the ""niche"" use case. sometimes we just have to say ""no"" things. not every feature request is something that can or will be excepted.",-1,0.7900637984275818
2568034023,250,kovacsIVgabor,2025-01-02T16:23:09Z,"thank you for taking the time to explain it to me. now i understand, but it's sad. maybe adding some class to these elements so it would be possible to hide them with theme css? (if it is possible) or it is already possible with css if i can figure out some selector? thank you",-1,0.963832676410675
2568040669,250,JosephMcc,2025-01-02T16:27:46Z,"all of the style classes used are here: [a link] i haven't actually tried to override them and can't test at the moment, but would be a place to start.",0,0.9862269759178162
2568195102,250,kovacsIVgabor,2025-01-02T18:30:17Z,"thank you, but no luck. i can't figure out a selector and even if i could, i can only make things transparent which is not the way i solve things :/",-1,0.717089056968689
2571566958,250,kovacsIVgabor,2025-01-05T09:49:58Z,"what about consistency with greeter? because the greeter doesn't have ""unlock"" like button and the osk also hideable.",0,0.9567468166351318
