id,pr_number,user,created_at,body,codebert_sentiment_label,codebert_confidence
71091684,4996,JosephMcc,2016-07-17T23:05:35Z,"is there some reason you can't just add a simple style class of ""bottom, top, right, left"" here and avoid the convoluted naming? much easier to just use ""window-list-item-box.right"" instead of ""window-list-item-box.window-list-item-box-right"". also stays more in line with what you typically see in gtk.",0,0.9919801950454712
71091721,4996,JosephMcc,2016-07-17T23:07:11Z,i'm pretty sure you didn't intend this semicolon to be here ;),1,0.9495869874954224
71092400,4996,JosephMcc,2016-07-17T23:45:21Z,whitespace,0,0.9243230819702148
71092404,4996,JosephMcc,2016-07-17T23:45:30Z,whitespace,0,0.9243230819702148
71092409,4996,JosephMcc,2016-07-17T23:45:49Z,whitespace,0,0.9243230819702148
71391283,4996,brownsr,2016-07-19T18:04:02Z,"completely agree. i'd left it in line with what was there previously, but everytime i come back and look at this it jars horribly. i was thinking of making the changes you suggest anyway, so i'll do that now.",-1,0.9236829876899719
226408689,7944,germanfr,2018-10-18T18:03:06Z,"aren't `filter`, `each`, `map` and `find` already built into cjs arrays? no need to duplicate them here.",0,0.9918305277824402
226487866,7944,jaszhix,2018-10-18T22:38:37Z,"they are, but on spidermonkey there is a performance gain to using for loop alternatives instead. this is less of an issue on v8. i ran these tests in the firefox 52 esr, which is the closest to our environment. [a link] [a link] [a link] [a link]",0,0.9828617572784424
226539207,7944,germanfr,2018-10-19T05:50:42Z,"those tests compare filter vs raw code, but that is not the case here because at the end what slows it down is calling the callback function i guess. i don't know about the implementation but sure is very similar (?). i'm going to test it on cinnamon anyway, just because i'm curious :)",1,0.9846024513244629
226547213,7944,jaszhix,2018-10-19T06:47:50Z,"cool. the jsben.ch tests are ones i set up - here's one similar to the findindex one, but with filter: [a link]",1,0.987459659576416
226737465,7944,germanfr,2018-10-19T18:14:06Z,"my results conclude that you are right, your loop implementation is faster but, the difference in my tests for arrays of 10m elements is a couple of ms (and it even becomes zero the more you use it). for arrays of 100 elements (if you go crazy) the difference is non existent. i think native methods should be used for consistency, or preferably normal loops which is perfectly fine, but defining those seems like not ok at all. it's just my opinion :) [a link] (it is a cinn extension).",1,0.9943835735321045
226748976,7944,jaszhix,2018-10-19T18:55:08Z,"thanks for looking into this more. while i agree this won't make a dramatic difference in a lot of cases, i think these methods should stay in the pr. take a function that iterates multiple things to get its return value and gets called relatively frequently for instance, for invocation the latency can add up - especially when we want cinnamon to be as responsive as possible. these are there to provide an option, not to replace every instance of filter, findindex, etc - as you point out the gains diminish with smaller arrays, but the gains are still there and consistent. here's the results i got from test-extension: cjs-message: 13:45:25.762: js log: [lookingglass/info] array.prototype.filter: 20.6ms cjs-message: 13:45:25.763: js log: [lookingglass/info] custom filter: 11.7ms if this were a function that was meant to assist with an animation, it could mean the difference between something being jerky or smooth, since cinnamon needs to spend 16ms or less for each frame.",1,0.8944516181945801
226762854,7944,germanfr,2018-10-19T19:48:25Z,"those results are from 1m array items and the difference becomes smaller the more you use the functions. in an animation there would be no difference for example, assuming you have an array of <1m items. i understand your point, but in those cases why not to use loops? i presume they are even faster than these functions.",0,0.9467216730117798
226767367,7944,jaszhix,2018-10-19T20:07:29Z,"i think you're seeing that because of spidermonkey's jit optimization- if it doesn't get gc'd its still cached as byte code, but we shouldn't rely on that. this allows the performance benefit of for loops, but the readability of explicitly named functions like foreach. the each function i added in particular can iterate both arrays and objects, which can be convenient. for objects it uses object.keys and a for loop, which is a little faster than for...in.",0,0.8891534805297852
226820734,7944,germanfr,2018-10-20T08:46:55Z,"sorry i still don't get where is exactly that critical place in this pr where you have a large array and save more than 1 ms. i think that such micro-optimisations belong to cjs, not cinnamon. but idk :grinning_face_with_sweat:",-1,0.9895423650741577
226820994,7944,jaszhix,2018-10-20T08:58:10Z,"its ok, i'm an optimization junkie. sometimes its unnecessary, but i wouldn't say little perf bumps here and there ever hurt anything. :) i'd like to think with enough micro-optimizations it can add up overall to more responsiveness. since the compositor and js context share a single thread its not a bad idea to use the fastest methods. if this were a web page or a little node utility, i'd say sure. but cinnamon is performance critical, if it slows down all the windows its managing slows down.",1,0.9884235262870789
226821192,7944,germanfr,2018-10-20T09:05:08Z,"yes, of course. but why not implement them in cjs instead? if we can make native methods faster why can't we improve them instead of creating faster duplicates so that cinnamon can benefit from that in every single place? it seems like a better solution to me, but maybe there is a reason not to do that i can't see.",0,0.9632455706596375
226821283,7944,jaszhix,2018-10-20T09:08:44Z,"mainly because i'd prefer to keep cjs even as possible with gjs, otherwise back-porting patches gets harder. i could upstream it, but not sure they would want them. if they do, great, but then we can't add the optimizations on our schedule.",0,0.8959870338439941
226821408,7944,germanfr,2018-10-20T09:14:43Z,oh i understand. maybe some day! sorry for bothering with this :grinning_face_with_sweat:,-1,0.9906574487686157
4086378,1966,gauravjuvekar,2013-05-05T06:32:53Z,shouldn't that be inside the calendar applet?,0,0.993571400642395
4086382,1966,dalcde,2013-05-05T06:44:51Z,i just kept it in the place it used to be,0,0.9763056039810181
263223792,8428,jaszhix,2019-03-07T03:13:45Z,"might be good to do these logical comparisons when the change in css is detected, instead of on every paint.",0,0.9892386198043823
263223846,8428,jaszhix,2019-03-07T03:14:05Z,indentation is off.,0,0.9368239045143127
263223966,8428,jaszhix,2019-03-07T03:15:10Z,we use two spaces after a bracket-less if statement.,0,0.9917407035827637
263224226,8428,jaszhix,2019-03-07T03:16:57Z,maybe we can check if the theme node is eligible before calling `st_widget_add_background_effects`? we should know after `st_widget_recompute_style`.,0,0.9952842593193054
263224403,8428,jaszhix,2019-03-07T03:18:19Z,we could probably make `st_widget_recompute_style` return the `new_theme_node` passed as an argument to this function and avoid a function invocation in the paint cycle.,0,0.9949605464935303
263224476,8428,jaszhix,2019-03-07T03:18:49Z,spaces here will make the code easier to read.,0,0.984980046749115
263224646,8428,jaszhix,2019-03-07T03:19:59Z,"in `st_widget_recompute_style`, we know if the style has _changed_, so it might be good to use that boolean state instead of assuming any processing is needed because there is an old theme node.",0,0.9932424426078796
263224949,8428,jaszhix,2019-03-07T03:22:02Z,what is the purpose of this function?,0,0.9855027198791504
268451058,8428,brownsr,2019-03-24T20:23:54Z,ok,0,0.8787186145782471
268451068,8428,brownsr,2019-03-24T20:24:04Z,"ok, done",0,0.7370215654373169
268451107,8428,brownsr,2019-03-24T20:24:54Z,"ok, done.",0,0.8946365714073181
268452184,8428,brownsr,2019-03-24T20:48:41Z,"doesn't appear to be necessary, removed.",0,0.9498991966247559
268452591,8428,brownsr,2019-03-24T20:59:26Z,"perhaps, if i could work out how to do that, but there's only a couple of very fast and cheap tests here, so i can't imagine any practicable difference.",0,0.9210613965988159
268452640,8428,brownsr,2019-03-24T21:00:29Z,"i.e. the work to set up the effects is only done the first time through, and after that there there is just a check to see if it exists. so only the first time through takes time if either of the effect types are there in the css, and after that there is just a simple if test, which should take a miniscule time. i can't see any effect on performance myself if the effects are not in the css.",0,0.9796814918518066
268452833,8428,brownsr,2019-03-24T21:05:18Z,i think that will just move the tests in the function to be done preceding it. i don't think there will be any improvement.,0,0.9353898763656616
268453270,8428,brownsr,2019-03-24T21:16:24Z,"yes, but this function is also called without being preceded by recompute_style, so that won't work in that instance.",0,0.9778313636779785
268453424,8428,brownsr,2019-03-24T21:21:12Z,"yes, i can see that might be possible in that case. but this function is also called when there is no style change. could potentially separate out into two functions, perhaps i.e. have one dedicated to just the case where there is a style change. i can't see there would be a speed improvement, but it could possibly make the code a tiny bit easier to follow, probably at the cost of a bit more code.",0,0.9843681454658508
272824487,8428,jaszhix,2019-04-07T08:53:40Z,i see an impact on performance immediately upon using cinnamon with no css changes. you are adding a _lot_ of code to st's paint function. please try testing in higher resolutions.,0,0.7189784646034241
272824604,8428,jaszhix,2019-04-07T08:56:29Z,"after #8230 is merged, you could piggy-back off of the change condition i added, to give some idea. i find it hard to believe you can say there will be no improvement on something you haven't tried yet.",0,0.9728359580039978
272824640,8428,jaszhix,2019-04-07T08:57:27Z,sounds like a lot of overhead for a feature maybe 25% of cinnamon users will take advantage of (optimistically).,0,0.9179908037185669
272824874,8428,jaszhix,2019-04-07T09:04:26Z,"we have a private struct used by this class, so we can check if the style has changed, and guard this more. this is a paint function, and it _will_ impact latency, even when the user is not interacting with the cinnamon ui - it is part of the stage.",0,0.9921739101409912
284861267,8428,brownsr,2019-05-16T19:24:05Z,"yes, but remember i am only re-implementing something that was already there and had to be turned off last time because it was broken. there's no hurry as far as i am concerned. with all the major performance / latency stuff that you've done, the last thing i want to do is to compromise that. so right now i am waiting for the dust to settle, maybe next release, before looking at this pr again and seeing how it might be improved.",0,0.6497429609298706
159145637,7149,Odyseus,2017-12-31T19:09:53Z,"hello, . i have been ""playing around"" with the new `cinnamon-xlet-makepot` script and i found a couple of ""inconsistencies"". since the script now uses python 3, the package to install now (in debian based systems) is called `python3-polib`. although, i thing that it should also be added to that message something like *or whatever name the package for the **polib** python 3 module is called in your distribution*.",0,0.6657106280326843
159145641,7149,Odyseus,2017-12-31T19:10:29Z,`args.py` should be changed to `args.python`.,0,0.9936062097549438
159145657,7149,Odyseus,2017-12-31T19:10:51Z,`subprocess` is already imported at the beginning of the script.,0,0.9943656921386719
159145662,7149,Odyseus,2017-12-31T19:11:52Z,the `xgettext` command is called even if there are no files listed in the `js_files` variable. i think that this call should be made inside the `else` block (only when there are files listed) to avoid the following message. [code block],0,0.9946320056915283
159145672,7149,Odyseus,2017-12-31T19:13:09Z,same as in the previous call to the `xgettext` command.,0,0.9941164255142212
159147488,7149,Odyseus,2017-12-31T22:50:12Z,"with the move to python 3, maybe it isn't needed to use `glib.mkdir_with_parents` and just use `os.makedirs(this_locale_dir, exist_ok=true)` here? one less module to import (**glib**). furthermore, i think that the mode `755` passed to `glib.mkdir_with_parents` is wrong. since it's supposed to create folders with **read/write/exec** permissions for the current user, but instead it creates folders with only **write/exec** permissions for the current user. using the mode `0o755` will create folders with the right permissions.",0,0.9928722381591797
159164645,7149,Odyseus,2018-01-01T22:01:31Z,"additionally, the `-j` (`--join-existing`) argument should be passed to the `xgettext` command **only** if the pot file already exists. if the scanning of the js files didn't find any strings to translate (or if the `--skip-js` argument is used), a pot file will not be created and executing the `xgettext` command with the `--join-existing` argument with a non existent file for the `--output` argument will simply fail.",0,0.9950273633003235
159338040,7149,collinss,2018-01-02T23:25:34Z,"good point. i'll still include the package name for debian-based systems, but i'll change the wording and update the package name.",1,0.866901159286499
159338309,7149,collinss,2018-01-02T23:27:22Z,"ah, good catch. i guess i didn't run into a case that would fail here in my testing.",1,0.9420745968818665
159338628,7149,collinss,2018-01-02T23:29:47Z,"ah, yeah, i think i copied that line from the other script",0,0.9588606953620911
159341946,7149,collinss,2018-01-02T23:57:45Z,"hmm... yeah, that would simplify things a bit. i didn't realize that option had been added to python 3. that could also be used in cinnamon-settings to simplify things in a couple of places. i think i'll add it to my python 3 branch.",0,0.8511178493499756
159347490,7149,Odyseus,2018-01-03T00:54:56Z,"yes, i remember seeing the use of `mkdir` (the gnu coreutils command) in one of the other python files. i found it weird, knowing that the `os.makedirs` method also exists in python 2, although without the `exist_ok` parameter. i didn't mention this in my previous message. but, if it is important for the directories to be generated with a **755** mode, then the code would be `os.makedirs(this_locale_dir, mode=0o755, exist_ok=true)`. the default mode used by `os.makedirs` is `0o777`.",-1,0.6148143410682678
159351484,7149,collinss,2018-01-03T01:46:48Z,"yeah, i saw that in the docs. i already fixed it locally. i'm going to do a bit more testing and then i'll push my changes.",0,0.9573860764503479
159355315,7149,Odyseus,2018-01-03T02:46:27Z,"in this line, `dirname` should be used instead of `basename`. otherwise, a directory with the pot file name is created inside the current working directory.",0,0.9938196539878845
159355389,7149,Odyseus,2018-01-03T02:47:50Z,i forgot to mention this line before. the `js_files` variable is floating there without doing anything. lol,1,0.988186240196228
159355516,7149,Odyseus,2018-01-03T02:50:17Z,typos: - **disrtibution's** to **distribution's** - **syatems to** **systems**.,0,0.9937719702720642
