id,number,title,user,created_at,merged_at,comments,state,closed_at,codebert_sentiment_label,codebert_confidence
785420846,15769,Implement new icon/color theme,Mazino-Urek,2021-11-21T16:02:35Z,2022-06-28T20:23:26Z,558,closed,2022-06-28T20:23:26Z,0,0.991576611995697
147230642,7610,Redesign Web API,glassez,2017-10-18T07:52:11Z,2018-02-16T07:09:36Z,95,closed,2018-02-16T07:09:36Z,0,0.9816083312034607
412652072,12746,CMake scripts overhaul,FranciscoPombal,2020-05-03T19:20:30Z,,136,closed,2020-09-18T02:39:28Z,0,0.9584367871284485
48682165,3989,Implement search filters. Partially closes #972,zeule,2015-10-25T16:48:01Z,2016-04-05T22:17:27Z,116,closed,2016-04-05T22:17:27Z,0,0.9925145506858826
174278131,8584,WebUI search API. Closes #2495,Piccirello,2018-03-12T05:52:33Z,2018-10-24T10:13:16Z,92,closed,2018-10-24T10:13:16Z,0,0.9884911775588989
124086350,6911,Add a Tags system to the GUI to expand torrent organization / filtering options. Closes #13.,tgregerson,2017-06-06T00:13:21Z,2017-06-26T12:57:28Z,28,closed,2017-06-26T12:57:28Z,0,0.9932712912559509
120464200,6779,Add ip subnet whitelist for bypassing webui auth,Piccirello,2017-05-13T21:40:05Z,2017-11-20T18:52:34Z,41,closed,2017-11-20T18:52:34Z,0,0.9901093244552612
117785425,6698,Color and font themes,zeule,2017-04-26T18:55:26Z,,93,closed,2018-07-11T20:46:16Z,0,0.976187527179718
385279999,12144,Convert the Log widget to use custom View/Model,jagannatharjun,2020-03-08T15:33:48Z,,41,closed,2020-04-09T07:35:50Z,0,0.9929186701774597
282127941,10702,Allow Styling through QSS,jagannatharjun,2019-05-24T19:04:18Z,2019-07-10T11:32:20Z,99,closed,2019-07-10T11:32:20Z,0,0.9890642762184143
62339715,4936,Improve tooltips for torrent progress bar,zeule,2016-03-10T04:57:36Z,2016-06-02T14:54:12Z,92,closed,2016-06-02T14:54:12Z,0,0.9789816737174988
812735912,15915,Implement class for handling filesystem paths,glassez,2022-01-02T13:47:47Z,2022-02-08T03:03:49Z,32,closed,2022-02-08T03:03:50Z,0,0.9893875122070312
91489711,5877,locally banned IP list managment (Closes #1837 ),dzmat,2016-10-29T13:52:02Z,2017-03-07T21:14:21Z,34,closed,2017-03-07T21:14:21Z,0,0.9843577146530151
68764500,5214,Implement configurations and portable mode. Closes #465,zeule,2016-05-03T19:53:22Z,2017-04-11T23:20:35Z,108,closed,2017-04-11T23:20:35Z,0,0.9925107955932617
77642993,5532,Command line arguments for specifying options when adding torrents,briankendall,2016-07-15T16:31:33Z,2017-04-30T19:25:22Z,49,closed,2017-04-30T19:25:22Z,0,0.9908032417297363
115583437,6627,Redesign RSS subsystem,glassez,2017-04-12T16:28:53Z,2017-04-23T06:17:40Z,43,closed,2017-04-23T06:17:40Z,0,0.9803985953330994
68203040,5196,Revamp Torrent creator,Chocobo1,2016-04-28T11:12:37Z,2017-05-24T09:40:10Z,80,closed,2017-05-24T09:40:10Z,0,0.9825777411460876
70978143,5287,Implement Smart Filter,elFarto,2016-05-22T14:15:35Z,2018-02-16T10:43:39Z,56,closed,2018-02-16T10:43:39Z,0,0.9855625629425049
529821648,13885,Rework global speed limit dialog and introduce torrent options dialog,thalieht,2020-11-30T21:27:16Z,2020-12-28T03:34:39Z,55,closed,2020-12-28T03:34:39Z,0,0.9922743439674377
903146309,16840,Improve startup,glassez,2022-04-07T19:53:11Z,2022-07-04T09:48:21Z,129,closed,2022-07-04T09:48:21Z,0,0.9631413817405701
57017306,4681,Log improvements,sledgehammer999,2016-01-24T23:18:30Z,,33,closed,2016-03-25T23:53:50Z,0,0.91849684715271
71648351,5310,Fix emule dat parsing,sledgehammer999,2016-05-27T01:25:33Z,,116,closed,2017-04-26T00:13:47Z,0,0.9620339274406433
359376750,11833,Use license key for downloading GeoIP db,sledgehammer999,2020-01-06T03:36:14Z,,24,closed,2020-02-18T15:07:19Z,0,0.9915239810943604
272497993,10527,Implement tag management for WebUI,fusioneer-GitHub,2019-04-22T20:44:29Z,2019-07-24T14:07:31Z,34,closed,2019-07-24T14:07:32Z,0,0.9875763654708862
45310949,3810,Improve desktop notifications,zeule,2015-09-17T16:20:37Z,,30,closed,2020-03-07T18:07:07Z,0,0.9320936799049377
401260235,12458,Convert the Log widget to use custom View/Model,jagannatharjun,2020-04-09T07:36:49Z,2020-04-17T03:27:36Z,23,closed,2020-04-17T03:27:36Z,0,0.9929186701774597
63781134,4994,Add availability column to torrent contents,zeule,2016-03-22T19:45:21Z,2017-05-12T15:47:52Z,29,closed,2017-05-12T15:47:52Z,0,0.9906811118125916
731952766,15453,Redesign Icons,Mazino-Urek,2021-09-11T15:56:46Z,,151,closed,2021-11-19T10:14:51Z,0,0.9770660996437073
99712048,6156,Use system file type specific icons in contents tab ,zeule,2016-12-30T00:20:12Z,2017-07-03T15:06:22Z,79,closed,2017-07-03T15:06:22Z,0,0.9942935109138489
222905533,9704,[WIP] Adapt sources to the libtorrent master branch,zeule,2018-10-15T13:26:30Z,,25,closed,2019-10-03T18:25:54Z,0,0.9916461110115051
52766580,4266,Share torrents until seeding time reaches an specific amount of minutes,naikel,2015-12-05T22:27:11Z,2017-05-18T04:12:24Z,86,closed,2017-05-18T04:12:24Z,0,0.9641522765159607
481878691,13348,Improve startup,glassez,2020-09-08T08:33:46Z,,149,closed,2020-10-15T11:48:28Z,0,0.9631413817405701
193606513,9072,"Use ""Default programs"" to register file associations",glassez,2018-06-08T12:59:13Z,,13,closed,2018-12-29T18:06:54Z,0,0.9944625496864319
209415367,9375,Add additional tracker info to WebUI,Piccirello,2018-08-20T05:35:36Z,2018-12-12T04:06:33Z,34,closed,2018-12-12T04:06:33Z,0,0.9897963404655457
299393522,10948,Map Icons with IDs,jagannatharjun,2019-07-19T16:01:54Z,,22,closed,2020-06-03T13:12:26Z,0,0.9779155850410461
217216736,9562,Improve scaling of speed graphs,dzmat,2018-09-21T09:02:05Z,2018-11-01T06:46:27Z,11,closed,2018-11-01T06:46:27Z,0,0.9818525910377502
335071184,11433,Allow transfer list text color changes through QSS,jagannatharjun,2019-10-31T18:13:42Z,2019-12-19T16:20:50Z,47,closed,2019-12-19T16:20:50Z,0,0.9891493916511536
1920439158,20951,"Add ability to display torrent ""privateness"" in UI",ManiMatter,2024-06-14T10:43:13Z,2024-07-07T16:09:58Z,48,closed,2024-07-07T16:09:58Z,0,0.993164598941803
70382562,5264,Use explicit class for search plugin versions,zeule,2016-05-17T15:54:20Z,2017-04-21T12:06:51Z,20,closed,2017-04-21T12:06:51Z,0,0.9939075112342834
402206767,12480,CMake: Enforce minimum C++ mode support,FranciscoPombal,2020-04-11T15:36:17Z,2020-04-30T04:42:41Z,76,closed,2020-04-30T04:42:41Z,0,0.9895018935203552
391122283,12205,Improve man pages and related help/documentation,FranciscoPombal,2020-03-19T16:56:18Z,,27,closed,2021-08-21T00:45:17Z,0,0.9761608242988586
858526622,16485,Allow to limit max memory working set size,glassez,2022-02-19T10:29:09Z,2022-03-01T13:42:25Z,65,closed,2022-03-01T13:42:25Z,0,0.972285270690918
241832693,10099,Use SQLite to store torrents and fastresumes,sledgehammer999,2019-01-02T19:53:51Z,,47,closed,2021-03-20T04:16:15Z,0,0.9906758069992065
