id,number,title,user,created_at,merged_at,comments,state,closed_at,deberta_sentiment_label,deberta_confidence
118051528,2929,KAFKA-4763; Handle disk failure for JBOD (KIP-112),lindong28,2017-04-27T23:16:22Z,,148,closed,2017-07-22T19:37:02Z,0,0.9925923347473145
446781200,9001,KAFKA-10028: Implement write path for feature versioning system (KIP-584),kowshik,2020-07-09T10:50:51Z,2020-10-07T17:23:17Z,24,closed,2020-10-07T17:23:17Z,0,0.9940755367279053
104076260,2476,KAFKA-4586; Add purgeDataBefore() API (KIP-107),lindong28,2017-02-01T05:11:37Z,,174,closed,2017-03-28T17:00:45Z,0,0.9952877759933472
108437623,2614,KAFKA-4816: Message format changes for idempotent/transactional producer,hachikuji,2017-02-28T23:45:08Z,,112,closed,2017-03-24T19:44:49Z,0,0.9924631118774414
122129498,3131,org.apache.kafka.common.errors.UnknownTopicOrPartitionException: This server does not host this topic-partition,linxiaobai,2017-05-24T01:47:00Z,,404,closed,2018-01-22T05:11:12Z,0,0.9902267456054688
141356632,3874,KAFKA-5163; Support replicas movement between log directories (KIP-113),lindong28,2017-09-15T16:56:13Z,,35,closed,2017-10-17T16:02:58Z,0,0.9942790269851685
66076425,1215,KAFKA-3163: Add time based index to Kafka.,becketqin,2016-04-11T22:59:35Z,,62,closed,2016-08-19T17:07:47Z,0,0.994070827960968
209224098,5527,KAFKA-3705: Added a foreignKeyJoin implementation for KTable.,bellemare,2018-08-17T18:27:07Z,2019-10-03T22:59:32Z,118,closed,2019-10-03T22:59:32Z,0,0.9925004839897156
419082738,8680,KAFKA-10027: Implement read path for feature versioning system (KIP-584),kowshik,2020-05-17T09:00:58Z,2020-06-11T18:28:57Z,15,closed,2020-06-11T18:28:57Z,0,0.9939473867416382
1521726751,14406,"KAFKA-14274 [6, 7]: Introduction of fetch request manager",kirktrue,2023-09-19T17:26:32Z,2023-10-24T20:03:05Z,9,closed,2023-10-24T20:03:05Z,0,0.9932950139045715
756035709,11390,[KAFKA-13369] Follower fetch protocol changes for tiered storage.,satishd,2021-10-12T10:19:44Z,2022-12-17T17:36:44Z,16,closed,2022-12-17T17:36:44Z,0,0.9941890239715576
257820226,6363,KAFKA-5505: Incremental cooperative rebalancing in Connect (KIP-415),kkonstantine,2019-03-04T05:50:40Z,2019-05-17T03:46:04Z,5,closed,2019-05-17T03:46:04Z,0,0.9928474426269531
211442056,5582,KIP-368: Allow SASL Connections to Periodically Re-Authenticate,rondagostino,2018-08-28T14:25:35Z,2018-10-26T22:18:15Z,56,closed,2018-10-26T22:18:15Z,0,0.9944958090782166
416864311,8657,KAFKA-8334 Make sure the thread which tries to complete delayed reque…,chia7712,2020-05-12T17:23:47Z,2020-09-09T21:42:38Z,85,closed,2020-09-09T21:42:38Z,0,0.9937980771064758
98265840,2264,Kafka 4507: The client should send older versions of requests to the broker if necessary,cmccabe,2016-12-16T01:52:20Z,,81,closed,2017-01-11T19:31:42Z,0,0.9941059350967407
1469779374,14182,KAFKA 14515: Optimized Uniform Rack Aware Assignor,rreddy-22,2023-08-10T07:08:46Z,,1,closed,2023-09-20T23:34:19Z,0,0.9876254200935364
55900829,764,KAFKA-3025 Added timetamp to Message and use relative offset.,becketqin,2016-01-13T14:03:13Z,,37,closed,2016-02-19T15:57:08Z,0,0.994299054145813
1396407760,13870,KAFKA-14500; [5/N] Implement JoinGroup protocol in new GroupCoordinator,jeffkbkim,2023-06-16T22:00:26Z,2023-07-19T07:15:13Z,6,closed,2023-07-19T07:15:13Z,0,0.9946415424346924
558842078,9944,KAFKA-10580: Add topic ID support to Fetch request,jolshan,2021-01-21T03:57:32Z,2021-07-07T23:02:38Z,16,closed,2021-07-07T23:02:38Z,0,0.9937706589698792
