id,pr_number,user,submitted_at,state,body,deberta_sentiment_label,deberta_confidence
35279792,2929,onurkaraman,2017-04-28T06:12:43Z,COMMENTED,did a quick pass through the controller changes and left some minor comments.,0,0.9878419041633606
40852251,2929,becketqin,2017-05-30T06:03:13Z,COMMENTED,thanks for the patch. it looks the patch is a little outdated. i took a quick glance at part of the patch and fee it would probably be easier to review after rebasing on trunk. could you do that?,1,0.9722917079925537
43331378,2929,becketqin,2017-06-12T03:26:38Z,COMMENTED,thanks for the patch. i made the first pass on the main code and left some comments. i haven't reviewed the tests yet. will do that later.,1,0.9666110277175903
46061417,2929,becketqin,2017-06-23T21:16:16Z,COMMENTED,"thanks for updating the patch. made another path and left some comments. there are some other files that are not included in the patch but may need some changes as well. 1. in `groupmetadatamanager.cleanupgroupmetadata()`, it seems we are not handling the storageexception from line 724. 2. if a disk exception occurs in a delayed write to the socket during a fetchrequest, it seems we are not handling that. not sure what is the best way to solve that though. what i did was just find all the callers for the disk related method in `filerecords`, e.g. `readinto()`, `read()`, `append()`, `flush()`. (note that `filerecords.read()` do not actually read disk, but the follow up actions typically will read the disks). i haven't look at other files we have on the disk yet. but i think the log file is probably the most important one.",1,0.944287896156311
46132455,2929,becketqin,2017-06-27T23:34:56Z,COMMENTED,"thanks for the patch. just made another path and left some comments. i am wondering if we want to add a few more unit test for the log dir failure case. 1. when log dir fails, there are correct error code in the response. 2. the producer is able to send messages with retries when a log dir failure occurs. the system test is good, but maybe less handy to run. so some basic unit tests would help.",1,0.979972779750824
46999634,2929,junrao,2017-06-30T19:40:06Z,COMMENTED,: thanks for the patch. made a pass of non-testing files. the overall flow is pretty clear and well organized. left some comments below.,1,0.9884219765663147
48219128,2929,junrao,2017-07-06T01:52:22Z,COMMENTED,a few more comments.,0,0.9882451295852661
48933406,2929,junrao,2017-07-13T16:57:14Z,COMMENTED,: thanks for the updated patch. made another pass of the non-testing files and left some comments.,1,0.9603386521339417
50391353,2929,junrao,2017-07-18T05:13:01Z,COMMENTED,: thanks for the new patch. a few more comments.,1,0.964637815952301
51041045,2929,junrao,2017-07-20T16:15:34Z,COMMENTED,: thanks for the latest patch. it looks pretty good now. just some more minor comments.,1,0.9915426969528198
51521889,2929,junrao,2017-07-21T16:59:01Z,COMMENTED,: thanks for working on this patch diligently. lgtm. just a few minor comments. i will let becket make another pass. he can merge the patch if he is satisfied.,1,0.988263726234436
51548681,2929,becketqin,2017-07-22T05:09:32Z,COMMENTED,thanks for the patch. lgtm. i gave a final pass and left some minor comments. thanks a lot for the detailed review!,1,0.9953651428222656
51629344,2929,becketqin,2017-07-22T19:38:39Z,COMMENTED,"thanks for the patch. merged to trunk. i left a minor comment, we can address that in the follow up cleaning patch.",1,0.9754653573036194
445850773,9001,kowshik,2020-07-09T23:50:39Z,COMMENTED,first pass,0,0.9902111291885376
447492344,9001,abbccdda,2020-07-20T05:58:23Z,COMMENTED,"thanks for the awesome pr! i have done the first pass on non-testing part, will take another look at testing part later this week.",1,0.9956668615341187
452086862,9001,kowshik,2020-07-21T10:08:59Z,COMMENTED,"thanks for the great review! i have addressed the comments in d0b6984bc0dca873e30964adb5e4cfe1262a39b9, and have provided my responses to your comments. please have a look.",1,0.995934247970581
452959442,9001,abbccdda,2020-07-23T18:51:42Z,COMMENTED,thanks for the update. got a couple of more comments.,1,0.9210928082466125
455261235,9001,kowshik,2020-07-28T09:27:16Z,COMMENTED,"thanks for the review! i have addressed your comments in ee1a40b6e8264e0f0cc9f68c0c82b330fa0d724a, please have a look.",1,0.9906306862831116
456880892,9001,abbccdda,2020-07-30T03:59:34Z,COMMENTED,made another pass. would be good to have jun take a look as well.,0,0.9149641394615173
463650370,9001,junrao,2020-08-10T16:34:04Z,COMMENTED,: thanks for the pr. made a pass of non-testing files. a few comments below.,1,0.9644815325737
497716516,9001,junrao,2020-09-29T01:41:01Z,COMMENTED,: thanks for the updated pr. made another pass of non-testing files. a few more comments below.,1,0.9641662836074829
498702686,9001,abbccdda,2020-09-29T17:37:07Z,COMMENTED,"just looked through the change for firstactiveversion, which makes sense. the only question i have is that if i'm doing a bold release by removing the deprecated code completely, such that previously i have version range [1, 6] and now the code only supports [4, 6] for a pair [min, max], would my deployment be successful automatically?",0,0.9894171357154846
499803222,9001,junrao,2020-10-01T00:16:31Z,COMMENTED,: thanks for the updated pr. a few followup comments below.,1,0.9329149723052979
501427255,9001,junrao,2020-10-02T20:27:19Z,COMMENTED,: thanks for the updated pr. a few more comments below.,1,0.9290188550949097
501428667,9001,junrao,2020-10-02T20:31:49Z,COMMENTED,"a couple of more comments. also, there are compilation errors for java 8. [error] /users/jun/intellij/kafka/core/src/main/scala/kafka/server/finalizedfeaturecache.scala:148: invalid literal number [error] /users/jun/intellij/kafka/core/src/main/scala/kafka/server/finalizedfeaturecache.scala:157: invalid literal number two errors found",0,0.9941835999488831
