id,pr_number,user,created_at,body,deberta_sentiment_label,deberta_confidence
317199142,358,devshgraphicsprogramming,2019-08-23T16:01:15Z,"you can just suck in the include files from core, io and asset no need for forward declarations",0,0.9782884120941162
317204001,358,devshgraphicsprogramming,2019-08-23T16:14:35Z,list of extensions? also where's your `igpushader` creation function?,0,0.995137631893158
317204466,358,devshgraphicsprogramming,2019-08-23T16:15:45Z,why are you taking the entry point here? and stage?,0,0.9939906597137451
317204823,358,devshgraphicsprogramming,2019-08-23T16:16:42Z,"`m_code` could store both spir-v and glsl, using only `m_containsglsl` to switch between them",0,0.9928467869758606
317207295,358,Crisspl,2019-08-23T16:23:23Z,"the less unnecessary `#include`s in header files, the lesser chance for circular deps",0,0.9909890294075012
317207429,358,Crisspl,2019-08-23T16:23:46Z,theres no list of extensions yet,0,0.9872084259986877
317207820,358,Crisspl,2019-08-23T16:24:51Z,"hm, maybe i dont need to do this, i'll check",0,0.8980088829994202
317208019,358,Crisspl,2019-08-23T16:25:22Z,thats how it is ;),0,0.9854493737220764
317210769,358,devshgraphicsprogramming,2019-08-23T16:33:02Z,"well the rule is that core,io and asset shall not include anything from video namespace `core::smart_refctd_ptr ` will break if t is forward declared but not defined.",0,0.9909402132034302
317210924,358,devshgraphicsprogramming,2019-08-23T16:33:28Z,ok just make a stub struct/class,0,0.9940361976623535
317211093,358,devshgraphicsprogramming,2019-08-23T16:33:57Z,you're gonna have that stuff in ispecializationinfo/data anyway right?,0,0.9884114265441895
317211692,358,devshgraphicsprogramming,2019-08-23T16:35:40Z,"ok, so no need for an `std::stringc`, you can supply a utility function in `core::` to turn std::string&& into an `core::smart_refctd_ptr ` bonus points if you use our icpubuffer derived class with allocator, so you could actually steal std::string's data + allocator",0,0.9818589091300964
317223646,358,Crisspl,2019-08-23T17:09:08Z,yea,0,0.9237021803855896
317233950,358,devshgraphicsprogramming,2019-08-23T17:38:53Z,make override from io::ireadfile,0,0.9950460195541382
317233970,358,devshgraphicsprogramming,2019-08-23T17:38:59Z,make override from io::ireadfile,0,0.9950460195541382
317234639,358,devshgraphicsprogramming,2019-08-23T17:40:46Z,sure you want those public?,0,0.9900689721107483
317235373,358,devshgraphicsprogramming,2019-08-23T17:42:42Z,why do you need the driver?,0,0.9908007979393005
317254295,358,Crisspl,2019-08-23T18:32:12Z,"actually just for glsl version.. so might as well get rid of that and put uint32_t parameter instead (plus gl calls, but those are statics in copenglextensionhandler so driver not really needed)",0,0.991327702999115
317254438,358,Crisspl,2019-08-23T18:32:31Z,"well, yea",0,0.9773872494697571
