id,number,title,user,created_at,merged_at,comments,state,closed_at,deberta_sentiment_label,deberta_confidence
146648582,98,Meson,Salamandar,2017-10-15T13:00:01Z,2018-02-08T21:28:41Z,11,closed,2018-02-08T21:28:41Z,0,0.9802916049957275
2207068296,248,Add iso-codes as build-depends,hsbasu,2024-11-29T10:08:51Z,2024-11-29T10:33:15Z,10,closed,2024-11-29T10:33:15Z,0,0.9953085780143738
2255690420,250,Add keys to screensaver gsettings schema,kovacsIVgabor,2024-12-30T17:32:02Z,,7,closed,2025-01-01T17:26:48Z,0,0.9928861260414124
139115765,96,Improve debian packaging,Fantu,2017-09-04T09:25:15Z,,6,closed,2018-04-16T14:16:51Z,0,0.9871448874473572
34716136,43,don't break/replace old c-d lib,monsta,2015-05-05T11:40:11Z,2015-05-11T09:42:15Z,5,closed,2015-05-11T09:42:15Z,0,0.9874908328056335
36513438,49,replace the rubbish pnp.ids file,leigh123linux,2015-05-29T14:56:52Z,,5,closed,2015-06-02T09:09:50Z,0,0.7817057371139526
1626832975,237,Add Codespell workflow and fix some typo,Fantu,2023-12-02T20:02:38Z,2024-02-16T15:40:48Z,5,closed,2024-02-16T15:40:48Z,0,0.9610835313796997
614664611,193,Stop using deprecated GTimeVal/g_get_current_time,ItzSwirlz,2021-04-13T18:10:51Z,,2,closed,2021-04-30T14:38:33Z,0,0.9790631532669067
8803133,3,add upstream fix,leigh123linux,2013-10-03T11:21:26Z,2013-10-08T12:49:01Z,3,closed,2013-10-08T12:49:01Z,0,0.9943523406982422
84959176,70,Fix gtkdocize: GTK_DOC_CHECK not called in ./configure.ac,itzexor,2016-09-12T22:55:44Z,,3,closed,2016-09-14T05:52:56Z,0,0.9921655654907227
94413155,80,Port some PAM code from cinnamon-screensaver 3.0,vdcow,2016-11-18T18:31:51Z,2016-11-23T12:23:45Z,3,closed,2016-11-23T12:23:45Z,0,0.9947316646575928
843504681,204,Update for muffin changes,mtwebster,2022-02-09T05:30:14Z,2022-06-09T00:23:16Z,3,closed,2022-06-09T00:23:16Z,0,0.9848531484603882
16840682,13,Merged debian's debian/patches,Fantu,2014-06-06T20:23:31Z,2014-06-14T17:44:43Z,2,closed,2014-06-14T17:44:43Z,0,0.9911388754844666
95277891,82,Update pam config for multi-distro compatibility,lots0logs,2016-11-25T10:03:52Z,2016-12-06T11:47:41Z,2,closed,2016-12-06T11:47:41Z,0,0.9919164776802063
170023305,105,Add inhibit-lid-switch-enabled,marmistrz,2018-02-19T17:58:11Z,,2,closed,2018-04-16T11:26:23Z,0,0.9942569136619568
181711540,111,Improve debian packaging + debhelper 11,Fantu,2018-04-15T17:52:32Z,,2,closed,2018-04-16T14:22:14Z,0,0.9839121699333191
601806551,185,GVC: avoid deprecated g_type_class_add_private,leigh123linux,2021-03-26T17:49:58Z,2021-03-29T16:03:27Z,2,closed,2021-03-29T16:03:27Z,0,0.9933330416679382
1587150708,236,Updated README,kacperpaczos,2023-11-04T17:55:44Z,,1,closed,2024-01-31T14:30:49Z,0,0.9816159009933472
2165631161,245,wip: backport xrandr -> muffin changes,mtwebster,2024-11-06T16:32:05Z,,1,closed,2024-11-14T17:26:50Z,0,0.9942929744720459
16035543,11,[2.4] Added notification schema in preparation for updates to notification daemon and tray.,StealthOfKing,2014-05-19T02:39:05Z,,1,closed,2014-10-10T19:07:30Z,0,0.9897615313529968
11402776,7,Fix wallpaper thread lockups and whitespace,Frogging101,2014-01-10T14:57:29Z,2014-01-11T23:02:32Z,1,closed,2014-01-11T23:02:32Z,0,0.9827552437782288
40717067,53,Create keybinding for XF86AudioMicMute => mic-mute,gerow,2015-07-23T20:53:20Z,2015-09-17T16:04:15Z,1,closed,2015-09-17T16:04:15Z,0,0.9930679798126221
22849526,23,Add gtk-decoration-layout key,leigh123linux,2014-10-16T11:55:55Z,2014-10-16T14:16:02Z,1,closed,2014-10-16T14:16:02Z,0,0.9947136044502258
36568277,51,[2.8] Make cinnamon-desktop buildable with make,dalcde,2015-05-30T16:41:15Z,2015-09-17T16:00:04Z,1,closed,2015-09-17T16:00:04Z,0,0.9940024018287659
78152708,67,Migrate away from gnome-common deprecated vars and macros,maxyz,2016-07-20T14:04:14Z,2016-09-12T10:56:13Z,1,closed,2016-09-12T10:56:13Z,0,0.9854807257652283
93739492,79,Fix includes for libcvc,leigh123linux,2016-11-15T10:34:24Z,2016-11-23T11:17:26Z,1,closed,2016-11-23T11:17:26Z,0,0.9901483654975891
97102667,83,media-keys: Add Rotation lock support,leigh123linux,2016-12-08T11:14:26Z,2016-12-10T11:52:21Z,1,closed,2016-12-10T11:52:21Z,0,0.9928299784660339
182451453,112,[Next] use newer debhelper and meson for integrated meson support,Fantu,2018-04-18T11:41:16Z,,1,closed,2018-10-26T10:52:42Z,0,0.9945425987243652
209384642,119,meson: conditionalize generation of gobject introspection data,maxice8,2018-08-19T23:01:16Z,,1,closed,2018-10-30T12:31:19Z,0,0.9937992691993713
312225631,130,Fix unused GIR transfer notation on integer values,leigh123linux,2019-08-29T09:29:53Z,2019-09-05T11:15:50Z,1,closed,2019-09-05T11:15:50Z,0,0.9937048554420471
324945008,133,Added key required for keyboard media key volume step adjustment,deskwizard,2019-10-05T14:36:16Z,,1,closed,2019-11-14T21:40:18Z,0,0.9918377995491028
