id,pr_number,user,created_at,body,deberta_sentiment_label,deberta_confidence
816050553,15769,thalieht,2022-02-28T16:28:07Z,"too dark for dark themes imo ![a link] also not to comment in another line, completed and active seeding have the exact same color (blue).",-1,0.9656714200973511
816110274,15769,Mazino-Urek,2022-02-28T17:39:00Z,checkout changes.,0,0.9920269846916199
816193153,15769,thalieht,2022-02-28T19:37:06Z,"now completed has the same color as downloading... other than that, everything lgtm.",0,0.9731454253196716
816822440,15769,Mazino-Urek,2022-03-01T14:32:55Z,good eye!,1,0.9849167466163635
816975572,15769,thalieht,2022-03-01T17:10:41Z,it's used for downloading in light theme. pick a color not used somewhere else.,0,0.9946714043617249
817046450,15769,Mazino-Urek,2022-03-01T18:45:03Z,"i think i did something bad, but check it out. i just couldn't find a yellow color that works on white.",-1,0.9812723398208618
817088415,15769,thalieht,2022-03-01T19:46:00Z,"i don't see anything bad. i like yellow on dark but... isn't it a flashy color for a state that's supposed to be ""this is finished, forget it, let it fade in the background""? maybe i'm nitpicking.",-1,0.5306271910667419
817093620,15769,xavier2k6,2022-03-01T19:53:27Z,"i agree, -im please leave colors alone etc. until others provide more feedback & looks like you'll also now have to wait for maintainer approval. only thing i can suggest you do is keep re-basing periodically to avoid any conflicts going forward.",0,0.8871670365333557
817097307,15769,Mazino-Urek,2022-03-01T19:58:48Z,i will figure something out. after that i am leaving the pr as is.,0,0.7764918804168701
835512014,15769,thalieht,2022-03-25T18:17:33Z,[code block] otherwise it won't compile. that is how it is in master.,0,0.9886254072189331
835531506,15769,Mazino-Urek,2022-03-25T18:47:07Z,fixed.,0,0.9905837774276733
846570392,15769,Chocobo1,2022-04-09T03:53:30Z,"wrong order. in case i haven't mention it, you can use [a link] to help sorting the list.",0,0.7881355285644531
846584398,15769,Mazino-Urek,2022-04-09T06:43:49Z,fixed.,0,0.9905837774276733
846657056,15769,Mazino-Urek,2022-04-09T16:50:57Z,check the pause icon now.,0,0.992059588432312
884073887,15769,Chocobo1,2022-05-28T05:20:11Z,maybe rename it to `filter-inactive`? and other `filter*` icons too.,0,0.9896472096443176
884074144,15769,Chocobo1,2022-05-28T05:23:14Z,it would be great if you can help update it to https and latest link: [code block],1,0.6289920806884766
884074150,15769,Chocobo1,2022-05-28T05:23:22Z,add an empty line: [code block],0,0.9956621527671814
884075000,15769,Chocobo1,2022-05-28T05:33:23Z,"i think this comment is redundant, i would suggest removing it.",0,0.8740724325180054
884075295,15769,Chocobo1,2022-05-28T05:36:19Z,the code looks suspicious... try this: [code block] the same to all other similar instances below.,-1,0.8557795882225037
884086530,15769,Chocobo1,2022-05-28T07:20:57Z,"i would suggest removing this, it creates another horizontal line when rendered and now there are 2 horizontal lines.",0,0.9914103150367737
884086558,15769,Chocobo1,2022-05-28T07:21:15Z,please remove this empty line too.,0,0.9913143515586853
884174750,15769,thalieht,2022-05-28T20:20:40Z,revert this line. it causes a crash.,0,0.9474469423294067
884266820,15769,Mazino-Urek,2022-05-29T12:54:09Z,how to handle this?,0,0.9881220459938049
885198041,15769,Chocobo1,2022-05-31T04:44:20Z,"was it an intended change? if not then just change `m_trackers[null_host] = {};` back to `m_trackers[null_host] = {{}, notracker};`",0,0.9952032566070557
885268243,15769,Mazino-Urek,2022-05-31T06:58:34Z,"it was intended, we `tracker-warning` icon is required there.",0,0.9944090247154236
885277947,15769,glassez,2022-05-31T07:10:56Z,but what does the discussed line have to do with it?,0,0.9847059845924377
885283277,15769,Mazino-Urek,2022-05-31T07:17:18Z,"as per my understanding, it adds an icon when no tracker is found. it was added by .",0,0.9936681389808655
