id,pr_number,user,created_at,body,distilbert_sentiment_label,distilbert_confidence
627440957,835,Paul-Licameli,2021-05-06T13:52:48Z,"is the effect of this line to let any one of these libraries access the header files of any other one of the libraries? i see inclusions like: #include ""lib-string-utils/urlencode.h"" therefore lib-telemetry depends on lib-string-utils. you can also see that from its cmakelists.txt where it uses target_link_libraries. but what i'm hoping to do with the libraries i'm developing is avoid #include directives with more than one path component. and i think target_link_libraries will let you do just that -- shorten the #include path, so long as the library dependent on (here lib-string-utils) does not use private in target_sources. see my commit 45ff9419864c079cbd6f51cdd5e11f58ec882c30.",0,0.9443193674087524
627445357,835,crsib,2021-05-06T13:57:50Z,"this could be done in a different way, as well as the `*libname*api.h` i can change it if you want, no problem :hundred_points:",0,0.9621886610984802
627506072,835,Paul-Licameli,2021-05-06T15:05:50Z,you took the ctor out-of-line to avoid a nested header file. good!,1,0.9667484760284424
627506600,835,Paul-Licameli,2021-05-06T15:06:27Z,you figured out translatablestring::debug(). good!,1,0.989617109298706
627510621,835,Paul-Licameli,2021-05-06T15:11:06Z,we aren't distinguishing a really failed import from the user cancelling it in the progress indicator. maybe that does not matter.,0,0.7270112633705139
627515066,835,Paul-Licameli,2021-05-06T15:16:26Z,q: how do you know this string is un-internationalized (to be consistent with other uses of reportbuiltinevent)? a: because of how we use type distinctions for strings!,0,0.9817669987678528
627535303,835,Paul-Licameli,2021-05-06T15:40:29Z,"what event to you think you are reporting? i think the effect is not necessarily ""selected"" interactively if we come to this line. it might be part of a macro invocation. i know people often master their tracks with macros. maybe that distinction does not matter, but comment at least what you really mean.",0,0.9654787182807922
627537546,835,Paul-Licameli,2021-05-06T15:43:22Z,"why is the opening of this one non-modal dialog important to report, but not the others (mixer board, karaoke, macro editor, contrast, history window)? just asking.",0,0.9551899433135986
627543880,835,Paul-Licameli,2021-05-06T15:50:24Z,i'd like this table and the enum definition to refer to each other in comments,0,0.6016971468925476
627626167,835,Paul-Licameli,2021-05-06T17:26:24Z,can i start another review? yes i can. this is just a test of github. and it seems you found a bug in a 3pl to fix with a null check. did it crash for you in testing?,0,0.9846735000610352
627756976,835,Be-ing,2021-05-06T20:52:38Z,this is too vague. tell users what is being collected and why.,0,0.75525963306427
627762185,835,Be-ing,2021-05-06T21:01:37Z,"this url does not currently show a privacy policy. that should be online *before* merging this. moreover, a wall of legalese is not really sufficient for informed consent. there should be concise summaries of what information is being collected and why directly in the gui, not only on a webpage external to the application.",0,0.8706147074699402
627763498,835,Be-ing,2021-05-06T21:04:02Z,"be more specific [code block] what is ""etc""? be specific. list *all* the information that is collected.",0,0.987185537815094
627764300,835,nemobis,2021-05-06T21:05:24Z,"""anonymous"" is unlikely to be correct. audacity cannot guarantee that google or yandex won't be able to link the user's ip address to their identity, so you'd better avoid making promises which might be seen as lies.",-1,0.600544810295105
627767257,835,nemobis,2021-05-06T21:11:00Z,"indeed. the privacy policy will probably need, among other things, to list yandex and google as sub-processors, state that the user's personal data will be sent outside the eu, and probably offer a dpo contact, in addition to the usual things. you can find instructions at [a link] [a link] spoiler: it's going to be practically impossible to respect gdpr and schrems ii if you use google.",0,0.8535577058792114
627780325,835,tastytea,2021-05-06T21:35:31Z,"also, if the uuid is saved it is at best *pseudo*nymous.",0,0.9670002460479736
627844475,835,xTibor,2021-05-07T00:20:11Z,"this seems to be a downscaled version of apple's ""chart with upwards trend (u+1f4c8)"" emoji according to emojipedia. i'm not a lawyer but i'm fairly sure you're not supposed to redistribute it under gpl.",0,0.9514795541763306
627870880,835,gohanko,2021-05-07T01:50:52Z,"however, if google or yandex says it's anonymous then the blame shifts to these corporations in case it turns out otherwise, which in this case saying that it's ""anonymous"" is correct.",0,0.9735906720161438
627903275,835,fangfufu,2021-05-07T03:41:50Z,"surely you need to include the privacy policy in the distributed software, rather than asking the user to view it? surely when i download a copy of audacity, i didn't agree to a copy of privacy policy that you can update at any time.",0,0.9138579964637756
627993755,835,fungiboletus,2021-05-07T07:36:22Z,i'm afraid you cannot claim anonymous tracking and do that in the same pull request.,-1,0.8948646783828735
