id,pr_number,user,created_at,body,distilbert_sentiment_label,distilbert_confidence
317199142,358,devshgraphicsprogramming,2019-08-23T16:01:15Z,"you can just suck in the include files from core, io and asset no need for forward declarations",0,0.9771060943603516
317204001,358,devshgraphicsprogramming,2019-08-23T16:14:35Z,list of extensions? also where's your `igpushader` creation function?,0,0.9889339804649353
317204466,358,devshgraphicsprogramming,2019-08-23T16:15:45Z,why are you taking the entry point here? and stage?,0,0.967006266117096
317204823,358,devshgraphicsprogramming,2019-08-23T16:16:42Z,"`m_code` could store both spir-v and glsl, using only `m_containsglsl` to switch between them",0,0.9883682131767273
317207295,358,Crisspl,2019-08-23T16:23:23Z,"the less unnecessary `#include`s in header files, the lesser chance for circular deps",0,0.9761024713516235
317207429,358,Crisspl,2019-08-23T16:23:46Z,theres no list of extensions yet,0,0.9790520668029785
317207820,358,Crisspl,2019-08-23T16:24:51Z,"hm, maybe i dont need to do this, i'll check",0,0.7545950412750244
317208019,358,Crisspl,2019-08-23T16:25:22Z,thats how it is ;),1,0.8403564691543579
317210769,358,devshgraphicsprogramming,2019-08-23T16:33:02Z,"well the rule is that core,io and asset shall not include anything from video namespace `core::smart_refctd_ptr ` will break if t is forward declared but not defined.",0,0.9864186644554138
317210924,358,devshgraphicsprogramming,2019-08-23T16:33:28Z,ok just make a stub struct/class,0,0.9865352511405945
317211093,358,devshgraphicsprogramming,2019-08-23T16:33:57Z,you're gonna have that stuff in ispecializationinfo/data anyway right?,0,0.9855402112007141
317211692,358,devshgraphicsprogramming,2019-08-23T16:35:40Z,"ok, so no need for an `std::stringc`, you can supply a utility function in `core::` to turn std::string&& into an `core::smart_refctd_ptr ` bonus points if you use our icpubuffer derived class with allocator, so you could actually steal std::string's data + allocator",0,0.869539737701416
317223646,358,Crisspl,2019-08-23T17:09:08Z,yea,1,0.6565009951591492
317233950,358,devshgraphicsprogramming,2019-08-23T17:38:53Z,make override from io::ireadfile,0,0.9881028532981873
317233970,358,devshgraphicsprogramming,2019-08-23T17:38:59Z,make override from io::ireadfile,0,0.9881028532981873
317234639,358,devshgraphicsprogramming,2019-08-23T17:40:46Z,sure you want those public?,0,0.9849570989608765
317235373,358,devshgraphicsprogramming,2019-08-23T17:42:42Z,why do you need the driver?,0,0.9680083990097046
317254295,358,Crisspl,2019-08-23T18:32:12Z,"actually just for glsl version.. so might as well get rid of that and put uint32_t parameter instead (plus gl calls, but those are statics in copenglextensionhandler so driver not really needed)",0,0.9867393970489502
317254438,358,Crisspl,2019-08-23T18:32:31Z,"well, yea",1,0.5221747756004333
317373024,358,devshgraphicsprogramming,2019-08-24T20:09:49Z,"kill this function, just let people set .pipeline directly on materials",0,0.7588248252868652
317373047,358,devshgraphicsprogramming,2019-08-24T20:11:02Z,197+est_count*sizeof(const void*),0,0.9872259497642517
317373091,358,devshgraphicsprogramming,2019-08-24T20:12:17Z,the `imaterialrenderer` class can get nuked.,0,0.9866393208503723
317373109,358,devshgraphicsprogramming,2019-08-24T20:12:51Z,"don't comment out, use [code block] and #define new_shaders in irr compile config.",0,0.9841343760490417
317373126,358,devshgraphicsprogramming,2019-08-24T20:13:39Z,nuke igpuprogrammingservices,0,0.9890402555465698
317373166,358,devshgraphicsprogramming,2019-08-24T20:15:27Z,"nuke e_material_type, but add the old 4 default shader combos as igpumaterials to iassetmanager's cputogpu object cache and add associated icpu* objects for them",0,0.9900221228599548
317373205,358,devshgraphicsprogramming,2019-08-24T20:17:23Z,"nuke callbacks, add a 256-byte aligned (move around parts of smaterial as necessary to achieve 0 compiler padding + 256 byte alignment) uint8_t[128] array that will be then used for fetching push-constant data",0,0.9885731935501099
317373281,358,devshgraphicsprogramming,2019-08-24T20:20:10Z,i think it just called the appropriate call-back... see the definitions of `onunsetmaterial`,0,0.9865461587905884
317373294,358,devshgraphicsprogramming,2019-08-24T20:20:41Z,did this do anything else other than call the callback?,0,0.9739735126495361
317373322,358,devshgraphicsprogramming,2019-08-24T20:21:39Z,"would have been a check for matching pipelines, basically can't change shader in the middle of xform feedback",0,0.982209324836731
317373383,358,devshgraphicsprogramming,2019-08-24T20:24:31Z,in the future: sort by pipeline pointer,0,0.9883084297180176
317373612,358,devshgraphicsprogramming,2019-08-24T20:36:10Z,ok but what do you need the version for?,0,0.9876481294631958
320399762,358,devshgraphicsprogramming,2019-09-03T17:50:34Z,dont you need a different directive for vulkan glsl ?,0,0.9800421595573425
320400981,358,devshgraphicsprogramming,2019-09-03T17:53:11Z,how does shaderc compile this without descriptor sets?,0,0.9864304065704346
320401125,358,devshgraphicsprogramming,2019-09-03T17:53:33Z,"nice catch, is this also in my cleanup branch?",1,0.8506126999855042
320406453,358,Crisspl,2019-09-03T18:06:02Z,"nah, it's my fault from prev commit or something",-1,0.9834946990013123
320406683,358,Crisspl,2019-09-03T18:06:41Z,if set is not specified than set=0 if that's what u mean,0,0.9835357666015625
320406869,358,Crisspl,2019-09-03T18:07:11Z,hm?,0,0.9389364123344421
320954820,358,Crisspl,2019-09-04T20:17:40Z,i think this is quite useful because it sets pipeline on all meshbuffers of mesh scene node,0,0.8023723363876343
320955151,358,Crisspl,2019-09-04T20:18:28Z,what? i dont get it,-1,0.6829357743263245
320955552,358,Crisspl,2019-09-04T20:19:29Z,so what should i do with transform feedback? i mean this `new_meshes` is not a solution,0,0.9718195199966431
320956189,358,Crisspl,2019-09-04T20:21:02Z,is transform feedback non-optionally used in irrbaw somewhere behind the scenes? i have no idea about transform feedback,0,0.9465360045433044
320956753,358,Crisspl,2019-09-04T20:22:22Z,"now after we decided to do pipelines etc, they should be 4x igpugraphicpipelines. right?",0,0.9868173003196716
320957363,358,Crisspl,2019-09-04T20:23:47Z,where should this uint8_t[128] live when we get rid of smaterial?,0,0.9778899550437927
320958097,358,Crisspl,2019-09-04T20:25:39Z,from copenglslmaterialrenderer: [code block],0,0.9875456690788269
323639400,358,devshgraphicsprogramming,2019-09-12T09:20:41Z,yes please,0,0.9602795839309692
323641639,358,devshgraphicsprogramming,2019-09-12T09:25:44Z,there needs to be a query for driver feature if input attachments are supported on the gpu backend (only some opengl cards have this),0,0.9873185753822327
323641802,358,devshgraphicsprogramming,2019-09-12T09:26:07Z,we only support combined image samplers (with immutable samplers),0,0.9866421222686768
323642465,358,devshgraphicsprogramming,2019-09-12T09:27:39Z,"you have to provide the layouts at creation time with gpu objects, after that they're immutable",0,0.9877728819847107
323642589,358,devshgraphicsprogramming,2019-09-12T09:27:55Z,"only cpu object can have a setter, but do please add a getter to the parent class",0,0.9890060424804688
323643437,358,devshgraphicsprogramming,2019-09-12T09:29:42Z,here you can add setters and mutators,0,0.9865080118179321
323643718,358,devshgraphicsprogramming,2019-09-12T09:30:19Z,need push constant ranges,0,0.9856998324394226
323644432,358,devshgraphicsprogramming,2019-09-12T09:31:57Z,can `smart_refctd_dynamic_array` be null ?,0,0.9884576201438904
323644748,358,devshgraphicsprogramming,2019-09-12T09:32:38Z,remove line loop and any other types not supported.,0,0.956333339214325
323644826,358,devshgraphicsprogramming,2019-09-12T09:32:45Z,add them,0,0.9846047759056091
323646720,358,devshgraphicsprogramming,2019-09-12T09:36:43Z,split this struct into [a link] and [a link] remove the `enabled` field,0,0.9887590408325195
323646817,358,devshgraphicsprogramming,2019-09-12T09:36:55Z,make sure `e_format` has a sizeof 4,0,0.986684262752533
323647360,358,devshgraphicsprogramming,2019-09-12T09:38:13Z,only these are supported [a link],0,0.9875215888023376
323647463,358,devshgraphicsprogramming,2019-09-12T09:38:27Z,if enum could match that'd be awesome,1,0.9241973757743835
