id,number,title,user,created_at,merged_at,comments,state,closed_at,distilbert_sentiment_label,distilbert_confidence
813588818,331,Update Windows Packaging,doadin,2022-01-04T05:57:05Z,,131,closed,2022-01-13T22:23:59Z,0,0.9861592650413513
823521779,338,IP Check Updates,doadin,2022-01-15T07:12:26Z,,32,closed,2022-01-30T16:14:07Z,0,0.9884904623031616
224597487,221,[Core] Call wait_for_alert in a thread,DjLegolas,2018-10-22T06:25:21Z,,13,closed,2023-11-27T15:50:47Z,0,0.9887561202049255
56100230,57,UI option handling fixes and cleanup,bendikro,2016-01-14T21:59:55Z,2016-04-18T10:57:41Z,5,closed,2016-04-18T10:57:41Z,0,0.9893250465393066
189115298,181,Initial Appveyor Support,doadin,2018-05-18T19:31:01Z,,15,closed,2018-06-02T20:54:04Z,0,0.9856659770011902
96429411,138,host:port paste support,matiasw,2016-12-04T11:22:56Z,,19,closed,2017-02-23T18:49:25Z,0,0.9873601794242859
21665586,12,[Extractor] Add Finding Win 7z Path via Registry,doadin,2014-09-23T18:23:44Z,,12,closed,2014-09-24T21:51:10Z,0,0.9873643517494202
185333635,180,#3171 Add Option To Specify Outgoing Connection Interface,doadin,2018-05-02T04:38:12Z,2018-05-29T19:00:52Z,14,closed,2018-05-29T19:00:52Z,0,0.9868573546409607
838831086,359,[Core] Document all exported core methods with type hints,gazpachoking,2022-02-03T00:51:26Z,,18,closed,2022-02-11T08:49:51Z,0,0.9872589707374573
198527596,200,Feature GTK3UI,cas--,2018-07-01T14:46:39Z,2018-11-05T08:51:30Z,31,closed,2018-11-05T08:51:30Z,0,0.9787584543228149
829002583,343,[3499][Core] Stopped using deprecated functions,DjLegolas,2022-01-21T22:44:12Z,,27,closed,2022-02-13T13:50:12Z,0,0.9725586175918579
22166378,14,Added method remove_torrents to core.,bendikro,2014-10-02T20:06:26Z,,6,closed,2014-12-03T16:52:44Z,0,0.9880951642990112
821658522,337,Windows Continued,doadin,2022-01-13T23:05:52Z,,9,closed,2022-01-21T13:34:07Z,0,0.9833989143371582
843173714,369,Automatically refresh and expire the torrent status cache,gazpachoking,2022-02-08T19:34:48Z,,6,closed,2022-02-15T15:15:06Z,0,0.9875099658966064
67617488,78,[#1959] [WebUI] Allow user selectable GUI language,bendikro,2016-04-23T20:23:04Z,2016-04-25T14:45:34Z,9,closed,2016-04-25T14:45:34Z,0,0.9856566190719604
1944514990,454,Ci fixes and updates,Lord-Kamina,2024-06-28T14:51:37Z,,11,closed,2024-09-18T13:46:25Z,0,0.9860343337059021
69542676,90,Develop pass ui client args,bendikro,2016-05-10T17:08:03Z,2016-05-21T14:06:13Z,4,closed,2016-05-21T14:06:13Z,0,0.9878743290901184
197747938,196,WiP [#3065] Enhance TLS Security,cas--,2018-06-27T14:14:56Z,,10,closed,2018-09-06T18:18:36Z,0,0.9831010699272156
66721759,67,[GTKUI] Fix #2802: GTKUI classic mode shutdown procedure is broken,bendikro,2016-04-16T00:35:03Z,,2,closed,2016-04-18T15:33:55Z,0,0.9880318641662598
835215548,354,Remove twisted.trial tests,gazpachoking,2022-01-29T21:35:27Z,,8,closed,2022-02-03T22:33:52Z,0,0.9854228496551514
853664019,376,Support IPv6 In host lists for Connection Managers,doadin,2022-02-15T20:15:29Z,,5,closed,2022-02-18T23:06:06Z,0,0.9865555763244629
201463737,204,[#2009][WebUI] Add About window,DjLegolas,2018-07-14T18:33:52Z,,21,closed,2018-10-21T14:58:35Z,0,0.9816175103187561
833909351,352,[Core] Test mixing in async/await syntax,gazpachoking,2022-01-27T21:49:40Z,,20,closed,2022-02-02T05:28:02Z,0,0.9891679286956787
199964042,201,[#3189] Refactor HTTPDownloader to Agent,DjLegolas,2018-07-08T22:23:42Z,,4,closed,2018-07-15T11:47:20Z,0,0.9894240498542786
840951781,364,[CI] Added CI run on minimum and current python requirements,DjLegolas,2022-02-05T22:40:29Z,,11,closed,2022-03-02T13:19:49Z,0,0.9858080148696899
68481559,83,Fix Auto-add plugin to accept torrent files with uppercase extension,Tanz0rz,2016-04-30T23:04:23Z,,8,closed,2016-05-12T16:44:14Z,0,0.9886358976364136
