id,pr_number,user,submitted_at,state,body,distilbert_sentiment_label,distilbert_confidence
180878121,330,jeremypw,2018-12-03T17:19:32Z,DISMISSED,some initial comments on the code.,0,0.9849751591682434
418595475,330,danirabbit,2020-05-26T19:14:07Z,DISMISSED,"i can't confirm that this ever shows ""open in web browser"", and it seems to also break opening in the file browser. i left some other inline comments",0,0.9484812617301941
425649804,330,danirabbit,2020-06-05T22:08:07Z,CHANGES_REQUESTED,seems to work as expected now. nice job! left some comments/questions in line,1,0.9932780861854553
667969170,584,felix-andreas,2021-05-25T15:19:34Z,APPROVED,"the code looks good to me! it solves both linked issues. and even though the callback of the `contents_changed` signal is called multiple times per second when using the terminal, i can't measure any performance differences.",1,0.9896290898323059
290621413,386,felix-andreas,2019-09-19T16:54:38Z,COMMENTED,"i think you accidentally mixed up the values of the event macros. just out of curiosity, what is the advantage to use these macros over `true/false`?",0,0.8912913799285889
414709881,505,cassidyjames,2020-05-19T18:26:52Z,CHANGES_REQUESTED,"i'm :-1: to add a new ""sync"" setting here. i think the new behavior will work how most people expect. for those who want a larger default zoom for all tabs, they can set it once and forget it. for someone who wants to zoom in and out on a specific tab, this will work for them as well.",0,0.9199957847595215
523695115,505,cassidyjames,2020-11-04T20:06:19Z,DISMISSED,behavior-wise i think this makes sense. just a couple of code style/readability things.,0,0.9712387919425964
524566641,505,cassidyjames,2020-11-05T18:52:41Z,DISMISSED,"hm, installing this on elementary os 6, it defaulted to 25% zoom the next time i opened terminal. this is reproducible by setting `/io/elementary/terminal/saved-state/tab-zooms` to the default, then re-opening terminal. i _think_ my suggested change will resolve that by defaulting to 1.0.",0,0.986855149269104
526677246,505,cassidyjames,2020-11-09T21:41:48Z,COMMENTED,i'm generally happy with this ux-wise. i would still like to get a code review from /desktop-developers though.,1,0.8719382286071777
1703785760,742,jeremypw,2023-10-30T10:42:00Z,CHANGES_REQUESTED,this is mostly working - thanks! a couple of issues: - changing the default font with ` scroll` does not change settings because at the moment the terminal widget changes the font directly. you need to change the scroll handler to activate the relevant window action instead. - i suggest you split the `save_opened_terminals` function up so that you can change the zooms and uris settings independently to save unnecessary work being done.,1,0.9826924800872803
1704740371,742,jeremypw,2023-10-30T17:39:38Z,CHANGES_REQUESTED,you seem to have repeated a lot of code in `save_open_terminals_with_zooms`? can you just call the split functions? adding another signal to the terminal widget is not the best solution - you can just activate the appropriate action in the scroll handler instead of calling `increment_size` and `decrement_size`. this can be done with code like `window.get_simple_action (mainwindow.action_zoom_font_in).activate (null);` (other examples of this pattern are already used in the code) i have made a couple of other comments inline.,0,0.9738070964813232
1708630934,742,jeremypw,2023-11-01T16:53:50Z,APPROVED,i think this is good to go now - thanks for your contribution!,1,0.9821571111679077
1708658939,742,jeremypw,2023-11-01T17:09:29Z,CHANGES_REQUESTED,"sorry, missed the fact that one of the unit tests now fails (ci was failing anyway in other prs for an unrelated reason). the error given is [code block] not immediately obvious why this pr should affect the number of tabs - i'll investigate.",-1,0.9843346476554871
487961116,542,danirabbit,2020-09-14T17:33:55Z,CHANGES_REQUESTED,"hey thanks for working on this! this is looking really good and it's definitely a highly requested feature so i appreciate you tackling it. i left some inline comments with some minor code cleanups and copy changes alignment etc. i agree that the long combobox here is pretty unweildy. perhaps instead of trying to include as many styles as we can find, it would be better to have some kind of import mechanism and stick with the same 3 default styles for now. perhaps in the interest of getting this feature merged more quickly, we should reduce the scope of this branch to only supporting a single custom style and we can expand in later follow-up branches i think a major interaction issue we have here is that if you ever switch away to another style, your custom style gets wiped. this seems like it would be pretty frustrating for someone who switches between styles. i imagine we should probably persist custom styles in gsettings. maybe with a ""styles"" child schema, even if we only support saving one custom style for now yes i think we want to maintain the behavior of a style also setting the window chrome to dark or light. the quick style switcher should make it really easy to alternate between styles without having to fiddle with individual settings every time",1,0.9867620468139648
73584841,160,jeremypw,2017-11-01T19:12:05Z,DISMISSED,"some changes are needed to make this work see comments in line. at the moment, first change of zoom factor results in a microscopic font and changes are not reflected in settings.",0,0.9838729500770569
