id,pr_number,user,submitted_at,state,body,distilbert_sentiment_label,distilbert_confidence
1242527620,11695,zuiderkwast,2023-01-10T17:20:22Z,COMMENTED,"i have skimmed though the diff. this looks very promising! regarding the topics in the top comment: i think your solution looks good. i think it needs to be more fair. i have commented on the diff. see comment on the diff. yes i think we need to do this, at least for checking if it affects performance. a simple way could be to cache the last computed hash inside hashkeyslot itself: [code block] for simplicity, i like that we have all the dicts allocated, but if we use an array of dict structs (see also comment in the diff) instead of an array of dict pointers, we probably get a bit faster as there are less pointers to follow thus less memory accesses.",1,0.9839171171188354
1243088686,11695,molian6,2023-01-11T00:32:54Z,COMMENTED,"thanks for publishing the pr . i'm really excited for this change! i reviewed db.c and left some questions, will continue reviewing the remaining files tmr.",1,0.992391049861908
1283352450,11695,madolson,2023-02-04T01:27:05Z,COMMENTED,"took another look. the only think i still don't really like is the random key selection, but i'm not sure how much it really matters. do we have any performance testing for eviction? that might be more heavily impacted by the increased time spent selecting a random db. i would still bias towards making the random db selection faster, and random over a long time frame, then necessarily accurate at a given point in time.",-1,0.8603057861328125
1287219509,11695,oranagra,2023-02-09T12:14:54Z,COMMENTED,"i skimmed through the changes (not too deeply though). added a few questions, observations and suggestions.",0,0.9549806118011475
1325168337,11695,oranagra,2023-03-05T12:26:03Z,COMMENTED,"i skimmed through the recent changes one commit at the time. in retrospect it might have been wrong, due to the repeated changes to the same code, and some of my comment may be outdated or misplaced. also, i think due to some glitch in gh it looked as if i'm reviewing some changes out of order, seeing code that should have been gone already changes in an outdated form. or maybe some commits are incomplete, or something else i don't understand. bottom line, please ignore comments that you think are already handled.",0,0.7922843098640442
1338031193,11695,madolson,2023-03-14T04:38:41Z,COMMENTED,"mostly lgtm, still curious about the fairness of the lru for two conditions: 1. some large slots. 2. uniform distribution of slots. i think if we cover those two cases for eviction, i'm happy with the results.",1,0.8314893245697021
1369891163,11695,madolson,2023-04-03T22:52:26Z,COMMENTED,"i'm now conceptually happy with the changes. i have no outstanding concerns for the design, just some minor comments.",1,0.8196499943733215
1376601156,11695,madolson,2023-04-07T21:35:00Z,APPROVED,lgtm,0,0.9795994758605957
1575782756,11695,oranagra,2023-08-13T18:08:51Z,COMMENTED,"i've re-reviewed everything line by line. i must say that unlike the first time i took a look at it, i no longer have a bad feeling about it. maybe it's because this pr had gone through some cleanup and refactory (i don't recall), or maybe it's a matter of expectations, which are now different. i added a few comments with minor questions and suggestions for improvements. after that, and the other pending comments (about expires dict?), i suppose we can proceed. thanks.",1,0.7948421239852905
1612505162,11695,oranagra,2023-09-06T05:52:44Z,COMMENTED,"thanks. please go over the comments that you resolved and mark them as such, so it'll be easy to keep track of what's left.",1,0.7650056481361389
1618765488,11695,madolson,2023-09-15T17:30:53Z,COMMENTED,"mostly a partial review, will try to finish some time next week.",0,0.9766342043876648
1654553842,11695,oranagra,2023-10-03T07:51:49Z,COMMENTED,"i went over my (and a few others that were old) comments that were unresolved, and resolved the ones that are handled. there are still some that aren't, and it's hard to go over everything each time. maybe for some we should add a todo section in the top comment and resolve them.",0,0.9526083469390869
1663219180,11695,oranagra,2023-10-08T11:58:54Z,COMMENTED,"conceptually approving the pr, and the handling of the remaining issues later. went over the unresolved comments, and saw two small things that i didn't see in your list. [a link] - about benchmarking mset ~~[a link] - please ack that it's handled.`~~",0,0.9224247336387634
1663721630,11695,madolson,2023-10-09T04:52:27Z,APPROVED,"we should close on oran's comments, but i'm happy with all the updates and have nothng else to add. , pinging you as well for approval. the top comment seems mostly up to date as of this point.",1,0.8318755626678467
807470673,9788,oranagra,2021-11-16T16:30:59Z,COMMENTED,"thank you. i started reviewing the pr, and also edited the pr top comment to make it clearer (please check if it looks right). so far i reviewed just parts of it (namely all the files excluding aof.c and the tests). i.d like to post my comments for discussion before i proceed with the other parts, to see if we agree on things, or maybe i have a misunderstanding.",1,0.9495963454246521
808236545,9788,oranagra,2021-11-17T20:25:48Z,COMMENTED,"done reviewing aof.c, didn't review the tests yet.",0,0.9641192555427551
817221984,9788,yossigo,2021-11-29T14:40:24Z,COMMENTED,"hey , i have done a quick initial review and have some comments - but there are also some bigger topics i'd like to raise here. the two main concerns i have are these: * things being more complex for users who wish to backup or migrate aof files around, and in particular failing to copy the right files. * upgrade path. one way to address the first concern, that came up in the past, is to treat the `appendfilename` as a name of a directory we create (under `dir`) and place all files there. users then basically have to backup or transfer the **entire** directory. any down sides to that? regarding the upgrade path, the most common scenario i consider is where the user simply replaces `redis-server`, restarts and expects everything to work. if we simply treat `appendfilename` as a prefix we'd be creating aof data that existing scripts/tools/etc. may not be aware of and silently fail to handle. worse, if the old `appendonly.aof` is still there it could later be used to restore stale data. to address that, we should probably rename the old-style file pointed by `appendfilename` to the new-style structure (as a base). another issue is that unless the configuration parameter is changed, we'd end up with something like `appendonly.aof.25.aof` which would be weird. here, the above proposal to use a dedicated directly might help - because `appendonly.aof` would still exist but become a directory instead of a single file.",0,0.6892336010932922
834071770,9788,oranagra,2021-12-16T20:31:15Z,COMMENTED,"here's some feedback (maybe i'm reviewing an intermediate commit). i was under the impression that we decided to start by adding a separate config for the folder name, and use the old config as both a way to locate the old file on upgrades, and maybe also use it as a pattern for the file names we create inside the dir. i.e. agreed with you that this is cleaner than using the old config as a folder name. i was afraid of some edge cases with this approach that we should look into and try to resolve. or actually if we use the old config as a pattern for the files we create in the folder, maybe there's no problem. did you reach some new conclusion on the matter which caused you to go with the approach of using the old config only?",0,0.6575297713279724
840074691,9788,yoav-steinberg,2021-12-26T11:43:56Z,COMMENTED,some phrasing..,0,0.967365562915802
840061102,9788,oranagra,2021-12-26T12:58:26Z,COMMENTED,"did another top-to-bottom review of the c code and found some final comments. also, finally had time to review the tests.. all in all they look good, i added a few suggestion got improvements.",1,0.7321020364761353
840829269,9788,oranagra,2021-12-28T12:07:39Z,COMMENTED,finished reviewing the c file. posting first part of my review.,0,0.970674991607666
840857119,9788,oranagra,2021-12-28T13:03:32Z,COMMENTED,"i only reviewed the changes in the tests and not re-reviewed the whole thing (tests). this means that if some of my previous set of comments was not handled (or had two asks, and only one was handled), i'll miss this. just stating this to make sure you think you understood everything, and if you think there's a chance something wasn't clear, please open that discussion and add a comment in it.",0,0.742401659488678
840929608,9788,oranagra,2021-12-28T14:44:46Z,APPROVED,another full ci: [a link],0,0.9849458932876587
842039844,9788,yossigo,2021-12-30T19:05:41Z,COMMENTED,"lgtm with a few comments, mostly around typos / suggestions for improved log messages.",0,0.9863142967224121
842456619,9788,madolson,2022-01-03T01:14:46Z,APPROVED,"adding my approval from the high level design, didn't look at the details.",0,0.8369807600975037
1126880845,11012,madolson,2022-09-30T14:59:57Z,COMMENTED,"we probably need to add some tests are doing recursive lmove commands, which don't seem to exist.",0,0.9793215394020081
1127641614,11012,oranagra,2022-10-02T14:48:15Z,COMMENTED,"thanks ran. this area needed some cleanup. in fact, we could rename it to be part of the ""sort out the mess"" series :smile: fyi: #11310 (not sure which one to merge first) cc there is a ton of deleted code here, it's impossible to make sure it didn't have any specific logic for blocked command edge cases that's missing from the actual commands. i just hope we have enough tests to spot these. cc -binbin maybe you can spot something.",1,0.9078119397163391
1187956233,11012,oranagra,2022-11-21T11:36:54Z,APPROVED,"thanks , so this is basically ready for merge? i skimmed though the code again (not a real review) and added a few minor comments. please make sure the top comment is updated with all the important details people may wanna know without reading the code. i wonder if we should do something to benchmark any performance regressions from this maybe you have an idea? i.e. create a scenario where the benchmark keeps creating a mass of blocked clients and releasing them and compare the performance to the old code.",0,0.7654443979263306
1190257026,11012,madolson,2022-11-22T15:18:06Z,APPROVED,lgtm. i also think it would be good to do performance testing.,1,0.5335896611213684
1233431181,11012,oranagra,2023-01-01T14:28:55Z,APPROVED,can you please add some trivial monitor + blocked client test in unit/instospection.tcl? [edit] and make sure the top comment is updated,0,0.9874228239059448
730201916,9357,oranagra,2021-08-16T07:23:05Z,COMMENTED,"initial review. the two important aspects are maybe: 1. terminology: maybe if we'll call the non-ziplist nodes ""plain"" instead of ""none"" it'll be easier to refer to them anywhere in the code. 2. i feel that we didn't handle compressed nodes correctly, not sure how well this is covered by the tests.",0,0.7180505990982056
735574014,9357,oranagra,2021-08-22T15:49:08Z,COMMENTED,"i saw a commit so i reviewed it. i now realize it's half baked, but since i already wrote down some comments i'll post them.",0,0.8992190957069397
752399766,9357,oranagra,2021-09-13T09:25:04Z,COMMENTED,"i went over the diff from the last commit i reviewed. since it was a diff between two commits i didn't see the older comments still pending, so i may have commented on something that's already commented. please go over all the existing comments, if they're already solved, mark them as resolved. if you have two discussions on the same topic you can add cross-reference links and resolve one, or resolve them when they're done.",0,0.9830117225646973
787499618,9357,yossigo,2021-10-24T11:31:24Z,APPROVED,"not a full code review, but lgtm (with one typo).",0,0.9882315993309021
787506539,9357,itamarhaber,2021-10-24T12:27:41Z,APPROVED,"no cr, yes approval.",0,0.9750038981437683
787568513,9357,madolson,2021-10-24T23:53:41Z,APPROVED,lgtm,0,0.9795994758605957
880971895,10285,oranagra,2022-02-13T14:03:53Z,COMMENTED,"i haven't reviewed the code yet, just responding to the top comment of the pr, the discussion points, and a few other things i noticed. i decided to find places to post these as code-comments so that separate discussion threads can be handled in parallel.",0,0.9447618722915649
881027300,10285,yossigo,2022-02-13T18:11:22Z,COMMENTED,"i've just had a quick look at this, so posting some initial feedback mostly based on 's and the top comment. not in favor of that. the problem is we lose track of explicit config vs default config, which tends to become an issue over time when defaults change. is there a problem to expose something similar to what redis already does, and let the module control if a value is to be rewritten or not? i very briefly proposed an alternative. i am sure we need to support multi-param set as a basic feature of the api. possibly, also support both push and pull (where pull is done by the module at `onload` time).",0,0.8980486989021301
888008342,10285,oranagra,2022-02-20T15:18:04Z,COMMENTED,"i think the module api is rather solid, other than maybe: 1. a few more flags we could expose (like percent_config) 2. improved enums configs (not relying on implicit int values). 3. improved apply callback that takes a redismodulectx and / or privdata i posted quite a few comments about the implementation, but most importantly there's a lot of logic copied from config.c into module.c, and i think we could maybe find a way to avoid that (see my comments in parseandsetnumericconfig). so maybe we need to look into a poc for that approach before dealing with the test of the comments? p.s. haven't reviewed the test code.",0,0.6914318799972534
907955094,10285,madolson,2022-03-12T06:50:45Z,COMMENTED,"thanks ! i think the refactoring definitely cut down on the duplication. i took a pass through the code. i didn't read too much of the documentation updates, but i think i will just push some updates tomorrow.",1,0.978293240070343
911226823,10285,oranagra,2022-03-16T14:26:06Z,COMMENTED,imho looks a lot better than the initial version i reviewed. thanks. added a bunch of small comments. haven't reviewed the tests yet.,1,0.9788565635681152
912364657,10285,madolson,2022-03-17T02:31:06Z,COMMENTED,"looks pretty good to me, mostly minor comments now.",1,0.9576167464256287
918533350,10285,oranagra,2022-03-23T13:46:46Z,COMMENTED,"another round of review. i'm gonna edit the docs for rm_registerstringconfig myself (would be easier than reviewing suggestions), so feel free to fix / argue after my edit.",0,0.7959957718849182
920749426,10285,oranagra,2022-03-24T19:25:31Z,COMMENTED,thank you. this is close to being perfect 8-),1,0.9913030862808228
922405824,10285,oranagra,2022-03-27T06:43:37Z,COMMENTED,"i went over all the unresolved comments, and resolved most of them (mostly outdated or handled). finally reviewed the tests too. please go over the pr top comment and make sure it's updated thank you!",1,0.9639040231704712
923827406,10285,madolson,2022-03-28T22:57:07Z,COMMENTED,"i finally got around to finishing reading the documentation. ""effectively"" an approve from me, as i'm okay with the tradeoffs made in this pr, but would like to see them get closed in the discussion.",0,0.9505537152290344
925269835,10285,madolson,2022-03-29T21:42:04Z,APPROVED,"lgtm. i still prefer the char *, but it's not something i honestly feel that strongly about.",-1,0.7425356507301331
1407081072,12109,oranagra,2023-04-30T10:57:57Z,COMMENTED,"thanks. i didn't really dive into the derails and code, but i do have a few comments about a few things i noticed. p.s. still not certain about using a second socket rather than multiplexing yet, each has its pros and cons.",1,0.9262792468070984
1438416107,12109,madolson,2023-05-23T04:52:50Z,COMMENTED,"finally circled around to this again. it still feels like there is a lot of code and it feels like there should be less, and i think there is some duplication between regular and two channel sync",0,0.762977659702301
1526335332,12109,oranagra,2023-07-17T09:13:53Z,COMMENTED,"thank you for the pr. i reviewed the code, without the tests for now and added many comments. here are a few top level notes (**each also has a thread of it's own in the comments, but i wanna draw the attention to these first**): * the review took long and it could be that some comments are duplicates. * i think that before merging this we better refactor replication.c into two files (master related code and replica related code, i'll discuss this with the core team. * i think we should change the state machine / connection sequence to a different way to do capability exchange and fallback to old mechanism without a reconnect. * i think we're mixing several different aspects in replconf that should be kept separate * i feel that the two connections should be coupled in some way (redis will be aware that they're a pair). this could help us make sure the end-offset doesn't disappear from the backlock if it is small. * i feel the terminology isn't consistent (rdb channel, vs second channel and so on), and that we need to decide on it and sort it out.",1,0.9747325778007507
1861423638,12109,oranagra,2024-02-04T18:08:03Z,COMMENTED,"i only reviewed the incremental diff from my last commit, didn't re-review the diff against unstable. but since so much time passed since my last review, i'm not sure i have the right context in my head for a partial review. if you're gonna now work on it till completion, i'll need to re-review it from scratch sooner or later, but hopefully i'll do that after some terminology and comments cleanup, and maybe after any missing parts are complete (so that i don't have to repeat that again too many times) please mark all the resolved comments as such, and if there are big ones that require design discussion and decisions, let's do that first, before reviewing and arguing about nonsense. p.s. didn't look at the tests.",0,0.8226004838943481
1896045887,12109,oranagra,2024-02-25T10:46:24Z,COMMENTED,"some of my comments are overlapping / contradicting since they suggest changing the pending_slaves mechanism in different ways. we need to figure this out, but i don't have a concrete suggestion.",0,0.8035572171211243
725127812,9323,oranagra,2021-08-09T19:08:44Z,COMMENTED,"thank you, i think this pr shows the potential of that concept quite well, and it's nice to see that the code was nearly prepared for this concept and you were able to apply it nicely without too many changes. i did a quick review and gave a few comments, the main issue to be resolved is probably around the module api and complex modules with out of keyspace data. few other things i must note: 1. during loading redis is not highly responsive, it only processes events for a short period once in some 2mb of rdb data. so the clients working with the replica may get degraded performance, even beyond the fact that the cpu is heavily invested in loading. 2. i think we wanna have that mode enabled only when a replica was previously in sync with a master (not depending on whatever the database was empty or not though), when a new replica comes up, we'll want to avoid using swapdb, so that we **will** respond with -loading.",1,0.9139931201934814
737636496,9323,oranagra,2021-08-24T20:11:47Z,COMMENTED,lgtm with minor fix. what's left is to handle the modules issue.,0,0.9865119457244873
741115188,9323,oranagra,2021-08-29T13:50:40Z,COMMENTED,"thank you.. your changes seem great! i gave a few minor comments mostly about renaming ""repl async"" to ""repl async load"". and raised a few questions about ordering. i think you can proceed with adjusting the tests.",1,0.9917422533035278
752743515,9323,oranagra,2021-09-13T19:15:32Z,COMMENTED,"i re-reviewed the whole thing from scratch, here are my new comments:",0,0.9683216214179993
770028373,9323,oranagra,2021-10-04T08:57:24Z,COMMENTED,"reviewed your last commit. lgtm. i also updated the top comment about the new module api flag, and an explanation as to why we replaced checks of the loading flag with aof client id. please see if there are any other things that need to be noted for future reviewers or release notes.",0,0.9785036444664001
775687107,9323,zuiderkwast,2021-10-10T16:28:35Z,COMMENTED,i like the last commit. it's just what i was thinking. i have only a few comments.,1,0.788908839225769
781462611,9323,oranagra,2021-10-17T15:41:39Z,COMMENTED,"thank you. tests look fine, but i'd like to see if we can find a way to make them run shorter (not wait for slow replication completion), and share code. p.s. this is that last thing to handle right? all other comments are addressed? please go over the ones not yet resolved, make sure they're handles and resolve them. also make sure the top comment is updated with what was done, why and any other implications of the changes. then i'll ask the core-team to approve and we can merge.",1,0.9042172431945801
781474264,9323,oranagra,2021-10-17T18:36:29Z,COMMENTED,"i went over some of the unresolved comments and marked them as resolved. and also edited the top comment and filled in additional info (mainly the decision of async loading based on repl-id). please take a look and fill additional info. regarding the slotstokey map, did we decide to leave it in server.c or make it opaque in cluster.c? (if we do that, the top comment needs another update, or just deletion of a line) let's finish all the c code and documentation before we proceed with test cleanup, which we can do while others review the code.",0,0.9772440195083618
787516451,9323,yossigo,2021-10-24T14:03:52Z,COMMENTED,"not a full detailed code review, but lgtm. one comment: i think we're missing explicit handling for invalidating tracked keys (client side caching) somewhere in `swapmaindbwithtempdb`.",0,0.9818648099899292
791386932,9323,oranagra,2021-10-28T05:53:11Z,COMMENTED,"i did a quick (and maybe sloppy) review. i feel the tests need more work, and i pointed out some things i think are wrong. please let me know if you feel i'm missing something.",-1,0.9223629832267761
795050026,9323,oranagra,2021-11-02T09:16:24Z,COMMENTED,"lgtm, one last change requested.",0,0.9855738282203674
723668378,9323,madolson,2021-11-04T04:13:34Z,APPROVED,"approving based on documentation, didn't read the implementation details.",0,0.925612211227417
754361422,9166,oranagra,2021-09-18T08:06:16Z,COMMENTED,"wow.. impressive work. i must say that i like the result despite the complexity it adds, i think it brings a lot of value. i gave quite a lot of comment, possibly some were due to my misunderstanding of the roles of some fields (i began by reviewing server.h), which became clear later when i read the code that uses them, but still i think the documentation in the header and possibly some field names should be improved. i also think i found one or two bugs, which indicates that we may need to improve the testing to cover these cases, and maybe also add some fuzzer to smoke out other edge cases not currently covered. please go over the pr top comment and see if it needs any update. i think it doesn't mention the rax used for quick psync offset finding (and the fact not all nodes are included). and i think it doesn't mention the fact that now the actual backlog can be larger than the config setting if some replica is using large buffer (so psync will sometimes succeed with bigger gap).",1,0.9857492446899414
