repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
CivMC/Civ,comments,2408106090,634,"style: - `if(limit.gettype().equals(""altitude"")){` -> `if (limit.gettype().equals(""altitude"")) {` - `public void onenable(){` -> `public void onenable() {` - `public static buildlimitsconfig generate (` -> `public static buildlimitsconfig generate(` etc.",0,0,0,0.9849138855934144,0.992591142654419,0.9945682287216188,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2183350524,550,"as a semi-related side note, i have 1.21 working [a link] and will create a pr for it once paper marks 1.21 as stable.",0,0,0,0.9880639910697936,0.9787816405296326,0.98662668466568,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2183356345,550,"question, why gradle 8.5 instead of 8.8?",0,0,0,0.9494659900665284,0.9897518157958984,0.9809374213218688,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2183358451,550,i think because it was complaining that 8.5 was the minimum viable version so that's what i went with.,0,0,0,0.8992528319358826,0.9512871503829956,0.93889057636261,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2187634388,550,might be worth going through and undoing the formatting though as this is an extremely contentful pr and it's hard to review the pr.,0,0,0,0.7039027810096741,0.8088483214378357,0.949478805065155,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2187867710,550,"managed to get rid of a lot of it, will keep at it. intellij is remarkably frustrating to deal with regarding this, i can't seem to find a way to completely disable every autoformatter that it's using.",-1,-1,-1,0.944776177406311,0.9916399717330932,0.9810075163841248,-1.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2187872423,550,"hmmm, try going to `settings -> tools -> actions on save` and basically unticking everything. you don't really want these things to happen unless it's your own project anyway, or the project's style is *strictly* enforced, otherwise you'll just get diff-hell :p",1,-1,1,0.7396665811538696,0.7050122022628784,0.6700112223625183,1.0,accept,majority_agreement,2
CivMC/Civ,comments,2187888488,550,never had any of them checked. i think it's that all the plugins have different styles and intellij isn't sure what to stick to. mostly it's that they use spaces vs. tabs for indentation or have different rules about line wrapping and whatnot. even forcing it to not format .java files still has it make some changes for some reason (eg removing indents on empty lines is apparently not formatting).,0,0,0,0.8495990633964539,0.7188646197319031,0.8763318061828613,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2239317791,550,"worth noting that github has an ""ignore whitespace changes"" in the review menu if you're not already aware",0,0,0,0.9777402877807616,0.971814751625061,0.9799360036849976,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2308371052,606,"all the changes listed above seem to be working fine now, but somebody testing it themselves would be appreciated",0,1,1,0.5061590075492859,0.7275083661079407,0.6152864694595337,1.0,accept,majority_agreement,2
CivMC/Civ,comments,2405288277,606,was this ready?,0,0,0,0.9761542677879332,0.9888661503791808,0.9935000538825988,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2452615472,606,closing as abandoned,0,0,0,0.9741201996803284,0.9571219086647034,0.9774200916290284,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2014089671,383,you can use `namedtextcolor.red` instead of an rgb colour. it can also be provided as an argument in `component.text`,0,0,0,0.9837033748626708,0.99472838640213,0.995381236076355,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2014098251,383,:party_popper:,0,0,0,0.974899411201477,0.9849576950073242,0.9779290556907654,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2014102503,383,could you do the confirmation without an underscore?,0,0,0,0.9885197281837464,0.992530882358551,0.9934121966362,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2014483518,383,sure. i just wasn't sure whether the command uses greedy string or normal string arguments. i'll look into it,0,0,0,0.8419939279556274,0.9164422154426576,0.9558917880058287,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2015550690,383,-code i removed underscores from the message but i'm not sure whether the command takes a normal string argument or a greedy string,0,0,0,0.8845838904380798,0.9398349523544312,0.9644779562950134,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2015552295,383,have you tested it?,0,0,0,0.982651948928833,0.990661084651947,0.99397873878479,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2015559610,383,"not yet, need to build the plugin",0,0,0,0.9620910882949828,0.9829955697059632,0.9906963109970092,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2015642371,383,"-code ![a link] tested, seems to be working",0,0,0,0.7091341018676758,0.9384393692016602,0.6311495900154114,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2015993446,383,"hmm, perhaps `/nldg confirm deletion` should be enclosed in quotes, i.e. `type '/nldg confirm deletion test' within 15 seconds.` should help disambiguate between the string that is to be typed and the rest of the sentence.",0,0,0,0.987728714942932,0.993760883808136,0.9830108880996704,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2015994805,383,was thinking about that as well. i'll add them,0,0,0,0.9746179580688475,0.9670007824897766,0.9843035340309144,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2015996777,383,imo the message shouldn't mention snitches and bastions as citadel doesn't need to be run with bastion and jukealert and it won't necessarily be on other servers.,0,0,0,0.9824010729789734,0.9924526810646056,0.9809103608131408,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2016003237,383,"that's up to the admins i suppose, but personally i'm vehemently against supporting anything other than the needs of civmc if it requires *any* sacrifices.",-1,-1,-1,0.858021080493927,0.8442794680595398,0.883922278881073,-1.0,accept,unanimous_agreement,2
CivMC/Civ,comments,1962212294,319,"on testing it now never shows banned players in /ep showall the button to switch, always says ""currently turned on"" no matter if you switch it. likewise the chat message always says ""banned pearls toggled off"" whenever you click the switch. also the /ep showall command now itself has a cooldown? i doubt that's supposed to be a thing.",0,0,0,0.8594035506248474,0.9774450063705444,0.9824243187904358,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,1962217234,319,i think the logic for the pearl toggle is backwards,0,0,0,0.9850217700004578,0.940011501312256,0.7935444712638855,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,1962270492,319,should be fixed now,0,0,0,0.977960765361786,0.980797290802002,0.9928619265556335,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,1962341337,319,"i'm not sure that should've been changed, as the variable hadn't been updated with the toggle change, hence it was inverted",0,0,0,0.884543776512146,0.5913994312286377,0.8567312955856323,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2229860870,564,addresses #372,0,0,0,0.9840775728225708,0.979123830795288,0.9942049384117126,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2414694252,564,could you fix the merge conflicts here please? then we can get this merged,0,0,0,0.9840972423553468,0.98713880777359,0.9948446750640868,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2546894931,564,"resolved, i think.",0,0,0,0.9708832502365112,0.9804301261901855,0.9749308228492736,0.0,accept,unanimous_agreement,2
CivMC/Civ,comments,2585327826,564,this only seems to work the second time i get on a horse. the first time it's still at half a heart.,0,-1,0,0.68801349401474,0.7300286889076233,0.979029893875122,0.0,accept,majority_agreement,2
