repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
apache/kafka,reviews,35279792,2929,did a quick pass through the controller changes and left some minor comments.,0,0,0,0.9806086421012878,0.9789472818374634,0.9878419041633606,0.0,accept,unanimous_agreement,2
apache/kafka,reviews,40852251,2929,thanks for the patch. it looks the patch is a little outdated. i took a quick glance at part of the patch and fee it would probably be easier to review after rebasing on trunk. could you do that?,1,1,1,0.7739591598510742,0.9561977386474608,0.9722917079925536,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,43331378,2929,thanks for the patch. i made the first pass on the main code and left some comments. i haven't reviewed the tests yet. will do that later.,1,1,1,0.9370271563529968,0.9392105937004088,0.9666110277175904,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,46061417,2929,"thanks for updating the patch. made another path and left some comments. there are some other files that are not included in the patch but may need some changes as well. 1. in `groupmetadatamanager.cleanupgroupmetadata()`, it seems we are not handling the storageexception from line 724. 2. if a disk exception occurs in a delayed write to the socket during a fetchrequest, it seems we are not handling that. not sure what is the best way to solve that though. what i did was just find all the callers for the disk related method in `filerecords`, e.g. `readinto()`, `read()`, `append()`, `flush()`. (note that `filerecords.read()` do not actually read disk, but the follow up actions typically will read the disks). i haven't look at other files we have on the disk yet. but i think the log file is probably the most important one.",0,0,1,0.5905290246009827,0.7135009765625,0.944287896156311,0.0,accept,majority_agreement,2
apache/kafka,reviews,46132455,2929,"thanks for the patch. just made another path and left some comments. i am wondering if we want to add a few more unit test for the log dir failure case. 1. when log dir fails, there are correct error code in the response. 2. the producer is able to send messages with retries when a log dir failure occurs. the system test is good, but maybe less handy to run. so some basic unit tests would help.",1,1,1,0.9193249940872192,0.9676083326339722,0.979972779750824,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,46999634,2929,: thanks for the patch. made a pass of non-testing files. the overall flow is pretty clear and well organized. left some comments below.,1,1,1,0.9676637053489684,0.9743435382843018,0.9884219765663148,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,48219128,2929,a few more comments.,0,0,0,0.973527729511261,0.959341287612915,0.988245129585266,0.0,accept,unanimous_agreement,2
apache/kafka,reviews,48933406,2929,: thanks for the updated patch. made another pass of the non-testing files and left some comments.,1,1,1,0.8862881064414978,0.8005508184432983,0.9603386521339417,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,50391353,2929,: thanks for the new patch. a few more comments.,1,1,1,0.8729479312896729,0.9111230373382568,0.964637815952301,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,51041045,2929,: thanks for the latest patch. it looks pretty good now. just some more minor comments.,1,1,1,0.9772271513938904,0.9932445883750916,0.9915426969528198,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,51521889,2929,: thanks for working on this patch diligently. lgtm. just a few minor comments. i will let becket make another pass. he can merge the patch if he is satisfied.,1,1,1,0.9617772698402404,0.988184928894043,0.988263726234436,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,51548681,2929,thanks for the patch. lgtm. i gave a final pass and left some minor comments. thanks a lot for the detailed review!,1,1,1,0.9896201491355896,0.9902369379997252,0.9953651428222656,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,51629344,2929,"thanks for the patch. merged to trunk. i left a minor comment, we can address that in the follow up cleaning patch.",1,1,1,0.9094669818878174,0.9636626243591307,0.9754653573036194,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,445850773,9001,first pass,0,0,0,0.9493863582611084,0.944432497024536,0.9902111291885376,0.0,accept,unanimous_agreement,2
apache/kafka,reviews,447492344,9001,"thanks for the awesome pr! i have done the first pass on non-testing part, will take another look at testing part later this week.",1,1,1,0.9933464527130128,0.995669960975647,0.9956668615341188,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,452086862,9001,"thanks for the great review! i have addressed the comments in d0b6984bc0dca873e30964adb5e4cfe1262a39b9, and have provided my responses to your comments. please have a look.",1,1,1,0.990599811077118,0.9949970245361328,0.995934247970581,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,452959442,9001,thanks for the update. got a couple of more comments.,1,1,1,0.8091058731079102,0.8973552584648132,0.9210928082466124,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,455261235,9001,"thanks for the review! i have addressed your comments in ee1a40b6e8264e0f0cc9f68c0c82b330fa0d724a, please have a look.",1,1,1,0.9825472235679626,0.98881858587265,0.9906306862831116,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,456880892,9001,made another pass. would be good to have jun take a look as well.,1,0,0,0.5100592374801636,0.9127130508422852,0.9149641394615172,0.0,accept,majority_agreement,2
apache/kafka,reviews,463650370,9001,: thanks for the pr. made a pass of non-testing files. a few comments below.,1,1,1,0.9089889526367188,0.9803227186203004,0.9644815325737,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,497716516,9001,: thanks for the updated pr. made another pass of non-testing files. a few more comments below.,1,1,1,0.9120661616325378,0.9745368957519532,0.9641662836074828,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,498702686,9001,"just looked through the change for firstactiveversion, which makes sense. the only question i have is that if i'm doing a bold release by removing the deprecated code completely, such that previously i have version range [1, 6] and now the code only supports [4, 6] for a pair [min, max], would my deployment be successful automatically?",0,0,0,0.97140771150589,0.9683170318603516,0.9894171357154846,0.0,accept,unanimous_agreement,2
apache/kafka,reviews,499803222,9001,: thanks for the updated pr. a few followup comments below.,1,1,1,0.8803892135620117,0.8905922770500183,0.932914972305298,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,501427255,9001,: thanks for the updated pr. a few more comments below.,1,1,1,0.8806174993515015,0.9159396886825562,0.9290188550949096,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,501428667,9001,"a couple of more comments. also, there are compilation errors for java 8. [error] /users/jun/intellij/kafka/core/src/main/scala/kafka/server/finalizedfeaturecache.scala:148: invalid literal number [error] /users/jun/intellij/kafka/core/src/main/scala/kafka/server/finalizedfeaturecache.scala:157: invalid literal number two errors found",0,0,0,0.96243816614151,0.9937984347343444,0.9941835999488832,0.0,accept,unanimous_agreement,2
apache/kafka,reviews,502245667,9001,: thanks for the updated pr. just a few more comments below.,1,1,1,0.9139890670776368,0.9395200610160828,0.938293755054474,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,503126954,9001,: thanks for the latest pr. lgtm. is the test failure in jdk 15 related to this pr?,1,1,1,0.9436717629432678,0.9260504841804504,0.975059986114502,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,503435680,9001,"lgtm, thanks for the great work!",1,1,1,0.991202712059021,0.9957544803619384,0.9955143332481384,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,22856648,2476,"thanks for the patch. left some comments. it looks the patch again has conflicts with trunk. to avoid frequent rebase, let's finish a few iteration of reviews before we rebase.",1,1,1,0.8413655161857605,0.96118825674057,0.9664217233657836,1.0,accept,unanimous_agreement,2
apache/kafka,reviews,23909758,2476,sorry for the delayed reply. i made another pass and left some comments.,-1,-1,-1,0.9878054857254028,0.9923458099365234,0.9908854365348816,-1.0,accept,unanimous_agreement,2
