repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
aquasecurity/trivy,comments,1801000254,5439,"agree with you `purl`/`cpe` is one of the package parameters. if the package contains `pkgidentifier`, we can simply add it to `detectedvulnerability`: e.g. for alpine packages: [a link]",0,0,0,0.987237811088562,0.9933353662490844,0.9933657050132751,0.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1801710392,5439,thanks for your comments ! i'll update the pr moving pkgidentifier as part of the `package` identity and generate purl(s) at analysis.,1,1,1,0.9777581095695496,0.9717593789100648,0.9791075587272644,1.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1805286175,5439,i need advice on how to update `pkg/fanal/test/integration/testdata/goldens` data automatically to fix integration tests,0,0,0,0.9724730253219604,0.989318072795868,0.9923765063285828,0.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1805304512,5439,`mage test:updategolden` command should update golden files for integration tests.,0,0,0,0.984025776386261,0.9937660694122314,0.9950030446052552,0.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1812363760,5439,i'm still finding issues with integration tests and recreating golden images (`mage test:updategolden` threw some unauthorized errors). could you help me with this ?,0,0,0,0.7385762929916382,0.8735333681106567,0.8271592259407043,0.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1813802621,5439,"hello i have fixed containerd tests (you may be using macos or a non-amd64 processor. in this case, we are skipping containerd tests - [a link] [a link] about clientserver tests: you need to update `rpc` package - [a link] looks like your changes don't work in client-server mode.",0,0,0,0.9800875782966614,0.9726804494857788,0.9868292212486268,0.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1813977725,5439,"awesome! thanks , as you mentioned i'm using a m1 mac and that makes total sense",1,1,1,0.9936031699180604,0.9959700107574464,0.9973767995834352,1.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1814394912,5439,i think we're ready to go,0,0,1,0.7503049969673157,0.5043764710426331,0.5539210438728333,0.0,accept,majority_agreement,2
aquasecurity/trivy,comments,1815729151,5439,"i left some comments. also looks like we don't need to build purl for packages for sbom formats (e.g. for cyclonedx - [a link] now. we can simply use `pkgidentifier`. correct me, if i missed something.",0,0,0,0.9817917346954346,0.9846838116645812,0.9834590554237366,0.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1820487209,5439,integration tests related to sbom do not work. can you take a look?,0,0,0,0.8065783381462097,0.9364556670188904,0.9873294830322266,0.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1833283284,5439,friendly reminder,0,0,0,0.8575920462608337,0.8759280443191528,0.9383780360221864,0.0,accept,unanimous_agreement,2
aquasecurity/trivy,comments,1855338517,5439,"thanks for implementing the missing changes ! i think with this the pr is ready, am i right?",1,1,1,0.9714854955673218,0.973243772983551,0.9904922842979432,1.0,accept,unanimous_agreement,2
