repository,file_type,id,number,title,state,merged_at,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
aquasecurity/trivy,pull_requests,1570553536,5439,feat(vuln): include pkg identifier on detected vulnerabilities,closed,2023-12-27T08:14:44Z,0,0,0,0.9825937151908876,0.9929632544517516,0.995458960533142,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2123603068,7732,docs: improve databases documentation,closed,2024-11-27T17:57:41Z,0,0,0,0.959887683391571,0.985139548778534,0.9592270851135254,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,501126918,679,Add linter check support,closed,2020-10-20T12:20:05Z,0,0,0,0.9850671291351318,0.9917872548103333,0.9925104379653932,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1889438012,6781,ci: automate backporting process,closed,2024-06-06T10:32:09Z,0,0,0,0.985996663570404,0.9906675219535828,0.9953818917274476,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1613556505,5635,feat: Add Julia language analyzer support,closed,2024-05-15T03:21:07Z,0,0,0,0.8686341047286987,0.9912598729133606,0.9897018671035768,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,968560914,2333,docs: Updating documentation structure and content in the tutorial section,closed,,0,0,0,0.981155276298523,0.989153265953064,0.9894821643829346,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1749763666,6234,docs: Add documentation for contributing additional checks to the trivy policies repo,closed,2024-05-22T12:04:18Z,0,0,0,0.986150085926056,0.9870229363441468,0.9861606359481812,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2228661899,8080,feat(python): add support for uv,closed,2024-12-19T06:20:32Z,0,0,0,0.9841499924659728,0.9930506944656372,0.9942375421524048,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2251616213,8177,feat: add report summary table,closed,2025-03-04T09:42:07Z,0,0,0,0.9535090327262878,0.9917454123497008,0.9903301000595092,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,301215903,99,Major Dockerfile redesign with UPX and other best practices,closed,,0,0,0,0.9672958254814148,0.9865137934684752,0.8933103084564209,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,386988586,433,Override with Vendor score if exists,closed,2020-04-16T23:58:59Z,0,0,0,0.9880208373069764,0.99057275056839,0.9946101903915404,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1312584012,4058,feat(spdx): add support for SPDX 2.3,closed,2023-04-23T20:36:05Z,0,0,0,0.9667884707450868,0.9910908937454224,0.9919969439506532,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,438489019,542,added: display last db update whenever trivy server is started,closed,,0,0,0,0.987169861793518,0.9910470843315125,0.9946972131729126,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,507936183,709,AVD: Add links to detected vulnerabilities,closed,,0,0,0,0.9794450402259828,0.9923669695854188,0.9947221279144288,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1746860563,6217,fix(aws): handle ECR repositories in different regions,closed,2024-09-02T04:02:15Z,0,0,0,0.9881487488746644,0.9920719265937804,0.9949620962142944,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,795320172,1437,BREAKING: migrate the sarif template to Go code,closed,2022-01-12T06:49:48Z,0,0,0,0.9869267344474792,0.9892770051956176,0.9828760027885436,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1395790416,4652,feat(nodejs): parse licenses in yarn projects,closed,2023-08-23T06:55:43Z,0,0,0,0.9537822008132936,0.9925699830055236,0.99466210603714,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1831292557,6524,"feat: Add binary version parsing for nodejs, php and python",closed,,0,0,0,0.9668324589729308,0.9914417862892152,0.9937559366226196,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2226415015,8077,fix(spdx): use the `hasExtractedLicensingInfos` field for licenses that are not listed in the SPDX,closed,2025-01-27T07:50:04Z,0,0,0,0.9878756999969482,0.9958381652832032,0.995061457157135,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,335605782,253,feat(db): use pre-built database,closed,2019-11-13T15:43:16Z,0,0,0,0.9814789295196532,0.9899703860282898,0.9941115975379944,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1085382603,3015,feat(misconf): Fetch policies from OCI registry,closed,2023-01-15T11:37:05Z,0,0,0,0.95216304063797,0.9940086603164672,0.8556033968925476,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,526554732,751,Add helm chart to install trivy in server mode.,closed,2020-12-06T11:21:20Z,0,0,0,0.9874595403671264,0.993251621723175,0.9948784112930298,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,686650651,1101,docs: add misconfiguration,closed,2021-07-12T00:14:17Z,0,0,0,0.5274160504341125,0.9737641215324402,0.9933674931526184,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,922527369,2065,feat:  add k8s subcommand,closed,2022-05-12T18:11:29Z,0,0,0,0.9571531414985656,0.9906426072120668,0.9958914518356324,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1960379133,7131,feat(license): improve license normalization,closed,2024-09-11T07:09:51Z,0,0,0,0.9540407061576844,0.9915105104446412,0.9933823347091676,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,992439823,2490,feat: basic pre-commit-hook,closed,,0,0,0,0.9611782431602478,0.9899279475212096,0.9940797090530396,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2016839355,7336,fix(license): stop spliting a long license text,closed,2024-09-05T10:37:49Z,0,0,0,0.8843126893043518,0.9528988599777222,0.99300354719162,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1932920658,6993,feat!: add clean subcommand,closed,2024-06-25T09:25:16Z,0,0,0,0.7971199154853821,0.9407808780670166,0.9852220416069032,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2076053164,7526,ci(helm): auto public Helm chart after PR merged,closed,2024-10-25T06:27:35Z,0,0,0,0.981083333492279,0.9865162372589112,0.9935914874076844,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1493665415,5062,feat(docker): add support for scanning Bitnami components,closed,2023-08-31T20:43:08Z,0,0,0,0.9790839552879332,0.9931731820106506,0.9942445158958436,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1736746816,6176,feat(terraform): Terraform Plan snapshot scanning support,closed,2024-03-04T23:01:11Z,0,0,0,0.9697423577308656,0.9922898411750792,0.9746845364570618,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,281191853,50,feat: add vulnerability type filter to get only os or packages vulnerabilities,closed,2019-06-07T14:34:24Z,0,0,0,0.9615854620933532,0.9935184121131896,0.9953590035438538,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1694392665,5999,refactor(report): Replacing `source_location` in `github` report when scanning an image,closed,2024-02-22T10:21:08Z,0,0,0,0.988944411277771,0.994184911251068,0.994888961315155,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1815296843,6476,feat(misconf): Use updated terminology for misconfiguration checks,closed,2024-05-02T18:39:41Z,0,0,0,0.8074285984039307,0.9931403994560242,0.9905099272727966,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1855598240,6633,refactor: unify Library and Package structs,closed,2024-05-07T12:49:19Z,0,0,0,0.9885236620903016,0.9927616715431212,0.994929850101471,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1968213975,7160,docs: update air-gapped docs,closed,2024-08-09T06:53:24Z,0,0,0,0.987987756729126,0.989049792289734,0.9939255118370056,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2093504031,7605,feat: support multiple DB repositories for vulnerability and Java DB,closed,2024-10-01T13:31:46Z,0,0,0,0.9790305495262146,0.9913358688354492,0.994542956352234,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2298005787,8294,feat(image): return error early if total size of layers exceeds limit,closed,2025-01-30T08:23:36Z,0,0,0,0.9829362630844116,0.9924813508987428,0.9921051263809204,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,612585875,935,Update SARIF report template,closed,2021-04-19T20:35:30Z,0,0,0,0.985603928565979,0.9865402579307556,0.9889800548553468,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,834254221,1638,ci: create canary build after main branch changes ,closed,2022-06-29T13:58:11Z,0,0,0,0.9876151084899902,0.9911105632781982,0.9951894283294678,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1536924112,5285,feat(rust): Support workspace.members parsing for Cargo.toml analysis,closed,2024-01-29T09:00:10Z,0,0,0,0.9727663993835448,0.9916691780090332,0.9934870004653932,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2285114198,8254,feat(cyclonedx): Add initial support for loading external VEX files from SBOM references,closed,2025-02-27T07:37:11Z,0,0,0,0.9851972460746764,0.9905547499656676,0.9917511343955994,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1311452661,4047,feat(image): Add image-src flag to specify which runtime(s) to use,closed,2023-05-15T11:42:43Z,0,0,0,0.9856982827186584,0.994173228740692,0.9946212768554688,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2019028744,7340,fix(sbom): export bom-ref when converting a package to a component,closed,2024-09-19T05:42:17Z,0,0,0,0.9882683157920836,0.9942240118980408,0.9945823550224304,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1713899926,6072,feat(sbom): Support license detection for SBOM scan,closed,2024-03-18T10:05:40Z,0,0,0,0.9766094088554382,0.9928545355796814,0.9808201789855956,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1757264253,6275,docs: add info on adding compliance checks,closed,2024-05-22T12:17:00Z,0,0,0,0.9844807386398317,0.9728345274925232,0.9936051964759828,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1865710819,6674,feat: add support for plugin index,closed,2024-05-14T08:53:21Z,0,0,0,0.9350306391716005,0.9910851120948792,0.9931841492652892,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2251701279,8178,feat(image): prevent scanning oversized container images,closed,2025-01-27T06:59:44Z,0,0,0,0.9767891764640808,0.9853046536445618,0.9944778680801392,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1007917814,2589,feat: add k8s components,closed,2022-10-24T11:51:03Z,0,0,0,0.9384884834289552,0.988749861717224,0.9959030747413636,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1009680355,2607,fix(cli): secret scanning perf link fix,closed,2022-08-15T13:15:22Z,0,0,0,0.9874112010002136,0.9903623461723328,0.9881497621536256,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1377867481,4557,feat(k8s): cyclonedx kbom support,closed,2023-06-19T11:12:36Z,0,0,0,0.9670127034187316,0.991862654685974,0.9939045310020448,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1993968307,7261,docs: add auto-generated config,closed,2024-08-05T08:13:24Z,0,0,0,0.9884494543075562,0.9861817359924316,0.9947590231895448,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,2114050948,7679,feat: Update registry fallbacks,closed,2024-11-18T09:12:13Z,0,0,0,0.9699666500091552,0.9920873045921326,0.9943495392799376,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,348532028,303,feat(rpc): add rpc server,closed,2019-12-12T08:55:44Z,0,0,0,0.9747170805931092,0.9913817048072816,0.9941828846931458,0,accept,unanimous_agreement,2
aquasecurity/trivy,pull_requests,1507790582,5154,fix(sbom): use PURL or Group and Name in case of Java ,closed,2023-10-03T11:30:54Z,0,0,0,0.988717794418335,0.9946091175079346,0.9950894713401794,0,accept,unanimous_agreement,2
