repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
buildaworldnet/IrrlichtBAW,review_comments,317199142,358,"you can just suck in the include files from core, io and asset no need for forward declarations",0,-1,0,0.9771060943603516,0.9007694125175476,0.9782884120941162,0.0,accept,majority_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317204001,358,list of extensions? also where's your `igpushader` creation function?,0,0,0,0.9889339804649352,0.9946367144584656,0.995137631893158,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317204466,358,why are you taking the entry point here? and stage?,0,0,0,0.967006266117096,0.9815165996551514,0.9939906597137452,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317204823,358,"`m_code` could store both spir-v and glsl, using only `m_containsglsl` to switch between them",0,0,0,0.9883682131767272,0.9952036142349244,0.9928467869758606,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317207295,358,"the less unnecessary `#include`s in header files, the lesser chance for circular deps",0,0,0,0.9761024713516236,0.9875693917274476,0.9909890294075012,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317207429,358,theres no list of extensions yet,0,0,0,0.9790520668029784,0.9827340245246888,0.9872084259986876,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317207820,358,"hm, maybe i dont need to do this, i'll check",0,0,0,0.7545950412750244,0.8261346817016602,0.8980088829994202,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317208019,358,thats how it is ;),1,1,0,0.8403564691543579,0.993575394153595,0.9854493737220764,1.0,accept,majority_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317210769,358,"well the rule is that core,io and asset shall not include anything from video namespace `core::smart_refctd_ptr ` will break if t is forward declared but not defined.",0,0,0,0.9864186644554138,0.9926337599754332,0.9909402132034302,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317210924,358,ok just make a stub struct/class,0,0,0,0.9865352511405944,0.988246738910675,0.9940361976623536,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317211093,358,you're gonna have that stuff in ispecializationinfo/data anyway right?,0,0,0,0.985540211200714,0.9545746445655824,0.9884114265441896,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317211692,358,"ok, so no need for an `std::stringc`, you can supply a utility function in `core::` to turn std::string&& into an `core::smart_refctd_ptr ` bonus points if you use our icpubuffer derived class with allocator, so you could actually steal std::string's data + allocator",0,0,0,0.869539737701416,0.9862416982650756,0.9818589091300964,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317223646,358,yea,1,0,0,0.6565009951591492,0.9144599437713624,0.9237021803855896,0.0,accept,majority_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317233950,358,make override from io::ireadfile,0,0,0,0.9881028532981871,0.9908395409584044,0.9950460195541382,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317233970,358,make override from io::ireadfile,0,0,0,0.9881028532981871,0.9908395409584044,0.9950460195541382,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317234639,358,sure you want those public?,0,0,0,0.9849570989608764,0.9896200299263,0.9900689721107484,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317235373,358,why do you need the driver?,0,0,0,0.9680083990097046,0.9719993472099304,0.9908007979393004,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317254295,358,"actually just for glsl version.. so might as well get rid of that and put uint32_t parameter instead (plus gl calls, but those are statics in copenglextensionhandler so driver not really needed)",0,0,0,0.9867393970489502,0.9928008317947388,0.991327702999115,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317254438,358,"well, yea",1,0,0,0.5221747756004333,0.8146073222160339,0.9773872494697572,0.0,accept,majority_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373024,358,"kill this function, just let people set .pipeline directly on materials",0,-1,0,0.7588248252868652,0.5548785924911499,0.9748889207839966,0.0,accept,majority_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373047,358,197+est_count*sizeof(const void*),0,0,0,0.9872259497642516,0.9894765615463256,0.987885355949402,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373091,358,the `imaterialrenderer` class can get nuked.,0,0,0,0.9866393208503724,0.9527826309204102,0.9924179315567015,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373109,358,"don't comment out, use [code block] and #define new_shaders in irr compile config.",0,0,0,0.9841343760490416,0.9939163327217102,0.99455064535141,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373126,358,nuke igpuprogrammingservices,0,0,0,0.9890402555465698,0.9747658967971802,0.9916461110115052,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373166,358,"nuke e_material_type, but add the old 4 default shader combos as igpumaterials to iassetmanager's cputogpu object cache and add associated icpu* objects for them",0,0,0,0.9900221228599548,0.9936527013778688,0.9907093048095704,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373205,358,"nuke callbacks, add a 256-byte aligned (move around parts of smaterial as necessary to achieve 0 compiler padding + 256 byte alignment) uint8_t[128] array that will be then used for fetching push-constant data",0,0,0,0.98857319355011,0.9909372925758362,0.9942862391471864,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373281,358,i think it just called the appropriate call-back... see the definitions of `onunsetmaterial`,0,0,0,0.9865461587905884,0.987231194972992,0.9922486543655396,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373294,358,did this do anything else other than call the callback?,0,0,0,0.973973512649536,0.9868278503417968,0.9916151762008668,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373322,358,"would have been a check for matching pipelines, basically can't change shader in the middle of xform feedback",0,0,0,0.982209324836731,0.9877867102622986,0.9863458275794984,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373383,358,in the future: sort by pipeline pointer,0,0,0,0.9883084297180176,0.9918427467346193,0.9944703578948976,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,317373612,358,ok but what do you need the version for?,0,0,0,0.9876481294631958,0.9311701059341432,0.992223858833313,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320399762,358,dont you need a different directive for vulkan glsl ?,0,0,0,0.9800421595573424,0.992734432220459,0.9923499226570128,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320400981,358,how does shaderc compile this without descriptor sets?,0,0,0,0.9864304065704346,0.9917275905609132,0.9939149022102356,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320401125,358,"nice catch, is this also in my cleanup branch?",1,1,1,0.8506126999855042,0.9422565698623656,0.9791511297225952,1.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320406453,358,"nah, it's my fault from prev commit or something",-1,-1,-1,0.9834946990013124,0.5277644395828247,0.9726679921150208,-1.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320406683,358,if set is not specified than set=0 if that's what u mean,0,0,0,0.9835357666015624,0.9920629858970642,0.9943112134933472,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320406869,358,hm?,0,0,0,0.938936412334442,0.9498917460441588,0.9836360812187196,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320954820,358,i think this is quite useful because it sets pipeline on all meshbuffers of mesh scene node,0,0,1,0.8023723363876343,0.5615324974060059,0.8001765012741089,0.0,accept,majority_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320955151,358,what? i dont get it,-1,-1,-1,0.6829357743263245,0.847715437412262,0.9507670402526855,-1.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320955552,358,so what should i do with transform feedback? i mean this `new_meshes` is not a solution,0,0,0,0.9718195199966432,0.9818731546401978,0.978326976299286,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320956189,358,is transform feedback non-optionally used in irrbaw somewhere behind the scenes? i have no idea about transform feedback,0,0,0,0.9465360045433044,0.8180238008499146,0.9561236500740052,0.0,accept,unanimous_agreement,2
buildaworldnet/IrrlichtBAW,review_comments,320956753,358,"now after we decided to do pipelines etc, they should be 4x igpugraphicpipelines. right?",0,0,0,0.9868173003196716,0.9889487028121948,0.9902281761169434,0.0,accept,unanimous_agreement,2
