repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
elementary/terminal,reviews,180878121,330,some initial comments on the code.,0,0,0,0.9849751591682434,0.9800631999969482,0.9904136061668396,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,418595475,330,"i can't confirm that this ever shows ""open in web browser"", and it seems to also break opening in the file browser. i left some other inline comments",0,0,0,0.948481261730194,0.6206713318824768,0.9850918650627136,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,425649804,330,seems to work as expected now. nice job! left some comments/questions in line,1,1,1,0.9932780861854552,0.9955435395240784,0.9962406158447266,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,667969170,584,"the code looks good to me! it solves both linked issues. and even though the callback of the `contents_changed` signal is called multiple times per second when using the terminal, i can't measure any performance differences.",1,1,1,0.989629089832306,0.9942861199378968,0.9944275617599488,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,290621413,386,"i think you accidentally mixed up the values of the event macros. just out of curiosity, what is the advantage to use these macros over `true/false`?",0,0,0,0.8912913799285889,0.8869348764419556,0.967653214931488,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,414709881,505,"i'm :-1: to add a new ""sync"" setting here. i think the new behavior will work how most people expect. for those who want a larger default zoom for all tabs, they can set it once and forget it. for someone who wants to zoom in and out on a specific tab, this will work for them as well.",0,0,-1,0.9199957847595216,0.6127551198005676,0.9897425174713136,0.0,accept,majority_agreement,2
elementary/terminal,reviews,523695115,505,behavior-wise i think this makes sense. just a couple of code style/readability things.,0,0,0,0.9712387919425964,0.8641582727432251,0.795443594455719,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,524566641,505,"hm, installing this on elementary os 6, it defaulted to 25% zoom the next time i opened terminal. this is reproducible by setting `/io/elementary/terminal/saved-state/tab-zooms` to the default, then re-opening terminal. i _think_ my suggested change will resolve that by defaulting to 1.0.",0,0,0,0.986855149269104,0.9823718667030334,0.9755702018737792,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,526677246,505,i'm generally happy with this ux-wise. i would still like to get a code review from /desktop-developers though.,1,1,1,0.8719382286071777,0.9689114689826964,0.9572646617889404,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,1703785760,742,this is mostly working - thanks! a couple of issues: - changing the default font with ` scroll` does not change settings because at the moment the terminal widget changes the font directly. you need to change the scroll handler to activate the relevant window action instead. - i suggest you split the `save_opened_terminals` function up so that you can change the zooms and uris settings independently to save unnecessary work being done.,1,1,1,0.9826924800872804,0.9848297238349916,0.9799405932426452,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,1704740371,742,you seem to have repeated a lot of code in `save_open_terminals_with_zooms`? can you just call the split functions? adding another signal to the terminal widget is not the best solution - you can just activate the appropriate action in the scroll handler instead of calling `increment_size` and `decrement_size`. this can be done with code like `window.get_simple_action (mainwindow.action_zoom_font_in).activate (null);` (other examples of this pattern are already used in the code) i have made a couple of other comments inline.,0,0,0,0.9738070964813232,0.9922915101051332,0.9916724562644958,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,1708630934,742,i think this is good to go now - thanks for your contribution!,1,1,1,0.9821571111679076,0.9784956574440002,0.9855944514274596,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,1708658939,742,"sorry, missed the fact that one of the unit tests now fails (ci was failing anyway in other prs for an unrelated reason). the error given is [code block] not immediately obvious why this pr should affect the number of tabs - i'll investigate.",-1,-1,-1,0.9843346476554872,0.9702364206314088,0.9759746193885804,-1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,487961116,542,"hey thanks for working on this! this is looking really good and it's definitely a highly requested feature so i appreciate you tackling it. i left some inline comments with some minor code cleanups and copy changes alignment etc. i agree that the long combobox here is pretty unweildy. perhaps instead of trying to include as many styles as we can find, it would be better to have some kind of import mechanism and stick with the same 3 default styles for now. perhaps in the interest of getting this feature merged more quickly, we should reduce the scope of this branch to only supporting a single custom style and we can expand in later follow-up branches i think a major interaction issue we have here is that if you ever switch away to another style, your custom style gets wiped. this seems like it would be pretty frustrating for someone who switches between styles. i imagine we should probably persist custom styles in gsettings. maybe with a ""styles"" child schema, even if we only support saving one custom style for now yes i think we want to maintain the behavior of a style also setting the window chrome to dark or light. the quick style switcher should make it really easy to alternate between styles without having to fiddle with individual settings every time",1,1,1,0.9867620468139648,0.995086133480072,0.9958641529083252,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,73584841,160,"some changes are needed to make this work see comments in line. at the moment, first change of zoom factor results in a microscopic font and changes are not reflected in settings.",0,0,0,0.9838729500770568,0.9816682934761048,0.988681435585022,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,73590468,160,a couple more suggestions but looking good :),1,1,1,0.9841986894607544,0.9958529472351074,0.9252657294273376,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,74283979,160,almost there ;-). just a couple of minor points.,1,1,1,0.5592333078384399,0.9880337119102478,0.9897922277450562,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,74288717,160,looks good and works as expected :-),1,1,1,0.9900259971618652,0.9956607222557068,0.9801400303840636,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,52167871,125,"thank you for submitting the branch! it would be ideal if you could split these 2 changes into 2 different pr's? the diff looks clean but i would still like those to be their own prs. i have commented on the diff, two small things. one is a question, you could answer in the diff itself.",1,1,1,0.9781021475791932,0.9881723523139954,0.9923431277275084,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,53084949,125,i think the contents of this signal should be in a separate function like `handle_paste_event ()` that should return a boolean value since this code is now duplicated in two different places. then you could just replace those duplicates with: `return handle_paste_event ()`.,0,0,0,0.989791214466095,0.9927260875701904,0.9881191849708556,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,56700609,125,3 things.,0,0,0,0.9641130566596984,0.9774726629257202,0.9528241157531738,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,65269786,125,"one minor code style comment, otherwise looks good.",1,1,1,0.84925776720047,0.7752756476402283,0.6693810224533081,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,65604612,125,looks good.,1,1,1,0.8799164891242981,0.9723142385482788,0.6773717999458313,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,2133409334,760,it looks like zoom controls are broken with this branch: ![a link],-1,0,1,0.9739984273910522,0.751010000705719,0.825160026550293,,review,no_majority_disagreement,0
elementary/terminal,reviews,2157583050,760,"the tests look alright, the last fail is not consistent, and i believe there's no way to get the ci's coredumps to understand what happened there, sadily.",-1,-1,-1,0.9785672426223756,0.9876108765602112,0.9951134324073792,-1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,2186416884,760,lgtm :tada:,0,0,1,0.9406688213348388,0.7522225975990295,0.9431537985801696,0.0,accept,majority_agreement,2
elementary/terminal,reviews,1119398946,687,i have suggested some corrections to remaining lint.,0,0,0,0.9817302227020264,0.9839866161346436,0.9924433827400208,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,1119432156,687,another small bug is that if cyclic search is off and you navigate to the last found term so that the `next` button becomes insensitive and then toggle cyclic search on then the sensitivity of the `next` button does not change - it should become sensitive. a fix for this would be to emit a `search-changed` signal whenever the cyclic search is toggled.,0,0,0,0.9246788620948792,0.96653014421463,0.983405351638794,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,200872214,265,"one comment, otherwise it's fine.",0,0,0,0.9502583742141724,0.9620017409324646,0.9843040108680724,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,257194642,265,contains conflicts.,0,0,0,0.877623975276947,0.8256924748420715,0.906405508518219,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,267432068,265,one more comment.,0,0,0,0.9650285243988036,0.9514726400375366,0.9891902208328248,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,338922307,265,can you please add changes to appdata :),1,1,0,0.9425731897354126,0.9606457948684692,0.9937459230422974,1.0,accept,majority_agreement,2
elementary/terminal,reviews,338929633,265,one change.,0,0,0,0.9782569408416748,0.9737234711647034,0.9712346196174622,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,1029031083,662,"two small questions, but other than that totally happy with this as an initial implementation. let's get this in and then smooth out the flow a little bit/do other features in future branches",0,1,1,0.495785653591156,0.5909509658813477,0.9684486389160156,1.0,accept,majority_agreement,2
elementary/terminal,reviews,1029169096,662,one suggestion and a comment,0,0,0,0.9822695851325988,0.965970516204834,0.9876299500465392,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,1030479374,662,yeah it's just a little bit less destructive. this looks good!,1,1,1,0.9881145358085632,0.994489312171936,0.9904234409332277,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,372070632,486,"hey thanks for looking into this issue! i've left a couple of inline comments. one other thing that i noticed is that the button is always sensitive regardless of whether a process is running or not. we probably want to make sure to set the button as insensitive unless there is a running process to terminate also, this seems like a place where we should use [a link] and provide the keyboard shorcut",1,1,1,0.9441730976104736,0.9807079434394836,0.9906414151191713,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,36649023,87,awaiting those changes :smile:,1,1,1,0.7569507360458374,0.9909566044807434,0.9942697286605836,1.0,accept,unanimous_agreement,2
elementary/terminal,reviews,36649429,87,ux approval. should probably have someone more experienced in vala take a second look at the code.,0,0,0,0.966693878173828,0.943699061870575,0.9711631536483764,0.0,accept,unanimous_agreement,2
elementary/terminal,reviews,36650363,87,"i'm not super excited about these variable names. i think stuff like ""sb"" and ""t"" becomes very very unclear the further away you get from where they are defined",-1,-1,-1,0.9663083553314208,0.9860791563987732,0.9104907512664796,-1.0,accept,unanimous_agreement,2
