repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
linuxmint/cinnamon,review_comments,71091684,4996,"is there some reason you can't just add a simple style class of ""bottom, top, right, left"" here and avoid the convoluted naming? much easier to just use ""window-list-item-box.right"" instead of ""window-list-item-box.window-list-item-box-right"". also stays more in line with what you typically see in gtk.",0,0,0,0.9851813316345216,0.9919801950454712,0.9872334003448486,0.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,71091721,4996,i'm pretty sure you didn't intend this semicolon to be here ;),1,1,0,0.8885151147842407,0.9495869874954224,0.9492133259773254,1.0,accept,majority_agreement,2
linuxmint/cinnamon,review_comments,71092400,4996,whitespace,0,0,0,0.98747456073761,0.9243230819702148,0.9755821228027344,0.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,71092404,4996,whitespace,0,0,0,0.98747456073761,0.9243230819702148,0.9755821228027344,0.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,71092409,4996,whitespace,0,0,0,0.98747456073761,0.9243230819702148,0.9755821228027344,0.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,71391283,4996,"completely agree. i'd left it in line with what was there previously, but everytime i come back and look at this it jars horribly. i was thinking of making the changes you suggest anyway, so i'll do that now.",-1,-1,-1,0.9307661652565002,0.923682987689972,0.9525328278541564,-1.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226408689,7944,"aren't `filter`, `each`, `map` and `find` already built into cjs arrays? no need to duplicate them here.",0,0,0,0.9887067079544068,0.9918305277824402,0.989630162715912,0.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226487866,7944,"they are, but on spidermonkey there is a performance gain to using for loop alternatives instead. this is less of an issue on v8. i ran these tests in the firefox 52 esr, which is the closest to our environment. [a link] [a link] [a link] [a link]",0,0,0,0.976916491985321,0.9828617572784424,0.9842827916145324,0.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226539207,7944,"those tests compare filter vs raw code, but that is not the case here because at the end what slows it down is calling the callback function i guess. i don't know about the implementation but sure is very similar (?). i'm going to test it on cinnamon anyway, just because i'm curious :)",1,1,1,0.9304139018058776,0.9846024513244628,0.9602847695350648,1.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226547213,7944,"cool. the jsben.ch tests are ones i set up - here's one similar to the findindex one, but with filter: [a link]",1,1,1,0.98275488615036,0.987459659576416,0.9835191369056702,1.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226737465,7944,"my results conclude that you are right, your loop implementation is faster but, the difference in my tests for arrays of 10m elements is a couple of ms (and it even becomes zero the more you use it). for arrays of 100 elements (if you go crazy) the difference is non existent. i think native methods should be used for consistency, or preferably normal loops which is perfectly fine, but defining those seems like not ok at all. it's just my opinion :) [a link] (it is a cinn extension).",1,1,1,0.9513452053070068,0.9943835735321044,0.9913687109947203,1.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226748976,7944,"thanks for looking into this more. while i agree this won't make a dramatic difference in a lot of cases, i think these methods should stay in the pr. take a function that iterates multiple things to get its return value and gets called relatively frequently for instance, for invocation the latency can add up - especially when we want cinnamon to be as responsive as possible. these are there to provide an option, not to replace every instance of filter, findindex, etc - as you point out the gains diminish with smaller arrays, but the gains are still there and consistent. here's the results i got from test-extension: cjs-message: 13:45:25.762: js log: [lookingglass/info] array.prototype.filter: 20.6ms cjs-message: 13:45:25.763: js log: [lookingglass/info] custom filter: 11.7ms if this were a function that was meant to assist with an animation, it could mean the difference between something being jerky or smooth, since cinnamon needs to spend 16ms or less for each frame.",1,1,1,0.8118923902511597,0.8944516181945801,0.9688735604286194,1.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226762854,7944,"those results are from 1m array items and the difference becomes smaller the more you use the functions. in an animation there would be no difference for example, assuming you have an array of <1m items. i understand your point, but in those cases why not to use loops? i presume they are even faster than these functions.",0,0,0,0.9591253399848938,0.9467216730117798,0.9877875447273254,0.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226767367,7944,"i think you're seeing that because of spidermonkey's jit optimization- if it doesn't get gc'd its still cached as byte code, but we shouldn't rely on that. this allows the performance benefit of for loops, but the readability of explicitly named functions like foreach. the each function i added in particular can iterate both arrays and objects, which can be convenient. for objects it uses object.keys and a for loop, which is a little faster than for...in.",0,0,0,0.9447876811027528,0.8891534805297852,0.903944730758667,0.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226820734,7944,"sorry i still don't get where is exactly that critical place in this pr where you have a large array and save more than 1 ms. i think that such micro-optimisations belong to cjs, not cinnamon. but idk :grinning_face_with_sweat:",-1,-1,-1,0.990455687046051,0.9895423650741576,0.9764549136161804,-1.0,accept,unanimous_agreement,2
linuxmint/cinnamon,review_comments,226820994,7944,"its ok, i'm an optimization junkie. sometimes its unnecessary, but i wouldn't say little perf bumps here and there ever hurt anything. :) i'd like to think with enough micro-optimizations it can add up overall to more responsiveness. since the compositor and js context share a single thread its not a bad idea to use the fastest methods. if this were a web page or a little node utility, i'd say sure. but cinnamon is performance critical, if it slows down all the windows its managing slows down.",1,1,1,0.926468312740326,0.9884235262870787,0.993349015712738,1.0,accept,unanimous_agreement,2
