repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
qBittorrent/qBittorrent,reviews,937072258,15769,i found one issue with the webui: the paused state icon is missing. ![a link] and the rest looks fine.,1,0,0,0.6810703873634338,0.9834502339363098,0.7599566578865051,0.0,accept,majority_agreement,2
qBittorrent/qBittorrent,reviews,995771896,15769,"in case you want to handle it, you can do it by changing to in preference.cpp",0,0,0,0.9818642139434814,0.9925605654716492,0.9951712489128112,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,1011585848,15769,"since so many of you have already approved this and taken part on discussions on the various pr iterations, i am not going to hold you back. these icons will be judged by user feedback during the alpha/beta releases. to tell you the truth, personally, i am not really fond of this blue in the pallette. and i don't think it fits well in the general windows ui theming (i am using win 7 for comparison). i could be wrong, or i am just too used to the current theme.",-1,-1,-1,0.9777680039405824,0.9385549426078796,0.530168354511261,-1.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,71005096,7610,"please, make it impossible to get contents of any file by setting alternative ui path to any of its parent directories and typing its path in qbt web ui http get request.",0,0,0,0.9781007766723632,0.9873979091644288,0.9900475144386292,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,71030014,7610,"please, make it impossible to get contents of any file by setting alternative ui path to any of its parent directories and typing its path in qbt web ui http get request. p.s. i want to decide myself whether it is fixed or not.",0,0,0,0.9563221335411072,0.9691401720046996,0.959719181060791,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,72697699,7610,i still not convinced that dropping old api immediately is not a terrible idea.,-1,-1,-1,0.9682227373123168,0.9704089760780334,0.6202585697174072,-1.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,74250722,7610,ok for me. also merge conflict reported.,0,0,0,0.986560583114624,0.9526207447052002,0.9858449697494508,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,404725098,12746,i suggest to split this refactoring into small independent parts for easier review. we can start from less debatable ones.,0,0,0,0.9836030006408693,0.9721053242683412,0.9892799258232116,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,405415466,12746,"finally got the chance to start looking at this. all of my comments now are looking at this by hand, i will try compiling tonight against a few different test systems (and probably comment again). slightly off topic, but in the future (pending merge of this), i would like to add a config file for the [a link] python library. nice little utility to keep everything clean, the library also includes a linter to run cmake files against.",1,1,1,0.9118785858154296,0.977432131767273,0.979579210281372,1.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,442594012,12746,i've finished my review. p.s. it's really hard to review it due to too much comments. let's fix important things and postpone the rest to the future.,-1,0,-1,0.9591172337532043,0.5556239485740662,0.9032698273658752,-1.0,accept,majority_agreement,2
qBittorrent/qBittorrent,reviews,106992375,8584,"well, now it looks like ""to create user interface and quickly make it work somehow"". i have always prevented and will continue to prevent this approach (as long as the maintainer does clearly accept it). a model is a primary concept. it should be logical and consistent regardless of who and how uses it. this way allows you to add any user interfaces directly or through some adapter. you break the model, trying to fit it to your specific web ui implementation. so, here's what i expect to have in api to meet the requirements above (really, it's already implemented in the base classes, so you only need to create a certain facade for them): 1. create search job (i.e. start search) 2. stop unfinished search job 3. get current status of search job (i.e. active/finished, current result count etc.) 4. get current results of search job (either all available or some subset) 5. delete search job the model described above will be in a consistent state at any time, and it will allow to implement client applications of different types. additional requirements: 1. all search jobs created in a session should be deleted when the session end (either explicitly by the user or when timed out) 2. all api methods within the same controller should have similar interface (e.g. returns data in the same format) p.s. if any existing api does not meet these requirements, this is no reason to reject these requirements.",0,0,0,0.927644670009613,0.967110276222229,0.7944214940071106,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,127897141,8584,"it still does not meet the requirement of par. 4: ""get current results of search job (either all available or some subset)"". that's because you're trying to break down the base classes with an enviable persistence. i have repeatedly said that this is unnecessary! the user must be able to receive **any subset** of the results, even if it has already received it before! so your server-side queueing is inappropriate.",-1,-1,0,0.9303253889083862,0.8987245559692383,0.554731011390686,-1.0,accept,majority_agreement,2
qBittorrent/qBittorrent,reviews,129094968,8584,some preliminary comments...,0,0,0,0.972743570804596,0.9459044337272644,0.98847895860672,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,141645745,8584,"those aren't strictly required, but personally i would add them. i hope i won't be dragged to interrogation this time...",0,0,0,0.7007303237915039,0.7123609185218811,0.4840032160282135,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,154062245,8584,"well, if you ignore my comments for some reason (apparently they are unfounded, or they just go against the general trend of qbittorrent webapi/webui development), then you can continue this without my approval.",0,0,0,0.9661173820495604,0.9197320342063904,0.9793075919151306,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,160562484,8584,"i don't want to unnecessarily prevent the birth of this feature. we'll have to clean it a lot while it's still young. but we didn't have to release it with obvious flaws, so i was so insistent. to demonstrate my good intentions, i will not even demand to correct the remaining ""coding style"" issues. we can do that later.",0,0,-1,0.4366631507873535,0.5984556674957275,0.6282510757446289,0.0,accept,majority_agreement,2
qBittorrent/qBittorrent,reviews,42364545,6911,", i reviewed some subset of your changes. you can start to fix it. please don't rebase at this point. create fixup commits for your fixes.",0,0,0,0.9774552583694458,0.9735540747642516,0.9713805317878724,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,42232618,6911,"don't have a time for a deep review, sorry, so maybe i'm totally wrong, but the following cough my attention and i think i can't agree with it: differentiating between null string and empty string shows, most likely, that the author wanted a special value string, and if so, why it is not explicit? related question: why filtering is done by a single tag only, but not by a list of tags?",-1,-1,-1,0.9834495186805724,0.9898618459701538,0.9904512166976928,-1.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,73786658,6779,very nice! you can squash the commits now.,1,1,1,0.9887786507606506,0.9953330159187316,0.9935165643692015,1.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,74802604,6779,fix coding style. the rest is ok.,0,0,0,0.9751807451248168,0.9829280972480774,0.6648765802383423,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,36242893,6698,too many coding style issues! did you forget use uncrustify?,-1,-1,-1,0.9078251123428344,0.8857137560844421,0.9578624963760376,-1.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,36651811,6698,coding style mostly.,0,0,0,0.9837480187416076,0.9698463082313538,0.9846540093421936,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,38887017,6698,first comments ready. mostly coding style related. i still have not delved into logic.,0,0,0,0.9661180377006532,0.8579729795455933,0.8147493004798889,0.0,accept,unanimous_agreement,2
qBittorrent/qBittorrent,reviews,39126869,6698,some more comments.,0,0,0,0.9729931354522704,0.9690834283828736,0.9914333820343018,0.0,accept,unanimous_agreement,2
