repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
redis/redis,reviews,1242527620,11695,"i have skimmed though the diff. this looks very promising! regarding the topics in the top comment: i think your solution looks good. i think it needs to be more fair. i have commented on the diff. see comment on the diff. yes i think we need to do this, at least for checking if it affects performance. a simple way could be to cache the last computed hash inside hashkeyslot itself: [code block] for simplicity, i like that we have all the dicts allocated, but if we use an array of dict structs (see also comment in the diff) instead of an array of dict pointers, we probably get a bit faster as there are less pointers to follow thus less memory accesses.",1,1,1,0.9839171171188354,0.994077205657959,0.9894931316375732,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1243088686,11695,"thanks for publishing the pr . i'm really excited for this change! i reviewed db.c and left some questions, will continue reviewing the remaining files tmr.",1,1,1,0.992391049861908,0.994817316532135,0.9970017075538636,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1283352450,11695,"took another look. the only think i still don't really like is the random key selection, but i'm not sure how much it really matters. do we have any performance testing for eviction? that might be more heavily impacted by the increased time spent selecting a random db. i would still bias towards making the random db selection faster, and random over a long time frame, then necessarily accurate at a given point in time.",-1,-1,0,0.8603057861328125,0.5923188924789429,0.6951984167098999,-1.0,accept,majority_agreement,2
redis/redis,reviews,1287219509,11695,"i skimmed through the changes (not too deeply though). added a few questions, observations and suggestions.",0,0,0,0.9549806118011476,0.9811076521873474,0.9667677283287048,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1325168337,11695,"i skimmed through the recent changes one commit at the time. in retrospect it might have been wrong, due to the repeated changes to the same code, and some of my comment may be outdated or misplaced. also, i think due to some glitch in gh it looked as if i'm reviewing some changes out of order, seeing code that should have been gone already changes in an outdated form. or maybe some commits are incomplete, or something else i don't understand. bottom line, please ignore comments that you think are already handled.",0,0,-1,0.7922843098640442,0.5503031015396118,0.7275192737579346,0.0,accept,majority_agreement,2
redis/redis,reviews,1338031193,11695,"mostly lgtm, still curious about the fairness of the lru for two conditions: 1. some large slots. 2. uniform distribution of slots. i think if we cover those two cases for eviction, i'm happy with the results.",1,1,1,0.8314893245697021,0.8423464894294739,0.6608334183692932,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1369891163,11695,"i'm now conceptually happy with the changes. i have no outstanding concerns for the design, just some minor comments.",1,1,1,0.8196499943733215,0.969269633293152,0.9676122665405272,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1376601156,11695,lgtm,0,0,0,0.9795994758605956,0.7242414951324463,0.9618706703186036,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1575782756,11695,"i've re-reviewed everything line by line. i must say that unlike the first time i took a look at it, i no longer have a bad feeling about it. maybe it's because this pr had gone through some cleanup and refactory (i don't recall), or maybe it's a matter of expectations, which are now different. i added a few comments with minor questions and suggestions for improvements. after that, and the other pending comments (about expires dict?), i suppose we can proceed. thanks.",1,1,1,0.7948421239852905,0.9627222418785096,0.9818748831748962,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1612505162,11695,"thanks. please go over the comments that you resolved and mark them as such, so it'll be easy to keep track of what's left.",1,1,1,0.7650056481361389,0.8760705590248108,0.9267261028289796,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1618765488,11695,"mostly a partial review, will try to finish some time next week.",0,0,0,0.9766342043876648,0.9846113324165344,0.9288264513015748,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1654553842,11695,"i went over my (and a few others that were old) comments that were unresolved, and resolved the ones that are handled. there are still some that aren't, and it's hard to go over everything each time. maybe for some we should add a todo section in the top comment and resolve them.",0,0,0,0.9526083469390868,0.90821373462677,0.9230546355247498,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1663219180,11695,"conceptually approving the pr, and the handling of the remaining issues later. went over the unresolved comments, and saw two small things that i didn't see in your list. [a link] - about benchmarking mset ~~[a link] - please ack that it's handled.`~~",0,0,0,0.9224247336387634,0.9355130791664124,0.9486162662506104,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1663721630,11695,"we should close on oran's comments, but i'm happy with all the updates and have nothng else to add. , pinging you as well for approval. the top comment seems mostly up to date as of this point.",1,1,1,0.8318755626678467,0.979844331741333,0.9847191572189332,1.0,accept,unanimous_agreement,2
redis/redis,reviews,807470673,9788,"thank you. i started reviewing the pr, and also edited the pr top comment to make it clearer (please check if it looks right). so far i reviewed just parts of it (namely all the files excluding aof.c and the tests). i.d like to post my comments for discussion before i proceed with the other parts, to see if we agree on things, or maybe i have a misunderstanding.",1,1,1,0.949596345424652,0.9144827723503112,0.9742752313613892,1.0,accept,unanimous_agreement,2
redis/redis,reviews,808236545,9788,"done reviewing aof.c, didn't review the tests yet.",0,0,0,0.9641192555427552,0.9850512742996216,0.9849517941474916,0.0,accept,unanimous_agreement,2
redis/redis,reviews,817221984,9788,"hey , i have done a quick initial review and have some comments - but there are also some bigger topics i'd like to raise here. the two main concerns i have are these: * things being more complex for users who wish to backup or migrate aof files around, and in particular failing to copy the right files. * upgrade path. one way to address the first concern, that came up in the past, is to treat the `appendfilename` as a name of a directory we create (under `dir`) and place all files there. users then basically have to backup or transfer the **entire** directory. any down sides to that? regarding the upgrade path, the most common scenario i consider is where the user simply replaces `redis-server`, restarts and expects everything to work. if we simply treat `appendfilename` as a prefix we'd be creating aof data that existing scripts/tools/etc. may not be aware of and silently fail to handle. worse, if the old `appendonly.aof` is still there it could later be used to restore stale data. to address that, we should probably rename the old-style file pointed by `appendfilename` to the new-style structure (as a base). another issue is that unless the configuration parameter is changed, we'd end up with something like `appendonly.aof.25.aof` which would be weird. here, the above proposal to use a dedicated directly might help - because `appendonly.aof` would still exist but become a directory instead of a single file.",0,0,0,0.6892336010932922,0.8268381357192993,0.8127483129501343,0.0,accept,unanimous_agreement,2
redis/redis,reviews,834071770,9788,"here's some feedback (maybe i'm reviewing an intermediate commit). i was under the impression that we decided to start by adding a separate config for the folder name, and use the old config as both a way to locate the old file on upgrades, and maybe also use it as a pattern for the file names we create inside the dir. i.e. agreed with you that this is cleaner than using the old config as a folder name. i was afraid of some edge cases with this approach that we should look into and try to resolve. or actually if we use the old config as a pattern for the files we create in the folder, maybe there's no problem. did you reach some new conclusion on the matter which caused you to go with the approach of using the old config only?",0,0,0,0.6575297713279724,0.936972200870514,0.7704252600669861,0.0,accept,unanimous_agreement,2
redis/redis,reviews,840074691,9788,some phrasing..,0,0,0,0.967365562915802,0.9420620799064636,0.7702205181121826,0.0,accept,unanimous_agreement,2
redis/redis,reviews,840061102,9788,"did another top-to-bottom review of the c code and found some final comments. also, finally had time to review the tests.. all in all they look good, i added a few suggestion got improvements.",1,1,1,0.7321020364761353,0.6179103851318359,0.9738957285881042,1.0,accept,unanimous_agreement,2
redis/redis,reviews,840829269,9788,finished reviewing the c file. posting first part of my review.,0,0,0,0.970674991607666,0.9608854651451112,0.9401176571846008,0.0,accept,unanimous_agreement,2
redis/redis,reviews,840857119,9788,"i only reviewed the changes in the tests and not re-reviewed the whole thing (tests). this means that if some of my previous set of comments was not handled (or had two asks, and only one was handled), i'll miss this. just stating this to make sure you think you understood everything, and if you think there's a chance something wasn't clear, please open that discussion and add a comment in it.",0,0,0,0.742401659488678,0.9067338109016418,0.9526571035385132,0.0,accept,unanimous_agreement,2
redis/redis,reviews,840929608,9788,another full ci: [a link],0,0,0,0.9849458932876588,0.9789487719535828,0.996013641357422,0.0,accept,unanimous_agreement,2
redis/redis,reviews,842039844,9788,"lgtm with a few comments, mostly around typos / suggestions for improved log messages.",0,0,0,0.986314296722412,0.9340474009513856,0.9743757247924804,0.0,accept,unanimous_agreement,2
redis/redis,reviews,842456619,9788,"adding my approval from the high level design, didn't look at the details.",0,0,0,0.8369807600975037,0.9635626673698424,0.9682849645614624,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1126880845,11012,"we probably need to add some tests are doing recursive lmove commands, which don't seem to exist.",0,0,0,0.979321539402008,0.9817919135093688,0.985254406929016,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1127641614,11012,"thanks ran. this area needed some cleanup. in fact, we could rename it to be part of the ""sort out the mess"" series :smile: fyi: #11310 (not sure which one to merge first) cc there is a ton of deleted code here, it's impossible to make sure it didn't have any specific logic for blocked command edge cases that's missing from the actual commands. i just hope we have enough tests to spot these. cc -binbin maybe you can spot something.",1,1,1,0.9078119397163392,0.9751394391059875,0.9931228756904602,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1187956233,11012,"thanks , so this is basically ready for merge? i skimmed though the code again (not a real review) and added a few minor comments. please make sure the top comment is updated with all the important details people may wanna know without reading the code. i wonder if we should do something to benchmark any performance regressions from this maybe you have an idea? i.e. create a scenario where the benchmark keeps creating a mass of blocked clients and releasing them and compare the performance to the old code.",0,1,1,0.7654443979263306,0.937411606311798,0.8686196208000183,1.0,accept,majority_agreement,2
redis/redis,reviews,1190257026,11012,lgtm. i also think it would be good to do performance testing.,1,0,0,0.5335896611213684,0.7717804312705994,0.9647610783576964,0.0,accept,majority_agreement,2
redis/redis,reviews,1233431181,11012,can you please add some trivial monitor + blocked client test in unit/instospection.tcl? [edit] and make sure the top comment is updated,0,0,0,0.9874228239059448,0.9940687417984008,0.9960575103759766,0.0,accept,unanimous_agreement,2
redis/redis,reviews,730201916,9357,"initial review. the two important aspects are maybe: 1. terminology: maybe if we'll call the non-ziplist nodes ""plain"" instead of ""none"" it'll be easier to refer to them anywhere in the code. 2. i feel that we didn't handle compressed nodes correctly, not sure how well this is covered by the tests.",0,0,0,0.7180505990982056,0.975150227546692,0.919062316417694,0.0,accept,unanimous_agreement,2
redis/redis,reviews,735574014,9357,"i saw a commit so i reviewed it. i now realize it's half baked, but since i already wrote down some comments i'll post them.",0,0,0,0.8992190957069397,0.8930561542510986,0.9702953696250916,0.0,accept,unanimous_agreement,2
redis/redis,reviews,752399766,9357,"i went over the diff from the last commit i reviewed. since it was a diff between two commits i didn't see the older comments still pending, so i may have commented on something that's already commented. please go over all the existing comments, if they're already solved, mark them as resolved. if you have two discussions on the same topic you can add cross-reference links and resolve one, or resolve them when they're done.",0,0,0,0.9830117225646972,0.978133261203766,0.967520833015442,0.0,accept,unanimous_agreement,2
redis/redis,reviews,787499618,9357,"not a full code review, but lgtm (with one typo).",0,0,0,0.988231599330902,0.9773748517036438,0.973884642124176,0.0,accept,unanimous_agreement,2
redis/redis,reviews,787506539,9357,"no cr, yes approval.",0,0,0,0.9750038981437684,0.930532693862915,0.9543458223342896,0.0,accept,unanimous_agreement,2
redis/redis,reviews,787568513,9357,lgtm,0,0,0,0.9795994758605956,0.7242414951324463,0.9618706703186036,0.0,accept,unanimous_agreement,2
redis/redis,reviews,880971895,10285,"i haven't reviewed the code yet, just responding to the top comment of the pr, the discussion points, and a few other things i noticed. i decided to find places to post these as code-comments so that separate discussion threads can be handled in parallel.",0,0,0,0.9447618722915648,0.9653748273849488,0.9751535058021544,0.0,accept,unanimous_agreement,2
redis/redis,reviews,881027300,10285,"i've just had a quick look at this, so posting some initial feedback mostly based on 's and the top comment. not in favor of that. the problem is we lose track of explicit config vs default config, which tends to become an issue over time when defaults change. is there a problem to expose something similar to what redis already does, and let the module control if a value is to be rewritten or not? i very briefly proposed an alternative. i am sure we need to support multi-param set as a basic feature of the api. possibly, also support both push and pull (where pull is done by the module at `onload` time).",0,0,0,0.8980486989021301,0.8200557827949524,0.8559358716011047,0.0,accept,unanimous_agreement,2
redis/redis,reviews,888008342,10285,"i think the module api is rather solid, other than maybe: 1. a few more flags we could expose (like percent_config) 2. improved enums configs (not relying on implicit int values). 3. improved apply callback that takes a redismodulectx and / or privdata i posted quite a few comments about the implementation, but most importantly there's a lot of logic copied from config.c into module.c, and i think we could maybe find a way to avoid that (see my comments in parseandsetnumericconfig). so maybe we need to look into a poc for that approach before dealing with the test of the comments? p.s. haven't reviewed the test code.",0,0,1,0.6914318799972534,0.9014032483100892,0.847052276134491,0.0,accept,majority_agreement,2
redis/redis,reviews,907955094,10285,"thanks ! i think the refactoring definitely cut down on the duplication. i took a pass through the code. i didn't read too much of the documentation updates, but i think i will just push some updates tomorrow.",1,1,1,0.978293240070343,0.981999933719635,0.991159975528717,1.0,accept,unanimous_agreement,2
redis/redis,reviews,911226823,10285,imho looks a lot better than the initial version i reviewed. thanks. added a bunch of small comments. haven't reviewed the tests yet.,1,1,1,0.9788565635681152,0.975564181804657,0.9928600192070008,1.0,accept,unanimous_agreement,2
redis/redis,reviews,912364657,10285,"looks pretty good to me, mostly minor comments now.",1,1,1,0.9576167464256288,0.9794726371765136,0.8084303736686707,1.0,accept,unanimous_agreement,2
redis/redis,reviews,918533350,10285,"another round of review. i'm gonna edit the docs for rm_registerstringconfig myself (would be easier than reviewing suggestions), so feel free to fix / argue after my edit.",0,0,0,0.7959957718849182,0.9402490854263306,0.8687285780906677,0.0,accept,unanimous_agreement,2
redis/redis,reviews,920749426,10285,thank you. this is close to being perfect 8-),1,1,1,0.9913030862808228,0.9951830506324768,0.9970405697822572,1.0,accept,unanimous_agreement,2
redis/redis,reviews,922405824,10285,"i went over all the unresolved comments, and resolved most of them (mostly outdated or handled). finally reviewed the tests too. please go over the pr top comment and make sure it's updated thank you!",1,1,1,0.9639040231704712,0.9671526551246644,0.99130779504776,1.0,accept,unanimous_agreement,2
redis/redis,reviews,923827406,10285,"i finally got around to finishing reading the documentation. ""effectively"" an approve from me, as i'm okay with the tradeoffs made in this pr, but would like to see them get closed in the discussion.",0,1,1,0.9505537152290344,0.5120229721069336,0.5371918678283691,1.0,accept,majority_agreement,2
redis/redis,reviews,925269835,10285,"lgtm. i still prefer the char *, but it's not something i honestly feel that strongly about.",-1,-1,0,0.7425356507301331,0.6710371971130371,0.8872095346450806,-1.0,accept,majority_agreement,2
redis/redis,reviews,1407081072,12109,"thanks. i didn't really dive into the derails and code, but i do have a few comments about a few things i noticed. p.s. still not certain about using a second socket rather than multiplexing yet, each has its pros and cons.",1,1,1,0.9262792468070984,0.9728583097457886,0.965984344482422,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1438416107,12109,"finally circled around to this again. it still feels like there is a lot of code and it feels like there should be less, and i think there is some duplication between regular and two channel sync",0,0,0,0.762977659702301,0.5091224312782288,0.949579894542694,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1526335332,12109,"thank you for the pr. i reviewed the code, without the tests for now and added many comments. here are a few top level notes (**each also has a thread of it's own in the comments, but i wanna draw the attention to these first**): * the review took long and it could be that some comments are duplicates. * i think that before merging this we better refactor replication.c into two files (master related code and replica related code, i'll discuss this with the core team. * i think we should change the state machine / connection sequence to a different way to do capability exchange and fallback to old mechanism without a reconnect. * i think we're mixing several different aspects in replconf that should be kept separate * i feel that the two connections should be coupled in some way (redis will be aware that they're a pair). this could help us make sure the end-offset doesn't disappear from the backlock if it is small. * i feel the terminology isn't consistent (rdb channel, vs second channel and so on), and that we need to decide on it and sort it out.",1,1,1,0.9747325778007508,0.9689776301383972,0.9771094918251038,1.0,accept,unanimous_agreement,2
redis/redis,reviews,1861423638,12109,"i only reviewed the incremental diff from my last commit, didn't re-review the diff against unstable. but since so much time passed since my last review, i'm not sure i have the right context in my head for a partial review. if you're gonna now work on it till completion, i'll need to re-review it from scratch sooner or later, but hopefully i'll do that after some terminology and comments cleanup, and maybe after any missing parts are complete (so that i don't have to repeat that again too many times) please mark all the resolved comments as such, and if there are big ones that require design discussion and decisions, let's do that first, before reviewing and arguing about nonsense. p.s. didn't look at the tests.",0,0,0,0.8226004838943481,0.8835901618003845,0.731708288192749,0.0,accept,unanimous_agreement,2
redis/redis,reviews,1896045887,12109,"some of my comments are overlapping / contradicting since they suggest changing the pending_slaves mechanism in different ways. we need to figure this out, but i don't have a concrete suggestion.",0,0,0,0.8035572171211243,0.5010432600975037,0.7415322661399841,0.0,accept,unanimous_agreement,2
redis/redis,reviews,725127812,9323,"thank you, i think this pr shows the potential of that concept quite well, and it's nice to see that the code was nearly prepared for this concept and you were able to apply it nicely without too many changes. i did a quick review and gave a few comments, the main issue to be resolved is probably around the module api and complex modules with out of keyspace data. few other things i must note: 1. during loading redis is not highly responsive, it only processes events for a short period once in some 2mb of rdb data. so the clients working with the replica may get degraded performance, even beyond the fact that the cpu is heavily invested in loading. 2. i think we wanna have that mode enabled only when a replica was previously in sync with a master (not depending on whatever the database was empty or not though), when a new replica comes up, we'll want to avoid using swapdb, so that we **will** respond with -loading.",1,1,1,0.9139931201934814,0.9799473285675048,0.987389326095581,1.0,accept,unanimous_agreement,2
