repository,pr_number,pr_outcome,weighted_negativity_ratio,total_feedback,has_any_negative_feedback,num_positive_comments,num_neutral_comments,num_negative_comments,total_comments,num_positive_reviews,num_neutral_reviews,num_negative_reviews,total_reviews,num_positive_review_comments,num_neutral_review_comments,num_negative_review_comments,total_review_comments
redis,11695,merged,0.0440402106270943,1044.5,1,9,51,2,62,7,6,1,14,17,287,14,318
redis,9788,merged,0.03502129673450071,1056.5,1,10,36,4,50,2,9,0,11,13,304,11,328
redis,11012,merged,0.07247298156389065,786.5,1,7,40,3,50,2,3,0,5,12,212,18,242
redis,9357,merged,0.06397562833206398,656.5,1,1,19,0,20,0,6,0,6,5,189,14,208
redis,10285,merged,0.09254901960784313,637.5,1,2,16,0,18,6,4,1,11,5,175,19,199
redis,12109,rejected,0.08215085884988797,669.5,1,2,5,1,8,2,3,0,5,10,189,18,217
redis,9323,merged,0.0684811237928007,569.5,1,8,20,1,29,4,7,1,12,18,142,12,172
redis,9166,merged,0.062088428974600186,531.5,1,4,12,0,16,1,3,0,4,3,155,11,169
redis,10517,rejected,0.059009483667017915,474.5,1,12,42,7,61,2,8,0,10,9,115,7,131
redis,13157,merged,0.24438902743142144,200.5,1,30,116,49,195,0,1,0,1,0,1,0,1
redis,9320,merged,0.06444188722669736,434.5,1,18,42,4,64,3,2,3,8,3,109,6,118
redis,9934,merged,0.09467455621301775,422.5,1,9,52,8,69,2,1,1,4,5,100,10,115
redis,9202,merged,0.05194805194805195,346.5,1,1,9,0,10,4,2,0,6,5,97,6,108
redis,9974,merged,0.08150470219435736,478.5,1,2,15,3,20,2,2,0,4,7,131,12,150
redis,10273,merged,0.0499457111834962,460.5,1,2,16,3,21,0,1,1,2,1,138,6,145
redis,9406,merged,0.07115628970775095,393.5,1,2,54,7,63,1,2,0,3,0,101,7,108
redis,9462,merged,0.07150595882990249,461.5,1,5,12,0,17,1,2,0,3,9,126,11,146
redis,9504,merged,0.09805924412665985,489.5,1,0,6,0,6,1,5,0,6,4,137,16,157
redis,8887,merged,0.09100998890122086,450.5,1,6,26,2,34,1,3,0,4,5,118,13,136
redis,11303,merged,0.0867630700778643,449.5,1,2,23,0,25,1,4,0,5,7,118,13,138
redis,8621,merged,0.11630558722919042,438.5,1,4,16,3,23,1,10,0,11,4,111,16,131
redis,9656,merged,0.03785488958990536,475.5,1,1,9,0,10,0,3,0,3,3,144,6,153
redis,11659,merged,0.02944507361268403,441.5,1,1,6,1,8,0,8,0,8,6,129,4,139
redis,9572,merged,0.08888888888888889,382.5,1,2,32,7,41,1,3,0,4,12,90,9,111
redis,13740,merged,0.009962640099626401,401.5,1,0,11,1,12,1,6,0,7,9,115,1,125
redis,9872,merged,0.06420927467300833,420.5,1,2,5,0,7,1,3,0,4,8,118,9,135
redis,10536,merged,0.06279434850863422,318.5,1,12,35,3,50,2,5,1,8,8,71,5,84
redis,9127,merged,0.03495630461922597,400.5,1,3,7,2,12,0,5,0,5,10,112,4,126
redis,10108,merged,0.04449938195302843,404.5,1,1,9,0,10,1,1,0,2,7,117,6,130
