id,number,title,user,created_at,merged_at,comments,state,closed_at
1570553536,5439,feat(vuln): include pkg identifier on detected vulnerabilities,juan131,2023-10-24T07:57:56Z,2023-12-27T08:14:44Z,19,closed,2023-12-27T08:14:44Z
2123603068,7732,docs: improve databases documentation,itaysk,2024-10-14T17:54:14Z,2024-11-27T17:57:41Z,8,closed,2024-11-27T17:57:41Z
501126918,679,Add linter check support,rahul2393,2020-10-11T12:05:08Z,2020-10-20T12:20:05Z,21,closed,2020-10-20T12:20:05Z
1889438012,6781,ci: automate backporting process,knqyf263,2024-05-27T06:15:25Z,2024-06-06T10:32:09Z,11,closed,2024-06-06T10:32:09Z
1613556505,5635,feat: Add Julia language analyzer support,Octogonapus,2023-11-22T21:55:28Z,2024-05-15T03:21:07Z,30,closed,2024-05-15T03:21:07Z
968560914,2333,docs: Updating documentation structure and content in the tutorial section,AnaisUrlichs,2022-06-15T19:53:55Z,,14,closed,2022-09-15T16:01:43Z
1749763666,6234,docs: Add documentation for contributing additional checks to the trivy policies repo,AnaisUrlichs,2024-02-29T13:25:35Z,2024-05-22T12:04:18Z,1,closed,2024-05-22T12:04:19Z
2228661899,8080,feat(python): add support for uv,nikpivkin,2024-12-11T11:01:31Z,2024-12-19T06:20:32Z,14,closed,2024-12-19T06:20:32Z
2251616213,8177,feat: add report summary table,knqyf263,2024-12-25T10:14:26Z,2025-03-04T09:42:07Z,14,closed,2025-03-04T09:42:08Z
301215903,99,Major Dockerfile redesign with UPX and other best practices,pascalandy,2019-07-25T16:14:08Z,,19,closed,2020-10-22T13:50:36Z
386988586,433,Override with Vendor score if exists,simar7,2020-03-12T01:02:14Z,2020-04-16T23:58:59Z,10,closed,2020-04-16T23:58:59Z
1312584012,4058,feat(spdx): add support for SPDX 2.3,FrimIdan,2023-04-13T14:08:26Z,2023-04-23T20:36:05Z,34,closed,2023-04-23T20:36:05Z
438489019,542,added: display last db update whenever trivy server is started,yashvardhan-kukreja,2020-06-23T10:52:53Z,,32,closed,2023-09-10T14:44:19Z
507936183,709,AVD: Add links to detected vulnerabilities,simar7,2020-10-22T00:23:39Z,,10,closed,2020-11-26T22:07:07Z
1746860563,6217,fix(aws): handle ECR repositories in different regions,knrc,2024-02-28T03:13:23Z,2024-09-02T04:02:15Z,19,closed,2024-09-02T04:02:15Z
795320172,1437,BREAKING: migrate the sarif template to Go code,afdesk,2021-12-05T15:45:30Z,2022-01-12T06:49:48Z,5,closed,2022-01-12T06:49:48Z
1395790416,4652,feat(nodejs): parse licenses in yarn projects,nikpivkin,2023-06-16T14:07:32Z,2023-08-23T06:55:43Z,3,closed,2023-08-23T06:55:44Z
