id,pr_number,user,submitted_at,state,body
1719210795,5439,knqyf263,2023-11-08T02:28:36Z,COMMENTED,thanks for your great contribution! i think we should add `identifier` in `package` as well as `detectedvulnerability` since it is an attribute of the package. what do you think? it means purls should be generated in the analysis part. [a link] purl can be generated here for language-specific packages. [a link] os packages may need to generate purls in each analyzer. [a link] please let me know if you have any comments.
1738968352,5439,DmitriyLewen,2023-11-20T05:27:44Z,COMMENTED,i left few comments. also i think we can upgrade cyclonedx and spdx logic (use purl from `identifier`): [a link]
1743439263,5439,knqyf263,2023-11-22T02:20:07Z,COMMENTED,i quickly looked through the golden files and noticed some things.
1758960436,5439,DmitriyLewen,2023-12-01T04:02:28Z,COMMENTED,hello sorry for delay. i have priority tasks. i left a few comments. please take a look.
1779009604,5439,DmitriyLewen,2023-12-13T08:40:18Z,COMMENTED,hello i left comments. can you refactor the code based on these comments?
1796865172,5439,knqyf263,2023-12-27T07:54:48Z,APPROVED,"thanks! i changed the purl field from string to the purl struct, but the rest looks good."
2407481414,7732,knqyf263,2024-10-31T09:39:51Z,COMMENTED,"i think we want to add a new page for ""self-hosting databases"". it can be used for air-gapped environments, but also useful for rate limits or network bandwidth. we can explain [a link] in the page. [a link]"
2447091626,7732,simar7,2024-11-20T00:35:25Z,APPROVED,it lgtm for this iteration. i think we can merge this for now and update in subsequent prs if more changes are still needed. wdyt ?
2093600389,6781,knqyf263,2024-06-03T11:54:47Z,COMMENTED,/trivy i added some changes to get along with release please. please take another look.
2098364013,6781,DmitriyLewen,2024-06-05T08:12:49Z,APPROVED,lgtm
2100792249,6781,DmitriyLewen,2024-06-06T05:04:43Z,COMMENTED,looks good :+1: left a couple of comments
2101287529,6781,DmitriyLewen,2024-06-06T08:51:15Z,APPROVED,lgtm
1747284400,5635,DmitriyLewen,2023-11-24T06:53:06Z,COMMENTED,"hello thanks for your work! i left few comments. can you also add tests for spdx, cyclonedx to see how we use uuid for these formats?"
1776540484,5635,DmitriyLewen,2023-12-12T04:40:50Z,COMMENTED,"lgtm. left small comments. take a look, please"
1778948844,5635,DmitriyLewen,2023-12-13T06:52:44Z,APPROVED,"lgtm now! thanks for your work! i approved this pr. take a look, when you have time, please."
1788125350,5635,DmitriyLewen,2023-12-19T05:31:26Z,APPROVED,we updated unstable tests now you can definitely watch this show
2054358492,5635,knqyf263,2024-05-14T06:20:36Z,APPROVED,thanks for your patient. lgtm. i left a small comment.
1072341649,2333,knqyf263,2022-08-15T09:16:19Z,COMMENTED,"i said i was ok, but after all i left some comments:grinning_face_with_smiling_eyes:"
1088749788,2333,knqyf263,2022-08-29T13:57:24Z,COMMENTED,i left some small comments. i believe this is the last review.
2501617294,8080,DmitriyLewen,2024-12-13T08:38:05Z,COMMENTED,"i think we also need to skip `dev` group. create new issue for this case. please i left comments, take a look, please"
2505662195,8080,DmitriyLewen,2024-12-16T09:51:34Z,COMMENTED,looks good. left small comments
2508640026,8080,DmitriyLewen,2024-12-17T11:40:40Z,APPROVED,lgtm cc.
2511395487,8080,knqyf263,2024-12-18T10:25:18Z,COMMENTED,lgtm. left small comments.
2591935070,8177,knqyf263,2025-02-04T08:54:25Z,COMMENTED,"for empty results, what if showing `-` in all cells in addition to warnings? [code block]"
514316164,99,pascalandy,2020-10-22T02:28:06Z,COMMENTED,"lgtm. btw, i had to intention to 'merge'. obviously i'm not the a maintainer on this projet."
394634322,433,knqyf263,2020-04-16T13:31:21Z,APPROVED,"the source code looks good to me. the remaining task is to make sure there is really no critical vulnerability with centos:7. i think we can list vulnerabilities running trivy and check the actual severities of them to go to red hat website. also, you can pick up some critical vulnerabilities and install the vulnerable version to centos image. then, we should confirm the critical vulnerability is detected."
1396939071,4058,knqyf263,2023-04-23T17:13:05Z,APPROVED,"lgtm. thanks! btw, this pr bumps the spdx version. i feel like this is a feature enhancement adding support for spdx 2.3. what do you think? can we change the title to `feat(spdx): add support for spdx 2.3`?"
447632005,542,simar7,2020-07-13T22:06:38Z,CHANGES_REQUESTED,left some comments. at the moment this is also not unit-tested. you could take a look at a few examples here: [a link]
462085232,542,simar7,2020-08-05T23:14:55Z,APPROVED,"lgtm, thanks for the contribution! would you like to review before we merge?"
533750449,709,knqyf263,2020-11-18T18:34:14Z,COMMENTED,"i'm sorry, but i came up with a better idea."
1905380361,6217,DmitriyLewen,2024-02-28T06:07:03Z,COMMENTED,"hello thanks for your report! left comments. take a look, when you have time, please. regards, dmitriy"
1910257807,6217,DmitriyLewen,2024-03-01T03:30:35Z,APPROVED,thanks for your work!
1915933922,6217,DmitriyLewen,2024-03-05T06:03:47Z,APPROVED,thanks for your work i approved this pr. if you agree with [a link] - we can merge it.
2007907380,6217,DmitriyLewen,2024-04-18T05:56:24Z,COMMENTED,sorry for the wait for an answer. thank you for showing me this. i'm currently seeing this problem! your changes look correct for this case. i left 1 comment about google test.
2013901999,6217,DmitriyLewen,2024-04-22T06:55:59Z,APPROVED,"thanks for your work! take a look, when you have time, please."
836565284,1437,knqyf263,2021-12-21T05:37:06Z,COMMENTED,we should have tests for sarifwriter.
1502509928,4652,DmitriyLewen,2023-06-28T08:49:35Z,COMMENTED,"nice work! i left few small comments. take a look, when you have time, please."
