id,number,title,user,created_at,merged_at,comments,state,closed_at
629891447,835,Basic telemetry for the Audacity,crsib,2021-05-04T15:24:49Z,,1091,closed,2021-05-09T20:27:00Z
699730100,1384,Deep Learning Tools,hugofloresgarcia,2021-07-29T17:53:45Z,,14,closed,2024-10-15T07:53:40Z
1277048375,4414,Bottom bar UI,crsib,2023-03-15T15:24:10Z,2023-04-03T17:48:42Z,42,closed,2023-04-03T17:48:42Z
804387931,2295,VST3 support,vsverchinsky,2021-12-16T12:15:04Z,2022-02-14T19:22:49Z,22,closed,2022-02-14T19:22:50Z
1646702426,5791,DSP-based tempo detection,saintmatthieu,2023-12-15T23:09:24Z,2024-01-10T14:59:54Z,10,closed,2024-01-10T14:59:54Z
1476170405,5043,Time stretching 4 of 6 repair copy paste for stretched tracks,saintmatthieu,2023-08-15T16:28:49Z,2023-10-06T17:46:13Z,37,closed,2023-10-06T17:46:13Z
1423361978,4881,Audio Clip stretching,saintmatthieu,2023-07-06T19:09:24Z,,13,closed,2023-08-15T16:32:43Z
986659085,3176,Non modal setting dialogs for stacked effects,crsib,2022-07-04T16:45:25Z,2022-08-15T11:12:59Z,43,closed,2022-08-15T11:12:59Z
1476170025,5041,Time stretching 2 of 6 make audio track stretching effective,saintmatthieu,2023-08-15T16:28:29Z,2023-09-01T10:56:01Z,27,closed,2023-09-01T10:56:01Z
681999250,1207,Track affordances,vsverchinsky,2021-07-01T16:18:33Z,2021-07-22T18:43:49Z,1,closed,2021-07-22T18:43:49Z
778873464,2121,Deserialization cleanup,crsib,2021-11-11T20:15:29Z,2021-11-18T12:45:53Z,11,closed,2021-11-18T12:45:53Z
630054049,836,Breakpad integration,vsverchinsky,2021-05-04T19:52:46Z,2021-06-15T19:56:49Z,24,closed,2021-06-15T19:56:49Z
1381557518,4771,SampleTrack caching refactoring: weak_ptr approach,saintmatthieu,2023-06-06T21:33:14Z,2023-06-27T10:19:41Z,15,closed,2023-06-27T10:19:41Z
877717688,2668,Issue 2607: plugin validation,vsverchinsky,2022-03-11T18:43:03Z,2022-05-18T11:14:16Z,10,closed,2022-05-18T11:14:17Z
1395602718,4797,Wide sample sequence stretching decorator,saintmatthieu,2023-06-16T12:07:56Z,2023-07-07T16:07:49Z,13,closed,2023-07-07T16:07:49Z
1501508573,5138,Destructive effects applied to stretched clips,Paul-Licameli,2023-09-04T15:23:10Z,2023-09-19T09:41:14Z,47,closed,2023-09-19T09:41:14Z
1005900482,3278,Define instance vst2 2nd,pietro68,2022-07-22T15:10:17Z,2022-08-23T14:24:36Z,20,closed,2022-08-23T14:24:36Z
921748399,2867,Issue 2845: effects stack UI,vsverchinsky,2022-04-28T11:49:33Z,2022-05-25T20:24:08Z,7,closed,2022-05-25T20:24:08Z
594643417,759,Update 2.4.2 Turkish Translation,serkan-maker,2021-03-17T11:51:14Z,,6,closed,2021-03-29T12:22:35Z
1037172677,3432,Audio sharing support,crsib,2022-08-25T19:32:37Z,2022-09-05T08:20:07Z,11,closed,2022-09-05T08:20:07Z
680302149,1193,New spectral editing tool - brush tool,Edwardhk,2021-06-29T19:18:58Z,,5,closed,2021-10-05T15:39:23Z
1411723598,4853,Have clips know project tempo,saintmatthieu,2023-06-28T14:00:13Z,,78,closed,2023-07-03T13:42:56Z
794253376,2224,Integrate WavPack library to export/import wavpack files,Subhra264,2021-12-03T04:02:59Z,2022-06-24T14:26:37Z,10,closed,2022-06-24T14:26:38Z
1369923024,4746,Mixer does not use track,Paul-Licameli,2023-05-30T07:12:03Z,2023-06-21T20:11:52Z,18,closed,2023-06-21T20:11:52Z
1749886542,6068,6001 formant preservation,saintmatthieu,2024-02-29T14:24:42Z,2024-03-20T12:19:13Z,10,closed,2024-03-20T12:19:13Z
1340498239,4668,New export UI,vsverchinsky,2023-05-05T23:34:31Z,2023-08-02T12:26:16Z,24,closed,2023-08-02T12:26:16Z
1354169053,4701,4700 make an audacity library of staffpads time stretcher,saintmatthieu,2023-05-17T13:16:40Z,2023-06-01T10:22:48Z,10,closed,2023-06-01T10:22:48Z
1476170267,5042,Time stretching 3 of 6 repair drawing tools for stretched audio,saintmatthieu,2023-08-15T16:28:42Z,2023-09-25T07:17:28Z,13,closed,2023-09-25T07:17:29Z
629045391,830,Color scheme for spectrogram,dofuuz,2021-05-03T11:41:05Z,2021-06-15T16:41:44Z,33,closed,2021-06-15T16:41:44Z
665864719,966,Tracking version,gera-gas,2021-06-09T12:34:46Z,2021-06-18T13:46:40Z,2,closed,2021-06-18T13:46:40Z
937515523,2941,Audio setup rework,ksoze95,2022-05-16T13:38:05Z,2022-06-15T15:49:47Z,43,closed,2022-06-15T15:49:47Z
1262080078,4384,Import/export refactoring,vsverchinsky,2023-03-03T13:25:41Z,,8,closed,2023-08-14T08:52:44Z
1030194401,3396,Issue 2606: vst3 statelessness,vsverchinsky,2022-08-18T16:13:56Z,2022-08-23T10:38:51Z,8,closed,2022-08-23T10:38:51Z
1845092749,6359,Master effects,vsverchinsky,2024-04-29T07:41:33Z,2024-05-27T09:00:31Z,16,closed,2024-05-27T09:00:31Z
726387136,1614,Wave Clip rename,vsverchinsky,2021-09-03T00:20:53Z,2021-09-15T03:09:01Z,1,closed,2021-09-15T03:09:01Z
734418429,1679,Smart clips,vsverchinsky,2021-09-15T10:10:50Z,2021-10-05T16:16:38Z,2,closed,2021-10-05T16:16:38Z
1657298102,5818,`lib-wave-track-paint`,vsverchinsky,2023-12-26T14:41:58Z,2024-04-25T12:52:39Z,20,closed,2024-04-25T12:52:39Z
727460146,1623,Ffmpeg update,crsib,2021-09-05T20:00:45Z,2021-09-24T18:03:22Z,6,closed,2021-09-24T18:03:23Z
661059630,952,Error reporting to Sentry,crsib,2021-06-03T16:36:02Z,2021-06-08T15:08:26Z,2,closed,2021-06-08T15:08:26Z
988597829,3183,Define settings vst2 - 2nd,pietro68,2022-07-06T10:16:02Z,2022-07-15T12:48:51Z,12,closed,2022-07-15T12:48:51Z
1857693643,6395,Real time limiter UI,saintmatthieu,2024-05-07T08:12:02Z,2024-05-22T13:49:35Z,35,closed,2024-05-22T13:49:35Z
969181551,3088,Use XDG dirs by default on Linux,ruro,2022-06-16T10:55:36Z,2022-06-24T14:21:01Z,20,closed,2022-06-24T14:21:01Z
1686909656,5874,Multiple-file import of audio files with tempo detection.,saintmatthieu,2024-01-19T13:17:38Z,2024-02-07T12:50:44Z,8,closed,2024-02-07T12:50:44Z
912108369,2831,Issue 2659: effects menu sorting,vsverchinsky,2022-04-18T14:55:06Z,2022-06-11T11:55:13Z,11,closed,2022-06-11T11:55:13Z
1501566589,5139,Repair plot spectrum command for stretched data,saintmatthieu,2023-09-04T16:06:50Z,2023-09-19T09:47:30Z,19,closed,2023-09-19T09:47:30Z
1596227849,5570,5548 parse audio file title for loop metadata,saintmatthieu,2023-11-10T13:41:18Z,2023-12-05T11:58:46Z,11,closed,2023-12-05T11:58:46Z
1755067541,6094,Wide wave clip,Paul-Licameli,2024-03-04T16:14:24Z,2024-03-14T12:26:36Z,15,closed,2024-03-14T12:26:37Z
995999641,3229,Issue 3078: realtime effects UI keyboard navigation & accessibility,vsverchinsky,2022-07-13T22:13:53Z,2022-08-26T12:50:00Z,3,closed,2022-08-26T12:50:00Z
1732553000,5980,Plugin manager window update,vsverchinsky,2024-02-19T10:07:23Z,2024-03-22T14:05:44Z,20,closed,2024-03-22T14:05:44Z
1361390914,4723,4717 relocate caching from sampletrackcache to some place below WaveClip,saintmatthieu,2023-05-23T13:04:59Z,,23,closed,2023-05-30T06:02:49Z
1699492245,5900,5891 non destructive pitch shifting,saintmatthieu,2024-01-29T08:52:03Z,2024-02-02T17:19:25Z,12,closed,2024-02-02T17:19:25Z
2136092721,7590,6940 vscode setup,saintmatthieu,2024-10-21T13:22:41Z,2024-10-22T14:50:35Z,0,closed,2024-10-22T14:50:35Z
697987551,1377,Stereo track affordance,vsverchinsky,2021-07-27T15:58:22Z,2021-08-20T13:00:46Z,6,closed,2021-08-20T13:00:46Z
1473454555,5027,Ignore right channel envelope,Paul-Licameli,2023-08-13T18:12:26Z,2023-08-22T13:27:03Z,11,closed,2023-08-22T13:27:03Z
1729398268,5965,Wide wave track,Paul-Licameli,2024-02-16T12:07:05Z,2024-03-05T13:49:07Z,12,closed,2024-03-05T13:49:07Z
906207164,2801,Make echo stateless 2,pietro68,2022-04-11T16:16:44Z,2022-04-14T19:38:59Z,22,closed,2022-04-14T19:39:00Z
1513933344,5193,Channels API extend,vsverchinsky,2023-09-13T13:43:41Z,2023-09-25T14:39:46Z,9,closed,2023-09-25T14:39:46Z
1001666006,3258,Source stage and sink,Paul-Licameli,2022-07-20T06:29:01Z,2022-08-01T13:25:12Z,14,closed,2022-08-01T13:25:12Z
650304892,918,Preliminary work to change the 3d party libraries management process,crsib,2021-05-21T20:12:02Z,2021-05-24T13:53:54Z,9,closed,2021-05-24T13:53:54Z
855682242,2565,Effects side panel,vsverchinsky,2022-02-17T16:35:04Z,2022-02-25T15:52:46Z,6,closed,2022-02-25T15:52:47Z
1565218751,5398,5390 stretch rendering always joint stereo,saintmatthieu,2023-10-19T16:19:29Z,2023-10-30T08:38:26Z,16,closed,2023-10-30T08:38:26Z
843132792,2536,Unit testing,crsib,2022-02-08T18:42:12Z,2022-02-18T12:27:42Z,19,closed,2022-02-18T12:27:42Z
1724329763,5952,5901 overflow button,saintmatthieu,2024-02-13T17:16:55Z,2024-02-22T11:52:54Z,9,closed,2024-02-22T11:52:54Z
958783921,3030,Define settings vst3 i2969 3rd,pietro68,2022-06-06T07:55:33Z,,6,closed,2022-06-14T14:36:01Z
1067882590,3696,Meter toolbar navigation & accessibility,vsverchinsky,2022-09-27T00:29:16Z,2022-11-09T09:45:34Z,23,closed,2022-11-09T09:45:34Z
1418387472,4867,Have clips know project tempo,saintmatthieu,2023-07-03T16:23:34Z,2023-07-10T21:54:48Z,12,closed,2023-07-10T21:54:48Z
1616668719,5685,Symmetric vertical zoom,LWinterberg,2023-11-25T18:16:30Z,2023-12-04T13:27:34Z,27,closed,2023-12-04T13:27:34Z
1012098555,3317,Effect plugin window beautifications,ksoze95,2022-07-29T15:26:44Z,2022-08-25T21:18:13Z,0,closed,2022-08-25T21:18:13Z
942850386,2957,Stateless vst3 settings,pietro68,2022-05-20T15:14:54Z,,3,closed,2022-05-31T05:34:06Z
1366890235,4739,Disallow mismatched sample rates,Paul-Licameli,2023-05-26T20:52:14Z,2023-06-09T16:06:07Z,33,closed,2023-06-09T16:06:07Z
906707832,2805,Non display channel group data,Paul-Licameli,2022-04-12T01:39:33Z,2023-05-24T21:53:07Z,14,closed,2023-05-24T21:53:08Z
1394541366,4795,Audio io does not use track,Paul-Licameli,2023-06-15T17:51:13Z,2023-06-22T15:08:23Z,1,closed,2023-06-22T15:08:23Z
1663244018,5839,5546 audio file header search for loop metadata,saintmatthieu,2024-01-03T13:03:31Z,2024-01-16T22:36:09Z,8,closed,2024-01-16T22:36:09Z
1151272452,4033,Clip copy dialog,vsverchinsky,2022-12-07T10:42:54Z,2023-02-20T19:20:51Z,14,closed,2023-02-20T19:20:51Z
1193880092,4171,Realtime effects menu grouping,vsverchinsky,2023-01-11T14:04:21Z,2023-03-03T19:02:30Z,5,closed,2023-03-03T19:02:30Z
1608078841,5653,Wave color nonsense,Paul-Licameli,2023-11-19T21:18:55Z,2024-02-19T17:44:17Z,16,closed,2024-02-19T17:44:17Z
2329382831,8211,Add instance UUID support,kryksyh,2025-02-11T17:57:07Z,2025-02-13T15:14:49Z,19,closed,2025-02-13T15:14:49Z
1882292475,6472,[AU4] Timeline ruler,grliszas14,2024-05-22T11:57:40Z,2024-05-24T13:18:59Z,0,closed,2024-05-24T13:19:00Z
1698944560,5899,Fivefold faster tempo detection and spectrograms too,Paul-Licameli,2024-01-28T21:07:19Z,,3,closed,2024-10-15T09:27:37Z
2127481387,7561,Implement track deletion and a relevant minor refactoring,kryksyh,2024-10-16T10:34:28Z,2024-10-30T19:32:51Z,0,closed,2024-10-30T19:32:51Z
689846228,1295,Make Privacy Policy links accessible from the keyboard,crsib,2021-07-14T11:54:36Z,2021-07-15T01:18:09Z,2,closed,2021-07-15T01:18:09Z
1644927880,5789,Copy selection toolbar start and stop time string into clipboard,lededev,2023-12-14T21:04:12Z,,20,closed,2024-10-15T08:41:16Z
2119908016,7515,[AU4] Consecutive and non-consecutive track selecting,grliszas14,2024-10-11T15:22:52Z,2024-10-28T19:15:36Z,0,closed,2024-10-28T19:15:36Z
658864805,948,Adds lib-uuid,crsib,2021-06-01T10:03:19Z,2021-06-02T14:41:54Z,1,closed,2021-06-02T14:41:54Z
692396185,1323,Install updates,gera-gas,2021-07-19T08:35:45Z,2021-08-04T23:15:05Z,1,closed,2021-08-04T23:15:05Z
799847175,2261,Issue 2066: clip trim snapping,vsverchinsky,2021-12-10T11:51:28Z,2021-12-14T08:33:47Z,6,closed,2021-12-14T08:33:47Z
951518835,3009,Define settings vst3 i2969 2nd,pietro68,2022-05-31T05:27:23Z,,3,closed,2022-06-06T07:58:09Z
2000678541,7017,6954 plugin manager and do effect method usable in au4,saintmatthieu,2024-08-02T12:14:48Z,2024-08-19T05:59:32Z,3,closed,2024-08-19T05:59:32Z
1160276671,4053,Toolkit neutral menus part 2,Paul-Licameli,2022-12-12T08:06:28Z,,5,closed,2024-10-15T09:26:16Z
2199460306,7785,7647 effect panel part 2,saintmatthieu,2024-11-25T21:18:42Z,2024-12-02T14:12:54Z,0,closed,2024-12-02T14:12:54Z
853729827,2561,Issue 2543: wave track naming,vsverchinsky,2022-02-15T21:48:22Z,2022-03-22T10:19:09Z,8,closed,2022-03-22T10:19:09Z
966857286,3070,Define settings vst3 i2969 4th,pietro68,2022-06-14T12:20:27Z,2022-07-01T13:03:59Z,3,closed,2022-07-01T13:03:59Z
1615605289,5675,Hide some lesser known preferences,LWinterberg,2023-11-24T10:52:12Z,,28,closed,2023-12-01T13:57:03Z
1829011461,6306,Realtime limiter,saintmatthieu,2024-04-18T08:30:46Z,,5,closed,2024-05-07T08:12:55Z
2258025855,7978,Distinguish timepoint and duration on beats formatter,embarc-gabriel,2025-01-02T15:13:02Z,2025-01-07T10:18:15Z,4,closed,2025-01-07T10:18:15Z
753935106,1865,Fix text edit shortcuts,vsverchinsky,2021-10-08T11:01:23Z,2021-10-21T12:13:10Z,5,closed,2021-10-21T12:13:10Z
1140184855,3996,VST3 factory presets,vsverchinsky,2022-11-30T11:00:25Z,2023-02-20T20:14:01Z,7,closed,2023-02-20T20:14:01Z
1528635452,5239,5196 clip menus,crsib,2023-09-25T11:47:18Z,2023-09-26T12:53:53Z,22,closed,2023-09-26T12:53:53Z
1004141694,3271,Define instance vst2,pietro68,2022-07-21T12:39:33Z,,2,closed,2024-10-15T09:25:15Z
713145817,1482,Experimental dialog journalling,Paul-Licameli,2021-08-16T06:09:41Z,2021-08-20T10:42:31Z,1,closed,2021-08-20T10:42:31Z
