id,pr_number,user,created_at,body
778318916,331,DjLegolas,2022-01-04T19:00:48Z,doesn't this needs to be a x64 version of gtk?
778322855,331,cas--,2022-01-04T19:07:49Z,there is only two lines difference between these nsi files so there should only be one nsi script that be be called with optional argument for 32-bit build (64-bit default?)
778324478,331,cas--,2022-01-04T19:10:37Z,there should be no reason to skip isort on this file
778484845,331,doadin,2022-01-05T01:08:24Z,yes the x64 build had not completed yet so i didn't have a url. its done now and i just woke up so i'm going to update.
778485045,331,doadin,2022-01-05T01:09:02Z,"i am not really familiar with nsis, i will look into that."
778485180,331,doadin,2022-01-05T01:09:32Z,"was just a copy paste from the bbfreeze file, sorry."
780330445,331,cas--,2022-01-07T15:17:56Z,is this a typo? also this does not match the x86 step
780330548,331,cas--,2022-01-07T15:18:05Z,"can we use [a link] to deduplicate the build-windows steps. so perhaps set a `gvsbuild` for download link, `arch` key set to `x86` or `x64` and `wheel_arch` to `win32` or `amd64` etc..."
780331793,331,cas--,2022-01-07T15:20:07Z,i know this was just renamed but can we point to the correct dependencies reference in docs
780333095,331,cas--,2022-01-07T15:22:09Z,could we convert this to a 'markdown' document so rename extension to `.md`?
780334242,331,cas--,2022-01-07T15:23:50Z,can we install latest specific version to avoid surprises
780780944,331,cas--,2022-01-09T13:20:43Z,this seems very fragile having github actions specific lines in the spec file. also this is added for x86 arch which probably not what we want? what is causing pyinstaller not to include them? could this issue not always be the case any x64 build not just github actions? is there a way of specifying it via argument or perhaps without full path? e.g. `libcrypto-1_1-x64.dll`
780781008,331,cas--,2022-01-09T13:21:29Z,is this being used? remove if not i was just thinking that the actual wheel platform is `win_amd64` and a better name would have been `py_platform` since it's platform tag generated by python.
780782061,331,cas--,2022-01-09T13:30:43Z,can simplify to using run command `working-dir`keyword: [a link]
780782728,331,cas--,2022-01-09T13:36:15Z,can we rename `delugensis.py` to something more meaningful such as `setup_nsis.py`
780782891,331,cas--,2022-01-09T13:37:51Z,i dont' think we need to complicate this by setting envs for matrix options
780783452,331,cas--,2022-01-09T13:42:55Z,what is the current status of the redistributables? will the user always have them installed?
780803224,331,cas--,2022-01-09T16:30:55Z,"easier to maintain if move `gvsbuild` as an env to install deps section, use python and arch to populate filename."
780803492,331,cas--,2022-01-09T16:32:43Z,can we simplify by moving this as a matrix list: [code block]
