id,pr_number,user,created_at,body
974844960,15769,Mazino-Urek,2021-11-21T16:03:42Z,opened in favor of #15758 rebase disaster.
974859638,15769,xavier2k6,2021-11-21T17:26:04Z,quick glance.......... pr title & commit title are wrong no `reannounce.svg` included in `icons.qrc` file & **spacing is wrong** here: [a link] here: [a link] here: [a link] how come this passed the file health check? ____ you need to omit `.svg` [a link] icon images for `user-group-delete.svg` & `user-group-new.svg` are reversed. image for `view-calendar-journal.svg` doesn't look good in gui. same for `force-recheck.svg` imo would suggest these: ![a link] ![a link]
974862245,15769,Mazino-Urek,2021-11-21T17:42:31Z,for forced recheck: ![a link] for view-calendar-journal: ![a link]
974900150,15769,xavier2k6,2021-11-21T21:36:57Z,"i think those two icons are ok after seeing them in the gui, still not sold on the matchstick/wand looking thing for `torrent-creator` but that's only just my opinion."
975106966,15769,Mazino-Urek,2021-11-22T04:44:52Z,i will look for some alternatives.
975356935,15769,xavier2k6,2021-11-22T10:06:31Z,"i wouldn't spend too much time on it at this stage & would suggest we move on for now as more important work to be done than holding up this pr any longer for the sake of 1 icon. (we can come back to it if needs be) **for example:** todo: - [ ] adhere to advice in [a link] / [a link] - [ ] make icons consistent where applicable across for e.g. `mainwindow/context/filter/tabs` views. ![a link] ![a link] ![a link] ![a link] [code block]` would prefer if these displayed `minus` symbol ![a link]. this would make them consistent with context menu. ![a link] change: `list-remove` -> `edit-clear` **1x** `/src/gui/properties/propertieswidget.cpp` **1x** `/src/gui/properties/trackerlistwidget.cpp` **2x** `/src/gui/tagfilterwidget.cpp` **2x** `/src/gui/categoryfilterwidget.cpp` there may be other places that could be changed, but certain features i don't use/haven't looked into. ____ - [ ] ensure below icon colors are distinguishable from each other & match their respective `transfer list - rgb` text colors. (visible in light & dark theme - if possible) - [ ] `downloading` - [ ] `seeding` - [ ] `completed` - [ ] `paused` - [ ] `stalled uploading` - [ ] `stalled downloading` - [ ] `checking` - [ ] `errored` - [ ] `queued` ____ - [ ] make necessary changes to `webui` - [ ] add screenshots of icons being used & various in-app gui interfaces"
975531786,15769,Mazino-Urek,2021-11-22T13:38:28Z,"i think `text-plain` can be changed from this: ![a link] to this: ![a link] seems simpler. in general, trash looks not very visible to me. i have two proposal: ![a link] ![a link] ![a link] another issue caught my eyes. as icon names were based on gnome icon naming spec, i suspect some icon doesn't have real action based names. this issue needs to be addressed. some examples: ![a link] ![a link] ![a link] ![a link] ![a link]"
975552829,15769,Mazino-Urek,2021-11-22T13:58:07Z,"besides, i am targeting this changes for qbt version 5.0, as most user has no idea what goes under the hood. it will be a nice change for them."
975620272,15769,ArcticGems,2021-11-22T15:05:58Z,i like this one :thumbs_up:
975628553,15769,Mazino-Urek,2021-11-22T15:14:08Z,"i think this works best: ![a link] ![a link] ![a link] ![a link] ![a link] 1st and 4th works for me. between them, 1st for me."
975678440,15769,xavier2k6,2021-11-22T16:07:02Z,"i don't see any issue with changing it, seems to be only used in one place in code from what i can see. i will leave this to you. the `bin` icon, i'd have concerns about how the swirling arrows would look in the gui......may appear a bit scrunched but will see."
975744776,15769,Mazino-Urek,2021-11-22T17:14:57Z,i am deleting `text-plain` and replacing with `view-calendar-journal` then. i will need some screenshots. my linux distro can't run the artifact program file for this #12229. test it out.
975796719,15769,Mazino-Urek,2021-11-22T18:19:17Z,"please confirm. **after some deep search, following icons are not used anywhere.** - [x] `dialog-cancel` - [x] `dialog-information` - [x] `document-encrypt` - [x] `document-import` - [x] `document-save` - [x] `edit-clear-history` - [x] `edit-cut` - [x] `edit-paste` - [x] `expand` (possibly) - [x] `rss-config` - [x] `services` (possibly) - [x] `tab-close` - [x] `tools-report-bug` **miscellaneous observation:** - [x] `checking` can be replaced with `task-ongoing` - [x] `completed` can be replaced with `checked` (same icon) - [x] `document-properties` should be replaced with `checked` or a new icon i have in mind - [x] `help-about` might need change - [x] `mail-folder-inbox`, kindly look into it, might not be needed or should be changed. - [x] `mail-mark-read`, kindly look into it, might need change. - [x] `queued` deep search needed. - [x] `unavailable` and `task-reject` same icon. one can be removed. - [x] replace `edit-delete` by `list-remove` - [x] replace `document-edit` by `edit-rename` - [x] replace `mail-mark-read` by `task-complete` - [x] replace `task-attention` by `dialog-warning`"
975798063,15769,Mazino-Urek,2021-11-22T18:20:49Z,i am so sad right now. it broke my back designing those icons and yet so much of them are not really used. what a mess.
975816218,15769,xavier2k6,2021-11-22T18:44:31Z,-imran you may be right that some icons may not be used as over time features have been changed etc. & the icons may have remained but also some of those icons could be used by webui etc. edit: i haven't researched them fully.
976181980,15769,Mazino-Urek,2021-11-23T05:41:28Z,"i did some thinking. these icons were designed for this project and strict coherence was maintained. here is my proposal: 1. ununsed icons are to be kept. i might add some following gnome guidelines. each icon are less than 1 kilobytes, some are even half a kilobytes after optimization. these icons can be used in future if new features are added. 2. in case of repeated icons, only one is to be kept and other should be deleted."
976395918,15769,xavier2k6,2021-11-23T10:52:22Z,"i wouldn't be in favor of adding unnecessary bloat currently, if a new future feature was added & it required a new icon - we could give you a . in general i would agree with this......"
976399351,15769,Mazino-Urek,2021-11-23T10:56:00Z,"another idea. i will maintain a personal repository that will have the icons i have created. links will be given in read me. in that way, the icons won't be lost and can be used in future."
976617932,15769,Mazino-Urek,2021-11-23T14:28:49Z,i have created a [a link] for the archive purpose. removing unused icons. p.s build fine. trying renaming now.
976900676,15769,Mazino-Urek,2021-11-23T17:33:04Z,tracked a problem. `list-add` is a hard requirement. it must stay as this: ![a link] we can't change it to this everywhere: ![a link] it should be a new icon. kindly help me with the code. i propose `document-new` change into this and this can be used where ever needed. it is serving the same purpose now. another trash candidate: ![a link]
977072934,15769,Mazino-Urek,2021-11-23T19:38:00Z,"i have made some very big changes. kindly, test if everything works or not and provide me screenshots."
978207335,15769,xavier2k6,2021-11-24T20:43:55Z,oh boy! (quantum leap reference) nope! - missing icons. (quick check & glaringly obvious) do you not have any system available at all to test these builds/changes?? here ya go: ![a link]
