id,pr_number,user,submitted_at,state,body
937072258,15769,Chocobo1,2022-04-09T04:04:45Z,COMMENTED,i found one issue with the webui: the paused state icon is missing. ![a link] and the rest looks fine.
995771896,15769,Chocobo1,2022-06-04T05:33:35Z,COMMENTED,"in case you want to handle it, you can do it by changing to in preference.cpp"
1011585848,15769,sledgehammer999,2022-06-20T00:11:23Z,APPROVED,"since so many of you have already approved this and taken part on discussions on the various pr iterations, i am not going to hold you back. these icons will be judged by user feedback during the alpha/beta releases. to tell you the truth, personally, i am not really fond of this blue in the pallette. and i don't think it fits well in the general windows ui theming (i am using win 7 for comparison). i could be wrong, or i am just too used to the current theme."
71005096,7610,zeule,2017-10-21T11:08:48Z,DISMISSED,"please, make it impossible to get contents of any file by setting alternative ui path to any of its parent directories and typing its path in qbt web ui http get request."
71030014,7610,zeule,2017-10-22T11:07:57Z,CHANGES_REQUESTED,"please, make it impossible to get contents of any file by setting alternative ui path to any of its parent directories and typing its path in qbt web ui http get request. p.s. i want to decide myself whether it is fixed or not."
72697699,7610,zeule,2017-10-29T14:04:37Z,DISMISSED,i still not convinced that dropping old api immediately is not a terrible idea.
74250722,7610,Chocobo1,2017-11-04T09:28:41Z,DISMISSED,ok for me. also merge conflict reported.
404725098,12746,glassez,2020-05-04T06:15:26Z,COMMENTED,i suggest to split this refactoring into small independent parts for easier review. we can start from less debatable ones.
405415466,12746,NotTsunami,2020-05-05T00:16:51Z,CHANGES_REQUESTED,"finally got the chance to start looking at this. all of my comments now are looking at this by hand, i will try compiling tonight against a few different test systems (and probably comment again). slightly off topic, but in the future (pending merge of this), i would like to add a config file for the [a link] python library. nice little utility to keep everything clean, the library also includes a linter to run cmake files against."
442594012,12746,glassez,2020-07-04T09:20:04Z,COMMENTED,i've finished my review. p.s. it's really hard to review it due to too much comments. let's fix important things and postpone the rest to the future.
106992375,8584,glassez,2018-03-27T14:43:43Z,CHANGES_REQUESTED,"well, now it looks like ""to create user interface and quickly make it work somehow"". i have always prevented and will continue to prevent this approach (as long as the maintainer does clearly accept it). a model is a primary concept. it should be logical and consistent regardless of who and how uses it. this way allows you to add any user interfaces directly or through some adapter. you break the model, trying to fit it to your specific web ui implementation. so, here's what i expect to have in api to meet the requirements above (really, it's already implemented in the base classes, so you only need to create a certain facade for them): 1. create search job (i.e. start search) 2. stop unfinished search job 3. get current status of search job (i.e. active/finished, current result count etc.) 4. get current results of search job (either all available or some subset) 5. delete search job the model described above will be in a consistent state at any time, and it will allow to implement client applications of different types. additional requirements: 1. all search jobs created in a session should be deleted when the session end (either explicitly by the user or when timed out) 2. all api methods within the same controller should have similar interface (e.g. returns data in the same format) p.s. if any existing api does not meet these requirements, this is no reason to reject these requirements."
127897141,8584,glassez,2018-06-12T10:42:27Z,CHANGES_REQUESTED,"it still does not meet the requirement of par. 4: ""get current results of search job (either all available or some subset)"". that's because you're trying to break down the base classes with an enviable persistence. i have repeatedly said that this is unnecessary! the user must be able to receive **any subset** of the results, even if it has already received it before! so your server-side queueing is inappropriate."
129094968,8584,glassez,2018-06-15T09:48:32Z,CHANGES_REQUESTED,some preliminary comments...
141645745,8584,Chocobo1,2018-07-30T18:00:02Z,COMMENTED,"those aren't strictly required, but personally i would add them. i hope i won't be dragged to interrogation this time..."
154062245,8584,glassez,2018-09-11T06:20:09Z,COMMENTED,"well, if you ignore my comments for some reason (apparently they are unfounded, or they just go against the general trend of qbittorrent webapi/webui development), then you can continue this without my approval."
160562484,8584,glassez,2018-10-02T04:20:08Z,APPROVED,"i don't want to unnecessarily prevent the birth of this feature. we'll have to clean it a lot while it's still young. but we didn't have to release it with obvious flaws, so i was so insistent. to demonstrate my good intentions, i will not even demand to correct the remaining ""coding style"" issues. we can do that later."
42364545,6911,glassez,2017-06-06T18:21:03Z,CHANGES_REQUESTED,", i reviewed some subset of your changes. you can start to fix it. please don't rebase at this point. create fixup commits for your fixes."
42232618,6911,zeule,2017-06-07T16:19:12Z,COMMENTED,"don't have a time for a deep review, sorry, so maybe i'm totally wrong, but the following cough my attention and i think i can't agree with it: differentiating between null string and empty string shows, most likely, that the author wanted a special value string, and if so, why it is not explicit? related question: why filtering is done by a single tag only, but not by a list of tags?"
73786658,6779,Chocobo1,2017-11-02T13:29:57Z,DISMISSED,very nice! you can squash the commits now.
74802604,6779,glassez,2017-11-07T15:55:22Z,CHANGES_REQUESTED,fix coding style. the rest is ok.
36242893,6698,glassez,2017-05-04T11:59:30Z,CHANGES_REQUESTED,too many coding style issues! did you forget use uncrustify?
36651811,6698,thalieht,2017-05-06T21:28:18Z,COMMENTED,coding style mostly.
38887017,6698,glassez,2017-05-18T13:00:24Z,CHANGES_REQUESTED,first comments ready. mostly coding style related. i still have not delved into logic.
39126869,6698,glassez,2017-05-19T07:47:25Z,COMMENTED,some more comments.
242003539,10702,glassez,2019-05-25T14:05:12Z,CHANGES_REQUESTED,"the implementation looks a bit inconsistent. you've mixed style management ""by name"" and ""by file path"", so there may be conflicts (e.g. user can manually set style in config file outside of style directory). if you want to have styles in a predefined directory, you should store the style name in the settings (this way require some simple ""style manager"" to be implemented to avoid duplicating the logic of mapping the style name in the file path). otherwise you should allow user to specify any arbitrary style file (then you have to change the gui)."
242031496,10702,glassez,2019-05-26T09:39:21Z,CHANGES_REQUESTED,"sorry, i have no time to review it in detail now, so i make only general remarks. 1. to make it easier to review your changes further, please learn the qbittorrent coding style (you can find it in the source tree) and apply it to your contributions to the project. 2. although your stylemanager doesn't depend directly on gui classes/modules it's part of gui in its essence (it has no essence outside gui) so you should place it in qbittorrent gui module."
247473452,10702,glassez,2019-06-10T08:25:35Z,COMMENTED,my review is not yet complete.
