id,pr_number,user,created_at,body
2408106090,634,awoo-civ,2024-10-11T20:51:54Z,"Style: 
- `if(limit.getType().equals(""altitude"")){` -> `if (limit.getType().equals(""altitude"")) {`
- `public void onEnable(){` -> `public void onEnable() {`
- `public static BuildLimitsConfig generate (` -> `public static BuildLimitsConfig generate(`

etc."
2183350524,550,MrJeremyFisher,2024-06-21T19:41:41Z,"As a semi-related side note, I have 1.21 working [here](https://github.com/MrJeremyFisher/Civ/tree/1.21) and will create a PR for it once Paper marks 1.21 as stable."
2183356345,550,Protonull,2024-06-21T19:45:12Z,"Question, why Gradle 8.5 instead of 8.8?"
2183358451,550,MrJeremyFisher,2024-06-21T19:47:05Z,I think because it was complaining that 8.5 was the minimum viable version so that's what I went with.
2187634388,550,Protonull,2024-06-24T23:38:18Z,Might be worth going through and undoing the formatting though as this is an extremely contentful PR and it's hard to review the PR.
2187867710,550,MrJeremyFisher,2024-06-25T03:07:24Z,"Managed to get rid of a lot of it, will keep at it. IntelliJ is remarkably frustrating to deal with regarding this, I can't seem to find a way to completely disable every autoformatter that it's using."
2187872423,550,Protonull,2024-06-25T03:11:24Z,"> Managed to get rid of a lot of it, will keep at it. IntelliJ is remarkably frustrating to deal with regarding this, I can't seem to find a way to completely disable every autoformatter that it's using.

Hmmm, try going to `Settings -> Tools -> Actions on Save` and basically unticking everything. You don't really want these things to happen unless it's your own project anyway, or the project's style is *strictly* enforced, otherwise you'll just get diff-hell :P"
2187888488,550,MrJeremyFisher,2024-06-25T03:16:01Z,Never had any of them checked. I think it's that all the plugins have different styles and IntelliJ isn't sure what to stick to. Mostly it's that they use spaces vs. tabs for indentation or have different rules about line wrapping and whatnot. Even forcing it to not format .java files still has it make some changes for some reason (eg removing indents on empty lines is apparently not formatting).
2239317791,550,AngrySoundTech,2024-07-19T14:32:01Z,"> Might be worth going through and undoing the formatting though as this is an extremely contentful PR and it's hard to review the PR.

Worth noting that Github has an ""Ignore whitespace changes"" in the review menu if you're not already aware"
2308371052,606,kickylol,2024-08-24T12:04:04Z,"all the changes listed above seem to be working fine now, but somebody testing it themselves would be appreciated"
2405288277,606,RedDevel2,2024-10-10T14:39:19Z,Was this ready? 
2452615472,606,okx-code,2024-11-01T21:27:51Z,closing as abandoned
2014089671,383,okx-code,2024-03-22T00:13:50Z,You can use `NamedTextColor.RED` instead of an RGB colour. It can also be provided as an argument in `Component.text`
2014098251,383,awoo-civ,2024-03-22T00:23:59Z,🎉 
2014102503,383,okx-code,2024-03-22T00:29:22Z,Could you do the confirmation without an underscore?
2014483518,383,drekamor,2024-03-22T07:10:23Z,"> Could you do the confirmation without an underscore?

Sure. I just wasn't sure whether the command uses greedy string or normal string arguments. I'll look into it "
2015550690,383,drekamor,2024-03-22T17:19:04Z,@okx-code I removed underscores from the message but I'm not sure whether the command takes a normal string argument or a greedy string
2015552295,383,okx-code,2024-03-22T17:19:53Z,Have you tested it?
2015559610,383,drekamor,2024-03-22T17:24:16Z,"Not yet, need to build the plugin"
2015642371,383,drekamor,2024-03-22T18:05:37Z,"@okx-code 
![image](https://github.com/CivMC/Civ/assets/121772241/03b1e767-a332-42a5-a6d5-6c79cfbda3ce)
tested, seems to be working"
2015993446,383,awoo-civ,2024-03-22T21:57:16Z,"@drekamor Hmm, perhaps `/nldg CONFIRM DELETION` should be enclosed in quotes, i.e. `Type '/nldg CONFIRM DELETION  test' within 15 seconds.` Should help disambiguate between the string that is to be typed and the rest of the sentence.
"
2015994805,383,drekamor,2024-03-22T21:58:56Z,"> @drekamor Hmm, perhaps `/nldg CONFIRM DELETION` should be enclosed in quotes, i.e. `Type '/nldg CONFIRM DELETION test' within 15 seconds.`. Should help disambiguate between the string that is to be typed and the rest of the sentence.

Was thinking about that as well. I'll add them"
2015996777,383,MrJeremyFisher,2024-03-22T22:01:15Z,Imo the message shouldn't mention snitches and bastions as Citadel doesn't need to be run with Bastion and Jukealert and it won't necessarily be on other servers.
2016003237,383,awoo-civ,2024-03-22T22:08:21Z,"That's up to the admins I suppose, but personally I'm vehemently against supporting anything other than the needs of CivMC if it requires *any* sacrifices."
1962212294,319,RedDevel2,2024-02-24T01:56:32Z,"On testing it now never shows banned players in /ep showall
The button to switch, always says ""Currently turned on"" no matter if you switch it.
Likewise the chat message always says ""Banned pearls toggled off"" whenever you click the switch. 

Also the /ep showall command now itself has a cooldown? I doubt that's supposed to be a thing. "
1962217234,319,MrJeremyFisher,2024-02-24T02:12:41Z,I think the logic for the pearl toggle is backwards
1962270492,319,okx-code,2024-02-24T06:08:34Z,Should be fixed now
1962341337,319,walkersgaming,2024-02-24T12:06:56Z,"I'm not sure that should've been changed, as the variable hadn't been updated with the toggle change, hence it was inverted "
2229860870,564,MrJeremyFisher,2024-07-16T02:02:28Z,Addresses #372 
2414694252,564,okx-code,2024-10-15T18:11:07Z,@MrJeremyFisher could you fix the merge conflicts here please? Then we can get this merged
2546894931,564,MrJeremyFisher,2024-12-16T21:51:13Z,"Resolved, I think."
2585327826,564,okx-code,2025-01-11T16:37:31Z,This only seems to work the second time I get on a horse. The first time it's still at half a heart.
2585327984,564,okx-code,2025-01-11T16:38:01Z,You're also using this.hideItemMeta instead of this.hideHealth
2585336054,564,MrJeremyFisher,2025-01-11T16:56:50Z,Are you on ProtocolLib 5.2.0?
2585339675,564,okx-code,2025-01-11T16:57:49Z,"No, I'm on ProtocolLib 5.3.0-SNAPSHOT-732"
2586069781,564,MrJeremyFisher,2025-01-13T02:34:10Z,"Ok, 5.3.0 doesn't officially support 1.21.3. Not sure what live is running but it should be on 5.4.0 for this and the other parts of AttrHider to work correctly. I bumped the dependency to 5.3.0 because 5.4.0 isn't yet available on https://repo.dmulloy2.net/repository/public/ but everything works fine as long as you run 5.4.0. Will fix merge conflicts in a sec"
2586075122,564,MrJeremyFisher,2025-01-13T02:42:23Z,"Wow, oops, not sure how I did that"
2070728205,397,MrJeremyFisher,2024-04-22T19:18:48Z,This also fixes the protection not applying to things like stripping copper as that doesn't fire the `BlockBreakEvent`.
2452614240,397,okx-code,2024-11-01T21:26:44Z,closing as abandoned
2452617084,397,MrJeremyFisher,2024-11-01T21:29:23Z,Why? 
2452617936,397,okx-code,2024-11-01T21:30:12Z,You didn't respond to the review comments for two weeks
2452619894,397,MrJeremyFisher,2024-11-01T21:31:51Z,"You didn't respond to the PR for 7 months. Please give me at least that long, I don't have the time for civ dev right now."
2452620756,397,okx-code,2024-11-01T21:32:41Z,Feel free to open a new PR when you're ready
2452661469,397,drekamor,2024-11-01T22:15:42Z,that's just mean
2452674428,397,Protonull,2024-11-01T22:31:57Z,"> You didn't respond to the PR for 7 months. Please give me at least that long, I don't have the time for civ dev right now.

Yup, the expectation is always on the other. They can ghost you for 7 months, but you not pushing a requested commit within a fortnight? Closed. Bye. Try again."
2452675679,397,okx-code,2024-11-01T22:33:39Z,"It just helps me keep the PRs organised, closing the PR takes it off the list"
2453009122,397,Diet-Cola,2024-11-02T14:31:50Z,Doesnt only checking the item in the players hand defeat the purpose of this pr?
2453009685,397,okx-code,2024-11-02T14:33:54Z,"Either way this PR still looks at the item in the player's hand to see the damage, even if that's not the item actually damaged. I think we don't need to increase the scope of tool protection to armour items anyway, since the haste effect no longer makes sense."
2425041466,631,okx-code,2024-10-20T15:20:10Z,Merged
2673375113,750,okx-code,2025-02-21T04:21:40Z,This PR doesn't fix the issue.
2673438675,750,MrJeremyFisher,2025-02-21T04:50:08Z,"> This PR doesn't fix the issue.

Is this because of your issue with the knockback thing or does it just not work for you? It works fine for me. A little bit jankier when it doesn't include the changes in #680 but it does correctly apply damage."
2673439931,750,okx-code,2025-02-21T04:51:03Z,"Yes, the knockback needs to work as well. The issue is not fixed if another issue is introduced."
2673440807,750,MrJeremyFisher,2025-02-21T04:51:54Z,Ok. I can fix that I think.
2673441930,750,okx-code,2025-02-21T04:52:46Z,"Paper already fixes this in 1.21.3 anyway, I'd rather we updated to that."
2673446574,750,MrJeremyFisher,2025-02-21T04:56:40Z,Are we not already on 1.21.3?
2673447306,750,okx-code,2025-02-21T04:57:19Z,"Ah yeah we are, but the knockback issue remains"
