id,number,title,user,created_at,merged_at,comments,state,closed_at
2120205968,634,Add BuildLimits hack,drekamor,2024-10-11T19:07:33Z,2024-10-20T16:36:50Z,1,closed,2024-10-20T16:36:50Z
1933027995,550,Update plugins to 1.20.6,MrJeremyFisher,2024-06-21T19:39:20Z,2024-07-19T14:38:25Z,8,closed,2024-07-19T14:38:26Z
2034660077,606,Acidblock improvements,kickylol,2024-08-23T18:32:50Z,2024-11-24T21:18:17Z,3,closed,2024-11-24T21:18:18Z
1785601745,383,Proper /nldg confirmation,drekamor,2024-03-21T23:39:47Z,2024-05-01T21:15:55Z,12,closed,2024-05-01T21:15:55Z
1740565414,319,Add a toggle to enable/disable banned pearls in ep showall,walkersgaming,2024-02-23T11:33:09Z,2024-02-23T23:43:44Z,4,closed,2024-02-23T23:43:44Z
1970568064,564,Update entity health on mount,MrJeremyFisher,2024-07-16T02:02:05Z,,9,closed,2025-01-13T02:42:23Z
1812512614,397,Protect all damageable items,MrJeremyFisher,2024-04-08T16:29:36Z,,11,closed,2024-11-01T21:26:43Z
2118461556,631,Add warps to kitpvp plugin,drekamor,2024-10-10T20:49:59Z,,1,closed,2024-10-20T15:20:10Z
2310396109,750,Combat fix,MrJeremyFisher,2025-02-01T03:14:10Z,,9,closed,2025-02-21T04:21:40Z
2301098630,746,Case-insensitive Commands,MrJeremyFisher,2025-01-28T00:29:47Z,,7,closed,2025-02-21T04:32:14Z
1938810861,552,Remove PsuedoServer,okx-code,2024-06-26T00:27:24Z,,9,closed,2024-08-19T22:58:43Z
1744659068,334,Fix horse stats being re-rolled on login,MrJeremyFisher,2024-02-27T03:12:32Z,2024-03-05T18:13:10Z,5,closed,2024-03-05T18:13:10Z
1752864044,353,Add skip existing reinforcements flag to ctar,Diet-Cola,2024-03-02T08:28:25Z,2024-03-05T18:14:24Z,2,closed,2024-03-05T18:14:24Z
1787601384,387,Add logging for ChunkMeta,okx-code,2024-03-23T01:43:41Z,2024-03-25T21:30:19Z,1,closed,2024-03-25T21:30:19Z
1814917949,398,Standardises and centralises compacted item handling,Protonull,2024-04-09T21:07:47Z,,7,closed,2024-09-05T13:08:59Z
2171532670,656,Show pearl health value instead of percent,AngrySoundTech,2024-11-10T17:01:43Z,2024-11-24T22:51:34Z,7,closed,2024-11-24T22:51:34Z
1737793737,275,Optimise snitch GUI,okx-code,2024-02-21T22:24:34Z,2024-02-22T12:35:41Z,4,closed,2024-02-22T12:35:42Z
2158344315,654,Fix a bug,drekamor,2024-11-01T16:15:38Z,,6,closed,2024-11-01T22:35:03Z
1730535977,2,Refactor DogFacts to use MiniMessage,Protonull,2024-02-17T01:37:12Z,2024-06-09T00:06:24Z,5,closed,2024-06-09T00:06:24Z
1869957122,538,Fix some snitches crashing the server,okx-code,2024-05-14T22:27:56Z,2024-05-16T10:36:41Z,6,closed,2024-05-16T10:36:41Z
2300324730,745,Allow adding blocks to safebreak,MrJeremyFisher,2025-01-27T16:33:39Z,,6,closed,2025-02-21T04:18:16Z
1735260573,257,Add Kotlin support,Protonull,2024-02-20T18:26:00Z,,5,closed,2024-02-24T00:11:33Z
1752645374,351,Prevent grass spread to reinforced dirt,MrJeremyFisher,2024-03-02T01:07:21Z,2024-03-19T22:55:35Z,1,closed,2024-03-19T22:55:35Z
2280158848,729,fix mobs spawning/stuck outside simulation distance,RedDevel2,2025-01-15T21:09:39Z,2025-01-15T21:47:42Z,4,closed,2025-01-15T21:47:42Z
2272108013,713,Factorymod additions. ,RedDevel2,2025-01-11T15:20:17Z,2025-01-15T21:48:44Z,3,closed,2025-01-15T21:48:44Z
2254913134,676,Fix Packet Listener Weirdness,MrJeremyFisher,2024-12-30T04:22:26Z,,5,closed,2025-01-05T18:19:34Z
1910921655,547,Bandaid fix nbt matching issues,MrJeremyFisher,2024-06-09T19:16:13Z,,3,closed,2024-06-26T03:28:21Z
1979093423,570,Update comment on pr instead of creating new one,Huskydog9988,2024-07-20T01:27:31Z,2024-10-15T18:41:09Z,2,closed,2024-10-15T18:41:09Z
1972703841,568,Change README to tell users to use gradle wrapper,MrJeremyFisher,2024-07-17T02:19:39Z,2024-12-29T16:12:05Z,3,closed,2024-12-29T16:12:05Z
1736097650,262,Fix primary owner transfer not being set to OWNER role,Diet-Cola,2024-02-21T06:36:14Z,2024-02-21T16:25:35Z,1,closed,2024-02-21T16:25:35Z
1733795839,239,"Fix ""Smart"" Mobs Being Able To Open Reinforced  Doors",MrJeremyFisher,2024-02-20T01:51:26Z,2024-02-20T20:13:29Z,0,closed,2024-02-20T20:13:29Z
1741408180,321,Replace MoreClassUtils.castOrNull() with instanceof pattern matching,Protonull,2024-02-23T21:33:09Z,2024-02-23T21:55:50Z,0,closed,2024-02-23T21:55:50Z
1980173443,574,Bump entity render distances to default settings,okx-code,2024-07-22T00:38:42Z,2024-07-22T20:44:01Z,4,closed,2024-07-22T20:44:01Z
2298301407,740,improve docs site,Huskydog9988,2025-01-25T21:03:02Z,2025-01-25T22:24:56Z,1,closed,2025-01-25T22:24:56Z
1737799401,276,Citadel 1.20.4,MrJeremyFisher,2024-02-21T22:29:46Z,2024-02-21T22:55:38Z,3,closed,2024-02-21T22:55:38Z
1737670650,273,"Add BetterRails, FasterHorses, CopperRail, and miscellaneous things",okx-code,2024-02-21T20:46:21Z,2024-02-22T14:12:04Z,0,closed,2024-02-22T14:12:04Z
1747914986,339,Create centralised player-name cache,Protonull,2024-02-28T15:05:36Z,2024-03-19T22:58:28Z,0,closed,2024-03-19T22:58:28Z
2121634242,639,add ability to set custom afk message,Huskydog9988,2024-10-13T22:24:00Z,2025-01-15T22:15:40Z,0,closed,2025-01-15T22:15:40Z
1752645177,350,Add `/nllim` (Name Layer List Invited Members),MrJeremyFisher,2024-03-02T01:06:59Z,2024-05-01T21:16:25Z,0,closed,2024-05-01T21:16:25Z
1787600901,386,Fix portal hack not triggering,okx-code,2024-03-23T01:43:13Z,2024-05-01T21:15:28Z,1,closed,2024-05-01T21:15:28Z
1865327367,512,Fix emotes,RedDevel2,2024-05-12T14:52:39Z,,1,closed,2024-05-12T23:14:36Z
2026753529,602,Use same slot UUID for modifiers,MrJeremyFisher,2024-08-20T03:30:25Z,,3,closed,2024-08-20T22:59:38Z
2253810511,675,Update DestinationCommand.java to suggest OneDest structure,Zalvvv,2024-12-27T23:23:59Z,,3,closed,2024-12-29T16:21:13Z
1755387997,356,Create PVP Server Container,AngrySoundTech,2024-03-04T19:20:55Z,2024-03-21T00:04:35Z,0,closed,2024-03-21T00:04:35Z
