id,pr_number,user,submitted_at,state,body
2363427189,634,Protonull,2024-10-11T19:12:19Z,COMMENTED,
2363428834,634,drekamor,2024-10-11T19:13:32Z,COMMENTED,
2363429474,634,Protonull,2024-10-11T19:14:02Z,COMMENTED,
2363430774,634,drekamor,2024-10-11T19:15:01Z,COMMENTED,
2363433221,634,Protonull,2024-10-11T19:16:55Z,COMMENTED,
2363438296,634,drekamor,2024-10-11T19:20:43Z,COMMENTED,
2363439674,634,Protonull,2024-10-11T19:21:45Z,COMMENTED,
2363538621,634,awoo-civ,2024-10-11T20:42:10Z,COMMENTED,
2363540899,634,awoo-civ,2024-10-11T20:44:13Z,COMMENTED,
2363543390,634,awoo-civ,2024-10-11T20:46:30Z,COMMENTED,
2363543986,634,awoo-civ,2024-10-11T20:47:01Z,COMMENTED,
2363544860,634,awoo-civ,2024-10-11T20:47:47Z,COMMENTED,
2363551434,634,awoo-civ,2024-10-11T20:53:44Z,COMMENTED,
2363556903,634,awoo-civ,2024-10-11T20:58:48Z,COMMENTED,
2364979837,634,okx-code,2024-10-13T19:43:54Z,COMMENTED,
2364980268,634,okx-code,2024-10-13T19:47:05Z,COMMENTED,
2364980461,634,okx-code,2024-10-13T19:51:05Z,CHANGES_REQUESTED,
2364980865,634,Protonull,2024-10-13T19:51:47Z,COMMENTED,
2364981093,634,Protonull,2024-10-13T19:53:45Z,COMMENTED,
2364981230,634,okx-code,2024-10-13T19:54:56Z,COMMENTED,
2364981299,634,Protonull,2024-10-13T19:55:32Z,COMMENTED,
2364984761,634,okx-code,2024-10-13T20:20:00Z,COMMENTED,
2364984820,634,drekamor,2024-10-13T20:20:30Z,COMMENTED,
2364987172,634,drekamor,2024-10-13T20:37:18Z,COMMENTED,
2364987723,634,Protonull,2024-10-13T20:41:05Z,COMMENTED,
2365256406,634,awoo-civ,2024-10-14T04:03:36Z,COMMENTED,
2365365828,634,Protonull,2024-10-14T05:54:38Z,COMMENTED,
2367537450,634,okx-code,2024-10-14T20:27:52Z,CHANGES_REQUESTED,
2380580982,634,okx-code,2024-10-20T16:34:51Z,APPROVED,
2133323771,550,Protonull,2024-06-21T19:47:44Z,COMMENTED,
2133327830,550,Protonull,2024-06-21T19:51:11Z,COMMENTED,
2133336552,550,Protonull,2024-06-21T19:58:26Z,COMMENTED,
2133358823,550,Protonull,2024-06-21T20:15:22Z,COMMENTED,
2133370597,550,Protonull,2024-06-21T20:24:00Z,COMMENTED,
2134537954,550,MrJeremyFisher,2024-06-24T03:02:03Z,COMMENTED,
2137244522,550,Protonull,2024-06-25T03:17:55Z,COMMENTED,
2140197598,550,okx-code,2024-06-26T00:52:39Z,COMMENTED,A couple minor comments but overall some really nice work
2140205534,550,MrJeremyFisher,2024-06-26T00:55:12Z,COMMENTED,
2140206819,550,MrJeremyFisher,2024-06-26T00:56:00Z,COMMENTED,
2140207120,550,okx-code,2024-06-26T00:56:18Z,COMMENTED,
2140207900,550,okx-code,2024-06-26T00:57:34Z,COMMENTED,
2140208063,550,MrJeremyFisher,2024-06-26T00:57:51Z,COMMENTED,
2140216784,550,MrJeremyFisher,2024-06-26T01:09:32Z,COMMENTED,
2188400977,550,AngrySoundTech,2024-07-19T14:38:05Z,APPROVED,
2258205333,606,awoo-civ,2024-08-23T23:09:35Z,COMMENTED,
2258212084,606,awoo-civ,2024-08-23T23:17:07Z,COMMENTED,
2258222799,606,awoo-civ,2024-08-23T23:22:15Z,COMMENTED,
2258236840,606,awoo-civ,2024-08-23T23:28:32Z,COMMENTED,
2258240675,606,awoo-civ,2024-08-23T23:30:01Z,COMMENTED,
2258245769,606,awoo-civ,2024-08-23T23:33:03Z,COMMENTED,(dumb github ui)
2258247951,606,awoo-civ,2024-08-23T23:36:56Z,COMMENTED,
2258405811,606,kickylol,2024-08-24T05:18:24Z,COMMENTED,
2258411864,606,kickylol,2024-08-24T05:22:08Z,COMMENTED,
2258417588,606,Diet-Cola,2024-08-24T05:25:01Z,COMMENTED,
2258681875,606,kickylol,2024-08-24T12:00:29Z,COMMENTED,
2258685345,606,awoo-civ,2024-08-24T12:21:38Z,COMMENTED,
2258685672,606,awoo-civ,2024-08-24T12:23:04Z,COMMENTED,
2355744632,606,okx-code,2024-10-09T00:30:18Z,COMMENTED,"Looks good overall, but a few small changes would be nice"
2355787153,606,kickylol,2024-10-09T01:30:12Z,COMMENTED,
2355796230,606,okx-code,2024-10-09T01:43:46Z,COMMENTED,
2355820426,606,kickylol,2024-10-09T02:14:36Z,COMMENTED,
2379899802,606,okx-code,2024-10-20T01:42:26Z,CHANGES_REQUESTED,
2437804318,606,kickylol,2024-11-15T06:47:58Z,COMMENTED,
2456799577,606,okx-code,2024-11-24T21:18:02Z,APPROVED,
1953677963,383,awoo-civ,2024-03-21T23:49:08Z,COMMENTED,
1953680248,383,awoo-civ,2024-03-21T23:52:37Z,COMMENTED,
1953694779,383,awoo-civ,2024-03-22T00:01:44Z,COMMENTED,
1953697502,383,awoo-civ,2024-03-22T00:05:15Z,COMMENTED,
1953714466,383,drekamor,2024-03-22T00:15:20Z,COMMENTED,
1953718885,383,awoo-civ,2024-03-22T00:22:00Z,COMMENTED,
1953718913,383,drekamor,2024-03-22T00:22:03Z,COMMENTED,
1955518491,383,okx-code,2024-03-22T18:40:11Z,APPROVED,
2033940528,383,AngrySoundTech,2024-05-01T16:37:25Z,APPROVED,
1898079116,319,Diet-Cola,2024-02-23T13:08:08Z,COMMENTED,
1898173207,319,Protonull,2024-02-23T13:56:54Z,COMMENTED,
1898174192,319,Protonull,2024-02-23T13:57:26Z,COMMENTED,
1898176903,319,walkersgaming,2024-02-23T13:58:50Z,COMMENTED,
1898183367,319,Protonull,2024-02-23T14:01:52Z,COMMENTED,
1898597793,319,okx-code,2024-02-23T17:20:39Z,COMMENTED,
1898614662,319,okx-code,2024-02-23T17:31:21Z,COMMENTED,
1898650914,319,walkersgaming,2024-02-23T17:52:43Z,COMMENTED,
1898731487,319,walkersgaming,2024-02-23T18:46:47Z,COMMENTED,
1899097038,319,okx-code,2024-02-23T23:43:39Z,APPROVED,
1899173664,319,MrJeremyFisher,2024-02-24T02:13:05Z,COMMENTED,
2530934397,564,okx-code,2025-01-05T16:59:49Z,COMMENTED,
2530934691,564,okx-code,2025-01-05T17:01:24Z,COMMENTED,
2530940429,564,MrJeremyFisher,2025-01-05T17:45:12Z,COMMENTED,
2370228266,397,okx-code,2024-10-15T18:23:20Z,CHANGES_REQUESTED,"You should check if the item damaged is the same as the one in the player's hand, otherwise this could incorrectly trigger for armour or offhand items."
2364954565,631,okx-code,2024-10-13T16:44:30Z,CHANGES_REQUESTED,
2364957648,631,awoo-civ,2024-10-13T17:03:58Z,COMMENTED,
2364957829,631,awoo-civ,2024-10-13T17:05:08Z,COMMENTED,
2370211686,631,okx-code,2024-10-15T18:15:22Z,CHANGES_REQUESTED,all the calls to connection.close() are not necessary
2370214278,631,okx-code,2024-10-15T18:16:15Z,COMMENTED,
2370260047,631,okx-code,2024-10-15T18:40:02Z,APPROVED,
2631903317,750,okx-code,2025-02-21T04:15:37Z,COMMENTED,
2631912624,750,okx-code,2025-02-21T04:21:29Z,COMMENTED,
2576838563,746,Protonull,2025-01-28T00:43:15Z,COMMENTED,
2576845831,746,Protonull,2025-01-28T00:49:50Z,COMMENTED,
2579278908,746,MrJeremyFisher,2025-01-28T19:53:50Z,COMMENTED,
1903926110,334,okx-code,2024-02-27T15:42:35Z,COMMENTED,Would using [CreatureSpawnEvent.SpawnReason.SPAWNER_EGG](https://hub.spigotmc.org/javadocs/spigot/org/bukkit/event/entity/CreatureSpawnEvent.SpawnReason.html#SPAWNER_EGG) and [CreatureSpawnEvent.SpawnReason.NATURAL](https://hub.spigotmc.org/javadocs/spigot/org/bukkit/event/entity/CreatureSpawnEvent.SpawnReason.html#NATURAL) work instead?
1903931405,334,AngrySoundTech,2024-02-27T15:44:02Z,DISMISSED,
1904573916,334,okx-code,2024-02-27T19:03:26Z,COMMENTED,
1904585648,334,okx-code,2024-02-27T19:09:37Z,APPROVED,
1917776509,334,RedDevel2,2024-03-05T18:11:22Z,APPROVED,
1912687107,353,okx-code,2024-03-02T16:14:50Z,COMMENTED,
1912687205,353,okx-code,2024-03-02T16:15:54Z,COMMENTED,
1912894211,353,Diet-Cola,2024-03-03T06:26:42Z,COMMENTED,
1914765315,353,okx-code,2024-03-04T16:28:01Z,COMMENTED,
1916003305,353,Diet-Cola,2024-03-05T06:59:34Z,COMMENTED,
1917786196,353,RedDevel2,2024-03-05T18:14:19Z,APPROVED,
1956417584,387,AngrySoundTech,2024-03-23T18:42:46Z,CHANGES_REQUESTED,
1956431353,387,okx-code,2024-03-23T20:21:22Z,COMMENTED,
1956431423,387,okx-code,2024-03-23T20:22:04Z,COMMENTED,
1956431441,387,okx-code,2024-03-23T20:22:14Z,COMMENTED,
1956433499,387,AngrySoundTech,2024-03-23T20:44:30Z,APPROVED,
2456825268,656,RedDevel2,2024-11-24T22:51:28Z,APPROVED,
1894538088,275,Protonull,2024-02-21T22:30:26Z,COMMENTED,
1894547754,275,okx-code,2024-02-21T22:38:24Z,COMMENTED,
1886303357,2,okx-code,2024-02-17T01:47:29Z,APPROVED,"looks good, but does dogfacts really broadcast at random intervals, determined on restart? wtf?"
2106002077,2,okx-code,2024-06-09T00:06:09Z,APPROVED,
2059141830,538,AngrySoundTech,2024-05-15T22:26:17Z,APPROVED,
1912434424,351,AngrySoundTech,2024-03-02T01:15:53Z,APPROVED,"This looks good to me, I assume reinforcement caching would make this not too intensive? Grass seems to try to spread more than any other of our checks here that we prevent.

If someone else thinks that's sane too then we should be good."
1912584873,351,awoo-civ,2024-03-02T05:57:35Z,COMMENTED,
1912584903,351,awoo-civ,2024-03-02T05:57:48Z,COMMENTED,
1912584968,351,awoo-civ,2024-03-02T05:58:27Z,COMMENTED,
1947554331,351,okx-code,2024-03-19T22:55:25Z,APPROVED,
2553989919,729,okx-code,2025-01-15T21:18:22Z,CHANGES_REQUESTED,"https://www.paper-chan.moe/paper-optimization/#despawn-ranges recommends a minimum despawn range of 36, even if the simulation distance is 3. mob spawn range should also be 3"
2554005251,729,okx-code,2025-01-15T21:24:25Z,APPROVED,
2544982208,713,okx-code,2025-01-11T16:17:21Z,COMMENTED,
2544983183,713,RedDevel2,2025-01-11T16:17:50Z,COMMENTED,
2544985653,713,okx-code,2025-01-11T16:19:00Z,APPROVED,
2140210506,547,okx-code,2024-06-26T01:01:36Z,COMMENTED,
2140366137,547,MrJeremyFisher,2024-06-26T03:28:06Z,COMMENTED,
2199481368,570,AngrySoundTech,2024-07-25T14:29:19Z,COMMENTED,
2199566402,570,Huskydog9988,2024-07-25T14:56:24Z,COMMENTED,
2211192504,570,Huskydog9988,2024-07-31T21:50:22Z,COMMENTED,
2370262004,570,okx-code,2024-10-15T18:41:04Z,APPROVED,
2188383085,568,AngrySoundTech,2024-07-19T14:30:00Z,CHANGES_REQUESTED,
2200123282,568,MrJeremyFisher,2024-07-25T18:45:56Z,COMMENTED,
2524974244,568,AngrySoundTech,2024-12-29T16:11:30Z,APPROVED,
1892213047,262,Protonull,2024-02-21T06:40:37Z,COMMENTED,
1892214825,262,Diet-Cola,2024-02-21T06:42:01Z,COMMENTED,
1892215630,262,Protonull,2024-02-21T06:42:42Z,COMMENTED,
1893141971,262,okx-code,2024-02-21T13:02:06Z,APPROVED,
1889383040,239,Protonull,2024-02-20T02:13:09Z,COMMENTED,
