pr_number,total_comments
634,65
550,40
606,43
383,28
319,25
564,16
397,12
631,16
750,13
746,13
552,8
334,12
353,13
398,7
656,7
275,8
654,6
2,7
538,6
745,6
257,5
351,9
729,5
713,7
676,5
547,7
570,9
568,8
262,8
574,3
740,5
276,3
602,3
675,3
585,4
630,4
240,2
242,3
329,3
345,3
375,2
374,3
580,3
354,2
393,2
604,3
577,3
615,2
671,2
392,2
497,2
535,2
645,2
649,2
635,3
396,2
719,1
752,2
611,2
735,2
670,2
272,1
279,1
235,1
388,1
362,1
387,11
239,8
321,8
273,5
339,5
639,7
350,5
386,5
512,4
356,6
619,5
565,7
638,4
385,1
481,1
491,1
765,5
311,2
237,1
238,1
338,2
335,3
371,3
376,2
395,1
726,1
727,1
394,1
487,1
