id,pr_number,user,created_at,body
297865351,2929,lindong28,2017-04-27T23:19:46Z,@jjkoshy @onurkaraman Can you review this patch? The patch has been rebased onto trunk. Both integration test and the newly-added system test has passed. Thanks.
297871665,2929,asfbot,2017-04-28T00:02:24Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/3240/
Test FAILed (JDK 8 and Scala 2.12).
"
297872143,2929,asfbot,2017-04-28T00:05:59Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/3249/
Test PASSed (JDK 8 and Scala 2.11).
"
297872198,2929,asfbot,2017-04-28T00:06:17Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.10/3244/
Test PASSed (JDK 7 and Scala 2.10).
"
297915554,2929,asfbot,2017-04-28T06:08:32Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.10/3259/
Test PASSed (JDK 7 and Scala 2.10).
"
297915927,2929,asfbot,2017-04-28T06:11:23Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/3264/
Test PASSed (JDK 8 and Scala 2.11).
"
297917836,2929,asfbot,2017-04-28T06:25:28Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/3255/
Test PASSed (JDK 8 and Scala 2.12).
"
298066652,2929,asfbot,2017-04-28T18:02:56Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/3287/
Test PASSed (JDK 8 and Scala 2.11).
"
298067201,2929,asfbot,2017-04-28T18:05:15Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.10/3282/
Test PASSed (JDK 7 and Scala 2.10).
"
298070725,2929,asfbot,2017-04-28T18:20:16Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/3278/
Test PASSed (JDK 8 and Scala 2.12).
"
298077449,2929,lindong28,2017-04-28T18:47:47Z,@onurkaraman @jjkoshy I have gone through the code again after rebasing the patch and it should be ready for review.
298088455,2929,asfbot,2017-04-28T19:38:06Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.10/3283/
Test FAILed (JDK 7 and Scala 2.10).
"
298088919,2929,asfbot,2017-04-28T19:40:13Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/3288/
Test PASSed (JDK 8 and Scala 2.11).
"
