id,pr_number,user,created_at,body
113856314,2929,onurkaraman,2017-04-28T05:53:31Z,Can we contain the `JavaConverters._` import to be within the specific method needing the conversion as is being done elsewhere in KafkaController? Importing at the file-level can lead to a lot of surprises when reading the code.
113856373,2929,onurkaraman,2017-04-28T05:54:07Z,remove. this import already exists.
113856447,2929,onurkaraman,2017-04-28T05:55:07Z,"Every other data structure in the controller uses the old TopicAndPartition. For consistency, can we use TopicAndPartition instead of TopicPartition? "
113856721,2929,onurkaraman,2017-04-28T05:57:39Z,"can just be:
```
newBrokers.foreach(controllerContext.replicasOnOfflineDisks.remove)
```"
113856779,2929,onurkaraman,2017-04-28T05:58:18Z,"can just be:
```
deadBrokers.foreach(controllerContext.replicasOnOfflineDisks.remove)
```"
113857148,2929,onurkaraman,2017-04-28T06:02:27Z,"Can we make this naming consistent with TopicDeletionStopReplicaResult?

We can either change the other class name or maybe change your new class to something like LeaderAndIsrResult or LeaderAndIsrResponseResult?"
113973577,2929,lindong28,2017-04-28T16:51:48Z,I think it may be better to rename `TopicDeletionStopReplicaResult` to `TopicDeletionStopReplicaResponseReceived`. But I don't have a strong opinion on this. I can also rename `LeaderAndIsrResponseReceived` to `LeaderAndIsrResponseResult`. Do you have a strong preference between the two?
113973608,2929,lindong28,2017-04-28T16:51:59Z,Sure. Fixed now.
113973627,2929,lindong28,2017-04-28T16:52:07Z,Sure. Fixed now.
113975537,2929,lindong28,2017-04-28T17:02:05Z,I was thinking that we may want to use the Java version for new code so that we can gradually migrate to the Java version. I have change the code to use TopicAndPartition.
113975948,2929,lindong28,2017-04-28T17:04:27Z,Fixed now.
113975960,2929,lindong28,2017-04-28T17:04:32Z,Fixed now.
113984161,2929,onurkaraman,2017-04-28T17:47:26Z,I'd prefer renaming `TopicDeletionStopReplicaResult` to `TopicDeletionStopReplicaResponseReceived`.
114925916,2929,ijuma,2017-05-05T03:03:47Z,This rule doesn't apply to `JavaConverters` since you need explicit `asScala` and `asJava` calls anyway. That rule was for `JavaConversions` which did things automatically and has been deprecated.
114925955,2929,ijuma,2017-05-05T03:04:37Z,"Yeah, we definitely want to migrate all the code to the Java class. It probably makes sense to do the whole class in one go though."
119011953,2929,becketqin,2017-05-30T04:52:54Z,Why should we rename the class?
119012138,2929,becketqin,2017-05-30T04:55:35Z,This was a public API so it seems worth keeping and maybe mark it as deprecated.
119012234,2929,becketqin,2017-05-30T04:56:56Z,Maybe add some Java doc to describe the exception a little?
119012458,2929,becketqin,2017-05-30T05:00:15Z,Can we add Java doc for metadata request V3?
119012849,2929,becketqin,2017-05-30T05:06:29Z,Java doc is missing.
119012994,2929,becketqin,2017-05-30T05:07:39Z,Nit: name is a little different from the way zk_version was named.
119013074,2929,becketqin,2017-05-30T05:08:58Z,Can just fall through.
120798287,2929,lindong28,2017-06-08T04:35:36Z,Thanks for the information @ijuma.
120800388,2929,lindong28,2017-06-08T05:03:46Z,This patch adds the Scala class `LeaderAndIsrPartitionState` and `MetadataPartitionState`. `MetadataPartitionInfo` makes it more explicit that this is a Java class that corresponds to `MetadataPartitionState`.
120800491,2929,lindong28,2017-06-08T05:05:06Z,Then I wouldn't bother to rename this class if it is public API.
120800642,2929,lindong28,2017-06-08T05:06:43Z,Sure. I added this comment: `Miscellaneous disk-related IOException occurred when handling a request`.
120800786,2929,lindong28,2017-06-08T05:09:03Z,"Sure. Added this comment:
```
Close file handlers used by the FileChannel but don't write to disk. This is used when the disk may have failed
```"
120800846,2929,lindong28,2017-06-08T05:10:00Z,Good catch. Thanks. I replaced it with `is_new` both here and in the Protocol.java.
120800894,2929,lindong28,2017-06-08T05:10:51Z,I forgot this is Java not scala. Good point. Fixed now.
121294118,2929,becketqin,2017-06-11T23:12:45Z,"The comment seems a little convoluted. I think it can just be ""Whether the replica should have existed on the broker or not."""
121294281,2929,becketqin,2017-06-11T23:20:33Z,"Do we need to create `LEADER_AND_ISR_REQUEST_LIVE_LEADER_V1`? It seems that we do not have a consistent convention on when to create a new internal field version. My preference is that we always bump up Request/Response version if either request or response version is bumped, because the version would be used for compatibility check. But for internal fields, we do not have to bump up version if there is no change."
121294385,2929,becketqin,2017-06-11T23:26:10Z,"Yes, this is a public API. Renaming it requires a KIP."
121294648,2929,becketqin,2017-06-11T23:40:16Z,"If the default value of isNew is false, for brokers which are running IBP version lower than 0.11.1, replicas may not be created if a broker has a disk failure? In LeaderAndIsrRequest earlier than V5, it actually means `create the replica if it does not exist`. In this case, I think it might make sense to keep the same behavior on the broker when storage failure is detected. i.e. let the entire broker halt if IBP is lower than 0.11.0."
121294669,2929,becketqin,2017-06-11T23:40:52Z,"BTW, can you also bump up `ApiVersions` as well?"
121294748,2929,becketqin,2017-06-11T23:44:31Z,Good cleanup.
121294952,2929,becketqin,2017-06-11T23:47:17Z,Is this renaming necessary?
121295031,2929,becketqin,2017-06-11T23:52:10Z,The hierarchy here is a little strange. It might be clearer to create a new `AbstractPartitionState` class and let the PartitionState in LeaderAndIsrRequest and UpdateMetadataRequest inherit from it.
121295155,2929,becketqin,2017-06-11T23:56:56Z,See comments about the `PartitionState` hierarchy. 
121295230,2929,becketqin,2017-06-12T00:00:23Z,No need to do this if the struct does not contain the offline_replicas field. A big if statement seems simpler.
121295331,2929,becketqin,2017-06-12T00:05:39Z,Is this change intended? Can the parent directories on different disk have the same name?
121295556,2929,becketqin,2017-06-12T00:16:13Z,It is weird to pass in both controller and a member of the controller. The eventManager field is already private to controller package so it is accessible from here.
121295627,2929,becketqin,2017-06-12T00:18:48Z,Could be replaced by ```result.get(topicPartition).exists(_.isNew)```.
121296146,2929,becketqin,2017-06-12T00:39:50Z,No need to have the brackets around `brokerId`
121296370,2929,becketqin,2017-06-12T00:48:03Z,Some of the logics in this class are the same as in `onBrokerFailure()` probably worth trying to abstract them out to a shared method to handle offline replicas.
121296397,2929,becketqin,2017-06-12T00:49:05Z,No need to have eventManager passed in.
121296413,2929,becketqin,2017-06-12T00:49:40Z,Empty java doc.
121296662,2929,becketqin,2017-06-12T00:59:18Z,Ditto above.
121296804,2929,becketqin,2017-06-12T01:04:53Z,Ditto above.
121297063,2929,becketqin,2017-06-12T01:13:10Z,Is a mutable map enough here?
121297514,2929,becketqin,2017-06-12T01:22:21Z,Why ArrayBuffer?
121297615,2929,becketqin,2017-06-12T01:25:06Z,Would a mutable map work here?
121297859,2929,becketqin,2017-06-12T01:31:27Z,"There should not be duplicates in the `liveLogDirs`, right? So we can just remove the dir for `liveLogDirs`."
121298466,2929,becketqin,2017-06-12T01:44:00Z,I did not see the logic to handle IO failures in log segments loading. Am I missing something?
121299795,2929,becketqin,2017-06-12T02:00:53Z,We should probably exit if broker id load or checkpoint fail.
121305112,2929,becketqin,2017-06-12T03:19:54Z,"It seems that sometimes we are catching both IOException and KafkaStorageException, sometimes we only catch  KafkaStorageException. It might be better to only catch IOException at the the direct thrown and convert them to KafkaStorageException. So in the caller methods we only need to catch KafkaStorageException."
121305435,2929,becketqin,2017-06-12T03:25:16Z,This exception should probably extend from RetriableException instead of ApiException. A disk failure should not cause the client to throw exception to the users. The clients should just retry after the leadership moves to another healthy replica.
121313873,2929,lindong28,2017-06-12T05:50:36Z,Sure. I have updated the comment as you suggested.
121313909,2929,lindong28,2017-06-12T05:50:58Z,Sure. I updated the patch to removed `LEADER_AND_ISR_REQUEST_LIVE_LEADER_V1`.
121314572,2929,lindong28,2017-06-12T05:58:35Z,"Regarding the first comment, it seems safer to disable replica creation if any replica offline. I think it is probably more backward compatible to do so -- currently LeaderAndIsrRequest will fail to create replica if any disk is offline.

Regarding the second comment, good point. I should have updated the controller code to specify the version for LeaderAndIsrRequest and UpdateMetadataRequest based on the configured `interBrokerProtocolVersion`. I have updated the patch to do this and added `KAFKA_0_11_1_IV0` in `ApiVersion`. Thanks!"
121314687,2929,lindong28,2017-06-12T06:00:02Z,`MetadataResponsePartitionState` will be more consistent and clearer than `PartitionMetadata` in describing the usage of this class. It is not necessary to change the class. I replaced the TODO with a comment that says `This is used to describe MetadataResponsePartitionState`.
121314881,2929,lindong28,2017-06-12T06:02:16Z,"Sure. I think we can do that refactor. Since this is not an important refactor, can we do this refactor later or even in separate patch to reduce the chance of conflicts with other commits?

For now I replaced the TODO with a comment that says `This is used to describe LeaderAndIsrPartitionInfo`."
121314992,2929,lindong28,2017-06-12T06:03:26Z,I think the current class name UpdateMetadataRequestPartitionState is good enough. I have removed this TODO.
121315115,2929,lindong28,2017-06-12T06:04:43Z,"The current code is simpler than having an extra `if` statement. I am wondering what is the benefit of the extra `if` statement. It seems to have negligible impact on performance, right?"
121315417,2929,lindong28,2017-06-12T06:08:39Z,"Yes, it is intended. I think `dir.getParent` is exactly the same as `dir.getParentFile.getAbsolutePath` according to their Java doc. `dir.getParent` is a bit shorter. I think parent directories on different disk must have the different name since they are specified as a list of strings using `log.dirs` config. They must be different so that Kafka can distinguish between them."
121315565,2929,lindong28,2017-06-12T06:10:44Z,Good point. Previously I think my IDE tells me it can not be accessed as `controller.eventManager`. I have updated it to use `controller.eventManager`.
121315578,2929,lindong28,2017-06-12T06:10:53Z,Good point. Fixed now.
121315647,2929,lindong28,2017-06-12T06:11:47Z,Great point. I have moved the overlapping logic to a new method named `onReplicaBecomeOffline(newOfflineReplicas: Set[PartitionAndReplica])`.
121315661,2929,lindong28,2017-06-12T06:11:56Z,Sure. Fixed now.
121316067,2929,lindong28,2017-06-12T06:15:48Z,This comment seems OK since it is similar to the comment of `BrokerChangeListener` and `IsrChangeNotificationListener` etc. I can improve it. Is there any example listener class's comment you want me to follow?
121316335,2929,lindong28,2017-06-12T06:18:22Z,"I agree. But all existing listener class (e.g. PartitionReassignmentListener) takes this as the second argument. It seems better to keep the same code style for `LogDirEventNotificationListener`, or we can update all of them to remove the second argument `eventManager`. Which solution do you prefer?"
121316376,2929,lindong28,2017-06-12T06:18:37Z,It is removed now. Thanks.
121316420,2929,lindong28,2017-06-12T06:18:44Z,It is removed now. Thanks.
121316852,2929,lindong28,2017-06-12T06:22:20Z,"I think it can be changed to a mutable map since a volatile var map can usually be replaced by a mutable map and vise versa. Does Kafka code has a preference between the two? I have chosen to use volatile var here because the code may be simpler. 

For example, I can simply do `checkpoints = checkpoints.filterKeys(_.getAbsolutePath != dir)` in `LogCleanerManager.handleLogDirFailure(dir: String)`."
121317056,2929,lindong28,2017-06-12T06:24:16Z,"I think it can be changed to a mutable map since a volatile var map can usually be replaced by a mutable map and vise versa. 

Does Kafka code has a preference between the two? I have chosen to use volatile var here because the code may be simpler. For example, I can simply do `recoveryPointCheckpoints = recoveryPointCheckpoints.filterKeys(file => file.getAbsolutePath != dir)` in `LogManager.handleLogDirFailure(dir: String)`.
"
121319054,2929,lindong28,2017-06-12T06:43:47Z,"Previously I think it is OK not to handle failure in `loadLogs()` because the subsequent requests (e.g. FetchRequest, ProducerRequest, LeaderAndIsrRequest) can trigger `handleLogDirFailure(...)`. Handling log directory failure in `loadLogs()` could allow broker to fail faster if all log directories are offline at the cost of slightly more code. Anyway, I have updated the code to handle IO failure in log segments loading."
121319440,2929,lindong28,2017-06-12T06:47:22Z,We need to pass `LogManager.liveLogDirs` to `LogCleanerManager` by reference and be able to propagate the change in `LogManager.liveLogDirs` to `LogCleanerManager`. Therefore we need to change its type to ArrayBuffer so that it is mutable. Does this make sense?
121319883,2929,lindong28,2017-06-12T06:51:16Z,Note that `liveLogDirs` has type `ArrayBuffer[File]` and `dir` has type `String`. It seems that `ArrayBuffer` only allows remove by position in the array. It does not have a method to remove element by value.
121320013,2929,lindong28,2017-06-12T06:52:20Z,"Can you explain why we should let broker exit if broker id load fail? My concern is that this will cause broker to exit if any log directory goes offline, which defeats the purpose of this KIP."
121320570,2929,lindong28,2017-06-12T06:57:39Z,"It is possible to catch IOException at the the direct thrown and convert them to KafkaStorageException. But the code change required for those try/catch/indentation is probably much more than the code needed for the extra exception in the catch. 

Also, it is probably easier to verify that we catch both IOException and KafkaStrageException in the request handling code than making sure we have a try/catch around every code that touches IO. Does this make sense?"
121320850,2929,lindong28,2017-06-12T07:00:26Z,I think it is probably better to keep `KafkaStorageException` as `ApiException` similar to the definition of`ReplicaNotAvailableException`. The client code should not see `KafkaStorageException` if any replica is offline due to disk failure. Instead the client should see e.g. `LeaderNotAvailableException` which is `RetriableException`.  `KafkaStorageException` will only be received by controller. Does this make sense?
121347432,2929,ijuma,2017-06-12T09:32:10Z,"Since it's an inner class of `MetadataResponse`, there is no need to also add `MetadataResponse` as a prefix to the inner class name."
121349573,2929,ijuma,2017-06-12T09:41:19Z,"The intent is for `KafkaController.eventManager` to be visible for testing (there's a comment next to the field). Maybe we need to change the tests to access it reflectively since it's understandable that people may miss the comment.

The reasoning is that by passing the `KafkaController` everywhere, it makes it harder to understand and limit the responsibility of each class. It would be nicer if we passed more granular instances . For example, this class needs `eventManager`, `config`, `topicDeletionManager` and `controllerChannelManager`. If we passed those instead, we get a picture of what the class needs immediately instead of having to read every line of code."
121349800,2929,ijuma,2017-06-12T09:42:24Z,I explained in another similar comment why `eventManager` is passed explicitly.
121350268,2929,ijuma,2017-06-12T09:44:36Z,"The semantics are not the same if you simply replace a volatile map with a mutable one in the face of concurrency (I haven't looked at the code, but the volatile implies that multiple threads are in play here)."
121351052,2929,ijuma,2017-06-12T09:48:27Z,You can remove it by value by using `def -= (x: A): this.type`.
