id,pr_number,user,submitted_at,state,body
35279792,2929,onurkaraman,2017-04-28T06:12:43Z,COMMENTED,Did a quick pass through the controller changes and left some minor comments.
35408976,2929,lindong28,2017-04-28T16:51:48Z,COMMENTED,
35409013,2929,lindong28,2017-04-28T16:51:59Z,COMMENTED,
35409038,2929,lindong28,2017-04-28T16:52:07Z,COMMENTED,
35411231,2929,lindong28,2017-04-28T17:02:05Z,COMMENTED,
35411710,2929,lindong28,2017-04-28T17:04:27Z,COMMENTED,
35411730,2929,lindong28,2017-04-28T17:04:32Z,COMMENTED,
35420934,2929,onurkaraman,2017-04-28T17:47:26Z,COMMENTED,
36428730,2929,ijuma,2017-05-05T03:03:47Z,COMMENTED,
36428770,2929,ijuma,2017-05-05T03:04:37Z,COMMENTED,
40852251,2929,becketqin,2017-05-30T06:03:13Z,COMMENTED,@lindong28 Thanks for the patch. It looks the patch is a little outdated. I took a quick glance at part of the patch and fee it would probably be easier to review after rebasing on trunk. Could you do that?
42790179,2929,lindong28,2017-06-08T04:35:36Z,COMMENTED,
42792476,2929,lindong28,2017-06-08T05:03:46Z,COMMENTED,
42792598,2929,lindong28,2017-06-08T05:05:06Z,COMMENTED,
42792755,2929,lindong28,2017-06-08T05:06:43Z,COMMENTED,
42792915,2929,lindong28,2017-06-08T05:09:03Z,COMMENTED,
42792976,2929,lindong28,2017-06-08T05:10:00Z,COMMENTED,
42793027,2929,lindong28,2017-06-08T05:10:51Z,COMMENTED,
43331378,2929,becketqin,2017-06-12T03:26:38Z,COMMENTED,@lindong28 Thanks for the patch. I made the first pass on the main code and left some comments. I haven't reviewed the tests yet. Will do that later.
43351093,2929,lindong28,2017-06-12T05:50:36Z,COMMENTED,
43351119,2929,lindong28,2017-06-12T05:50:58Z,COMMENTED,
43351741,2929,lindong28,2017-06-12T05:58:35Z,COMMENTED,
43351857,2929,lindong28,2017-06-12T06:00:02Z,COMMENTED,
43352046,2929,lindong28,2017-06-12T06:02:17Z,COMMENTED,
43352155,2929,lindong28,2017-06-12T06:03:26Z,COMMENTED,
43352293,2929,lindong28,2017-06-12T06:04:43Z,COMMENTED,
43352606,2929,lindong28,2017-06-12T06:08:39Z,COMMENTED,
43352785,2929,lindong28,2017-06-12T06:10:44Z,COMMENTED,
43352798,2929,lindong28,2017-06-12T06:10:53Z,COMMENTED,
43352882,2929,lindong28,2017-06-12T06:11:47Z,COMMENTED,
43352898,2929,lindong28,2017-06-12T06:11:56Z,COMMENTED,
43353348,2929,lindong28,2017-06-12T06:15:48Z,COMMENTED,
43353661,2929,lindong28,2017-06-12T06:18:22Z,COMMENTED,
43353697,2929,lindong28,2017-06-12T06:18:37Z,COMMENTED,
43353740,2929,lindong28,2017-06-12T06:18:44Z,COMMENTED,
43354161,2929,lindong28,2017-06-12T06:22:20Z,COMMENTED,
43354363,2929,lindong28,2017-06-12T06:24:17Z,COMMENTED,
43356427,2929,lindong28,2017-06-12T06:43:47Z,COMMENTED,
43356872,2929,lindong28,2017-06-12T06:47:22Z,COMMENTED,
43357343,2929,lindong28,2017-06-12T06:51:16Z,COMMENTED,
43357479,2929,lindong28,2017-06-12T06:52:20Z,COMMENTED,
43358083,2929,lindong28,2017-06-12T06:57:39Z,COMMENTED,
43358409,2929,lindong28,2017-06-12T07:00:26Z,COMMENTED,
43387098,2929,ijuma,2017-06-12T09:32:10Z,COMMENTED,
43389361,2929,ijuma,2017-06-12T09:41:19Z,COMMENTED,
43389583,2929,ijuma,2017-06-12T09:42:24Z,COMMENTED,
43390054,2929,ijuma,2017-06-12T09:44:36Z,COMMENTED,
43390902,2929,ijuma,2017-06-12T09:48:27Z,COMMENTED,
43498430,2929,lindong28,2017-06-12T16:56:01Z,COMMENTED,
43499000,2929,lindong28,2017-06-12T16:58:10Z,COMMENTED,
43499355,2929,lindong28,2017-06-12T16:59:26Z,COMMENTED,
43500352,2929,lindong28,2017-06-12T17:03:14Z,COMMENTED,
43516265,2929,lindong28,2017-06-12T18:02:17Z,COMMENTED,
43596817,2929,ijuma,2017-06-13T00:33:56Z,COMMENTED,
43597637,2929,lindong28,2017-06-13T00:41:47Z,COMMENTED,
43600373,2929,ijuma,2017-06-13T01:08:16Z,COMMENTED,
43803764,2929,becketqin,2017-06-13T18:42:07Z,COMMENTED,
43817928,2929,becketqin,2017-06-13T18:43:15Z,COMMENTED,
43820974,2929,becketqin,2017-06-13T18:53:54Z,COMMENTED,
43835822,2929,lindong28,2017-06-13T19:51:54Z,COMMENTED,
43835977,2929,lindong28,2017-06-13T19:52:31Z,COMMENTED,
43836755,2929,lindong28,2017-06-13T19:55:32Z,COMMENTED,
43841730,2929,lindong28,2017-06-13T20:15:35Z,COMMENTED,
44691182,2929,lindong28,2017-06-17T02:39:55Z,COMMENTED,
44691194,2929,lindong28,2017-06-17T02:40:55Z,COMMENTED,
45264161,2929,becketqin,2017-06-20T20:53:29Z,COMMENTED,
45295717,2929,lindong28,2017-06-20T23:32:52Z,COMMENTED,
45295760,2929,lindong28,2017-06-20T23:33:18Z,COMMENTED,
45877573,2929,becketqin,2017-06-23T00:30:24Z,COMMENTED,
45886323,2929,lindong28,2017-06-23T02:08:06Z,COMMENTED,
46061417,2929,becketqin,2017-06-23T21:16:16Z,COMMENTED,"Thanks for updating the patch. Made another path and left some comments. There are some other files that are not included in the patch but may need some changes as well.

1. In `GroupMetadataManager.cleanupGroupMetadata()`, it seems we are not handling the StorageException from line 724.

2. If a disk exception occurs in a delayed write to the socket during a FetchRequest, it seems we are not handling that. Not sure what is the best way to solve that though.

What I did was just find all the callers for the disk related method in `FileRecords`, e.g. `readInto()`, `read()`, `append()`, `flush()`. (Note that `FileRecords.read()` do not actually read disk, but the follow up actions typically will read the disks). I haven't look at other files we have on the disk yet. But I think the log file is probably the most important one."
46118112,2929,lindong28,2017-06-24T03:09:49Z,COMMENTED,
46118206,2929,lindong28,2017-06-24T03:15:45Z,COMMENTED,
46120050,2929,lindong28,2017-06-24T05:32:43Z,COMMENTED,
