pr_number,total_comments
2929,851
9001,595
2476,583
2614,492
3131,404
3874,611
1215,359
5527,506
8680,360
14406,561
11390,458
6363,405
5582,453
8657,394
2264,427
14182,438
764,300
13870,395
9944,420
13443,473
6592,386
5567,419
11331,444
4756,418
1446,333
5101,407
6295,397
9485,389
1776,277
14690,369
2466,283
6694,315
4931,280
6177,347
2772,292
2330,313
7170,313
7884,269
2735,307
130,231
3621,336
7898,271
9039,313
16456,294
14364,356
17373,313
13561,314
5201,306
13639,377
4812,292
7378,328
5709,318
812,218
165,217
17539,290
2849,374
2964,324
1884,275
5379,266
191,209
10070,302
3765,273
13240,286
2140,251
4830,295
9103,271
132,201
5693,307
5821,304
5428,289
2743,219
18240,264
2244,260
2074,301
3849,238
1336,259
2744,255
9487,271
10851,248
195,187
2910,205
10579,257
3325,244
10218,247
14432,241
9100,239
2472,232
8218,241
1095,175
7629,231
8589,253
5322,208
13391,273
1251,207
151,170
2967,209
2719,224
10822,241
15640,269
14408,223
