id,pr_number,user,created_at,body
1385885426,5439,knqyf263,2023-11-08T02:32:57Z,"A single package can have multiple identifiers, like CPE and PURL. It should be able to accommodate all of them. One idea is make `PkgIdentifier` an array, but it is a bit bothering to access PURL because it needs to iterate the array every time. What if simply adding identifiers as the field?

```suggestion
type PkgIdentifier struct {
	PURL string `json:"",omitempty""`
	CPE string    `json:"",omitempty""`
}
```"
1385887019,5439,knqyf263,2023-11-08T02:35:50Z,We used to need it in order to store BOM-Ref. I'm afraid that removing this field affects scanning somewhere. But we may no longer need it since we dropped some capabilities. I'll take a look.
1386479013,5439,juan131,2023-11-08T11:33:23Z,"All right, I'll adopt this approach."
1395469096,5439,juan131,2023-11-16T10:16:55Z,I marked it as deprecated at https://github.com/aquasecurity/trivy/pull/5439/commits/7d29afd668566c2cd72eff54e0affc971a522c87 instead of removing it
1396638425,5439,DmitriyLewen,2023-11-17T03:06:11Z,Why is there extra `1%3A` in this line?
1396641131,5439,DmitriyLewen,2023-11-17T03:12:15Z,"looks like purl should contain [arch qualifier](https://github.com/package-url/purl-spec/blob/master/PURL-TYPES.rst#rpm):
https://github.com/aquasecurity/trivy/blob/214546427e76da21bbc61a5b70ec00d5b95f6d0b/pkg/sbom/cyclonedx/marshal_test.go#L388"
1396660395,5439,DmitriyLewen,2023-11-17T03:26:09Z,"Do we need this change?
We can just add `purl.NewPackageIdentifier(fileType, newPkg)`:
```
pkgs = append(pkgs, types.Package{
			ID:        lib.ID,
			Name:      lib.Name,
			Version:   lib.Version,
			Dev:       lib.Dev,
			FilePath:  libPath,
			Indirect:  lib.Indirect,
			Licenses:  licenses,
			DependsOn: deps[lib.ID],
			Locations: locs,
			Digest:    d,
                        Identifier = purl.NewPackageIdentifier(fileType, newPkg)
		})
```"
1396669181,5439,DmitriyLewen,2023-11-17T03:41:26Z,Do we need to use pointer?
1396670327,5439,DmitriyLewen,2023-11-17T03:44:08Z,"If i understand correctly - we will remove `PkgRef` later.
But why we remove it here?"
1396673891,5439,DmitriyLewen,2023-11-17T03:53:00Z,"If we can't build purl for package - we use UUID - https://github.com/aquasecurity/trivy/pull/5448

In this case we will skip this UUID.
Perhaps we need to add UUID as in `PkgIdentifier`?"
1396682801,5439,DmitriyLewen,2023-11-17T04:07:26Z,"Previous numbers should not be changed - https://protobuf.dev/programming-guides/proto3/#assigning
```suggestion
  PkgIdentifier identifier = 19;
  string arch    = 5;
```"
1396698237,5439,DmitriyLewen,2023-11-17T04:40:39Z,"i played with your changes and found that you run `purl.NewPackageIdentifier` for each detected line.
We need to call this function after package detection is complete."
1396842552,5439,juan131,2023-11-17T08:11:20Z,"That's a good question... It might be related with some weird encoding done at the function below:

- https://pkg.go.dev/github.com/package-url/packageurl-go@v0.1.2#PackageURL.ToString"
1396846978,5439,juan131,2023-11-17T08:16:22Z,"We can include the distro & arch information by providing a valid metadata in the line below (by ensuring this function receives it as an argument):
- https://github.com/aquasecurity/trivy/blob/b70cec904aee3bd187bce30565210feca6abdbb4/pkg/purl/purl.go#L203
But I wasn't able to find the way to have that info when the function is invoked, e.g.:
- https://github.com/aquasecurity/trivy/blob/b70cec904aee3bd187bce30565210feca6abdbb4/pkg/fanal/analyzer/pkg/dpkg/dpkg.go#L275"
1396849043,5439,juan131,2023-11-17T08:18:42Z,Please note `purl.NewPackageIdentifier` receives the package as second parameter
1396852919,5439,juan131,2023-11-17T08:22:46Z,"No. To be honest, I don't have a strong opinion about this. In terms of performance it depends on the size of the structs, these two reads can add more light on this topic:

- https://medium.com/a-journey-with-go/go-should-i-use-a-pointer-instead-of-a-copy-of-my-struct-44b43b104963
- https://stackoverflow.com/questions/24452323/whats-the-difference-between-pointer-and-value-in-struct

I usually prefer pointers because it's easier to determine if something is set or not: it's easier to do `foo != nil` than `foo != customType{}`"
1396854118,5439,juan131,2023-11-17T08:24:01Z,"good catch, reverting it"
1396858663,5439,juan131,2023-11-17T08:28:38Z,"I don't think UUIDs are valid to identify known vulnerabilities, at least I mainly find references to use pURL, CPE or SWID:

- https://owasp.org/www-project-web-security-testing-guide/latest/5-Reporting/02-Naming_Schemes
- https://cyclonedx.org/use-cases/#known-vulnerabilities"
1396866884,5439,juan131,2023-11-17T08:37:06Z,"done, see https://github.com/aquasecurity/trivy/pull/5439/commits/37a098c5b5d3c1396eb6d830cf70588b8b4b219c"
1396867051,5439,juan131,2023-11-17T08:37:16Z,"done, see https://github.com/aquasecurity/trivy/pull/5439/commits/37a098c5b5d3c1396eb6d830cf70588b8b4b219c"
1396874436,5439,juan131,2023-11-17T08:44:16Z,Do you mean after `parseApkInfo` is invoked? Or even after that?
1396978395,5439,DmitriyLewen,2023-11-17T09:28:57Z,"yep. I know about this decode(https://www.w3schools.com/tags/ref_urlencode.ASP).
But i missed first `1`.

after decoding - `pkg:rpm/openssl-libs@1:1.1.1k-4.el8`

But we should to move epoch to qualifiers - https://github.com/package-url/purl-spec/blob/master/PURL-TYPES.rst#rpm"
1396983674,5439,DmitriyLewen,2023-11-17T09:32:29Z,"but we don't have Metadata in pkg (apk, rpm, etc.) analyzers.

Perhaps we can just remove this condition:
https://github.com/aquasecurity/trivy/blob/214546427e76da21bbc61a5b70ec00d5b95f6d0b/pkg/purl/purl.go#L204

@knqyf263 do you remember why we need this condition?"
1396985497,5439,DmitriyLewen,2023-11-17T09:33:42Z,I missed it. Thanks for showing me this.
1396997613,5439,DmitriyLewen,2023-11-17T09:43:00Z,It looks like we can just create a function `func(i PkgIdentifier) Empty() bool`.
1397002496,5439,DmitriyLewen,2023-11-17T09:47:28Z,"we don't need to change purl/cpe.
I'm worried this might get confusing
Because `Layer` and `Digest` don't use pointers.
I think we should either use pointers for each structural field (Layer, Digest, PkgIdentifier) or not use them at all.
In this case I am for the second option"
1397004799,5439,DmitriyLewen,2023-11-17T09:49:18Z,"But we also add `PkgIdentifier` for `Package` structure.
This makes sense for users using `trivy fs -f json --list-all-pkgs` command.
"
1397009114,5439,DmitriyLewen,2023-11-17T09:52:35Z,"I think we can move this logic before adding `pkg` to `pkgs`:
https://github.com/aquasecurity/trivy/blob/214546427e76da21bbc61a5b70ec00d5b95f6d0b/pkg/fanal/analyzer/pkg/apk/apk.go#L66
https://github.com/aquasecurity/trivy/blob/214546427e76da21bbc61a5b70ec00d5b95f6d0b/pkg/fanal/analyzer/pkg/apk/apk.go#L118

"
1397009657,5439,DmitriyLewen,2023-11-17T09:53:03Z,Can you also check dpkg and rpm for same problem?
1397043157,5439,juan131,2023-11-17T10:22:11Z,IMHO that condition doesn't make much sense since `parseQualifier` isn't using `metadata`. Am I missing sth?
1397043969,5439,juan131,2023-11-17T10:22:53Z,done at https://github.com/aquasecurity/trivy/pull/5439/commits/add17e817d2f79c6bb0f0543e43a03f89e165c40
1397045223,5439,juan131,2023-11-17T10:23:57Z,"This can be addressed with the change below:
```diff
diff --git a/pkg/purl/purl.go b/pkg/purl/purl.go
index 774cd443..335d0907 100644
--- a/pkg/purl/purl.go
+++ b/pkg/purl/purl.go
@@ -215,11 +215,8 @@ func NewPackageIdentifier(target ftypes.TargetType, pkg ftypes.Package) ftypes.P

 // nolint: gocyclo
 func NewPackageURL(t ftypes.TargetType, metadata types.Metadata, pkg ftypes.Package) (*PackageURL, error) {
-       var qualifiers packageurl.Qualifiers
-       if metadata.OS != nil {
-               qualifiers = parseQualifier(pkg)
-               pkg.Epoch = 0 // we moved Epoch to qualifiers so we don't need it in version
-       }
+       qualifiers := parseQualifier(pkg)
+       pkg.Epoch = 0 // we moved Epoch to qualifiers so we don't need it in version

        ptype := purlType(t)
```"
1397141529,5439,juan131,2023-11-17T11:39:53Z,done at https://github.com/aquasecurity/trivy/pull/5439/commits/0cb4631731f24cef9f39bf8c5245826de59df005
1397142473,5439,juan131,2023-11-17T11:40:18Z,Tried this at https://github.com/aquasecurity/trivy/pull/5439/commits/1a80d34ace020fa80bec3aae8697dd8db6da539b
1397142911,5439,juan131,2023-11-17T11:40:33Z,Tried this at https://github.com/aquasecurity/trivy/pull/5439/commits/1a80d34ace020fa80bec3aae8697dd8db6da539b
1398641104,5439,DmitriyLewen,2023-11-20T04:02:31Z,"I also don't see the need for this condition.
Let's take a look at this after removing this."
1398667690,5439,DmitriyLewen,2023-11-20T05:07:04Z,Looks like we need to update this test
1398670876,5439,DmitriyLewen,2023-11-20T05:14:12Z,"We need to think about `Ref` field.
Perhaps we can mark it as deprecated and upgrade logic to use `PkgIdentifier`.

But it seems that this would be better done in another PR."
1398674432,5439,DmitriyLewen,2023-11-20T05:21:21Z,"If I remember correctly, I removed all cases where we could get `pkgURL != nil && pkgURL.Type == """"`.
we can remove `pkgURL.Type == """"` check."
1398675466,5439,DmitriyLewen,2023-11-20T05:23:32Z,"This function is tested indirectly.
Can we add small unit test for it?"
1399019654,5439,juan131,2023-11-20T10:53:22Z,done at https://github.com/aquasecurity/trivy/pull/5439/commits/5e72c5a95058110fdaeac484791abac7d35a288e
1399019749,5439,juan131,2023-11-20T10:53:26Z,done at https://github.com/aquasecurity/trivy/pull/5439/commits/5e72c5a95058110fdaeac484791abac7d35a288e
1399021738,5439,juan131,2023-11-20T10:55:03Z,Yup.. I added a comment at `pkg/types/vulnerability.go` mentioning that's to be deprecated but I took no further action.
1399025164,5439,juan131,2023-11-20T10:58:02Z,done at https://github.com/aquasecurity/trivy/pull/5439/commits/59b1198b98913b617257772c5233450ffe9e3b5c
1399034290,5439,juan131,2023-11-20T11:05:50Z,"I understand the use of the UUID within the SBOM doc since you can reference it but it doesn't add much value outside it, right? I think we should omit it."
1399982691,5439,DmitriyLewen,2023-11-21T03:21:53Z,"okay, that makes sense.
If we need it, we can always add it."
1399985634,5439,DmitriyLewen,2023-11-21T03:27:59Z,"If I remember correctly, we simply copy `Ref` from `Package` to `DetectedVulnerability`.
It looks more logical to add comment for parent (I mean the first element of this chain (`Package`)).

But I think the best way is to add a comment in both places."
1399996916,5439,DmitriyLewen,2023-11-21T03:51:02Z,"It is not possible:
https://github.com/aquasecurity/trivy/blob/c866f1c4e99ba0026fe9f632fbe97fc5d89165d1/pkg/purl/purl_test.go#L183-L189
"
1400001325,5439,DmitriyLewen,2023-11-21T04:01:05Z,"I don't think this makes sense.
We already tried to create purl in `analyzer`.

For SDPX  we can remove this and leave `packageURL == nil`. In this case we simply don't include purl to SPDX package:
https://github.com/aquasecurity/trivy/blob/c866f1c4e99ba0026fe9f632fbe97fc5d89165d1/pkg/sbom/spdx/marshal_test.go#L894-L903"
1400003389,5439,DmitriyLewen,2023-11-21T04:05:11Z,"Can you check case if we just remove this?
It looks like we will create UUIDs for packages without `pkg.Identifier`."
1400003821,5439,DmitriyLewen,2023-11-21T04:06:17Z,We don't seem to expect any changes in the desired results for this test.
1400160845,5439,juan131,2023-11-21T08:02:48Z,addressed at https://github.com/aquasecurity/trivy/pull/5439/commits/cdd281e1e8fc988cf747b8a94e734e548c4ee310
1400160889,5439,juan131,2023-11-21T08:02:50Z,addressed at https://github.com/aquasecurity/trivy/pull/5439/commits/cdd281e1e8fc988cf747b8a94e734e548c4ee310
1400160970,5439,juan131,2023-11-21T08:02:54Z,addressed at https://github.com/aquasecurity/trivy/pull/5439/commits/cdd281e1e8fc988cf747b8a94e734e548c4ee310
1400161176,5439,juan131,2023-11-21T08:03:06Z,addressed at https://github.com/aquasecurity/trivy/pull/5439/commits/cdd281e1e8fc988cf747b8a94e734e548c4ee310
