pr_number,total_comments
5439,220
7732,203
679,139
6781,129
5635,95
2333,114
6234,122
8080,99
8177,108
99,108
433,92
4058,78
542,70
709,82
6217,87
1437,87
4652,85
6524,69
8077,88
253,79
3015,78
751,62
2065,64
7131,71
2490,56
7336,55
6993,63
7526,61
5062,71
50,53
5999,67
6476,53
6633,43
7160,55
7605,63
935,66
1638,61
5285,53
8254,51
4047,48
7340,52
6072,41
6674,47
8178,47
2589,41
2607,52
4557,45
7261,51
7679,48
5154,52
3391,36
7690,52
1230,41
2951,44
4210,55
7206,46
7163,55
7444,36
5059,36
6357,41
7339,42
8244,49
1287,39
1756,30
7039,45
1799,41
3599,35
7664,37
1202,27
3037,40
3215,32
6240,43
6882,39
6333,37
8106,43
376,45
4706,35
2186,35
2494,36
3130,46
2111,37
2910,30
6861,46
6965,36
8134,45
201,46
552,37
1081,33
1668,39
1101,69
6176,73
8294,70
6275,49
303,65
435,47
1832,45
2567,47
6329,50
5037,47
1539,44
