id,pr_number,user,created_at,body
627440957,835,Paul-Licameli,2021-05-06T13:52:48Z,"Is the effect of this line to let any one of these libraries access the header files of any other one of the libraries?

I see inclusions like:
#include ""lib-string-utils/UrlEncode.h""

Therefore lib-telemetry depends on lib-string-utils.  You can also see that from its CMakeLists.txt where it uses target_link_libraries.

But what I'm hoping to do with the libraries I'm developing is avoid #include directives with more than one path component.

And I think target_link_libraries will let you do just that -- shorten the #include path, so long as the library dependent on (here lib-string-utils) does not use PRIVATE in target_sources.

See my commit 45ff9419864c079cbd6f51cdd5e11f58ec882c30.

"
627445357,835,crsib,2021-05-06T13:57:50Z,"This could be done in a different way, as well as the `*LibName*Api.h`

I can change it if you want, no problem 💯 "
627506072,835,Paul-Licameli,2021-05-06T15:05:50Z,"You took the ctor out-of-line to avoid a nested header file.  Good!
"
627506600,835,Paul-Licameli,2021-05-06T15:06:27Z,"You figured out TranslatableString::Debug().  Good!
"
627510621,835,Paul-Licameli,2021-05-06T15:11:06Z,We aren't distinguishing a really failed import from the user cancelling it in the progress indicator.  Maybe that does not matter.
627515066,835,Paul-Licameli,2021-05-06T15:16:26Z,"Q: How do you know this string is un-internationalized (to be consistent with other uses of ReportBuiltinEvent)?
A: Because of how we use type distinctions for strings!
"
627535303,835,Paul-Licameli,2021-05-06T15:40:29Z,"What event to you think you are reporting?  I think the effect is not necessarily ""selected"" interactively if we come to this line.  It might be part of a macro invocation.  I know people often master their tracks with macros.

Maybe that distinction does not matter, but comment at least what you really mean.
"
627537546,835,Paul-Licameli,2021-05-06T15:43:22Z,"Why is the opening of this one non-modal dialog important to report, but not the others (Mixer board, Karaoke, Macro editor, Contrast, History window)?  Just asking.
"
627543880,835,Paul-Licameli,2021-05-06T15:50:24Z,"I'd like this table and the enum definition to refer to each other in comments
"
627626167,835,Paul-Licameli,2021-05-06T17:26:24Z,"Can I start another review?  Yes I can.  This is just a test of GitHub.

And it seems you found a bug in a 3pl to fix with a null check.  Did it crash for you in testing?"
627756976,835,Be-ing,2021-05-06T20:52:38Z,This is too vague. Tell users what is being collected and why.
627762185,835,Be-ing,2021-05-06T21:01:37Z,"This URL does not currently show a privacy policy. That should be online *before* merging this.

Moreover, a wall of legalese is not really sufficient for informed consent. There should be concise summaries of what information is being collected and why directly in the GUI, not only on a webpage external to the application."
627763498,835,Be-ing,2021-05-06T21:04:02Z,"Be more specific
```suggestion
better in the future. This includes: \n
  * what times you open and close Audacity
  * the file formats you use in Audacity
  * crash logs""
```

What is ""etc""? Be specific. List *all* the information that is collected."
627764300,835,nemobis,2021-05-06T21:05:24Z,"""Anonymous"" is unlikely to be correct. Audacity cannot guarantee that Google or Yandex won't be able to link the user's IP address to their identity, so you'd better avoid making promises which might be seen as lies."
627767257,835,nemobis,2021-05-06T21:11:00Z,"Indeed. The privacy policy will probably need, among other things, to list Yandex and Google as sub-processors, state that the user's personal data will be sent outside the EU, and probably offer a DPO contact, in addition to the usual things.

You can find instructions at
https://ec.europa.eu/info/law/law-topic/data-protection/reform/rules-business-and-organisations_en
https://edps.europa.eu/data-protection/eu-institutions-dpo/case-law-guidance_en

Spoiler: it's going to be practically impossible to respect GDPR and Schrems II if you use Google."
627780325,835,tastytea,2021-05-06T21:35:31Z,"Also, if the UUID is saved it is at best *pseudo*nymous."
627844475,835,xTibor,2021-05-07T00:20:11Z,"This seems to be a downscaled version of Apple's ""Chart with Upwards Trend (U+1F4C8)"" emoji according to Emojipedia. I'm not a lawyer but I'm fairly sure you're not supposed to redistribute it under GPL."
627870880,835,gohanko,2021-05-07T01:50:52Z,"However, if Google or Yandex says it's anonymous then the blame shifts to these corporations in case it turns out otherwise, which in this case saying that it's ""Anonymous"" is correct."
