pr_number,total_comments
835,1264
1384,854
4414,808
2295,339
5791,321
5043,285
4881,284
3176,221
5041,229
1207,248
2121,230
836,214
4771,222
2668,201
4797,195
5138,152
3278,182
2867,186
759,93
3432,164
1193,146
4853,88
2224,89
4746,119
6068,136
4668,103
4701,117
5042,132
830,85
966,86
2941,92
4384,128
3396,123
6359,95
1614,119
1679,113
5818,105
1623,108
952,119
3183,108
6395,72
3088,77
5874,86
2831,95
5139,88
5570,85
6094,72
3229,102
5980,64
4723,77
5900,88
1377,69
5027,69
5965,66
2801,68
5193,80
3258,53
918,62
2565,75
5398,65
2536,59
5952,62
3030,72
3696,55
4867,67
5685,49
2957,71
4739,45
2805,42
4795,54
5839,67
4033,55
4171,65
5653,47
8211,45
5899,47
1295,65
5789,43
948,66
1323,60
2261,58
3009,63
7017,43
4053,33
2561,55
3070,62
5675,34
6306,59
7978,54
1865,46
3996,54
5239,41
3271,60
1482,50
7590,100
3317,57
6472,71
7561,73
7515,51
7785,68
