id,pr_number,user,created_at,body
524583954,358,devshgraphicsprogramming,2019-08-24T22:01:40Z,"ok @Crisspl  I see that retrofitting this shit to work with `SMaterial` and `ICPUMaterial/IGPUMaterial` is rather cumbersome.

Maybe after you get back it would make more sense to implement these 50%
https://repository.genmymodel.com/devshgraphicsprogramming/VulkanComputeAndRenderPassIndependentPipelines
https://repository.genmymodel.com/devshgraphicsprogramming/VulkanRenderpassIndependentPipelines

This means an `IRenderPassIndependentPipeline<>` and `IComputePipeline<>` without any `IPipelineLayout<>` objects implemented yet (that's just to much).

In place of `IPipelineLayout<>` you can use the current  `SMaterialLayer<>`

`IDriverPipelineCache` is a cache for helping to speed up the creation of new *compute* pipelines (separate from the runtime per-thread caching on OpenGL), there's an actual Vulkan API object for that, but with OpenGL we could put that to some use, like storing introspection or compiled SPIR-V for parsed GLSL + extension list. For now it can be an empty useless object.

Then at-least we:
- disable/enable blend per FBO attachment
- finally support all blending modes and factors on any FBO attachment separately
- separate color mask per attachment
- support all the Render/Raster states that vulkan advertises (lots of multisampling state)
- finally support stencil operations properly (can rewrite OITZoo without bare OpenGL)
- support the GL_PATCH primitive type without fucking guessing from whether we're using a tessellation shader


This changes our asset hierarchy a bit, In the follwing way.

~ I<>MeshBuffer -> I<>MeshDataFormat -> I<>Buffer ~
I<>MeshBuffer -> I<>RenderpassIndependentPipeline & I<>Buffer -> I<>SpecializedShader & I<>PipelineLayout/SMaterialLayer

So I<>MeshBuffer takes over the I<>Buffer vertex input bindings (so now vertex and index are stored in the same place) while I<>RenderpassIndependentPipeline replaces the remaining functionality of I<>MeshDataFormatDesc.

I<>RenderpassIndependentPipeline also replaces everything except for `SMaterial::TextureLayer[]` which is now moved outside as a member of `I<>MeshBuffer` instead.

P.S. Adding support for Compute shaders might be super easy now, just an `IVideoDriver::setComputePipeline` + `IVideoDriver::dispatchCompute{Indirect}()`
P.P.S.  In Vulkan Compute and Graphics pipelines can be set separately, we'll try to emulate the same with OpenGL."
528044524,358,devshgraphicsprogramming,2019-09-04T19:16:00Z,anything fucked up after the merge?
528065780,358,Crisspl,2019-09-04T20:12:42Z,"nah, not yet at least"
530796801,358,devshgraphicsprogramming,2019-09-12T12:11:27Z,Where's the compute pipeline?
530864384,358,Crisspl,2019-09-12T14:55:19Z,">Where's the compute pipeline?

in next (last currently) commit"
533020039,358,devshgraphicsprogramming,2019-09-19T08:12:36Z,"@Crisspl you need a `IPipelineLayout::isCompatibleWith(const IPipelineLayout*)`

its needed for a lot of things, such as deciding if descriptor sets need to be unbound or push-constants are nullified (in `IRR_DEBUG` we can push an all 0s range on the new pipeline when this happens, and do nothing on release builds)."
533065065,358,devshgraphicsprogramming,2019-09-19T10:14:54Z,@Crisspl you may want to read (but not apply fully) the ideas in #25 and #59 
533500701,358,devshgraphicsprogramming,2019-09-20T10:31:43Z,"@Crisspl  check if this is true in the Vulkan spec
>There might be something that says that if your pushconstants are incompatible, your descriptor sets are also invalidated"
533518816,358,Crisspl,2019-09-20T11:41:06Z,"yes, compatibility for descriptor sets requires also compatibility for push constants. And compatibility for push constants requires exactly the same push constant ranges"
534290449,358,Crisspl,2019-09-23T21:22:11Z,Observation: lack of assumption that `vertex buf binding` = `attrib number aka location` makes hash for VAOs more complex and less probable that fitting VAO will be found in cache (+ more VAO objects needed to be created). 
534320242,358,devshgraphicsprogramming,2019-09-23T23:12:13Z,"> Observation: lack of assumption that vertex buf binding = attrib number aka location makes hash for VAOs more complex and less probable that fitting VAO will be found in cache (+ more VAO objects needed to be created).

How big is the hash with the above @Crisspl  ?

P.S. The `E_FORMAT` enum has less than 256 values (actually 197), so could use `EF_UNKNOWN` as a value for a disabled vertex input location. Binding is 4 bits, and relative offset 11bits (max value is 2047).

So this gives you 15 bits per location, and we have 16 locations... so 46 bytes for location hash.

Then you only hash the input rate and stride per binding, input rate is 1 bit and stride is 11 bits just like relative offset. So 32 bytes here.

Total is a 78 byte hash.
"
534931687,358,devshgraphicsprogramming,2019-09-25T09:16:47Z,"Extras to resolve:
https://github.com/buildaworldnet/IrrlichtBAW/pull/358#commitcomment-34799198"
