id,pr_number,user,created_at,body
317199142,358,devshgraphicsprogramming,2019-08-23T16:01:15Z,"you can just suck in the include files from core, io and asset 

no need for forward declarations"
317204001,358,devshgraphicsprogramming,2019-08-23T16:14:35Z,"list of extensions?

also where's your `IGPUShader` creation function?"
317204466,358,devshgraphicsprogramming,2019-08-23T16:15:45Z,why are you taking the entry point here? and stage?
317204823,358,devshgraphicsprogramming,2019-08-23T16:16:42Z,"`m_code` could store both SPIR-V and GLSL, using only `m_containsGLSL` to switch between them "
317207295,358,Crisspl,2019-08-23T16:23:23Z,"the less unnecessary `#include`s in header files, the lesser chance for circular deps"
317207429,358,Crisspl,2019-08-23T16:23:46Z,theres no list of extensions yet
317207820,358,Crisspl,2019-08-23T16:24:51Z,"hm, maybe i dont need to do this, i'll check"
317208019,358,Crisspl,2019-08-23T16:25:22Z,thats how it is ;)
317210769,358,devshgraphicsprogramming,2019-08-23T16:33:02Z,"well the rule is that core,io and asset shall not include anything from video namespace

`core::smart_refctd_ptr<T>` will break if T is forward declared but not defined."
317210924,358,devshgraphicsprogramming,2019-08-23T16:33:28Z,ok just make a stub struct/class
317211093,358,devshgraphicsprogramming,2019-08-23T16:33:57Z,you're gonna have that stuff in ISpecializationInfo/Data anyway right?
317211692,358,devshgraphicsprogramming,2019-08-23T16:35:40Z,"ok, so no need for an `std::stringc`, you can supply a utility function in `core::` to turn std::string&& into an `core::smart_refctd_ptr<core::ICPUBuffer>`

Bonus points if you use our ICPUBuffer derived class with allocator, so you could actually steal std::string's data + allocator"
317223646,358,Crisspl,2019-08-23T17:09:08Z,yea
317233950,358,devshgraphicsprogramming,2019-08-23T17:38:53Z,make override from io::IReadFile
317233970,358,devshgraphicsprogramming,2019-08-23T17:38:59Z,make override from io::IReadFile
317234639,358,devshgraphicsprogramming,2019-08-23T17:40:46Z,sure you want those public?
317235373,358,devshgraphicsprogramming,2019-08-23T17:42:42Z,why do you need the driver?
317254295,358,Crisspl,2019-08-23T18:32:12Z,"actually just for GLSL version.. so might as well get rid of that and put uint32_t parameter instead
(plus GL calls, but those are statics in COpenGLExtensionHandler so driver not really needed)"
317254438,358,Crisspl,2019-08-23T18:32:31Z,"well, yea"
317373024,358,devshgraphicsprogramming,2019-08-24T20:09:49Z,"kill this function, just let people set .Pipeline directly on materials"
317373047,358,devshgraphicsprogramming,2019-08-24T20:11:02Z,197+EST_COUNT*sizeof(const void*)
317373091,358,devshgraphicsprogramming,2019-08-24T20:12:17Z,the `IMaterialRenderer` class can get nuked.
317373109,358,devshgraphicsprogramming,2019-08-24T20:12:51Z,"don't comment out, use
```
#ifndef NEW_SHADERS
#endif
```

and #define NEW_SHADERS in irr compile config."
317373126,358,devshgraphicsprogramming,2019-08-24T20:13:39Z,nuke IGPUProgrammingServices
317373166,358,devshgraphicsprogramming,2019-08-24T20:15:27Z,"nuke E_MATERIAL_TYPE, but add the old 4 default shader combos as IGPUMaterials to IAssetManager's CPUtoGPU object cache and add associated ICPU* objects for them"
317373205,358,devshgraphicsprogramming,2019-08-24T20:17:23Z,"nuke callbacks, add a 256-byte aligned (move around parts of SMaterial as necessary to achieve 0 compiler padding + 256 byte alignment) uint8_t[128] array that will be then used for fetching push-constant data"
