pr_number,total_comments
358,1909
424,1664
410,873
474,574
497,452
468,394
554,381
291,217
403,299
521,293
411,282
307,253
21,194
549,200
487,199
422,188
333,163
143,129
341,136
373,143
480,138
402,134
387,124
437,119
301,100
483,100
340,93
390,61
172,66
478,66
431,62
455,67
39,56
36,49
399,53
515,57
412,48
416,52
401,52
244,30
499,49
524,49
552,47
14,38
49,42
265,33
428,32
540,42
425,40
81,24
389,39
63,35
400,33
406,33
534,35
250,29
473,28
436,30
271,24
381,24
80,23
297,22
539,16
386,23
530,21
213,20
295,10
398,16
489,11
48,13
165,11
177,13
219,10
378,10
443,12
522,11
64,6
164,6
249,10
181,8
328,8
415,9
475,7
490,5
186,4
187,4
462,7
514,4
138,3
222,5
284,3
275,3
375,3
496,374
553,54
531,20
542,20
529,12
488,8
520,8
