id,pr_number,user,created_at,body
1004610739,331,DjLegolas,2022-01-04T08:26:43Z,"Looks great, thanks.
If you can, please add a job to the CI for automatic creating the installer. It will need to have the ability to compile everything it needs (GTK3, OpenSSL, etc.)."
1004613096,331,doadin,2022-01-04T08:30:56Z,"@DjLegolas 
I'm working on that atm. The hardest part kind of is compiling GTK. Others have public windows builds. Could use a build host for this but artifacts don't last forever. And GTK takes quite a bit of time to compile."
1004642179,331,doadin,2022-01-04T09:17:01Z,"@DjLegolas
The best option would probably be to have a build of GTK hosted somewhere then use that plus the already available builds of others eg. just pip install libtorrent and use prebuilt openssl from the ci host, as most things are available or easy to get like with pip, GTK is the only thing really hard to get."
1004646414,331,cas--,2022-01-04T09:23:35Z,"@doadin I agree if we can start simple with dependencies the better, where needed we can modify it later to suit.  For GTK we could fork the gvsbuild repo and create releases or store them on deluge ftp, either way we want a simple reproducible process."
1004650915,331,doadin,2022-01-04T09:30:20Z,"@cas-- Yes I plan on on making an CD github actions, since that seems to be what we are using for other things, that will making an installer using prebuilts from github actions image, which the only thing I see needed out side of that is GTK ill make the script to use from appveyor since thats where im currently setting up a build, should be a easy change in url to a different host depending on where you would like to get it from."
1004690840,331,doadin,2022-01-04T10:27:07Z,"@DjLegolas @cas-- 
It seems that github actions uses powershell to run so I added a sample CD.yml based on that which should only need a correction for the URL where we want to get GTK from. The deluge spec file already has path setup to be able to find openssl and such so unless the wheel of libtorrent from pip requires something else should be able to find all the deps deluge needs.

Edit: also the path to gtk may need editing all depends on how we get gtk and how the zip for it looks and is extracted and so on. Again though should be a fairly easy edit of the spec file to make any correction for how the build environment is setup. Appveyor and github actions (maybe others) seem to put openssl and such in the same location so should be pretty easy to make work any where really.

Also I made the sample only build on pushed tags so any time you want to make a release should be as simple as adding a tag. We could maybe build for PRs too or something but you guys can decide that."
1005092640,331,DjLegolas,2022-01-04T19:05:44Z,"BTW, great work @doadin 🥇"
1005310000,331,doadin,2022-01-05T01:42:24Z,"@DjLegolas  @cas-- I think I have addressed the points you guys have brought up, still uncertain about nsis use again I'm not very familiar but I think other than it being cleaner its at least close to proper syntax?"
1005380653,331,doadin,2022-01-05T04:50:34Z,"@DjLegolas @cas--  So im really stuck its apparently not able to load a dll for gtk, which I have no clue. I have the spec file setup to add GTK\lib folder and the VC redist to path but its still missing a dll from somewhere idk."
1005426388,331,DjLegolas,2022-01-05T06:50:55Z,"@doadin - don't worry, we will help you with that.
Seem like there are several dlls missing:

1. python - `No such file or directory: 'c:\\hostedtoolcache\\windows\\python\\3.7.9\\x64\\DLLs\\'`. Maybe it's on another location or name?
2. make sure that the GTK lib and bin paths are in the PATH environment variable so the the python libs will find them."
1005450228,331,doadin,2022-01-05T07:40:34Z,"@DjLegolas 
1. I did a print of the dir and that dir does exist not sure why it says it doesn't. (side note: do wish we could have rdp to the vm like with appveyor.)
2.I am using pathex in pyinstaller to add the GTK lib and bin paths. I could try and add it in the build script vs pyinstaller adding it but should work from pyinstaller.
`12734 INFO: Extending PYTHONPATH with paths
['C:\\hostedtoolcache\\windows\\Python\\3.7.9\\x64\\Scripts',
 'C:\\gtk-build\\gtk\\x86\\release\\bin',
 'C:\\gtk-build\\gtk\\x86\\release\\lib',
 'C:\\gtk-build\\gtk\\x86\\release\\share',
 'C:\\GTK\\release\\bin',
 'C:\\GTK\\release\\lib',
 'C:\\GTK\\release\\share',
 'C:\\OpenSSL-Win64\\bin',
 'C:\\Program Files (x86)\\Microsoft Visual '
 'Studio\\2019\\Enterprise\\VC\\Redist\\MSVC\\14.29.30133',
 'C:\\Windows\\System32',
 'C:\\Windows\\SysWOW64',
 'C:\\hostedtoolcache\\windows\\Python\\3.7.9\\x64',
 'C:\\hostedtoolcache\\windows\\Python\\3.7.9\\x64\\DLLs']`"
1005455759,331,doadin,2022-01-05T07:51:31Z,@DjLegolas I tried adding the GTK dir to path from the github actions and still no go. I wish I knew what DLL it can't find would be probabbly really easy to find if I knew what I was looking for lol.
1005530462,331,mhertz,2022-01-05T09:45:04Z,"Really stupid question, but doesn't help using x64 gtk(for x64 build) ? It's seemingly through bindepend.py/pefile.py trying check a file related to gi(hook) , which links to gtk dlls, running matchdllarch on them, or something. Strange error regardless. As said on forum, the pathhex is irrelevant, atleast on real system, with that spec(mine atleast), when in PATH as djlegolas said, just to not waste time on adding there this and that. Anyway, really impressed, looking great, thanks a bunch for all the nice work :) 

Edit: I'm sorry, just looked more at the commit, and see the gvsbuild zip states x64 in name, but I just thought it was x86 because added panthex's lists e.g the standard gvsbuild paths for x86 builds, not standard x64 ones. I apologize for noise, and please disregard, as if having the x64 paths in PATH env-var, then fine(I'd change them regardless, spec pathex's I mean, if not completelly ditching them all).

Edit2: Before that issue, then cannot even import gi module, making breakage later on presumably, so should look into that and not the missing dir/dll(s) later reported, as byproduct of that presumably. Cannot import _gi module from gi - have you checked pygeoip installed correctly in python I.e can you import it / _gi* file in site-packages/gi?

Edit3: pygobject, not pygeoip lol :) The gtk3 python bindings wheel produced by gvsbuild. "
1005838989,331,doadin,2022-01-05T15:43:36Z,"The script installs pycairo and pygobject from wheel from gtk build folder and is ""successful"" so I see no reason why it would not be available. I could be wrong but I think the missing dll isn't a product of missing gi but other way around it tries to import gi which tries to load the dll which fails ending in the importing failing."
1005840354,331,doadin,2022-01-05T15:45:14Z,"https://github.com/deluge-torrent/deluge/runs/4711875889?check_suite_focus=true#step:5:54
https://github.com/deluge-torrent/deluge/runs/4711875889?check_suite_focus=true#step:5:58

I believe https://github.com/deluge-torrent/deluge/runs/4711875889?check_suite_focus=true#step:7:107 shows us that at least partially gi is installed. And that it fails to import because of missing dll.

Edit: again maybe I am wrong but if gi module was not installed it would be a name error or something like that not a dll error?"
1005863790,331,mhertz,2022-01-05T16:11:57Z,"Sorry doadin, thanks for explaining, and sounds like you're right. Anyway, I remember during looking through cmd output during mine builds, that it stated sometimes, probably unrelated, looking for ctypes in DLLs, though not specially for gi, but saw there where a ctypes pyd in that DLLs folder, so maybe check if there, if possible, though strange mentions dir not found in error, when there. Sorry for noise and I'll butt out now - best of luck you guys :) "
1005874174,331,doadin,2022-01-05T16:23:33Z,@mhertz I never turn down help/ideas. :)
1005882953,331,mhertz,2022-01-05T16:34:15Z,"Thanks mate :)

Just very quick, seemingly is issue of gdkpixbuff hook tries to find path to gi library dir it gets the wrong one and fails colecting any pixbuff-loaders - it tries to do a dll check I think, but cannot on a folder, as the error just mentions folder not file.

Anyway, I got this from looking closer at the output and googling it, where issue with little other, but slight related, very slight but regardless - It was stated that e.g. the user having issues had poisened his build environment by having gtk3/gdk dll's in current folder or next to script or something, messing that part up.

A suggestion was to check if can see the path correct by adding in spec file, just for troubleshooting... well, you can see yourself what to add, a single line printing it to cmd during freeze - I didn't yet read it through, so possibly better hints later, and again sorry if way off:

https://github.com/pyinstaller/pyinstaller/issues/6282
 
Edit: No need add in spec, sorry, just states to check in python from where running pyinstaller normally. Here gets the correct:

C:\\gtk-build\\gtk\\x64\\release\\bin"
1005895701,331,doadin,2022-01-05T16:50:47Z,I have a theory I am testing now. Normally I believe when you install gtk python bindings you end up with a struckture something like python/lib/site-packages/gnome/gi-repository I just made a build attempt and made it print out the site-packages folder and the gi-repository which I believe normally has libs in it only had like 1 file and was a __init__.py or something like that. Im thinking maybe for some reason the wheel is incomplete. Im currently running a build on my test VM to see the folder structure.
1005898284,331,mhertz,2022-01-05T16:54:03Z,"When installing pygobject, then always makes gi dir under site_packages and bunch other gi dirs there. Indeed if only a __init__.py, then the issue as per error, as the _gi*.pyd not there, which tries imported - so the install of wheel went wrong, or incomplete as you state. Good catch, sorry for my ramblings before."
1005901327,331,doadin,2022-01-05T16:57:43Z,I'm trying to run a test suggested in that github issue and see where it is looking for the lib then we can check that folder to confirm if the files needed are there or not.
1005902679,331,mhertz,2022-01-05T16:59:23Z,"The gi regardless is f'ed up - you need a _gi*.pyd there for import, and i'm pretty sure that's the root cause(if you say there only is a init.py under site_packages/gi). But sure, test that out.

Edit:

C:\Python37\Lib\site-packages\gi>dir
 Volume in drive C has no label.
 Volume Serial Number is AAB9-32CE

 Directory of C:\Python37\Lib\site-packages\gi

01/02/2022  07:19 PM    <DIR>          .
01/02/2022  07:19 PM    <DIR>          ..
08/25/2019  05:33 PM             6,688 docstring.py
05/06/2020  04:48 PM             5,241 importer.py
05/06/2020  04:48 PM             9,549 module.py
01/02/2022  07:19 PM    <DIR>          overrides
05/06/2020  04:48 PM               727 pygtkcompat.py
01/02/2022  07:19 PM    <DIR>          repository
05/06/2020  04:48 PM            13,543 types.py
12/30/2019  11:13 AM             1,969 _constants.py
11/06/2020  03:06 PM             2,082 _error.py
01/02/2022  12:19 AM           327,168 _gi.cp37-win_amd64.pyd
01/02/2022  12:19 AM            19,456 _gi_cairo.cp37-win_amd64.pyd
03/30/2021  06:42 AM            10,172 _gtktemplate.py
11/06/2020  03:06 PM            13,140 _option.py
05/06/2020  04:48 PM             7,615 _ossighelper.py
05/06/2020  04:48 PM            14,163 _propertyhelper.py
12/30/2019  11:13 AM             9,303 _signalhelper.py
01/02/2022  12:19 AM             6,246 __init__.py
01/02/2022  07:19 PM    <DIR>          __pycache__
              15 File(s)        447,062 bytes
               5 Dir(s)   8,373,551,104 bytes free"
1005907479,331,doadin,2022-01-05T17:04:50Z,"@mhertz we have that same struckture https://github.com/deluge-torrent/deluge/runs/4717092096?check_suite_focus=true#step:7:4767 it is the other folder i'm uncertain about.

https://github.com/deluge-torrent/deluge/runs/4717092096?check_suite_focus=true#step:7:4821 https://github.com/deluge-torrent/deluge/runs/4717092096?check_suite_focus=true#step:7:4821 . shows ""Directory: C:\hostedtoolcache\windows\Python\3.7.9\x64\Lib\site-packages\gi\repository"" with only a pycache dir and a ""__init__.py"" file im fairly sure there is supposed to be more. Again waiting for my VM to finish building to confirm. However if this is the case then we either have to build GTK in the build process or wait for gvsbuild to fix the wheel creation? idk."
1005914978,331,mhertz,2022-01-05T17:13:13Z,"Sorry doadin, I get myself confused, and forgot what yopu said initially about the import failing because missing file of that gdkpixbuff or whatever, doh :) There should only be a __init__.py there.

Edit: ...and pycache, though unimportant."
1005917331,331,doadin,2022-01-05T17:15:52Z,"with a test python script with
`from PyInstaller.utils.hooks.gi import get_gi_libdir
get_gi_libdir('GdkPixbuf', '2.0')
`
we get
`
Traceback (most recent call last):
  File ""C:\test.py"", line 2, in <module>
    get_gi_libdir('GdkPixbuf', '2.0')
  File ""C:\hostedtoolcache\windows\Python\3.7.9\x64\lib\site-packages\PyInstaller\utils\hooks\gi.py"", line 35, in get_gi_libdir
    path = findSystemLibrary(lib.strip())
  File ""C:\hostedtoolcache\windows\Python\3.7.9\x64\lib\site-packages\PyInstaller\depend\bindepend.py"", line 942, in findSystemLibrary
    return getfullnameof(name)
  File ""C:\hostedtoolcache\windows\Python\3.7.9\x64\lib\site-packages\PyInstaller\depend\bindepend.py"", line 71, in getfullnameof
    if os.path.exists(npth) and matchDLLArch(npth):
  File ""C:\hostedtoolcache\windows\Python\3.7.9\x64\lib\site-packages\PyInstaller\depend\bindepend.py"", line 178, in matchDLLArch
    pe = pefile.PE(filename, fast_load=True)
  File ""C:\hostedtoolcache\windows\Python\3.7.9\x64\lib\site-packages\pefile.py"", line 2743, in __init__
    self.__parse__(name, data, fast_load)
  File ""C:\hostedtoolcache\windows\Python\3.7.9\x64\lib\site-packages\pefile.py"", line 2808, in __parse__
    ""Unable to access file '{0}'{1}"".format(fname, exception_msg)
Exception: Unable to access file 'C:\': [Errno 2] No such file or directory: 'C:\\'
`
Which is interesting It seems to just search the dir the script is ran from?"
1005922843,331,mhertz,2022-01-05T17:22:35Z,"Hmm, that dir is not present at all??? I don't get where gets that part from? SOrry over my head, please let me know if can do something to help test in a vm, but else hope you good people can figure it out :)

Edit: Well, besides hacking the hook of pyinstaller to hardcode correct path...

Edit2: Sorry, other places too, as importing gi fails precedingly, and not same hook there presumably. Again, over my head :("
1005928585,331,doadin,2022-01-05T17:29:51Z,"Yea I think this is way over my head looking at https://github.com/pyinstaller/pyinstaller/blob/develop/PyInstaller/depend/bindepend.py#L42 it searches sys.path for dll's to which in our spec file we extend to include the gtk build folder, so how is it not finding them? Again unless its not actually the GTK libs we are missing and it is looking for msvc dll's or something to which again it would be helpful if it told us which dll it is looking for and not finding so we could add that dll's dir to our path.... but that would make this too easy I guess..."
1005932331,331,mhertz,2022-01-05T17:34:49Z,"Yeah indeed puzzling. I have no input, but would personally try without any pathex's, as maybe trips something up, like that pyinstaller thread I posted before about poisening his own environment - in my many testings of this, I needed zero pathex's, but just all in PATHs. I just tested a spec today actually without such, and posted it in my edit to forum-thread.

Hope you succede, or get help from qualified people, thanks again!"
1005932485,331,doadin,2022-01-05T17:35:00Z,"Im starting to actually thinking maybe this is a issue of github actions running some command as cmd and some with powershell and therefore we have different path environment variables? Im not sure thats a thing?
edit apparently the default shell is powershell and we are setting path through powershell way so idk."
1005935166,331,doadin,2022-01-05T17:38:45Z,@mhertz well the test script doesn't use the spec file and also fails so unfortunatly I don't think thats an issue. at least not yet.
1005940163,331,mhertz,2022-01-05T17:46:05Z,"Doh!

Are you setting paths like so: https://stackoverflow.com/questions/60169752/how-to-update-the-path-in-a-github-action-workflow-file-for-a-windows-latest-hos"
