id,pr_number,user,created_at,body
778318916,331,DjLegolas,2022-01-04T19:00:48Z,Doesn't this needs to be a x64 version of GTK?
778322855,331,cas--,2022-01-04T19:07:49Z,There is only two lines difference between these nsi files so there should only be one nsi script that be be called with optional argument for 32-bit build (64-bit default?)
778324478,331,cas--,2022-01-04T19:10:37Z,there should be no reason to skip isort on this file
778484845,331,doadin,2022-01-05T01:08:24Z,yes the x64 build had not completed yet so I didn't have a url. Its done now and I just woke up so I'm going to update.
778485045,331,doadin,2022-01-05T01:09:02Z,"I am not really familiar with NSIS, I will look into that."
778485180,331,doadin,2022-01-05T01:09:32Z,"Was just a copy paste from the bbfreeze file, sorry."
780330445,331,cas--,2022-01-07T15:17:56Z,Is this a typo? Also this does not match the x86 step
780330548,331,cas--,2022-01-07T15:18:05Z,"Can we use [strategy matrix](https://docs.github.com/en/actions/learn-github-actions/workflow-syntax-for-github-actions#using-environment-variables-in-a-matrix) to deduplicate the Build-Windows steps.

So perhaps set a `gvsbuild` for download link, `arch` key set to `x86` or `x64` and `wheel_arch` to `win32` or `amd64`  etc... 

"
780331793,331,cas--,2022-01-07T15:20:07Z,I know this was just renamed but can we point to the correct dependencies reference in docs
780333095,331,cas--,2022-01-07T15:22:09Z,Could we convert this to a 'markdown' document so rename extension to `.md`?
780334242,331,cas--,2022-01-07T15:23:50Z,Can we install latest specific version to avoid surprises 
780780944,331,cas--,2022-01-09T13:20:43Z,"This seems very fragile having github actions specific lines in the spec file. Also this is added for x86 arch which probably not what we want?

What is causing pyinstaller not to include them? Could this issue not always be the case any x64 build not just github actions?

Is there a way of specifying it via argument or perhaps without full path? e.g. `libcrypto-1_1-x64.dll`"
780781008,331,cas--,2022-01-09T13:21:29Z,"Is this being used? Remove if not

I was just thinking that the actual wheel platform is `win_amd64` and a better name would have been `py_platform` since it's platform tag generated by Python."
780782061,331,cas--,2022-01-09T13:30:43Z,Can simplify to using run command `working-dir`keyword: https://docs.github.com/en/actions/learn-github-actions/workflow-syntax-for-github-actions#jobsjob_idstepsrun
780782728,331,cas--,2022-01-09T13:36:15Z,Can we rename `delugensis.py` to something more meaningful such as `setup_nsis.py`
780782891,331,cas--,2022-01-09T13:37:51Z,I dont' think we need to complicate this by setting envs for matrix options
