id,pr_number,user,created_at,body
1305967069,737,Marukesu,2023-08-25T17:46:29Z,this will break having the first window be created by the action when we enable DBus activation (the only thing that was stopping us of doing that was the duplicate tab). so the `active_window == null` is necessary here.
1305967517,737,Marukesu,2023-08-25T17:46:50Z,"please, keep the separate callback, it makes easier to breakpoint it during debug after."
1305967789,737,Marukesu,2023-08-25T17:47:07Z,"no need for the default value here, options.lookup() will always set a value."
1305968505,737,Marukesu,2023-08-25T17:47:58Z,"this commentary doesn't make sense any more. Before, launching with one of `-x`, `-e`, or with a command didn't restored tabs. But now the behaviour is to always restore if `-n` is not used too."
1305969380,737,Marukesu,2023-08-25T17:49:01Z,"keep the options.lookup() inline here, it's not only getting the value of `new-window` option, but validating that it's a boolean value too."
1305969715,737,Marukesu,2023-08-25T17:49:27Z,"if this is the first window, we aren't restoring. is that expected? i don't see a why `-n` won't restore the last session if it's the first window."
1305970529,737,Marukesu,2023-08-25T17:50:23Z,"this cannot even happen, because we are always creating a tab above."
1305971317,737,Marukesu,2023-08-25T17:51:21Z,I believe the agreement in the files PR was that we always save the last closed window state. Not the first opened one.
1305972264,737,Marukesu,2023-08-25T17:52:28Z,"this is in the wrong callback no? here we aren't creating a new window, so you are actually checking the restored tabs."
1306379862,737,jeremypw,2023-08-26T08:41:39Z,I think is is cleaner and more predictable if `-n` always creates a fresh new window.  If the user wants restored tabs then omit the `-n`.
1306380186,737,jeremypw,2023-08-26T08:44:45Z,It can happen if the `execute` option is used without any command.
1306386907,737,jeremypw,2023-08-26T09:16:56Z,"Yes, I was checking something - not needed now."
1306623175,737,jeremypw,2023-08-27T08:25:19Z,Done
1306624829,737,jeremypw,2023-08-27T08:36:11Z,That will not work.  We need a value for `new_window` when `window` is `null`.  If `window` is `null` and the lookup is inline then `new_window` will be undefined because of lazy evaluation of OR expression.
1306692410,737,Marukesu,2023-08-27T16:40:13Z,"you can use `window != null` in the restore_tabs argument, that has the same meaning of `new_window` being true."
1306693248,737,Marukesu,2023-08-27T16:47:15Z,"keep in mind that `-n` will also mean a hard ""drop tabs"" when used in the first launch, because there's no way to not restore the tabs in any other case that isn't the first launch.

if you fine with that behaviour, i won't oppose the change."
1306702544,737,jeremypw,2023-08-27T18:08:24Z,On reflection I have left restoring tabs to MainWindow and not dependent on options as it is simpler.
