pr_number,total_comments
737,92
330,71
584,78
386,50
505,39
742,49
542,40
160,27
125,24
760,22
687,22
265,24
662,22
486,23
87,22
798,25
743,21
397,20
602,17
504,15
556,13
753,19
266,12
590,14
794,14
390,13
349,15
299,15
382,11
431,18
699,12
638,14
119,12
196,12
423,10
477,12
578,9
633,12
658,12
702,10
836,14
263,8
262,8
375,9
461,8
710,9
730,9
769,13
786,8
813,11
190,9
180,7
253,10
533,11
527,10
557,7
264,8
772,7
788,12
777,11
95,6
234,6
333,6
391,6
468,10
537,6
571,6
680,6
751,6
785,12
105,5
189,5
129,5
157,5
432,8
447,5
435,7
547,5
552,5
580,5
589,6
740,5
193,4
204,4
417,4
404,4
446,4
448,4
546,4
595,28
185,11
749,9
165,9
701,8
275,6
200,6
136,7
146,4
416,7
512,9
