id,pr_number,user,created_at,body
360716380,98,clefebvre,2018-01-26T08:33:25Z,"Hi @Salamandar,

This is really interesting for us, Meson looks really cool.

Could you do the following in this PR:

- Rebase the PR (it will result in having .circleci in your branch and trigger a CI build so we can check it builds everywhere).
- Add the ""files"" directory as is... right now you're listing the one file by naming it, our projects use ""files"" dirs which have to be installed as is. You can use install_dir in Meson if I'm not mistaken.
- Modify the debian/ packaging, disconnect it from autoconf and connect it to Meson. We build (and so does CI) with dpkg-buildpackage, for the build to use Meson, we need dpkg-buildpackage to call the appropriate meson and ninja commands.
"
360730793,98,Salamandar,2018-01-26T09:36:13Z,Hi ! I'm working on it. I did not touch cinnamon-desktop in a while and I've had a lot of experience with Meson since then… So a bit of refactoring is needed. I'll push when all done.
360760542,98,Salamandar,2018-01-26T11:25:20Z,"> You can use install_dir in Meson if I'm not mistaken.

At the time, install_dir would remove all the target directory content. It no longer does that so yes, I can use it.

EDIT : That's highly prefix-dependent. The default prefix is `/usr/local`, so the files directory does not correspond. I'll install each subdir of usr independently."
360773478,98,Salamandar,2018-01-26T12:34:19Z,"> disconnect it from autoconf and connect it to Meson

Do you mean to completely forget about Autotools ? I was keeping the ac/am files for now, but if that's your plan, i'll just remove all autotools files from the repo."
360792207,98,Salamandar,2018-01-26T14:01:48Z,"The debian buildsystem now uses meson, but that installs gir files into `/usr/lib/x86_64-linux-gnu` instead of just `/usr/lib`.
I'll investigate this further."
360798350,98,Salamandar,2018-01-26T14:26:28Z,"Okay, I give up trying to install the correct Meson version (>=0.40) in the CI env."
363729438,98,leigh123linux,2018-02-07T10:42:51Z,"The meson pr has no option for --with-pnp-ids-path and installs a useless file to /usr/share/libcinnamon-desktop/pnp.ids


The --with-pnp-ids-path option is used to specify the path to pnp.ids

```
--with-pnp-ids-path     Specify the path to pnp.ids [default=(internal)]
```
 As the internal file is garbage it should be possible to set it to use hwdata package

```
rpm -qf /usr/share/hwdata/pnp.ids
hwdata-0.308-1.fc28.noarch
```
Linuxmint uses the same path (/usr/share/hwdata/pnp.ids).

https://github.com/linuxmint/cinnamon-desktop/blob/master/debian/rules#L15"
363740823,98,Salamandar,2018-02-07T11:28:54Z,"Yeah, there was a TODO left…
Actually I did not have any idea about what's that file, so I just left it as is waiting for your feedback. That worked ;)"
363907561,98,mtwebster,2018-02-07T20:55:58Z,Squash please?  Then I'll merge
363914290,98,Salamandar,2018-02-07T21:20:03Z,"Yeah, will do tomorrow ! "
364080542,98,Salamandar,2018-02-08T11:13:45Z,"I squashed the Meson files modifs, but kept separate the Debian build system modifs and the deletion of Autotools. Tell me if you prefer to have this squashed as well !"
2507486577,248,hsbasu,2024-11-29T10:10:02Z,@clefebvre Please look into this.
2507488094,248,clefebvre,2024-11-29T10:10:53Z,Can you give me the error msg?
2507495021,248,hsbasu,2024-11-29T10:14:37Z,"> Can you give me the error msg?

Gimme two minutes."
2507503101,248,hsbasu,2024-11-29T10:18:52Z,"Check this [build log](https://code.launchpad.net/~mamolinux/+archive/ubuntu/daily-builds/+build/29305883/+files/buildlog_ubuntu-noble-amd64.cinnamon-desktop_6.4.0-unstable+202411261317~ubuntu24.04.1_BUILDING.txt.gz). It is not opening from my end right now.

For more details: check LP recipes [Stable](https://code.launchpad.net/~mamolinux/+recipe/cinnamon-desktop), [Daily-build](https://code.launchpad.net/~mamolinux/+recipe/cinnamon-desktop-unstable) as I am also building cinnamon for upcoming Ubuntu releases. Even though Mint targets 24.04 LTS, these might be a good perspective to look for build errors."
