id,pr_number,user,created_at,body
71091684,4996,JosephMcc,2016-07-17T23:05:35Z,"Is there some reason you can't just add a simple style class of ""bottom, top, right, left"" here and avoid the convoluted naming? Much easier to just use ""window-list-item-box.right"" instead of ""window-list-item-box.window-list-item-box-right"". Also stays more in line with what you typically see in gtk.
"
71091721,4996,JosephMcc,2016-07-17T23:07:11Z,"I'm pretty sure you didn't intend this semicolon to be here ;)
"
71092400,4996,JosephMcc,2016-07-17T23:45:21Z,"Whitespace
"
71092404,4996,JosephMcc,2016-07-17T23:45:30Z,"Whitespace
"
71092409,4996,JosephMcc,2016-07-17T23:45:49Z,"Whitespace
"
71391283,4996,brownsr,2016-07-19T18:04:02Z,"Completely agree.  I'd left it in line with what was there previously, but everytime I come back and look at this it jars horribly.  I was thinking of making the changes you suggest anyway, so I'll do that now.
"
226408689,7944,germanfr,2018-10-18T18:03:06Z,"Aren't `filter`, `each`, `map` and `find` already built into cjs arrays? No need to duplicate them here."
226487866,7944,jaszhix,2018-10-18T22:38:37Z,"They are, but on Spidermonkey there is a performance gain to using for loop alternatives instead. This is less of an issue on V8. I ran these tests in the Firefox 52 ESR, which is the closest to our environment.

https://jsperf.com/aarontgrogg-array-filter-vs-for-loop
https://jsperf.com/loops/33
http://jsben.ch/ABI1C
http://jsben.ch/aY0kG"
226539207,7944,germanfr,2018-10-19T05:50:42Z,"Those tests compare filter vs raw code, but that is not the case here because at the end what slows it down is calling the callback function I guess. I don't know about the implementation but sure is very similar (?). I'm going to test it on Cinnamon anyway, just because I'm curious :)"
226547213,7944,jaszhix,2018-10-19T06:47:50Z,"Cool. The jsben.ch tests are ones I set up - here's one similar to the findIndex one, but with filter: http://jsben.ch/umjQN
"
226737465,7944,germanfr,2018-10-19T18:14:06Z,"My results conclude that you are right, your loop implementation is faster BUT, the difference in my tests for arrays of 10M elements is a couple of ms (and it even becomes zero the more you use it). For arrays of 100 elements (if you go crazy) the difference is non existent. I think native methods should be used for consistency, or preferably normal loops which is perfectly fine, but defining those seems like not ok at all. It's just my opinion :)

[Here are my tests](https://drive.google.com/open?id=1cPWm7nbT57zC4d-glCi1XUGRau_WciLC) (it is a cinn extension)."
226748976,7944,jaszhix,2018-10-19T18:55:08Z,"Thanks for looking into this more. While I agree this won't make a dramatic difference in a lot of cases, I think these methods should stay in the PR. Take a function that iterates multiple things to get its return value and gets called relatively frequently for instance, for invocation the latency can add up - especially when we want Cinnamon to be as responsive as possible.

These are there to provide an option, not to replace every instance of filter, findIndex, etc - as you point out the gains diminish with smaller arrays, but the gains are still there and consistent.

Here's the results I got from test-extension:

Cjs-Message: 13:45:25.762: JS LOG: [LookingGlass/info] Array.prototype.filter: 20.6ms
Cjs-Message: 13:45:25.763: JS LOG: [LookingGlass/info] Custom filter:              11.7ms

If this were a function that was meant to assist with an animation, it could mean the difference between something being jerky or smooth, since CInnamon needs to spend 16ms or less for each frame."
226762854,7944,germanfr,2018-10-19T19:48:25Z,"Those results are from 1M array items and the difference becomes smaller the more you use the functions. In an animation there would be no difference for example, assuming you have an array of <1M items.

I understand your point, but in those cases why not to use loops? I presume they are even faster than these functions."
226767367,7944,jaszhix,2018-10-19T20:07:29Z,"I think you're seeing that because of Spidermonkey's JIT optimization- if it doesn't get GC'd its still cached as byte code, but we shouldn't rely on that. 

This allows the performance benefit of for loops, but the readability of explicitly named functions like forEach. The each function I added in particular can iterate both arrays and objects, which can be convenient. For objects it uses Object.keys and a for loop, which is a little faster than for...in."
226820734,7944,germanfr,2018-10-20T08:46:55Z,"Sorry @jaszhix I still don't get where is exactly that critical place in this PR where you have a large array and save more than 1 ms. I think that such micro-optimisations belong to cjs, not cinnamon. But idk 😅"
226820994,7944,jaszhix,2018-10-20T08:58:10Z,"Its ok, I'm an optimization junkie. Sometimes its unnecessary, but I wouldn't say little perf bumps here and there ever hurt anything. :) I'd like to think with enough micro-optimizations it can add up overall to more responsiveness. Since the compositor and JS context share a single thread its not a bad idea to use the fastest methods. If this were a web page or a little node utility, I'd say sure. But Cinnamon is performance critical, if it slows down all the windows its managing slows down."
226821192,7944,germanfr,2018-10-20T09:05:08Z,"Yes, of course. But why not implement them in cjs instead? If we can make native methods faster why can't we improve them instead of creating faster duplicates so that cinnamon can benefit from that in every single place? It seems like a better solution to me, but maybe there is a reason not to do that I can't see."
