pr_number,total_comments
4996,61
7944,36
1737,56
1636,50
1966,43
6878,17
6993,39
8428,53
8150,5
5798,34
1717,30
1888,29
5324,29
7149,45
8617,32
7255,30
8884,31
847,27
5780,27
6872,1
7943,1
9771,27
3553,25
1679,25
1814,24
877,24
1598,24
11770,24
2662,23
1803,22
5974,22
8251,33
10372,22
1800,20
6486,21
7376,23
7486,10
7916,19
8873,28
11228,20
843,19
4338,19
5859,19
1003,18
1504,18
7325,18
11665,18
1086,17
892,17
8988,21
10377,17
1293,16
1701,16
9957,16
10499,16
1719,15
886,15
1232,15
1620,15
1655,15
6708,15
6226,15
8008,15
9133,15
9559,19
11548,15
11905,15
11664,18
3858,14
4229,14
6992,8
8314,14
11530,14
1831,13
1273,13
3877,13
5829,13
6821,13
6694,13
7187,12
7252,13
7395,17
8057,12
8004,12
8230,13
8746,13
9954,13
10043,17
12100,13
2006,12
2320,12
2779,12
2765,12
673,12
1173,12
1664,12
1448,12
5556,12
5942,12
