pr_number,total_comments
15769,621
7610,676
12746,560
3989,305
8584,430
6911,451
6779,454
6698,311
12144,381
10702,315
4936,241
15915,339
5877,357
5214,238
5532,358
6627,351
5196,237
5287,300
13885,302
16840,234
4681,193
5310,217
11833,290
10527,256
3810,180
12458,291
4994,199
15453,191
6156,243
9704,253
4266,204
13348,161
9072,256
9375,262
10948,234
9562,239
11433,221
20951,210
5264,153
12480,188
12205,218
16485,162
10099,189
12169,149
15330,190
6186,163
8347,212
11241,197
11708,178
14054,180
4253,115
2550,113
5090,113
6952,180
4984,108
13327,172
14959,134
9007,149
13288,176
19542,148
9824,176
15888,183
2892,102
9600,174
3235,172
9349,144
11592,147
15793,126
9541,188
18645,155
12574,125
20118,123
7522,156
1984,92
13498,92
5195,91
11354,111
13266,136
8427,152
10175,147
10384,162
18735,95
2757,88
3150,86
12434,139
20833,115
2389,85
9026,142
21300,148
11614,120
12557,101
15452,115
17389,106
20314,137
14465,95
19777,119
19801,123
2332,79
1703,79
11637,95
