id,number,title,user,created_at,merged_at,comments,state,closed_at
1187405250,11695,Replace cluster metadata with slot specific dictionaries,vitarb,2023-01-06T02:04:54Z,2023-10-15T06:58:26Z,62,closed,2023-10-15T06:58:26Z
781687008,9788,Implement Multi Part AOF mechanism to avoid AOFRW overheads.,chenyang8094,2021-11-16T13:28:30Z,2022-01-03T17:14:14Z,50,closed,2022-01-03T17:14:14Z
1000636511,11012,reprocess command when client is unblocked on keys,ranshid,2022-07-19T11:07:59Z,2023-01-01T21:35:42Z,50,closed,2023-01-01T21:35:42Z
708741066,9357,Add support for list type to store elements larger than 4GB,perryitay,2021-08-11T11:16:11Z,2021-11-03T18:47:18Z,20,closed,2021-11-03T18:47:18Z
848083774,10285,Module Configurations,nichchun,2022-02-11T21:19:45Z,2022-03-30T12:47:07Z,18,closed,2022-03-30T12:47:07Z
1330220420,12109,Rdb channel for full sync,naglera,2023-04-27T11:38:57Z,,8,closed,2024-09-05T09:56:28Z
704812552,9323,Replica keep serving data during repl-diskless-load=swapdb for better availability,eduardobr,2021-08-05T15:32:54Z,2021-11-04T08:46:50Z,29,closed,2021-11-04T08:46:50Z
679711720,9166,Replication backlog and replicas use one global shared replication buffer,ShooterIT,2021-06-29T08:21:13Z,2021-10-25T06:24:32Z,16,closed,2021-10-25T06:24:32Z
898547197,10517,Improve slot migration reliability,PingXie,2022-04-04T04:32:43Z,,61,closed,2024-03-20T23:09:51Z
1783132907,13157,Change license from BSD-3 to dual RSALv2+SSPLv1,K-Jo,2024-03-20T22:12:12Z,2024-03-20T22:38:24Z,196,closed,2024-03-20T22:38:24Z
704635272,9320,Fully abstract connection and make TLS dynamically loadable,pizhenwei,2021-08-05T11:50:02Z,2022-08-24T05:35:47Z,64,closed,2022-08-24T05:35:47Z
800629388,9934,Reduce system calls of write for client->reply by introducing writev,panjf2000,2021-12-12T10:46:07Z,2022-02-22T12:00:37Z,69,closed,2022-02-22T12:00:37Z
684106783,9202,Unified Lua and modules reply parsing and added resp3 support to RM_Call,MeirShpilraien,2021-07-06T06:54:05Z,2021-08-04T13:28:07Z,10,closed,2021-08-04T13:28:07Z
807240324,9974,ACL V2 - Selectors and key based permissions,madolson,2021-12-21T06:42:13Z,2022-01-20T21:05:27Z,20,closed,2022-01-20T21:05:27Z
844152705,10273,Add reply_schema to command json files (internal for now),guybe7,2022-02-09T17:23:34Z,2023-03-11T08:14:16Z,21,closed,2023-03-11T08:14:16Z
717501951,9406,Add a special notification unlink available only for modules,huangzhw,2021-08-23T05:05:12Z,2022-11-30T09:56:36Z,63,closed,2022-11-30T09:56:36Z
727491105,9462,Added INFO LATENCYSTATS section: latency by percentile distribution/latency by cumulative distribution of latencies,filipecosta90,2021-09-05T23:43:30Z,2022-01-05T12:01:05Z,17,closed,2022-01-05T12:01:06Z
734424022,9504,Treat subcommands as commands,guybe7,2021-09-15T10:17:40Z,2021-10-20T08:52:57Z,6,closed,2021-10-20T08:52:57Z
626211325,8887,Replace all usage of ziplist with listpack for t_hash,sundb,2021-04-29T15:26:58Z,2021-08-10T06:18:49Z,34,closed,2021-08-10T06:18:49Z
1063828813,11303,Add listpack encoding for list,sundb,2022-09-22T08:31:48Z,2022-11-16T18:29:46Z,25,closed,2022-11-16T18:29:46Z
587187802,8621,Sharded pubsub implementation,hpatro,2021-03-08T23:18:11Z,2022-01-03T00:54:47Z,23,closed,2022-01-03T00:54:48Z
762179279,9656,Auto-generate the command table from JSON files,guybe7,2021-10-20T09:53:05Z,2021-12-15T19:23:15Z,10,closed,2021-12-15T19:23:15Z
1179001907,11659,Custom authentication for Modules,KarthikSubbarao,2022-12-28T01:50:12Z,2023-03-15T22:18:42Z,8,closed,2023-03-15T22:18:42Z
