id,pr_number,user,created_at,body
1065964439,11695,zuiderkwast,2023-01-10T16:01:18Z,Add a short documentation comment for each of these added functions (and possibly for the group of functions for iterating over dicts in a db). It makes reviewing easier too.
1065970620,11695,zuiderkwast,2023-01-10T16:06:57Z,"For dbRandomKey (used by RANDOMKEY and RM_RandomKey), I think it's important to try to return a more fair random key. That's why dictGetFairRandomKey was used in the first place. It samples 15 buckets to compensate for the different sizes of the buckets. Perhaps we can do something similar, e.g. sample 15 slots and select a weighted random slot of these based on the number of keys in each of them?

```C
/* This is like dictGetRandomKey() from the POV of the API, but will do more
 * work to ensure a better distribution of the returned element.
 *
 * This function improves the distribution because the dictGetRandomKey()
 * problem is that it selects a random bucket, then it selects a random
 * element from the chain in the bucket. However elements being in different
 * chain lengths will have different probabilities of being reported. With
 * this function instead what we do is to consider a ""linear"" range of the table
 * that may be constituted of N buckets with chains of different lengths
 * appearing one after the other. Then we report a random element in the range.
 * In this way we smooth away the problem of different chain lengths. */
#define GETFAIR_NUM_ENTRIES 15
dictEntry *dictGetFairRandomKey(dict *d) {
```"
1065975522,11695,zuiderkwast,2023-01-10T16:11:21Z,"Is this more efficient, or why this change?"
1065981207,11695,zuiderkwast,2023-01-10T16:16:24Z,Isn't this prototype is in server.h and therefore already available here?
1066003182,11695,zuiderkwast,2023-01-10T16:32:48Z,"This creates an array of *dict pointers*. Why not create an array of *dicts* in a single allocation? Then we can avoid one extra memory hop when accessing a dict and the pointer in redisDb struct can remain a `dict *` instead of changing it to `dict **`. Each dict is then accessed as `&db->dict[slot]` (or just `db->dict` for slot 0).

```C
    dict *d = zmalloc(sizeof(dict) * count);
    for (int i = 0; i < count; i++) {
        _dictInit(&d[i], type);
    }
```"
1066009746,11695,zuiderkwast,2023-01-10T16:37:34Z,"Add this prototype to server.h instead? (if it's not already added there, I didn't check)"
1066021504,11695,zuiderkwast,2023-01-10T16:46:17Z,"Is 48 bits guaranteed to be enough for a single dict cursor? Is there any hard limit in redis for the number of keys?

Not that it matters that much but I believe we get huge cursors with this scheme and that we get smaller cursors if we use the 14 LSB for the slot and shift the dict cursor by 14 bits. IIRC, the dict cursor is always small for small dicts."
1066153736,11695,vitarb,2023-01-10T18:28:34Z,"I've initially done it as an array, but after discussion with @madolson we've decided that dict** is cleaner as it provides better static error checking. With dict*, there is a chance you could accidentally pass an array where specific dict is expected and dict[0] will be used instead of the slot specific dict. In fact I've done this error couple times myself and corrected it only after changing the type to dict**."
1066159989,11695,vitarb,2023-01-10T18:33:27Z,"I think 48 bits should be enough, it's 2^16 times more than advertised max number of keys that Redis can hold. I like your suggestion of using LSB for slot instead of the cursor, it should indeed result in smaller nominal cursor values as bits will be shifted by 14 instead of 48 and cursor values are usually not that big."
1066162849,11695,vitarb,2023-01-10T18:35:50Z,"You are right, this must be some junk left during refactoring. Removed."
1066164553,11695,vitarb,2023-01-10T18:37:14Z,"Yes, this actually gives 1ms of time, while older implementation was giving a fraction of the ms (time left to the next clock ms)."
1066169793,11695,vitarb,2023-01-10T18:41:36Z,"Yeah, I wanted to get a second opinion before going to deep into this as it's going to be a heuristic anyways. I agree we can make it more fair with respect to slot sizes. Perhaps we can modify the algorithm such that it keeps track of the average slot size seen so far while it's iterating through slots and adjusts probability based on that value and the size of the given slot."
1066172690,11695,vitarb,2023-01-10T18:43:54Z,"Already there, cleaned up redundant declaration."
1066233433,11695,zuiderkwast,2023-01-10T19:37:10Z,"Ah, that's true; pros and cons. It's unfortunate if performance suffers due to this though. Another way to prevent that kind of errors could be to make redisDb opaque and only access the fields using accessor functions. Let's see if other reviewers have any opinions about it.

[Edit] ... or create an opaque type in dict `dictArray` (which is just a flat array, but with better type safety) with an accessor function `dict *dictArrayGet(dictArray *dicts, int index);`"
1066237318,11695,zuiderkwast,2023-01-10T19:40:44Z,"OK, good."
1066363233,11695,vitarb,2023-01-10T21:26:43Z,Will do.
1066368870,11695,vitarb,2023-01-10T21:34:47Z,"I don't think there is a performance hit, given that array size is relatively large it wouldn't be pre-fetched, so we'll probably end up with extra memory reads anyways. From brief benchmarking that I've done, CRC hash sum calculation (from `getDict`) was the only clear place where we've introduced some slowdown. Once we eliminate that, I'm going to run more thorough benchmarks, and we can discuss results and see if anything else is an issue. Do you agree with this plan?"
1066406350,11695,zuiderkwast,2023-01-10T22:25:50Z,"Good plan. Measuring is what matters.

Theoretically though (and since thinking about it is more fun than actually measuring) I believe accessing some field in the dict, let's say rehashidx, in `dict_pointers[slot]->rehashidx` it is two reads (one to fetch the pointer and one to follow it and fetch the dict struct) while in `dict_array[slot].rehashidx` it is only one read."
1066426933,11695,molian6,2023-01-10T23:00:06Z,"Would it worth to run some benchmarks? With this change, key lookup and mutations would need to do a CRC16 calculation in order to find which slot it is in. For write, I understand it is the same because there's logic to add the key to the linked list before this change, but for read, we introduced an additional CRC16 calculation.

I'm not saying it would be blocking. I really like this change and the benefits/future benefits come with it, but I think understand the performance impact would be helpful."
