pr_number,total_comments
11695,631
9788,650
11012,500
9357,418
10285,327
12109,357
9323,354
9166,288
10517,261
13157,199
9320,261
9934,297
9202,273
9974,279
10273,271
9406,262
9462,265
9504,271
8887,261
11303,273
8621,231
9656,266
11659,260
9572,249
13740,240
9872,265
10536,194
9127,257
10108,255
11568,219
11963,218
9822,201
12822,224
9564,191
10515,212
10966,215
6929,168
8687,209
6891,165
8242,162
9601,204
13209,199
12209,187
9890,179
10293,165
13243,190
9530,162
12453,172
11290,165
9938,186
8288,179
12658,177
9812,146
12826,144
8974,146
9780,164
9309,139
9940,152
11248,142
8474,147
8217,141
10061,125
10127,144
9356,108
11193,129
9963,130
12817,144
9748,139
10004,117
11199,141
8315,124
8170,124
10043,119
8324,113
12913,131
11708,110
12192,102
8327,108
11595,96
2143,75
12416,125
9511,127
12611,109
9774,97
13592,108
9003,117
11907,94
12742,114
10636,117
10969,118
10747,86
8999,81
13285,123
11982,99
13359,97
8094,107
13169,103
2795,86
7953,93
7912,90
