repository,file_type,id,pr_number,text,manual_label
redis/redis,comments,1381397812,11695,"**updated pr with following changes:** * now using lsb for slot in the scan cursor. * caching current dictionary in the redis db to avoid crc hash calculation. * rebased on top of `unstable` and resolved some conflicts. **benchmarks** i ran some benchmarks on gets and sets the result is that this implementation and `unstable` branch look almost identical (sets are on the left, gets are on the right, branch is mentioned in the terminal prompt): ![a link] **commands that were used:** sets: `src/redis-benchmark -r 1000000000 -t set -n 100000000 -p 10` gets: `src/redis-benchmark -r 1000000000 -t get -n 10000000 -p 10` next i'm going to run more benchmarks, for other potentially affected commands as well, and will make some flamegraphs, but this looks promising.",0
redis/redis,comments,2014840953,13157,congratulations on destroying your reputation,1
redis/redis,comments,2023386885,13157,"a quick google search will yield a lot for and against points for copyleft licenses. i am not an expert in lgpl, and don't have a lot of experience, but there are a few people above who showed examples where copyleft is problematic. also, i am not really anti gpl, i believe that in certain areas it is a fine license, like in linux kernel for example. the whole questions, is about whose freedom you are fighting for, since any restriction to maintain a certain group freedom, restrict other groups freedoms. in this specific example you are advocating for positive freedom of the free software community, but what about businesses, what about people who want to make a derivative work and monetize it in the way they see fit. i am not saying i agree with them, but why should we take their freedom away just because we disagree on something. the whole point of freedom, is that everyone has it, not just a specific group. that's why i like bsd-0 clause license, it's simple, and have pretty much no restrictions at all. since any restriction, restricts someone's freedom by the definition of the word. i was never involved with redis (other than as a user), and is not wright for me to participate in the specific decision makings of the fork, and it's community. the only reason i posted my opinions above, is that this trend as a whole worries me. where a permissive license project goes to source available, and then a fork goes completely other way to copyleft. and a broader discussion of this trend was already started above by some people.",0
redis/redis,comments,971492177,9572,"but if you're ok with fixing the two bugs (better internal consistency in reids), i'm fine with that (since the change will only add some 2 lines to the code, no real complications). seems you misunderstand me :grinning_face_with_sweat: , i always believe we need fix bug completely or do nothing, and i prefer do nothing in the writable-replica case, but i'm ok with fix it completely. and, i still believe we should remove the writable-replica feature finally, all the use cases are abuse from my pov, i think writable-replica is a bug, at the beginning of redis born, redis doesn't have any protection on slave, i don't know why salvatore didn't fix it, but instead he develop it as a feature.",0
redis/redis,comments,1466213727,10515,"defrost? :grin: only fix merge conflicts and possibly address my own review comments, right?",0
redis/redis,comments,937705880,9601,"wow, i'm not a compiler dev either, but imho that optimization shouldn't exist. (instead if c++ devs want speed, they should switch to c!). anyway, i do agree we wanna avoid using undefined behavior, and that we want to use the sanitizer to help catch them. i just think that if we can make sure to define the behavior, or only use it when we know it's defined (and fall back to less efficient implementation otherwise), that's better in some of these cases (the ones which [a link] the code or make it less [a link]. **but i don't want to rely on specific flags that exist only in some compilers, and now i'm also paranoid about the fact that a compiler will decide to erase all the files on my disk [see below]. so at this point i'm not sure what to do, it seems my two desires collide.** [below] i.e. because if we do something that's undefined, then erasing all the files on the disk is a possible outcome. (if on some theoretical platform that would be the behavior, why not apply it for all). i know that's not the reason in the above link, but who knows what other interpretations of undefined behaviors exist...",0
redis/redis,comments,899461061,9356,"## benchmarks cluster of 3 nodes, no replicas, running locally on laptop. ### latency `redis-benchmark -p 30001 --cluster -t set,get -n 1000000 --threads 8 -p 100 -q` result: no significant difference compared to `unstable`. **[edit] i forgot to use -r here, so only one key was created. :-/ see new benchmark below!** ### memory `debug populate 1000000` on one of the cluster nodes. then `info memory`. | result | `used_memory_human` | |------|-----| | unstable | 116.37m | | this pr | 93.51m | | difference | 22.86m (20% save) | the keys generated by `debug populate` are on the form `key:nnnnnn`. with a longer common key prefix (10 bytes), the memory saving is around 18%. for long keys without a shared prefix, the saving is expected to be even higher but i haven't written any script for generating such data.",0
redis/redis,comments,65842924,2143,"warning: big follow-up reply below! yeah, as far as i know, there aren't any other options we accept but ignore. we could just keep a list of options to ignore to loop over if we remove things in the future. that is possible, but for loading saved ziplists, they should be re-added element-by-element instead of just restored in-place. re-adding ziplists element-by-element cleans up any internal node fragmentation from users inserting/deleting elements in the middle of the quicklist and breaking the internal maximum fill levels. yeah, there are, but there are also zmalloc return value checks in other places in the redis code, so i just kept the pattern alive (e.g. adlist.c). it's written to be a generic data structure, so if people redefine zmalloc to just malloc, it should still do the right thing. at some point i'm going to make all the redis data structures a reusable external library. :) that's a new one to me. i'd prefer to leave some static signal because compilers can generate better code when they know certain functions don't leave the file, and it's made to be reusable-outside-of-redis. we could label functions as redis_static then define redis_static to nothing for redis builds. we get a lot of crash reports with no symbols anyway (packagers manually stripping the binary?). everything is made to be generic and reusable, even if redis doesn't need some of the operations. if there's a shortcut to make ltrim usage quicker, we should certainly add it. :) yeah, that's just a design decision. i left them there for redundant type checking, but we could remove them completely. difficult to say. i could see it happening either way. it probably depends on usage patterns (append-only workload with heavy reads? best memory usage). there are more optimizations we could make to reduce fragmentation (pre-allocating ziplists up to 4k or 8k), but they may not be useful for everybody. removing the number of items _is_ possible now, but for another reason. the number of _items_ is actually a really bad measurement for ziplist performance. if we set a fixed limit of 80 items and people are inserting 5 mb images into a list, that's _really_ bad. if people are inserting only integers, that's also bad because we could still store more integers in one ziplist without impacting performance. commit [a link] adds the option to use dynamic ziplist length based on total ziplist _size_ instead of a maximum length. using a maximum size gives us _optimal_ pointer overhead reduction while also giving us _optimal_ speed due to ziplist reallocations. (the slowdown in large ziplists is because of memory reallocation, so forcing ziplists to remain small gives us better bounds on ziplist performance. also see [a link] so, we could modify the option in three ways: completely remove the option and just set a global default of 4k or 8k ziplist sizes, change the option to only allow selecting 4k, 8k, or 16k ziplist sizes, or leave it as-is where we can select ziplist sizes or ziplist length. it just depends on if we think letting people tune their sizes has any benefit. (we should probably rename the option too?) setting ziplist limits based on size instead of length _also_ protects us from users inserting large elements into a ziplist and causing the ziplist to grow too big. now, if someone inserts a large element, that element gets its own ziplist assigned and no other elements will insert to that ziplist. we automatically get protected from bad performance due to big elements. very observant! the first post had no performance testing. insert/delete performance testing is at [a link] i haven't done performance testing of just reads yet, but those should be very close to the linked list version. that certainly works! [larger sidenote: we should probably end up using a slightly better workflow. we currently have `unstable -> stable`, but we really need a few more steps [[this can also help fix the ""too many redis point releases"" or ""major new features in minor version numbers"" problem if we push proper maintenance releases (2.8.18.1, 2.8.18.2, etc) versus others]]. git workflows for public projects are solved problems we don't have to re-invent. see things like [a link] — i have an entire local 'pu' branch (not public yet, but soon) that has about 40 commits from public prs waiting for official approval. we have too many proposed things that nobody gets around to testing/using, and since nobody tests or uses them, they never get approved, so it's a cycle. ""unstable"" is actually _too_ stable! :)] pluggable, key/value metadata rdb format, right? :) great to hear! it sure broke a lot while being written. most of the code tests run in a loop covering all the different edge cases for ziplist sizes too which helps a lot. yay! deleting in the middle of large lists is probably the biggest speed-up compared to linked list. oh, i hadn't even considered that. it'll help a lot with large lists in clusters during slot moving. good point. i'll look into adding it (the quicklist node count is just quicklist->len; we could also dump the individual ziplist info (byte size and element count) in debug output too). thanks for all the notes! so, what's remaining: - rdb format upgrade - save ql as series of zls - restore ql by appending zl elements (`quicklistappendvaluesfromziplist()`) - add ql-specific debug info - move existing list `list-max-ziplist-value` option to new ""ignore"" section of config parsing - maybe rename `list-max-ziplist-entries` (or remove it entirely and just set default ziplist size to 4k or 8k) - investigate if `quicklistdelrange()` can take a faster ltrim shortcut. - maybe rename static functions to redis_static and set redis_static="""" during build",1
redis/redis,comments,2362572563,13359,"yes, but this is all at compile phase, not runtime. `__has_builtin` is only used to check whether the compiler supports `__builtin_popcount`, and has nothing to do with the popcnt instruction. but we now enforce the popcnt target, telling the compiler to use `popcnt` anyway instead of the expensive builtin. :smiling_face_with_tear: at runtime, the cpu can no longer do the replacement operation, maybe we can test it by using `qemu`.",0
redis/redis,review_comments,687998750,9323,"you're referring to graceful restart, right? (not a crash recovery) see the comment i posted in [a link] i think maybe that can solve both of your problems, and also get you faster startup time. i don't like the idea of matching replicaof commands and looking at their args. i do like to solve this problem for graceful restarts, even when aof is configured. p. s. there is some [a link] about annotating aof, but i still think it's not much good for graceful restarts, only crash recovery.",-1
