repository,file_type,id,pr_number,text,majority_label,final_decision,decision_reason,manual_label
redis/redis,pull_requests,598926411,8687,Client eviction,0,review,unanimous_low_confidence,0
redis/redis,pull_requests,657434859,9003,Fix the wrong reisze of querybuf,0,review,unanimous_low_confidence,0
elementary/terminal,pull_requests,131070968,125,Unsafe paste. (#45),-1,review,majority_low_confidence,0
elementary/terminal,pull_requests,1581233931,743,Fix unwanted extra tab ,0,review,unanimous_low_confidence,0
audacity/audacity,pull_requests,734418429,1679,Smart clips,0,review,unanimous_low_confidence,0
audacity/audacity,pull_requests,661059630,952,Error reporting to Sentry,0,review,unanimous_low_confidence,0
audacity/audacity,pull_requests,1608078841,5653,Wave color nonsense,-1,review,majority_low_confidence,-1
linuxmint/cinnamon-desktop,pull_requests,36513438,49,replace the rubbish pnp.ids file,0,review,unanimous_low_confidence,-1
linuxmint/cinnamon-desktop,pull_requests,23515247,25,Fix some leaks and other stuff,0,review,unanimous_low_confidence,0
linuxmint/cinnamon-desktop,pull_requests,23719302,26,Stop build spam,0,review,majority_low_confidence,0
linuxmint/cinnamon-desktop,pull_requests,85043450,73,hack the path as the macro doesn't work,0,review,unanimous_low_confidence,0
linuxmint/cinnamon,pull_requests,172741421,7325,Fix bad allocation of panels with borders,-1,review,unanimous_low_confidence,0
linuxmint/cinnamon,pull_requests,28487133,3877,Bug fixes and improvements for multiple battery laptops,0,review,majority_low_confidence,0
CivMC/Civ,pull_requests,2158344315,654,Fix a bug,0,review,unanimous_low_confidence,0
CivMC/Civ,pull_requests,1869957122,538,Fix some snitches crashing the server,0,review,unanimous_low_confidence,0
CivMC/Civ,pull_requests,2280158848,729,fix mobs spawning/stuck outside simulation distance,0,review,unanimous_low_confidence,0
CivMC/Civ,pull_requests,1787600901,386,Fix portal hack not triggering,0,review,unanimous_low_confidence,0
CivMC/Civ,pull_requests,2048567892,619,Prevent pearled people from pearling others,0,review,unanimous_low_confidence,-1
aquasecurity/trivy,pull_requests,1905265589,6861,feat(k8s)!: node-collector dynamic commands support,0,review,unanimous_low_confidence,0
