message,is_toxic
"ditto, but particularly in this case a user_id may not be a uuid if it is coming from LDAP or some other backend",0
this returning is useless,0
I'd call this add Reference to stay in the same heap nomenclature space.,0
"I hate to be _that_ guy, but this should probably be a different change",0
"String returned to user must be translatable, wrap it in _()",0
you miss an unittest with host=fakehost,0
"""n YAdvance is 0 since it is LTR (horizontal)"" duh... I knew that was a stupid question :-)",0
"This is likely a dumb question, but why is an elevated context required to find the parent?",0
"OK, got it. I am stupid. I had to run it in the debugger to fully understand what is going on here.",0
default is useless in migrations. Use server_default. More information here - ,0
other assignment methods don't have hints either -- they're not really exposed to api query strings group_ids should be removed from this method in favor of using list_domains_for_groups below,0
this as well probably needs to change. I think the idea that Peter had using the `user.name` might help with these silly typos.,0
note: I will reproduce this discussion in rietveld,0
"Silly editorial nit: Can we put `(EBOOS)` after `excellent but obscure operating system`, or just capitalize that phrase. Took me longer than I care to admit to realize you were shortening that phrase.",0
"yes, you should mock pkg_resources.get_distribution",0
"Given the IRC discussion, I feel it's OK to leave that FK, since the entries are short-lived.",0
this initialization is useless.,0
wonder if it should be gateway['fixed_ps'][0]['ip_address'],0
Done. This gets ugly with a couple of casts. I aliased the pair to Reference Key for ease of use.,0
"Something like ""HMAC_Init"" should probably be less likely to disappear in the future.",0
"thats ok, worthless commented out code imho... kill in fire",0
Yes you do. You have to specify which process and which signals you actually allow kill to interact with.,0
die. :),0
"ah, stupid typo",0
Why can't we just use something like: from cinderclient.v3.volume_backups_restore import * # noqa ? Manipulations with sys.modules looks like a dirty hack. Do we really need it? The same comment for the rest of such changes,0
"?? I am sorry if I made a confusing comment in previous comment. how about just define SUPPORT_ISOLATION_LIST here. SUPPORT_ISOLATION_LIST = ['filesystem/posix', 'filesystem/linux', 'filesystem/shared', 'posix/cpu', 'posix/mem', 'posix/disk', 'cgroups/cpu', 'cgroups/mem', 'docker/runtime', 'namespaces/pid']",0
Please initialize in the ctor. Uninitialized values are evil!,0
please use ironic client instead of execute cmd remotely,0
Why not changing is_deadlock implementation? Indeed is_deadlock returns False for postgres HA deadlocks.,0
"dockerctl shell postgres su postgres -c ""pg_dumpall --clean"" > /root/postgres_backup_$date.sql",0
delete is the classmethod which calls the credential_api with the id.,0
same,0
clarification question (dumb question): will the policy criteria always allow for creating a valid symmetrical patch successfully?,0
same here -- use json.dump rather than json.dumps,0
"(somewhat awkward to have to specify M for every instantiation, and that D has to be specified in terms of the ""naked"" U type, when what it should represent is a value of the typed_flags type)",0
i feel like it'd be better to just remove these two lines and do what i suggest below.,0
You killed the magic query! Why!,0
maybe you can get this by picking a random form self.volume_list ?,0
"The purpose of debounce is not to wakeup chipset task when interrupt is not valid since chipset task produces messages(""power state S0ix = 0x1d..."") and this message prevents idles task from entering heavy sleep.( need at least 1 min quiet/no UART activity). ""_power_handle_state"" is called only when chipset tast wakes up. To move S0 interrupt and its deferred call to skylake.c, ""power_update_signal()"" should be NOT 'static' inside common.c and defined in header file. Do you think if this change is OK to move S0 interrupt to skyale?",0
"dobin ""${T}""/clang++.sh || die",0
"vol_type = conn_info.get('driver_volume_type', None)",0
"Probably an ignorant question, but why is the metric being decremented by 1?",0
I think it would be important to capture that subnet with DHCP disabled.,0
This can be done by the transaction itself before calling Reset Partial Network Transaction. Doing so would avoid cyclic behavior and make this method clearer.,0
This should be vlan and vxlan trunk support. I will edit it in the next commit.,0
it should be added to both dumpers. Dumper and CDumper. because there is not knowledge about what dumber will be used in client code.,0
"I am not quite sure what are you doing here.. You are adding to session object that is already added. And then you are deleting it! By the way I wrote a manual about this cases, and usage of soft_delete. Model.soft_delete() will produce N queries for each row, and if you use query.soft_delete() it will produce only 1 query. so this solution has terrible performance. And I think it contains bugs.",0
