message,sentiment,origin,emotion
or ask the maintainer to commit the change on the author's behalf.,0,SentiCR,
you are calling the database in a loop. this is highly inefficient and should be refactored to batch operations.,-1,GPT,
i need from document object or from a dom element (i.e. a div) to know which is its window object. in firefox i can do: but obviously in that awful browser that statement not work!!!,-1,emothion_gold_standard,anger
"the problem is that you never run the method, so the field stays at zero. it's a really terrible idea to give a field and a method the same name.",-1,emothion_gold_standard,anger
"does a similar thing (and yes, i find the 'pc' moniker for windows machines very disgusting)",-1,emothion_gold_standard,anger
**i hate git !! what a crazy command line syntax**,-1,emothion_gold_standard,anger
"@davebish, what an excellent tool! i will be using this alot in future! :-)",0,emothion_gold_standard,love
"wow excellent! thanks so much rgeorge, that really helps.",0,emothion_gold_standard,love
@vascowhite i tried deleting all the products from the cms then added a new one and the same message appears. really frustrating!,-1,emothion_gold_standard,anger
but cd() returns bool i don't think absolutepath() is a valid method call on bool,-1,SentiCR,
"point-of-fact: it was the wait feature that you now find workable from python... the '--nowait' argument disables that new feature, reverting back to prior behavior.",0,SentiCR,
is there a way to zoom extents of a collection of shapes without computing min/max xy's and wh's - very painful when sloping lines are involved. perhaps some kind of pixel detection?,-1,emothion_gold_standard,anger
"i'd stay away from ejb. do people really use it? i think you might get stuck in learning this framework specifically. i'd recommend taking a look at spring mvc - excellent way to learn spring, and it's a very clean and lightweight framework",-1,emothion_gold_standard,anger
"i've seen this bug in resharper 4.1. it happens when the base class is in the app_code directory. don't know how to fix it, very annoying, code still compiles though.",-1,emothion_gold_standard,anger
"josh, my proposal is to see boot as a helper for deploy driver (or to any other interface or anyone else) rather than to see it as a separate interface. boot should just take care of getting the bare metal booted to the required environment - whether for ironic to perform an operation or to boot the user-requested image. thinking in these lines, i would think boot interface should refrain from participating in cleaning. boot interface should participate in cleaning only if it had something to clean up on the bare metal node that would take a lot of time - in my mind there isn't anything. we can discuss in the irc.",0,SentiCR,
"android apps are constrained to a certain amount of memory. as it's quite (insanely?) low, i think you shouldn't feel guilty about using all of it! the limit is 16 mb on very old devices, 24 mb or 32 mb on newer ones. there doesn't seem to be much info on the size for different devices, and nobody seems to know why the limit is so small when modern phones have 1-2 gb of ram. aha, i found some concrete numbers on the limit: g1: 16mb droid: 24mb nexus one: 32mb xoom: 48mb",-1,emothion_gold_standard,anger
"i had a memory crash on uigraphicsgetimagefromcurrentimagecontext() ... if you're creating and releasing a lot of them, you should wrap them in a fresh autoreleasepool for each iteration. even allowing the nsrunloop to tick was not enough for apple/ios to do housekeeping on garbage lying around from this. e.g.",-1,emothion_gold_standard,anger
coding horror!!!,-1,emothion_gold_standard,anger
well.. taht's... sad =(,-1,emothion_gold_standard,sadness
"this isn't really pythonic so much as tortured, but here's a short version (with meaningless 1-character variable names, no less!)",-1,emothion_gold_standard,anger
[bugfix] sql_fetch_assoc() and sql_fetch_row() should default to false initialize default output to false for sql_fetch_assoc() and sql_fetch_row().,0,SentiCR,
"any reason for not using constants from the enum? if you'll ever change the enum, this tests will produce useless noise.",-1,SentiCR,
"instead of catching exceptions and doing nothing, handle them properly or log them for debugging.",-1,GPT,
@donquestion yep. my account is domain admin so it should be ok... really annoying problem! arg,-1,emothion_gold_standard,anger
"patch set 13: fails well, looks much better, you fixed the alerts, but in iscsi, block master domain, i get attribute error on missing (dom): mainthread::warning::2011-12-08 18:32:40,319::hsm::2578::storage.hsm::(prepareforshutdown) failed to stop repostats thread traceback (most recent call last): file ""/usr/share/vdsm/storage/hsm.py"", line 2576, in prepareforshutdown self.pools[spuuid].stoprepostats(dom) attributeerror: 'setmaxhostid' object has no attribute 'stoprepostats'",-1,SentiCR,
"yeah, done. removed the function and function calls. thanks.",0,SentiCR,
how can i be such a big idiottttttt!!!!! but thankx guys anyways......:d,0,emothion_gold_standard,love
great! thank you.,0,emothion_gold_standard,love
would be better to name this view rather than window,0,SentiCR,
adding {{delete}} is because that was previously in this script: ,0,SentiCR,
you only need asserttrue(object.class instanceof type); the rest will break gwt test for the cases where there is no metadata available.,0,SentiCR,
yeah -- i just left a related question on the rename cl :) lets discuss this irl.,0,SentiCR,
"please add 2015 here: copyright (c) 2007, 2015 ibm corporation and others.",0,SentiCR,
adding `todo` comments without follow-ups is useless. either implement the fix now or create an issue to track it properly.,-1,GPT,
"indeed, annoying even more as -i in postrouting is already used in external_gateway_nat_rules (l1468)",-1,SentiCR,
"i recently imported about 60k records into a table that relates data in one table to data in another table. however, my client has since requested that a sort order be added to all 60k records. my hope is there is a nice clean way to auto generate these sort orders in a sql update. the finished data should look something like this: can this be done? any suggestions would be hugely appreciated. --anne",0,emothion_gold_standard,love
"i can't help think that making xml ad xmllist both unrelated, as in both extend object directly, is a design flaw in the as3 core library. surely having xml extend xmllist would be a much cleaner system, where xml is considered an xmllist with only one member? this would also avoid the very annoying practice of an e4x query possibly returning either an xml or xmllist, which can result in a casting error. so is there any reason i'm not thinking of that xml and xmllist were designed to only have object as a common type?",-1,emothion_gold_standard,anger
"awesome!!! i changed to include the ""/"" at beginning and it worked!! was that why it was not matching the app.yaml handlers ?",0,emothion_gold_standard,joy
"i don't see where we append the rewinded header to the database file. otherwise, when we open the db file next time, it will still give us the latest header that is not rollbacked.",-1,SentiCR,
"this is probably silly but very frustrating. using vs2008 with a c++ project, when i'm working normally, the breakpoints window is visible and active but when i'm debugging it disappears and can't be shown. this is a problem if i want to edit the condition of a breakpoint while running. pressing the breakpoints window button doesn't do anything and neither does pressing ctrl+alt+b does this happen to anybody else? it's a brand new install with visual assist and qt integration as extensions. same configuration with vs2005 doesn't have any problems.",-1,emothion_gold_standard,anger
